reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Mannich__Petasis_boronoMannich,Reductive_amination,O=Cc1ccccc1.c1ccc2[nH]ccc2c1.C1CCNC1>>c1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,|Ar-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | spectators: AromN-H|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C(ar)-C(ar);-C-C;-C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-CHO,HeteroAr-H,RCH2-NHR,Ar-Alkyl|R2CH-NR2|RCH2-NR2,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,154094-97-0,EtOH,Indole / HeteroAr,"ChemistrySelect (2020), 5(14), 4337-4346",92,0.0
Mannich__Petasis_boronoMannich,Reductive_amination,Cc1ccc(C=O)cc1.c1ccc2[nH]ccc2c1.C1CCNC1>>Cc1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,|Ar-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | spectators: Ar-Alkyl|AromN-H|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar);+C-N(ar) / -C(ar)-C(ar);-C(ar)-N(ar);-C-C;-C-O | summary:fam=bond_formation, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-CHO,HeteroAr-H,RCH2-NHR,Ar-Alkyl|R2CH-NR2|RCH2-NR2,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,154094-97-0,EtOH,Indole / HeteroAr,"ChemistrySelect (2020), 5(14), 4337-4346",92,0.0
Mannich__Petasis_boronoMannich,Reductive_amination,c1ccc2[nH]ccc2c1.COc1ccc(C=O)cc1.C1CCNC1>>COc1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,|Ar-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | spectators: Ar-OR|AromN-H|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C-C(ar);+C-N / -C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",HeteroAr-H,Ar-CHO,RCH2-NHR,Ar-Alkyl|R2CH-NR2|RCH2-NR2,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,154094-97-0,EtOH,Indole / HeteroAr / OR,"ChemistrySelect (2020), 5(14), 4337-4346",92,0.0
Mannich__Petasis_boronoMannich,Reductive_amination,O=Cc1ccccc1Cl.c1ccc2[nH]ccc2c1.C1CCNC1>>Clc1ccccc1C(c1c[nH]c2ccccc12)N1CCCC1,|Ar-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | spectators: Ar-Cl|AromN-H|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C(ar)-C(ar);-C-C;-C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-CHO,HeteroAr-H,RCH2-NHR,Ar-Alkyl|R2CH-NR2|RCH2-NR2,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,154094-97-0,EtOH,Indole / Cl / HeteroAr,"ChemistrySelect (2020), 5(14), 4337-4346",90,0.0
Mannich__Petasis_boronoMannich,Reductive_amination,c1ccc2[nH]ccc2c1.C1CCNC1.O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(C(c2c[nH]c3ccccc23)N2CCCC2)cc1,|Ar-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | spectators: Ar-NO2|AromN-H|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",HeteroAr-H,RCH2-NHR,Ar-CHO,Ar-Alkyl|R2CH-NR2|RCH2-NR2,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,154094-97-0,EtOH,Indole / HeteroAr / NO2,"ChemistrySelect (2020), 5(14), 4337-4346",88,0.0
Mannich__Petasis_boronoMannich,Reductive_amination,O=Cc1ccccc1.C1CCNC1.Brc1ccc2[nH]ccc2c1>>Brc1ccc2[nH]cc(C(c3ccccc3)N3CCCC3)c2c1,|Ar-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | spectators: AromN-H|HeteroAr-Br|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C(ar)-C(ar);+C(ar)-N / -C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-CHO,RCH2-NHR,HeteroAr-H,Ar-Alkyl|R2CH-NR2|RCH2-NR2,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,154094-97-0,EtOH,Indole / Br / HeteroAr,"ChemistrySelect (2020), 5(14), 4337-4346",90,0.0
Mannich__Petasis_boronoMannich,Reductive_amination,C1CCNC1.O=Cc1ccccn1.Brc1ccc2[nH]ccc2c1>>Brc1ccc2[nH]cc(C(c3ccccn3)N3CCCC3)c2c1,|Ar-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | spectators: AromN-H|HeteroAr-Br|HeteroAr-H|Indole|Pyridine,"sig:C-N+C-C | bonds:+C(ar)-C(ar);+C(ar)-N / -C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",RCH2-NHR,Ar-CHO|HeteroAr-H,HeteroAr-H,Ar-Alkyl|R2CH-NR2|RCH2-NR2,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,,,,154094-97-0,EtOH,Indole / Pyridine / Br / HeteroAr,"ChemistrySelect (2020), 5(14), 4337-4346",90,0.0
Mannich__Petasis_boronoMannich,Multi-Event:C-N+C-C,C=O.c1ccc2[nH]ccc2c1.FC(F)(F)c1ccc(N2CCNCC2)cc1>>FC(F)(F)c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1,|RCH2-NHR|Unclassified-Reactant -> Bn-NR2 | spectators: Ar-CF3|Ar-NR2|AromN-H|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C(ar)-C(ar);-C-C;-C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Unclassified-Reactant,HeteroAr-H,RCH2-NHR,Bn-NR2,,,,,,,,,,H2O/MeOH,Indole / NR2 / CF3 / HeteroAr,"Asian Journal of Chemistry (2021), 33(4), 781-784",71,0.0
Mannich__Petasis_boronoMannich,Multi-Event:C-N+C-C,C=O.c1ccc2[nH]ccc2c1.CC(=O)c1ccc(N2CCNCC2)cc1>>CC(=O)c1ccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)cc1,|RCH2-NHR|Unclassified-Reactant -> Bn-NR2 | spectators: Ar-COR|Ar-NR2|AromN-H|HeteroAr-H|Indole|R_acidic-H,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C(ar)-C(ar);-C-C;-C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Unclassified-Reactant,HeteroAr-H,RCH2-NHR,Bn-NR2,,,,,,,,,,H2O/MeOH,Indole / NR2 / COR / HeteroAr,"Asian Journal of Chemistry (2021), 33(4), 781-784",75,0.0
Mannich__Petasis_boronoMannich,Multi-Event:C-N+C-C,C=O.c1ccc2[nH]ccc2c1.O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O>>O=C(O)c1cn(C2CC2)c2cc(N3CCN(Cc4c[nH]c5ccccc45)CC3)c(F)cc2c1=O,|RCH2-NHR|Unclassified-Reactant -> Bn-NR2 | spectators: Alkyl-AromN|Ar-COOH|AromN-H|HeteroAr-F|HeteroAr-H|HeteroAr-N*|Indole|Quinoline,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C(ar)-C(ar);-C-C;-C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Unclassified-Reactant,HeteroAr-H,RCH2-NHR|HeteroAr-H,Bn-NR2,,,,,,,AcOH,,,H2O,Indole / Quinoline / AromN / COOH / F / HeteroAr / N*,"Journal of Scientific Research (Rajshahi, Bangladesh) (2021), 13(2), 545-559",86,0.0
Mannich__Petasis_boronoMannich,Multi-Event:C-N+C-C,C=O.c1ccc2[nH]ccc2c1.CNC>>CN(C)Cc1c[nH]c2ccccc12,|CH3-NHR|Unclassified-Reactant -> Bn-NR2 | spectators: AromN-H|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C(ar)-C(ar);-C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Unclassified-Reactant,HeteroAr-H,CH3-NHR,Bn-NR2,,,NaOH,,,,AcOH,,,H2O,Indole / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2021), 47128205",98,0.0
Mannich__Petasis_boronoMannich,Multi-Event:C-N+C-C,C=O.CNC.NC(=O)/C=C/c1cccc2[nH]ccc12>>CN(C)Cc1c[nH]c2cccc(/C=C/C(N)=O)c12,|CH3-NHR|Unclassified-Reactant -> Bn-NR2 | spectators: Alkenyl-CONH2|Ar-Alkenyl|AromN-H|HeteroAr-H|Indole,"sig:C-N+C-C | bonds:+C(ar)-N;+C-C(ar) / -C-N;-C-O | summary:fam=bond_formation, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Unclassified-Reactant,CH3-NHR,HeteroAr-H,Bn-NR2,,,NaOH,,,,AcOH,,,MeCN/H2O,Indole / CONH2 / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2021), 47128205",90,0.0
