reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Michael_addition,Alkene_Hydrogenation,COc1ccc(C(C)=O)cc1.C=C(C)C(=O)N(C)c1ccccc1I>>COc1ccc(C(=O)[C@H]2C[C@H](C)C(=O)N(C)c3ccccc32)cc1.COc1ccc(C(=O)[C@@H]2C[C@H](C)C(=O)N(C)c3ccccc32)cc1,|Alkenyl-CONR2|Alkyl-Alkenyl|Ar-I -> Ar-Alkyl | spectators: Ar-COR|Ar-NRCOR|Ar-OR|R_acidic-H,sig:Ann+LGDisp+C-O+C-C | form:C(ar)-C(ar);C-C(ar);C-O | form_labeled:C(ar)-C(ar);C-C(ar);C-C(ar)[Ar-Alkyl];C-O | break:C(ar)-I | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation,Ar-COR,Ar-I|Alkyl-Alkenyl|Alkenyl-CONR2,,Ar-Alkyl|R_acidic-H,,P(2-furyl)3,t-BuOLi,,,,,,7647-10-1,Dioxane,COR / NRCOR / OR,"Organic Chemistry Frontiers (2021), 8(3), 560-565",74,-0.71
Michael_addition,Alkene_Hydrogenation,CC(=O)c1ccc(Cl)cc1.C=C(C)C(=O)N(C)c1ccccc1I>>C[C@H]1C[C@H](C(=O)c2ccc(Cl)cc2)c2ccccc2N(C)C1=O,|Alkenyl-CONR2|Alkyl-Alkenyl|Ar-I -> Ar-Alkyl | spectators: Ar-COR|Ar-Cl|Ar-NRCOR|R_acidic-H,sig:Ann+LGDisp+C-C | form:C-C;C-C(ar) | form_labeled:C-C;C-C(ar)[Ar-Alkyl] | break:C(ar)-I | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation,R_acidic-H,Ar-I|Alkyl-Alkenyl|Alkenyl-CONR2,,Ar-Alkyl,,P(2-furyl)3,t-BuOLi,,,,,,7647-10-1,Dioxane,COR / Cl / NRCOR,"Organic Chemistry Frontiers (2021), 8(3), 560-565",70,0.0
Michael_addition,Alkene_Hydrogenation,COc1cccc(C(C)=O)c1.C=C(C)C(=O)N(C)c1ccccc1I>>COc1cccc(C(=O)[C@H]2C[C@H](C)C(=O)N(C)c3ccccc32)c1,|Alkenyl-CONR2|Alkyl-Alkenyl|Ar-I -> Ar-Alkyl | spectators: Ar-COR|Ar-NRCOR|Ar-OR|R_acidic-H,sig:Ann+LGDisp+C-C | form:C-C;C-C(ar) | form_labeled:C-C;C-C(ar)[Ar-Alkyl] | break:C(ar)-I | redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:multi_transform_record_possible | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation,Ar-COR,Ar-I|Alkyl-Alkenyl|Alkenyl-CONR2,,Ar-Alkyl,,P(2-furyl)3,t-BuOLi,,,,,,7647-10-1,Dioxane,COR / NRCOR / OR,"Organic Chemistry Frontiers (2021), 8(3), 560-565",78,0.71
Michael_addition,Alkene_Hydrogenation,CC1C(=O)CCCC1=O.O=[N+]([O-])/C=C/c1ccccc1Cl>>CC1(C(C[N+](=O)[O-])c2ccccc2Cl)C(=O)CCCC1=O,|Alkenyl-NO2|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-Cl|RCH2-COR|R_acidic-H,form:C-C | form_labeled:C-C | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,RCH2-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|RCH2-NO2,,,,,,,,,860994-58-7,H2O/MeCN,COR / Cl,"Organic Letters (2020), 22(1), 62-67",81,0.0
Michael_addition,Alkene_Hydrogenation,CC1C(=O)CCC1=O.O=[N+]([O-])/C=C/c1ccccc1>>CC1(C(C[N+](=O)[O-])c2ccccc2)C(=O)CCC1=O,|Alkenyl-NO2|Ar-Alkenyl -> Ar-Alkyl | spectators: RCH2-COR|R_acidic-H,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,RCH2-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|RCH2-NO2,,,,,,,,,287979-82-2,H2O/MeCN,COR,"Organic Letters (2020), 22(1), 62-67",78,0.0
Michael_addition,Alkene_Hydrogenation,CC(=O)CC(C)=O.O=[N+]([O-])/C=C/c1ccccc1>>CC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccccc1,|Alkenyl-NO2|Ar-Alkenyl|RCH2-COR -> Ar-Alkyl | spectators: R_acidic-H,form:C-C | form_labeled:C-C | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,RCH2-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|R2CH-COR|RCH2-NO2,,,,,,,,,2377799-78-3,EtOH,,"European Journal of Organic Chemistry (2020), 2020(1), 82-90",99,0.0
Michael_addition,Alkene_Hydrogenation,CC(=O)CC(C)=O.Cc1ccc(/C=C/[N+](=O)[O-])cc1>>CC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccc(C)cc1,|Alkenyl-NO2|Ar-Alkenyl|RCH2-COR -> Ar-Alkyl | spectators: Ar-Alkyl|R_acidic-H,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,RCH2-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|R2CH-COR|RCH2-NO2,,,,,,,,,2377799-78-3,EtOH,,"European Journal of Organic Chemistry (2020), 2020(1), 82-90",99,0.71
Michael_addition,Alkene_Hydrogenation,CC(=O)CC(C)=O.O=[N+]([O-])/C=C/c1ccc(C(F)(F)F)cc1>>CC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccc(C(F)(F)F)cc1,|Alkenyl-NO2|Ar-Alkenyl|RCH2-COR -> Ar-Alkyl | spectators: Ar-CF3|R_acidic-H,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,RCH2-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|R2CH-COR|RCH2-NO2,,,,,,,,,2377799-78-3,EtOH,CF3,"European Journal of Organic Chemistry (2020), 2020(1), 82-90",99,0.0
Michael_addition,Alkene_Hydrogenation,CC(=O)CC(C)=O.O=[N+]([O-])/C=C/c1ccc(F)cc1>>CC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccc(F)cc1,|Alkenyl-NO2|Ar-Alkenyl|RCH2-COR -> Ar-Alkyl | spectators: Ar-F|R_acidic-H,form:C-C | form_labeled:C-C | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,RCH2-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|R2CH-COR|RCH2-NO2,,,,,,,,,2377799-78-3,EtOH,F,"European Journal of Organic Chemistry (2020), 2020(1), 82-90",98,0.71
Michael_addition,Alkene_Hydrogenation,CC(=O)CC(C)=O.O=[N+]([O-])/C=C/c1ccc(Br)cc1>>CC(=O)C(C(C)=O)C(C[N+](=O)[O-])c1ccc(Br)cc1,|Alkenyl-NO2|Ar-Alkenyl|RCH2-COR -> Ar-Alkyl | spectators: Ar-Br|R_acidic-H,form:C-C | form_labeled:C-C | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,RCH2-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|R2CH-COR|RCH2-NO2,,,,,,,,,2377799-78-3,EtOH,Br,"European Journal of Organic Chemistry (2020), 2020(1), 82-90",72,0.0
Michael_addition,Alkene_Hydrogenation,CC(=O)CC(C)=O.COc1ccc(/C=C/[N+](=O)[O-])cc1>>COc1ccc(C(C[N+](=O)[O-])C(C(C)=O)C(C)=O)cc1,|Alkenyl-NO2|Ar-Alkenyl|RCH2-COR -> Ar-Alkyl | spectators: Ar-OR|R_acidic-H,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,RCH2-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|R2CH-COR|RCH2-NO2,,,,,,,,,2377799-78-3,EtOH,OR,"European Journal of Organic Chemistry (2020), 2020(1), 82-90",99,0.71
Michael_addition,Alkene_Hydrogenation,O=C(CC(=O)c1ccccc1)c1ccccc1.O=[N+]([O-])/C=C/c1ccccc1>>O=C(c1ccccc1)C(C(=O)c1ccccc1)C(C[N+](=O)[O-])c1ccccc1,|Alkenyl-NO2|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-COR|R_acidic-H,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-COR,Alkenyl-NO2|Ar-Alkenyl,,Ar-Alkyl|RCH2-NO2,,,,,,,,,2377799-78-3,EtOH,COR,"European Journal of Organic Chemistry (2020), 2020(1), 82-90",82,0.0
