reaction_id,yield,z_score,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Minisci,71,0.0,Ar-H,Acyl-CO2H,,,,,,,,AgBF4,,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",MeCN/H2O,False,c1ccc2cnccc2c1.CC(C)CC(=O)C(=O)O>>CC(C)CC(=O)c1ncc(Br)c2ccccc12,Isoquinoline / Pyridine / COR,"Journal of Organic Chemistry (2019), 84(9), 5067-5077"
Minisci,37,0.0,R_acidic-H,R2CH-CO2H,Ar-CN,Silver nitrate,,,,Selectfluor,,,,,MeCN/H2O,False,CC(=O)Oc1ccc(C)cc1.CC(C)C(=O)O.N#Cc1ccncc1>>CC(C)c1cc(C#N)ccn1.CC(=O)Oc1ccc(CF)cc1,Pyridine / CN / CO2R,"Organic Letters (2017), 19(21), 5772-5775"
Minisci,73,0.0,Ar-CHO,Ar-Ar,,,,,,TBHP,,,,128-09-6/124-18-5,DCE,False,O=Cc1ccccc1.c1ccc(-c2cncc3ccccc23)cc1>>O=C(c1ccccc1)c1ncc(-c2ccccc2)c2ccccc12,Isoquinoline,"Tetrahedron (2016), 72(7), 959-967"
Minisci,88,0.0,Ar-CHO,Ar-Ar,,,,,,TBHP,,,,128-09-6/124-18-5,DCE,False,Cc1ccccc1C=O.c1ccc(-c2cncc3ccccc23)cc1>>Cc1ccccc1C(=O)c1ncc(-c2ccccc2)c2ccccc12,Isoquinoline,"Tetrahedron (2016), 72(7), 959-967"
Minisci,81,1.14,Ar-H,RCH2-CHO,,,,,,TBHP,,,,128-09-6/124-18-5,DCE,False,c1ccc2cnccc2c1.CC(C)CC=O>>CC(C)CC(=O)c1nccc2ccccc12,Isoquinoline / Pyridine,"Tetrahedron (2016), 72(7), 959-967"
Minisci,75,-0.73,RCH2-CHO,Ar-H,,,,,,TBHP,,,,128-09-6/124-18-5,DCE,False,CCCCCCC=O.c1ccc2cnccc2c1>>CCCCCCC(=O)c1nccc2ccccc12,Isoquinoline / Pyridine,"Tetrahedron (2016), 72(7), 959-967"
Minisci,78,0.0,Acyl-CO2H,,,,,Na2CO3,,,,AgBF4,,,DMSO/H2O,False,O=C(O)C(=O)c1cc(C(F)(F)F)ccc1-c1cccnc1>>O=C1c2cc(C(F)(F)F)ccc2-c2cnccc21.O=C1c2cc(C(F)(F)F)ccc2-c2cccnc21,Pyridine / CF3 / COR / F,"Organic & Biomolecular Chemistry (2017), 15(10), 2199-2210"
Minisci,90,0.0,Ar-CHO,Ar-H,,,,,,TBHP,,,,128-09-6/124-18-5,DCE,False,Cc1ccc(C=O)cc1.c1ccc2c(c1)cnc1ccccc12>>Cc1ccc(C(=O)c2nc3ccccc3c3ccccc23)cc1,Isoquinoline / Pyridine / Quinoline,"Tetrahedron (2016), 72(7), 959-967"
Minisci,88,0.0,Ar-H,Acyl-CO2H,,Silver nitrate,,,,Selectfluor,,TFA,,,DCE/H2O,False,c1ccc2cnccc2c1.CC(=O)C(=O)O>>CC(=O)c1nccc2ccccc12,Isoquinoline / Pyridine / COR,"Organic Letters (2017), 19(21), 5772-5775"
Minisci,83,0.67,R2CH-CO2H,Ar-Alkyl,,,,DMAP,,,,TFA,DIC,524-38-9/1416881-52-1,DMSO,False,O=C(O)C1CCCCC1.Cc1ccnc2ccccc12>>Cc1cc(C2CCCCC2)nc2ccccc12,Quinoline,"Journal of Organic Chemistry (2018), 83(5), 3000-3012"
