reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Mitsunobu_etherificationinversion,Alkyl_Nucleophilic_Substitution,CO.[Na].CC1(C)O[C@H]2[C@H](Br)[C@@H](O)C=C(Br)[C@H]2O1>>CO[C@@H]1C=C(Br)[C@H]2OC(C)(C)O[C@H]2[C@H]1O,|CH3-OH|Inorganic|R2CH-Br -> R2CH-OR | spectators: Alkenyl-Br|R2CH-Alkenyl|R2CH-OH|R3C-OR,"sig:LGDisp+C-O | bonds:+C-O / -Br-C | context:LG=Br, Nu=O, mech=E2_competitor+SN2 | summary:fam=substitution, redox=neutral, q=high(1.00) | alerts:risk=substitution_vs_elimination",CH3-OH,Inorganic,R2CH-Br,R2CH-OR,,,,,,,,,,MeOH,OH / Br / OR,"Organic Letters (2014), 16(1), 228-231",90,0.0
Mitsunobu_etherificationinversion,Alkyl_Nucleophilic_Substitution,CO.[Na].COc1ccc(CO[C@H]2[C@H](Br)[C@@H](O)C=C(Br)[C@H]2O)cc1>>COc1ccc(CO[C@H]2[C@@H](O)[C@H](OC)C=C(Br)[C@H]2O)cc1,|CH3-OH|Inorganic|R2CH-Br -> R2CH-OR | spectators: Alkenyl-Br|Ar-OR|Bn-OR|R2CH-Alkenyl|R2CH-OH,"sig:LGDisp+C-O | bonds:+C-O / -Br-C | context:LG=Br, Nu=O, mech=E2_competitor+SN2 | summary:fam=substitution, redox=neutral, q=high(1.00) | alerts:risk=substitution_vs_elimination",CH3-OH,Inorganic,R2CH-Br,R2CH-OR,,,,,,,,,,MeOH,OH / Br / OR,"Journal of Organic Chemistry (2014), 79(7), 2829-2842",82,0.0
Mitsunobu_etherificationinversion,Multi-Event:Ann+C-O,COc1ccnc(CC(O)CC[C@H](O)COCc2ccccc2)c1N>>COc1ccnc(CC2CC[C@@H](COCc3ccccc3)O2)c1N,|R2CH-OH -> R2CH-OR | spectators: Ar-Alkyl|Bn-OR|HeteroAr-H|HeteroAr-NH2|HeteroAr-OR|Pyridine,"sig:Ann+C-O | bonds:+C-O | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:anom=multi_transform_record_possible",R2CH-OH,,,R2CH-OR,,PPh3,,,,,,,1972-28-7,THF,Pyridine / NH2 / HeteroAr / OR,"Synlett (2009), (11), 1741-1744",75,0.0
Mitsunobu_etherificationinversion,Multi-Event:Ann+C-O,OCCO.CCOC(=O)c1sc(C(=O)OCC)c(O)c1O>>CCOC(=O)c1sc(C(=O)OCC)c2c1OCCO2,|HeteroAr-OH|RCH2-OH -> HeteroAr-OR | spectators: Ar-COOR|Thiophene,"sig:Ann+C-O | bonds:+C(ar)-O | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), ring=+1 | alerts:anom=multi_transform_record_possible",RCH2-OH,HeteroAr-OH,,HeteroAr-OR,,P(nBu)3,,,,,,,2446-83-5,THF,Thiophene / COOR,"Chemical Communications (Cambridge, United Kingdom) (2002), (22), 2690-2691",80,0.0
Mitsunobu_etherificationinversion,Event:C-S,S=c1[nH]nnn1-c1ccccc1.C#CCO>>C#CCSc1nnnn1-c1ccccc1,|Propargyl-OH -> Ar-SR | spectators: Alkyl-Alkynyl_terminal|Ar-AromN|Propargyl-H,"kinds:c_s_bond_formation+intermolecular_or_multi_component | bonds:+C-S / -C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",AromN-H,Propargyl-OH,,Ar-SR,,PPh3,,,,,,,916320-82-6,DCM,AromN / Alkynyl_terminal,"Organic Letters (2006), 8(22), 5069-5072",100,0.45
Mitsunobu_etherificationinversion,Multi-Event:Ann+C-O,COc1ccc(COCCC#C[C@H](O)[C@H]2OC(C)(C)O[C@H]2[C@H](O)[C@H]2COC(C)(C)O2)cc1>>COc1ccc(COCCC#C[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H]3OC(C)(C)O[C@@H]32)cc1,|R2CH-OH -> R2CH-OR | spectators: Alkyl-Alkynyl|Ar-OR|Bn-OR|Propargyl-H|R3C-OR|RCH2-OR,"sig:Ann+C-O | bonds:+C-O | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:anom=multi_transform_record_possible",R2CH-OH,,,R2CH-OR,,PPh3,,,,,,,1972-28-7,THF,OR,"Tetrahedron: Asymmetry (2005), 16(6), 1135-1140",93,0.0
Mitsunobu_etherificationinversion,Multi-Event:Ann+C-O,CN(C)S(=O)(=O)n1c(C(O)CC[C@H](O)COCc2ccccc2)cnc1[Si](C)(C)C(C)(C)C>>CN(C)S(=O)(=O)n1c(C2CC[C@@H](COCc3ccccc3)O2)cnc1[Si](C)(C)C(C)(C)C,|R2CH-OH -> R2CH-OR | spectators: Alkyl-N*|Ar-Alkyl|Ar-Si*|AromN-S*|Bn-OR|HeteroAr-H,"sig:Ann+C-O | bonds:+C-O | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:anom=multi_transform_record_possible",R2CH-OH,,,R2CH-OR,,P(nBu)3/TMEDA,,,,,,,,PhH,HeteroAr / N* / OR / S* / Si*,"Chemical & Pharmaceutical Bulletin (2003), 51(3), 325-329",97,1.14
Mitsunobu_etherificationinversion,Event:C-S,S=c1[nH]c2ccccc2s1.CC[C@](C)(O)C(=O)OCc1ccccc1>>CC[C@@](C)(Sc1nc2ccccc2s1)C(=O)OCc1ccccc1,|R3C-OH -> Ar-SR | spectators: Ar-Alkyl|HeteroAr-H|R3C-COOR|Thiazole,"kinds:c_s_bond_formation+intermolecular_or_multi_component | bonds:+C-S / -C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",AromN-H,R3C-OH,,Ar-SR,,,,,,,,,637-81-0/13360-92-4,PhMe,Thiazole / COOR / HeteroAr,"Heterocycles (2010), 80(1), 63-82",76,0.0
Mitsunobu_etherificationinversion,Multi-Event:Ann+C-O,Nc1cccnc1CC(O)[C@H](OCc1ccccc1)[C@H](OCc1ccccc1)[C@H](O)COCc1ccccc1>>Nc1cccnc1C[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H]1OCc1ccccc1,|R2CH-OH -> R2CH-OR | spectators: Ar-Alkyl|Bn-OR|HeteroAr-H|HeteroAr-NH2|Pyridine,"sig:Ann+C-O | bonds:+C-O | summary:fam=annulation+bond_formation, redox=net_oxidation, q=high(0.85), mol=intramolecular, ring=+1 | alerts:anom=multi_transform_record_possible",R2CH-OH,,,R2CH-OR,,PPh3,,,,,,,1972-28-7,THF,Pyridine / NH2 / HeteroAr / OR,"Tetrahedron (2010), 66(50), 9620-9628",77,0.0
Mitsunobu_etherificationinversion,Multi-Event:C-N+C-O,CCCCCCO.Cc1cccc(C)c1O.CC(C)OC(=O)N=NC(=O)OC(C)C>>CCCCCCOc1c(C)cccc1C.CCCCCCN(NC(=O)OC(C)C)C(=O)OC(C)C,|Ar-OH|RCH2-OH -> Ar-OR | spectators: Alkyl-O*|Ar-Alkyl,"sig:C-N+C-O | bonds:+C-N;+C-O | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",RCH2-OH,Ar-OH,Alkyl-O*,Alkyl-Hydrazine|Ar-OR,,PPh3,,,,,,,,Et2O,O*,"Tetrahedron Letters (2014), 55(19), 3090-3092",93,0.85
