reaction_id,detected_reaction_type,reaction_smiles,yield,z_score,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,Reaction_Key
Miyaura_borylation,c_h_arylation,COC(=O)[C@@H](NC(=O)[C@H](NC(=O)OC(C)(C)C)c1ccc(OC)c(Br)c1)[C@H](O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(F)c([N+](=O)[O-])c1.COc1cc(OC)c2c(c1)[C@H](NC(=O)C(F)(F)F)COB2O>>COC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)c1ccc(OC)c(-c2c(OC)cc(OC)cc2C(CO)NC(=O)C(F)(F)F)c1)C(O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(F)c([N+](=O)[O-])c1,89.0,0.0,Ar-Br,Ar-OR,,Ar-Ar|RCH2-OH,Pd(OAc)2,,NaHCO3,,,,,,76189-55-4,MeTHF/H2O,CO2R / CONHR / F / N(R)CO2R / N(R)COR / NO2 / OR / Si*,"Journal of the American Chemical Society (2020), 142(37), 16039-16050",Ar-Br -> RCH2-OH || Alkyl-F|Alkyl-N(R)CO2R|Alkyl-N(R)COR|Alkyl-Si*|Ar-Alkyl|Ar-F|Ar-NO2|Ar-OR|R2CH-CO2R|R2CH-CONHR|R_acidic-H
Miyaura_borylation,suzuki_miyaura,COC(=O)[C@H](Cc1ccc(OCOCC[Si](C)(C)C)c(I)c1)NC(=O)OC(C)(C)C.COc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)cc1B1OC(C)(C)C(C)(C)O1>>COC(=O)[C@@H](N)Cc1ccc(O)c(-c2cc(C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)ccc2O)c1,0.0,0.0,Ar-I|Alkyl-N(R)CO2R|Ar-OR|RCH2-OR|Alkyl-Si*,Ar-Bpin|Alkyl-N(R)CO2R|Ar-OR,,Ar-Ar|Ar-OH|R2CH-NH2,Pd2(dba)3,P(o-tol)3,Potassium Fluoride/LiOH,,,,TFA,,6485-79-6,EtOH/DME/H2O/THF,CO2R / CONH2 / CONHR / N(R)COR,"European Journal of Organic Chemistry (2012), 2012(31), 6204-6211",Ar-Bpin|Ar-I -> R2CH-NH2 || Alkyl-N(R)COR|Ar-Alkyl|R2CH-CO2R|R2CH-CONH2|R2CH-CONHR|R_acidic-H
Miyaura_borylation,suzuki_miyaura,OB(O)c1ccccc1.COc1ccc(Br)cc1>>COc1ccccc1.COc1ccc(-c2ccccc2)cc1,11.0,0.35,Ar-B(OH)2,Ar-Br,,Ar-Ar|Ar-OR,(S)-[(RuCl(T-BINAP))2(?Cl)3[NH2Me2],,K2CO3,,,,,,15383-58-1,PhMe,OR,"Angewandte Chemie, International Edition (2012), 51(34), 8525-8528, S8525/1-S8525/23",Ar-B(OH)2|Ar-Br -> Ar-OR || Ar-OR
Miyaura_borylation,suzuki_miyaura,OB(O)c1ccccc1.COc1ccc(Br)cc1>>COc1ccccc1.COc1ccc(-c2ccccc2)cc1,6.0,-0.52,Ar-B(OH)2,Ar-Br,,Ar-Ar|Ar-OR,(S)-[(RuCl(T-BINAP))2(?Cl)3[NH2Me2],PCy3,K2CO3,,,,,,,PhMe,OR,"Angewandte Chemie, International Edition (2012), 51(34), 8525-8528, S8525/1-S8525/23",Ar-B(OH)2|Ar-Br -> Ar-OR || Ar-OR
Miyaura_borylation,buchwald_hartwig_co,CC(F)(F)c1cc(F)ccc1B(O)O.O=C(O)/C=C/c1ccc(Oc2c(Br)sc3cc(O)ccc23)cc1>>CC(F)(F)c1cc(F)ccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1.O=C(O)/C=C/c1ccc(Oc2csc3cc(O)ccc23)cc1,70.0,0.0,Ar-B(OH)2,Ar-Br,,Alkenyl-CO2H|Ar-Alkenyl|Ar-Ar|Ar-OH|Ar-OR|Benzothiophene,dppf-PdCl2,,K3PO4,HCl,,,LiBr,,1309573-60-1/2135600-85-8,Me2CO/H2O/MeTHF,Benzothiophene / CO2H / OH / F / OR,"World Intellectual Property Organization, WO2017168303 A1 2017-10-05",Ar-B(OH)2|Ar-Br -> Alkenyl-CO2H || Alkenyl-CO2H|Alkyl-F|Ar-Alkenyl|Ar-Alkyl|Ar-F|Ar-OH|Ar-OR|Benzothiophene
Miyaura_borylation,buchwald_hartwig_cn,COc1ncc(B(O)O)cn1.Cl.O=c1c2c(Br)c(F)ccc2nc([C@@H]2C[C@H](O)CN2)n1-c1ccccc1>>COc1ncc(-c2c(F)ccc3nc([C@@H]4C[C@H](O)CN4)n(-c4ccccc4)c(=O)c23)cn1.O=c1c2cc(F)ccc2nc([C@@H]2C[C@H](O)CN2)n1-c1ccccc1,30.0,0.0,Ar-B(OH)2,Inorganic,Ar-Br,Ar-Alkyl|Ar-Ar|Ar-AromN|Ar-F|Pyrimidine|R2CH-NHR|R2CH-OH|RCH2-NHR,dppf-PdCl2,,N-methylmorpholine,,,,,,1309573-60-1,NMP/H2O,Pyrimidine / AromN / NHR / OH / F / OR,"World Intellectual Property Organization, WO2017168303 A1 2017-10-05",Ar-B(OH)2|Ar-Br|Inorganic -> Ar-F || Ar-Alkyl|Ar-AromN|Ar-F|Ar-OR|Pyrimidine|R2CH-NHR|R2CH-OH|RCH2-NHR
Miyaura_borylation,suzuki_miyaura,OB(O)c1ccccc1.COc1ccc(Br)cc1>>COc1ccccc1.COc1ccc(-c2ccccc2)cc1,19.0,1.75,Ar-B(OH)2,Ar-Br,,Ar-Ar|Ar-OR,(S)-[(RuCl(T-BINAP))2(?Cl)3[NH2Me2],DPPF,K2CO3,,,,,,,PhMe,OR,"Angewandte Chemie, International Edition (2012), 51(34), 8525-8528, S8525/1-S8525/23",Ar-B(OH)2|Ar-Br -> Ar-OR || Ar-OR
Miyaura_borylation,suzuki_miyaura,OB(O)c1ccccc1.COc1ccc(Br)cc1>>COc1ccccc1.COc1ccc(-c2ccccc2)cc1,10.0,0.17,Ar-B(OH)2,Ar-Br,,Ar-Ar|Ar-OR,(S)-[(RuCl(T-BINAP))2(?Cl)3[NH2Me2],,K2CO3,,,,,,33829-64-0,PhMe,OR,"Angewandte Chemie, International Edition (2012), 51(34), 8525-8528, S8525/1-S8525/23",Ar-B(OH)2|Ar-Br -> Ar-OR || Ar-OR
Miyaura_borylation,suzuki_miyaura,OB(O)c1ccccc1.COc1ccc(Br)cc1>>COc1ccccc1.COc1ccc(-c2ccccc2)cc1,4.0,-0.87,Ar-B(OH)2,Ar-Br,,Ar-Ar|Ar-OR,(S)-[(RuCl(T-BINAP))2(?Cl)3[NH2Me2],,K2CO3,,,,,,98327-87-8,PhMe,OR,"Angewandte Chemie, International Edition (2012), 51(34), 8525-8528, S8525/1-S8525/23",Ar-B(OH)2|Ar-Br -> Ar-OR || Ar-OR
Miyaura_borylation,suzuki_miyaura,OB(O)c1ccccc1.COc1ccc(Br)cc1>>COc1ccccc1.COc1ccc(-c2ccccc2)cc1,4.0,-0.87,Ar-B(OH)2,Ar-Br,,Ar-Ar|Ar-OR,(S)-[(RuCl(T-BINAP))2(?Cl)3[NH2Me2],SPhos,K2CO3,,,,,,,PhMe,OR,"Angewandte Chemie, International Edition (2012), 51(34), 8525-8528, S8525/1-S8525/23",Ar-B(OH)2|Ar-Br -> Ar-OR || Ar-OR
Miyaura_borylation,,Ic1ccccc1.COc1ccc(/C(=C/B2OC(C)(C)C(C)(C)O2)c2ccccc2)cc1>>COc1ccc(/C(=C/c2ccccc2)c2ccccc2)cc1,79.0,0.0,Ar-I,Alkenyl-Bpin,,Ar-Alkenyl,Pd(OAc)2,PPh3,NaOH,,,,,,,H2O/THF,OR,"Journal of the American Chemical Society (2016), 138(9), 2897-2900",Alkenyl-Bpin|Ar-I -> Ar-Alkenyl || Ar-Alkenyl|Ar-OR
Miyaura_borylation,,C/C=[CH-]/[B+3]12[O-]C(=O)CN1(C)CC(=O)[O-]2.CN12CC(=O)[O-][B+3]1([C-]1=CC3=CC(Br)=CC=C3O1)[O-]C(=O)C2>>C/C=C/C1=CC=C2O[C-]([B+3]34[O-]C(=O)CN3(C)CC(=O)[O-]4)=CC2=C1,0.0,0.0,,,,None,Pd(OAc)2,SPhos,K2CO3/Cs2CO3,,,,AcOH,,,THF,,"World Intellectual Property Organization, WO2012012756 A1 2012-01-26",None -> None || None
Miyaura_borylation,buchwald_hartwig_cn,Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Br.COc1ccc(/C=C/B(O)O)cc1>>COc1ccc(/C=C/c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c(=O)nc2N)cc1,54.0,0.0,Ar-Br,Alkenyl-B(OH)2,,Ar-Alkenyl,Pd(OAc)2,,Na2CO3,,,,,,91171-35-6,MeCN/H2O,Pyrimidine / AromN / NH2 / OH / OR,"Tetrahedron (2013), 69(18), 3698-3705",Alkenyl-B(OH)2|Ar-Br -> Ar-Alkenyl || Alkyl-AromN|Ar-Alkenyl|Ar-NH2|Ar-OR|Pyrimidine|R2CH-OH|R2CH-OR|RCH2-OH
Miyaura_borylation,buchwald_hartwig_cn,Cc1ccc(Br)cc1.CC1(C)OB(C2=Cc3ccccc3NB2c2ccccc2)OC1(C)C>>Cc1ccc(C2=Cc3ccccc3NB2c2ccccc2)cc1,61.0,0.0,Ar-Br,Alkenyl-Bpin,,Ar-Alkenyl,XPhos Pd G2,,K2CO3,,,,,,,t-BuOH/H2O,NHR,"Journal of Organic Chemistry (2018), 83(16), 9484-9491",Alkenyl-Bpin|Ar-Br -> Ar-Alkenyl || Ar-Alkenyl|Ar-Alkyl|Ar-NHR
Miyaura_borylation,buchwald_hartwig_cn,COc1ccc(Br)cc1.CC1(C)OB(C2=Cc3ccccc3NB2c2ccccc2)OC1(C)C>>COc1ccc(C2=Cc3ccccc3NB2c2ccccc2)cc1,45.0,0.0,Ar-Br,Alkenyl-Bpin,,Ar-Alkenyl,XPhos Pd G2,,K2CO3,,,,,,,t-BuOH/H2O,NHR / OR,"Journal of Organic Chemistry (2018), 83(16), 9484-9491",Alkenyl-Bpin|Ar-Br -> Ar-Alkenyl || Ar-Alkenyl|Ar-NHR|Ar-OR
Miyaura_borylation,buchwald_hartwig_cn,N#Cc1ccc(Br)cc1.CC1(C)OB(C2=Cc3ccccc3NB2c2ccccc2)OC1(C)C>>N#Cc1ccc(C2=Cc3ccccc3NB2c2ccccc2)cc1,57.0,0.0,Ar-Br,Alkenyl-Bpin,,Ar-Alkenyl,XPhos Pd G2,,K2CO3,,,,,,,t-BuOH/H2O,NHR / CN,"Journal of Organic Chemistry (2018), 83(16), 9484-9491",Alkenyl-Bpin|Ar-Br -> Ar-Alkenyl || Ar-Alkenyl|Ar-CN|Ar-NHR
Miyaura_borylation,buchwald_hartwig_cn,Brc1cncnc1.CC1(C)OB(C2=Cc3ccccc3NB2c2ccccc2)OC1(C)C>>C1=C(c2cncnc2)B(c2ccccc2)Nc2ccccc21,64.0,0.0,Ar-Br,Alkenyl-Bpin,,Ar-Alkenyl,XPhos Pd G2,,K2CO3,,,,,,,t-BuOH/H2O,Pyrimidine / NHR,"Journal of Organic Chemistry (2018), 83(16), 9484-9491",Alkenyl-Bpin|Ar-Br -> Ar-Alkenyl || Ar-Alkenyl|Ar-NHR|Pyrimidine
Miyaura_borylation,,CC(C)(C)c1cccc(Br)c1.CCOC(=O)[C@H]1OB(c2cc3-c4cc(C(C)(C)C)cc[n]4->[Ir+3]4567<-[c-]8cc(-c9ccccc9-c9cc(-c%10ccccc%10-c2c[c-]->43)cc(-c2ccccc2-c2c[c-]->5c(-c3cc(C(C)(C)C)cc[n]->63)cc2B2O[C@H](C(=O)OCC)[C@@H](C(=O)OCC)O2)c9)ccc8-c2cc(C(C)(C)C)cc[n]->72)O[C@@H]1C(=O)OCC>>CC(C)(C)c1cccc(-c2cc3-c4cc(C(C)(C)C)cc[n]4->[Ir+3]4567<-[c-]8cc(-c9ccccc9-c9cc(-c%10ccccc%10-c2c[c-]->43)cc(-c2ccccc2-c2c[c-]->5c(-c3cc(C(C)(C)C)cc[n]->63)cc2-c2cccc(C(C)(C)C)c2)c9)ccc8-c2cc(C(C)(C)C)cc[n]->72)c1,37.0,-0.74,Ar-Br,Ar-B(OR)2|R2CH-CO2R|R_acidic-H,,Ar-Alkyl|Ar-Ar,Pd(OAc)2,P(o-tol)3,K3PO4,,,,,,,PhMe/Dioxane/H2O,Pyridine,"World Intellectual Property Organization, WO2018001990 A1 2018-01-04",Ar-B(OR)2|Ar-Br -> Ar-Ar || Ar-Alkyl|Ar-Ar|Pyridine
Miyaura_borylation,,CC(C)(C)c1cccc(Br)c1.CCOC(=O)[C@H]1OB(c2cc3-c4cc(C(C)(C)C)cc[n]4->[Ir+3]4567<-[c-]8cc(-c9ccccc9-c9cc(-c%10ccccc%10-c2c[c-]->43)cc(-c2ccccc2-c2c[c-]->5c(-c3cc(C(C)(C)C)cc[n]->63)cc2B2O[C@H](C(=O)OCC)[C@@H](C(=O)OCC)O2)c9)ccc8-c2cc(C(C)(C)C)cc[n]->72)O[C@@H]1C(=O)OCC>>CC(C)(C)c1cccc(-c2cc3-c4cc(C(C)(C)C)cc[n]4->[Ir+3]4567<-[c-]8cc(-c9ccccc9-c9cc(-c%10ccccc%10-c2c[c-]->43)cc(-c2ccccc2-c2c[c-]->5c(-c3cc(C(C)(C)C)cc[n]->63)cc2-c2cccc(C(C)(C)C)c2)c9)ccc8-c2cc(C(C)(C)C)cc[n]->72)c1,42.0,-0.39,Ar-Br,Ar-B(OR)2|R2CH-CO2R|R_acidic-H,,Ar-Alkyl|Ar-Ar,Pd(OAc)2,P(o-tol)3,K3PO4,,,,,,,PhMe/Dioxane/H2O,Pyridine,"World Intellectual Property Organization, WO2018001990 A1 2018-01-04",Ar-B(OR)2|Ar-Br -> Ar-Ar || Ar-Alkyl|Ar-Ar|Pyridine
Miyaura_borylation,,CC(C)(C)c1cc(Br)cc(C(C)(C)C)c1.Cc1cc2-c3cc(B4O[C@@H]5C[C@@H]6C[C@@H](C6(C)C)[C@]5(C)O4)c4-c5ccccc5-c5cc6-c7ccccc7-c7c[c-]8->[Ir+3]9(<-[c-]%10cc(-c%11ccccc%11-c(c6)c5)c(C)cc%10-c5cccc[n]->95)(<-[c-]3c4)(<-[n]3ccccc3-c8cc7C)<-[n]2cc1-c1cccc(-c2ccccc2)c1>>Cc1cc2-c3cc(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4-c5ccccc5-c5cc6-c7ccccc7-c7c[c-]8->[Ir+3]9(<-[c-]%10cc(-c%11ccccc%11-c(c6)c5)c(C)cc%10-c5cccc[n]->95)(<-[c-]3c4)(<-[n]3ccccc3-c8cc7C)<-[n]2cc1-c1cccc(-c2ccccc2)c1,64.0,1.14,Ar-Br,Ar-B(OR)2,,Ar-Ar,Pd(OAc)2,P(o-tol)3,K3PO4,,,,,,,PhMe/Dioxane/H2O,Pyridine,"World Intellectual Property Organization, WO2018001990 A1 2018-01-04",Ar-B(OR)2|Ar-Br -> Ar-Ar || Ar-Alkyl|Ar-Ar|Pyridine
Miyaura_borylation,buchwald_hartwig_co,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I.C=Cc1ccc(Br)cc1.OB(O)c1cc2ccccc2o1>>O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/c1ccc(-c2cc3ccccc3o2)cc1,70.0,0.0,Ar-I,Ar-Br|Ar-Alkenyl_terminal,Ar-B(OH)2,Ar-Alkenyl|Ar-Ar,Pd(OAc)2,SPhos,Et3N,,,,,,1430837-91-4,MeCN/H2O,Benzofuran / Pyrimidine / AromN / OH / OR,"New Journal of Chemistry (2020), 44(34), 14744-14754",Ar-B(OH)2|Ar-Br|Ar-I -> Ar-Alkenyl || Alkyl-AromN|AromN-H|Benzofuran|Pyrimidine|R2CH-OH|R2CH-OR|RCH2-OH
Miyaura_borylation,buchwald_hartwig_cn,Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Br.OB(O)/C=C/c1ccc(F)cc1>>Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1/C=C/c1ccc(F)cc1,64.0,0.0,Ar-Br,Alkenyl-B(OH)2,,Ar-Alkenyl,Pd(OAc)2,,Na2CO3,,,,,,91171-35-6,MeCN/H2O,Pyrimidine / AromN / NH2 / OH / F / OR,"Tetrahedron (2013), 69(18), 3698-3705",Alkenyl-B(OH)2|Ar-Br -> Ar-Alkenyl || Alkyl-AromN|Ar-Alkenyl|Ar-F|Ar-NH2|Pyrimidine|R2CH-OH|R2CH-OR|RCH2-OH
