reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
NBS_NCS_NIS_halogenation,Halogenation_aromatic,CS(=O)(=O)Cl.OCC(F)Cn1cccn1>>CS(=O)(=O)OCC(F)Cn1cc(I)cn1,|Alkyl-SO2Cl|HeteroAr-H|RCH2-OH -> HeteroAr-I | spectators: Alkyl-AromN|Pyrazole|R2CH-F|R_acidic-H,Alkyl-SO2Cl,RCH2-OH|HeteroAr-H,,Alkyl-OMs|HeteroAr-I,,,Et3N,,,,,,,DCM,Pyrazole / AromN / F / HeteroAr,"Journal of Medicinal Chemistry (2011), 54(12), 4092-4108",96,0.0
NBS_NCS_NIS_halogenation,Unknown,c1ccc(Oc2ccccc2)cc1>>Ic1ccc(Oc2ccccc2)cc1,|[] -> Ar-I | bond_formed: C(ar)-I | bond_formed_labeled: C(ar)-I | spectators: Ar-OR,Ar-OR,,,Ar-I,,,,,,,,,516-12-1/7705-08-0,MeCN,OR,"Chemistry Letters (2003), 32(10), 932-933",99,0.71
NBS_NCS_NIS_halogenation,Unknown,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC>>COc1c(Cl)c([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)c(Cl)c(OC)c1OC,|[] -> Ar-Cl | bond_formed: C(ar)-Cl; C(ar)-Cl | bond_formed_labeled: C(ar)-Cl; C(ar)-Cl | spectators: Ar-Alkyl|Ar-OR|R2CH-CO2R|R2CH-OH|R_acidic-H,R2CH-CO2R,,,Ar-Cl,,,,,,,,,128-09-6,DMF,OH / CO2R / OR,"Bioorganic & Medicinal Chemistry Letters (2013), 23(20), 5592-5598",90,0.0
NBS_NCS_NIS_halogenation,Unknown,COc1ccc2ccccc2c1>>COc1ccc2ccccc2c1I,|[] -> Ar-I | bond_formed: C(ar)-I | bond_formed_labeled: C(ar)-I | spectators: Ar-OR,Ar-OR,,,Ar-I,,,,,,,NaI/AcOH,,128-09-6,,OR,"Tetrahedron Letters (2010), 51(10), 1364-1366",91,-0.71
NBS_NCS_NIS_halogenation,Unknown,c1ccc(Oc2ccccc2)cc1>>Clc1ccc(Oc2ccccc2)cc1,|[] -> Ar-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | spectators: Ar-OR,Ar-OR,,,Ar-Cl,,,,,,,,,"128-09-6/Ammoniumnitrate,ACS,min",MeCN,OR,"Chemistry Letters (2003), 32(10), 932-933",91,0.1
NBS_NCS_NIS_halogenation,Halogenation_aromatic,Cc1nsc2ccc(N)cc12>>Cc1nsc2ccc(N)c(Br)c12,|HeteroAr-H -> HeteroAr-Br | bond_formed: Br-C(ar) | bond_formed_labeled: Br-C(ar) | spectators: Ar-Alkyl|HeteroAr-NH2,HeteroAr-H,,,HeteroAr-Br,,,,,,,,,"Bromineliquid,ACS",,NH2 / HeteroAr,"Journal of Chemical Research, Synopses (1980), (6), 197",90,0.71
NBS_NCS_NIS_halogenation,Unknown,CC(C)N(C(=O)c1ccc([Si](c2ncccn2)(C(C)C)C(C)C)cc1)C(C)C>>CC(C)N(C(=O)c1ccc([Si](c2ncccn2)(C(C)C)C(C)C)c(Br)c1)C(C)C,|[] -> Ar-Br | bond_formed: Br-C(ar) | bond_formed_labeled: Br-C(ar) | spectators: Alkyl-NRCOR|Ar-CONR2|Ar-Si*|HeteroAr-H|Pyrimidine,Ar-Si*,,,Ar-Br,Pd(OAc)2,,,,PIDA,,,,128-08-5,DCE,Pyrimidine / CONR2 / HeteroAr / NRCOR / Si*,"Angewandte Chemie, International Edition (2013), 52(41), 10800-10804",72,0.0
NBS_NCS_NIS_halogenation,Unknown,O=C1CCC(=O)N1Cl.On1nc(-c2ccccc2)cc1-c1ccccc1>>On1nc(-c2ccccc2)c(Cl)c1-c1ccccc1,|RCH2-CONR2 -> HeteroAr-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | bond_broken: Cl-N | spectators: Ar-Ar|AromN-OH|Pyrazole,R_acidic-H|RCH2-CONR2,HeteroAr-H,,HeteroAr-Cl,,,,,,,,,,,Pyrazole / OH,"Journal of Organic Chemistry (1980), 45(1), 76-80",98,0.0
NBS_NCS_NIS_halogenation,Halogenation_aromatic,c1cc[nH]c1.O=C1CCC(=O)N1Br>>Brc1ccc(Br)[nH]1,|HeteroAr-H|RCH2-CONR2|R_acidic-H -> HeteroAr-Br | spectators: AromN-H|Pyrrole,HeteroAr-H,R_acidic-H|RCH2-CONR2,,HeteroAr-Br,,,,,,,,,,,Pyrrole / HeteroAr,"Journal of Organic Chemistry (1981), 46(11), 2221-5",93,0.0
NBS_NCS_NIS_halogenation,Unknown,CC(C)[Si](c1ccc(-c2ccccc2)cc1)(c1ncccn1)C(C)C>>CC(C)[Si](c1ncccn1)(c1ccc(-c2ccccc2)cc1Br)C(C)C,|[] -> Ar-Br | bond_formed: Br-C(ar) | bond_formed_labeled: Br-C(ar) | spectators: Ar-Ar|Ar-Si*|HeteroAr-H|Pyrimidine,Ar-Si*,,,Ar-Br,Pd(OAc)2,,,,PIDA,,,,128-08-5,DCE,Pyrimidine / HeteroAr / Si*,"ACS Catalysis (2015), 5(11), 6792-6801",88,0.0
