reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
NaBH4_carbonyl_reductions,Benzylic_CH_oxidation_to_carbonyl,c1ccc2cc(C3OCCO3)ccc2c1>>O=Cc1ccc2ccccc2c1.OCc1ccc2ccccc2c1,|Ar-Alkyl|RCH2-OR -> Ar-CHO | bond_formed: C-C(ar); C-C(ar) | bond_formed_labeled: C-C(ar); C-C(ar) | bond_broken: C-O; C-O | events: Ann+C-C,Ar-Alkyl|RCH2-OR,,,Ar-CHO|Bn-OH,NiCl2,,,,,NaBH4,,,,MeOH,,"RSC Advances (2015), 5(16), 12048-12051",90,0.0
NaBH4_carbonyl_reductions,Alkyl_Nucleophilic_Substitution,ClCCBr.O=Cc1ccc(O)cc1>>OCc1ccc(OCCCl)cc1,|Ar-CHO|Ar-OH|RCH2-Br -> Ar-OR | bond_formed: C-O | bond_formed_labeled: C-O | bond_broken: Br-C | spectators: RCH2-Cl | events: LGDisp+C-O,RCH2-Br,Ar-CHO|Ar-OH,,Ar-OR|Bn-OH,,,K2CO3,,,NaBH4,,,,MeCN/MeOH,Cl,"India, IN2011KO00877 A 2016-08-26",88,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=Cc1ccc(Br)cc1>>OCc1ccccc1,|Ar-Br|Ar-CHO -> Bn-OH | bond_broken: Br-C(ar),Ar-CHO|Ar-Br,,,Bn-OH,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,NaBH4,,,7440-05-3/24623-77-6,MeOH/H2O,,"Tetrahedron (2016), 72(39), 5898-5902",95,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc(Br)s1>>CC(O)c1cccs1,|Ar-COR|HeteroAr-Br -> R2CH-OH | bond_broken: Br-C(ar) | spectators: HeteroAr-H|Thiophene,HeteroAr-Br|Ar-COR|R_acidic-H,,,Ar-Alkyl|HeteroAr-H|R2CH-OH,"[(S,S)-Teth-MsDPEN-RuCl]",,,,,NaBH4,,,7440-05-3/24623-77-6,MeOH/H2O,Thiophene / HeteroAr,"Tetrahedron (2016), 72(39), 5898-5902",95,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,Cc1ccc(S(=O)(=O)/C(=C/c2ccc(Cl)c(Cl)c2)C(=O)c2ccccc2)cc1>>Cc1ccc(S(=O)(=O)[C@H](Cc2ccc(Cl)c(Cl)c2)[C@H](O)c2ccccc2)cc1,|Alkenyl-COR|Alkenyl-SO2R|Ar-Alkenyl -> R2CH-OH | spectators: Ar-Alkyl|Ar-Cl,Alkenyl-COR|Ar-Alkenyl|Alkenyl-SO2R,,,Ar-Alkyl|Ar-SR|R2CH-OH|R_acidic-H,,,,,,NaBH4,,,,MeOH/THF,Cl,"Journal of Organic Chemistry (2019), 84(18), 11699-11723",96,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CC(=O)/C=C/c1ccccc1>>CC(O)CCc1ccccc1.CC(=O)CCc1ccccc1.CC(O)/C=C/c1ccccc1,|Alkenyl-COR -> R2CH-OH | spectators: Ar-Alkenyl|R_acidic-H,Alkenyl-COR,,,Ar-Alkyl|R2CH-OH|RCH2-COR,,,KOtBu,,,H2,iPrOH,,1388712-91-1,,,"Dalton Transactions (2015), 44(38), 16785-16790",1,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,Nc1ccccc1.O=Cc1ccc2ccccc2n1>>OCc1ccc2ccccc2n1.c1ccc(NCc2ccc3ccccc3n2)cc1,|Ar-CHO|Ar-NH2 -> Bn-OH | bond_formed: C-C(ar); C(ar)-C(ar); C(ar)-N | bond_formed_labeled: C-C(ar); C(ar)-C(ar); C(ar)-N | spectators: HeteroAr-H|Quinoline | events: Ann+C-N+C-C,Ar-NH2,Ar-CHO,,Ar-NHR|Bn-OH|HeteroAr-H|Quinoline,,,,,,H2,,,1095282-31-7,MeOH,Quinoline / HeteroAr,"Angewandte Chemie, International Edition (2019), 58(47), 16831-16834",11,0.0
NaBH4_carbonyl_reductions,Reductive_amination,c1ccc(CNCc2ccccc2)cc1.O=Cc1ccc(F)cc1>>OCc1ccc(F)cc1.Fc1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,|Ar-CHO|Bn-NHR -> Bn-NR2 | spectators: Ar-F | events: Ann+C-N+C-C,Bn-NHR,Ar-CHO,,Ar-F|Bn-NR2|Bn-OH,,,NaHCO3,,,NaBH4,,,124-38-9,THF/H2O,F,"European Journal of Organic Chemistry (2020), 2020(47), 7368-7372",1,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=[N+]([O-])c1ccccc1.O=Cc1ccccc1>>OCc1ccccc1.c1ccc(CNc2ccccc2)cc1,|Ar-CHO|Ar-NO2 -> Bn-OH | bond_formed: C(ar)-O; C(ar)-C(ar); C(ar)-C(ar); C-N | bond_formed_labeled: C(ar)-O; C(ar)-C(ar); C(ar)-C(ar); C-N | bond_broken: C-O; N-O | events: Ann+C-N+C-O+C-C,Ar-NO2,Ar-CHO,,Ar-NHR|Bn-OH,,,,,,NaBH4,,,11148-32-6,MeOH,,"International Journal of Hydrogen Energy (2020), 45(56), 31798-31811",98,0.0
NaBH4_carbonyl_reductions,Unknown,CC(=O)OC(OC(C)=O)c1ccc(Cl)cc1>>OCc1ccc(Cl)cc1,|Alkyl-CO2R|Ar-Alkyl|R_acidic-H -> Bn-OH | spectators: Ar-Cl,Alkyl-CO2R|R_acidic-H|Ar-Alkyl,,,Bn-OH,NiCl2,,,,,NaBH4,,,,MeOH,Cl,"Synthetic Communications (2018), 48(1), 97-103",90,0.71
NaBH4_carbonyl_reductions,Unknown,COc1ccc(C(OC(C)=O)OC(C)=O)cc1>>COc1ccc(CO)cc1,|Alkyl-CO2R|Ar-Alkyl|R_acidic-H -> Bn-OH | spectators: Ar-OR,Alkyl-CO2R|R_acidic-H|Ar-Alkyl,,,Bn-OH,NiCl2,,,,,NaBH4,,,,MeOH,OR,"Synthetic Communications (2018), 48(1), 97-103",86,-0.71
NaBH4_carbonyl_reductions,Unknown,CC(=O)OC(OC(C)=O)c1ccc(Cl)cc1Cl>>OCc1ccc(Cl)cc1Cl,|Alkyl-CO2R|Ar-Alkyl|R_acidic-H -> Bn-OH | spectators: Ar-Cl,Alkyl-CO2R|R_acidic-H|Ar-Alkyl,,,Bn-OH,NiCl2,,,,,NaBH4,,,,MeOH,Cl,"Synthetic Communications (2018), 48(1), 97-103",88,-0.71
NaBH4_carbonyl_reductions,Unknown,CC(=O)OC(OC(C)=O)c1ccc(C(F)(F)F)cc1>>OCc1ccc(C(F)(F)F)cc1,|Alkyl-CO2R|Ar-Alkyl|R_acidic-H -> Bn-OH | spectators: Ar-CF3,Alkyl-CO2R|R_acidic-H|Ar-Alkyl,,,Bn-OH,NiCl2,,,,,NaBH4,,,,MeOH,CF3,"Synthetic Communications (2018), 48(1), 97-103",90,0.0
NaBH4_carbonyl_reductions,Unknown,COc1cc(C(OC(C)=O)OC(C)=O)cc(OC)c1OC>>COc1cc(CO)cc(OC)c1OC,|Alkyl-CO2R|Ar-Alkyl|R_acidic-H -> Bn-OH | spectators: Ar-OR,Alkyl-CO2R|R_acidic-H|Ar-Alkyl,,,Bn-OH,NiCl2,,,,,NaBH4,,,,MeOH,OR,"Synthetic Communications (2018), 48(1), 97-103",88,0.71
NaBH4_carbonyl_reductions,Unknown,CC(=O)OC(OC(C)=O)c1cccs1>>OCc1cccs1,|Alkyl-CO2R|Ar-Alkyl|R_acidic-H -> Bn-OH | spectators: HeteroAr-H|Thiophene,Alkyl-CO2R|R_acidic-H|Ar-Alkyl,,,Bn-OH,NiCl2,,,,,NaBH4,,,,MeOH,Thiophene / HeteroAr,"Synthetic Communications (2018), 48(1), 97-103",88,0.0
NaBH4_carbonyl_reductions,Unknown,CC(=O)OC(OC(C)=O)c1ccco1>>OCc1ccco1,|Alkyl-CO2R|Ar-Alkyl|R_acidic-H -> Bn-OH | spectators: Furan|HeteroAr-H,Alkyl-CO2R|R_acidic-H|Ar-Alkyl,,,Bn-OH,NiCl2,,,,,NaBH4,,,,MeOH,Furan / HeteroAr,"Synthetic Communications (2018), 48(1), 97-103",86,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CCOP(=O)(OCC)Oc1ccc(C=O)cc1OP(=O)(OCC)OCC>>CCOP(=O)(OCC)Oc1ccc(CO)cc1OP(=O)(OCC)OCC,|Ar-CHO -> Bn-OH,Ar-CHO,,,Bn-OH,,,,,,NaBH4,,,,EtOH/H2O,,"Macromolecular Chemistry and Physics (2015), 216(4), 450-459",95,0.93
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(=O)c3cc(Cl)ccc32)c(C)c1>>Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-Alkyl|Ar-Cl|Ar-NHCOR|Ar-NRCOR,Ar-COR|R_acidic-H,,,R2CH-OH,,,,HCl,,NaBH4,,,,MeOH/H2O,Cl / NHCOR / NRCOR,"United States, US20150112059 A1 2015-04-23",91,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CCC1(CC)O[C@@H]2C=CC(=O)[C@@H]2O1>>CCC1(CC)O[C@H]2[C@@H](O)C=C[C@H]2O1,|Alkenyl-COR|R_acidic-H -> R2CH-OH | spectators: R3C-OR,Alkenyl-COR|R_acidic-H,,,R2CH-OH,,,,,,NaBH4,,,"Cerium(III)chloride,anhydrous,(REO)",MeOH/H2O,OR,"ChemMedChem (2015), 10(1), 173-182",95,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,C=C(C)C(=O)[C@H](C)NC(=O)OC(C)(C)C>>C=C(C)[C@@H](O)[C@H](C)NC(=O)OC(C)(C)C,|Alkenyl-COR|R_acidic-H -> R2CH-OH,Alkenyl-COR|R_acidic-H,,,R2CH-OH,,,,,,NaBH4,AcOH,,Cerium(III) chloride heptahydrate,MeOH,,"Journal of the American Chemical Society (2015), 137(24), 7835-7842",100,0.49
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,COc1ccc(C(=O)COc2ccccc2)cc1OC>>COc1ccc(C(O)COc2ccccc2)cc1OC,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-OR,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,NaBH4,NH4Cl,,,EtOH,OR,"ChemSusChem (2015), 8(13), 2187-2192",92,-0.56
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=C(COc1ccccc1)c1ccccc1>>OC(COc1ccccc1)c1ccccc1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-OR,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,NaBH4,NH4Cl,,,EtOH,OR,"ChemSusChem (2015), 8(13), 2187-2192",97,0.71
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CC(=O)c1ccc2ccccc2c1>>CC(O)c1ccc2ccccc2c1,|Ar-COR|R_acidic-H -> R2CH-OH,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,Ruthenium,,,,,H2,,,,,,"Letters in Organic Chemistry (2015), 12(8), 528-533",89,-0.69
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CCCCCCCCCC=O>>CCCCCCCCCCO,|RCH2-CHO|R_acidic-H -> RCH2-OH,RCH2-CHO|R_acidic-H,,,RCH2-OH,,,NaOH,,,NaBH4,TBACl,,,DCE/H2O,,"Asian Journal of Organic Chemistry (2015), 4(4), 333-336",96,0.6
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,COc1ccc(/C=C/C(=O)c2ccc(OC)cc2)cc1>>COc1ccc(/C=C/C(O)c2ccc(OC)cc2)cc1,|Alkenyl-COR -> R2CH-OH | spectators: Ar-Alkenyl|Ar-OR,Alkenyl-COR,,,Ar-Alkyl|R2CH-OH,,,NaOH,,,NaBH4,TBACl,,,DCE/H2O,OR,"Asian Journal of Organic Chemistry (2015), 4(4), 333-336",85,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CCCCCCCCCCCC=O>>CCCCCCCCCCCCO,|RCH2-CHO|R_acidic-H -> RCH2-OH,RCH2-CHO|R_acidic-H,,,RCH2-OH,,,NaOH,,,NaBH4,TBACl,,,DCE/H2O,,"Asian Journal of Organic Chemistry (2015), 4(4), 333-336",93,0.11
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=Cc1ccco1>>OCc1ccco1,|Ar-CHO -> Bn-OH | spectators: Furan|HeteroAr-H,Ar-CHO,,,Bn-OH,,,NaOH,,,NaBH4,TBACl,,,DCE/H2O,Furan / HeteroAr,"Asian Journal of Organic Chemistry (2015), 4(4), 333-336",88,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=C(CCN1C(=O)c2ccccc2C1=O)c1cccc(O)c1>>O=C1c2ccccc2C(=O)N1CC[C@@H](O)c1cccc(O)c1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Alkyl-NRCOR|Ar-CONR2|Ar-OH,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,,,,112246-73-8,THF/n-Hexane,OH / CONR2 / NRCOR,"Nature Chemical Biology (2015), 11(6), 409-415",92,0.0
NaBH4_carbonyl_reductions,Reduction_ester_to_alcohol,COC(=O)CC(=O)c1ccc(OC)cc1>>COc1ccc(C(O)CCO)cc1,|Ar-COR|RCH2-CO2R -> R2CH-OH|RCH2-OH | bond_broken: C-O | spectators: Ar-OR,RCH2-CO2R|Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH|RCH2-OH,,,,HCl,,NaBH4,,,,MeOH/H2O,OR,"ChemCatChem (2015), 7(3), 401-404",89,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=Cc1ccccc1O>>OCc1ccccc1O,|Ar-CHO -> Bn-OH | spectators: Ar-OH,Ar-CHO,,,Bn-OH,,,,,,NaBH4,,,62-76-0/98-86-2,H2O,OH,"Oriental Journal of Chemistry (2015), 31(2), 1085-1089",95,-1.09
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=C(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F>>OC(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,|R3C-COR -> R2CH-OH | spectators: Alkyl-CF3|Alkyl-F|R3C-F,R3C-COR,,,R2CH-OH,,,,,,NaBH4,,,,DCM,CF3 / F,"Applied Surface Science (2015), 349496-502",100,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CCCCCCCOc1ccc(C=O)cc1>>CCCCCCCOc1ccc(CO)cc1,|Ar-CHO -> Bn-OH | spectators: Ar-OR,Ar-CHO,,,Bn-OH,"[(S,S)-Teth-MsDPEN-RuCl]",,NaOH,,,NaBH4,,,Hydrobromic acid/25014-41-9/1874205-42-1,H2O,OR,"Green Chemistry (2016), 18(9), 2726-2735",94,-1.15
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=Cc1cc(F)ccc1Br>>OCc1cc(F)ccc1Br,|Ar-CHO -> Bn-OH | spectators: Ar-Br|Ar-F,Ar-CHO,,,Bn-OH,,,,,,NaBH4,,,,MeOH,Br / F,"Organic & Biomolecular Chemistry (2015), 13(33), 8817-8821",95,-0.71
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CC(C)(C)OC(=O)NCCCC(=O)c1ccccc1>>CC(C)(C)OC(=O)NCCCC(O)c1ccccc1,|Ar-COR|R_acidic-H -> R2CH-OH,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,,,,NaBH4,,,,MeOH,,"Journal of the American Chemical Society (2016), 138(18), 5781-5784",92,-0.07
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CC1=C(C=O)C(C)(C)CCC1>>CC1=C(CO)C(C)(C)CCC1,|Alkenyl-CHO -> RCH2-OH,Alkenyl-CHO,,,RCH2-OH,,,,,,NaBH4,iPrOH,,,EtOH,,"Nature Chemical Biology (2015), 11(6), 409-415",85,-0.59
NaBH4_carbonyl_reductions,Reduction_nitro,CC(=O)c1cccc([N+](=O)[O-])c1>>CC(O)c1cccc(N)c1,|Ar-COR|Ar-NO2 -> Ar-NH2 | bond_broken: N-O,Ar-COR|Ar-NO2|R_acidic-H,,,Ar-Alkyl|Ar-NH2|R2CH-OH,Cu,,,,,NaBH4,,,,H2O,,"Journal of the Iranian Chemical Society (2016), 13(8), 1487-1492",94,0.0
NaBH4_carbonyl_reductions,Reduction_nitro,O=Cc1cccc([N+](=O)[O-])c1>>Nc1cccc(CO)c1,|Ar-CHO|Ar-NO2 -> Ar-NH2 | bond_broken: N-O,Ar-CHO|Ar-NO2,,,Ar-NH2|Bn-OH,Cu,,,,,NaBH4,,,,H2O,,"Journal of the Iranian Chemical Society (2016), 13(8), 1487-1492",92,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CC(=O)c1cccc([N+](=O)[O-])c1>>CC(O)c1cccc([N+](=O)[O-])c1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-NO2,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,Nickel boride,,KOH,,,NaBH4,,,,MeCN/H2O,NO2,"Journal of the Iranian Chemical Society (2015), 12(7), 1221-1226",98,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CC(=O)c1cccs1>>CC(O)c1cccs1,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: HeteroAr-H|Thiophene,Ar-COR|R_acidic-H,,,Ar-Alkyl|R2CH-OH,,,NaOH,,,NaBH4,TBACl,,,DCE/H2O,Thiophene / HeteroAr,"Asian Journal of Organic Chemistry (2015), 4(4), 333-336",93,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,COC(=O)CC(=O)CC1(C)OCCO1>>COC(=O)C[C@H](O)CC1(C)OCCO1,|RCH2-COR|R_acidic-H -> R2CH-OH | spectators: RCH2-CO2R|RCH2-OR,RCH2-COR|R_acidic-H,,,R2CH-OH,,,NaOH,,,,NaCl,,50-99-7/1184-16-3/58367-01-4/9028-53-9/77106-95-7,H2O,CO2R / OR,"European Journal of Organic Chemistry (2016), 2016(19), 3162-3165",86,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,CC1=C(C#Cc2ccccc2)CCCC1=O>>[2H]C(=C=C1CCC[C@@H](O)[C@@H]1C)c1ccccc1,|Alkenyl-COR|Ar-Alkynyl|R_acidic-H -> R2CH-OH | bond_formed: C-H | bond_formed_labeled: C-H,Alkenyl-COR|R_acidic-H|Ar-Alkynyl,,,R2CH-OH,,,,,,LiAlH4,,,"Deuteriumoxide,(Isotopic)",THF,,"Tetrahedron (2016), 72(40), 6052-6063",98,0.0
NaBH4_carbonyl_reductions,Reduction_ester_to_alcohol,COC(=O)[C@@H]1CC(c2ccc(F)cc2)=CC(=O)[C@@]12C(=O)N(C)c1ccccc12>>CN1C(=O)[C@]2(c3ccccc31)C(O)C=C(c1ccc(F)cc1)C[C@H]2CO,|Alkenyl-COR|R2CH-CO2R -> R2CH-OH|RCH2-OH | bond_broken: C-O | spectators: Ar-Alkenyl|Ar-Alkyl|Ar-F|Ar-NRCOR,R2CH-CO2R|Alkenyl-COR|R_acidic-H,,,R2CH-OH|RCH2-OH,,,,HCl,,NaBH4,,,"Cerium(III)chloride,anhydrous,(REO)",MeOH/H2O,F / NRCOR,"Journal of Organic Chemistry (2016), 81(19), 8888-8899",92,0.0
NaBH4_carbonyl_reductions,Reduction_ester_to_alcohol,COC(=O)[C@@H]1CC(c2ccc(Cl)cc2)=CC(=O)[C@@]12C(=O)N(C)c1ccccc12>>CN1C(=O)[C@]2(c3ccccc31)C(O)C=C(c1ccc(Cl)cc1)C[C@H]2CO,|Alkenyl-COR|R2CH-CO2R -> R2CH-OH|RCH2-OH | bond_broken: C-O | spectators: Ar-Alkenyl|Ar-Alkyl|Ar-Cl|Ar-NRCOR,R2CH-CO2R|Alkenyl-COR|R_acidic-H,,,R2CH-OH|RCH2-OH,,,,HCl,,NaBH4,,,"Cerium(III)chloride,anhydrous,(REO)",MeOH/H2O,Cl / NRCOR,"Journal of Organic Chemistry (2016), 81(19), 8888-8899",92,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=Cc1ccc(Cl)cc1>>OCc1ccc(Cl)cc1,|Ar-CHO -> Bn-OH | spectators: Ar-Cl,Ar-CHO,,,Bn-OH,,,,HCl,,,,,2068151-60-8,MeCN/H2O,Cl,"Oriental Journal of Chemistry (2015), 31(4), 2395-2399",92,-0.13
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(CO)cc1,|Ar-CHO -> Bn-OH | spectators: Ar-NO2,Ar-CHO,,,Bn-OH,,,,HCl,,,,,2068151-60-8,MeCN/H2O,NO2,"Oriental Journal of Chemistry (2015), 31(4), 2395-2399",92,0.0
NaBH4_carbonyl_reductions,Reduction_carbonyl_to_alcohol,O=C1c2ccccc2-c2ccccc21>>OC1c2ccccc2-c2ccccc21,|Ar-COR -> R2CH-OH | spectators: Ar-Ar,Ar-COR,,,Ar-Alkyl|R2CH-OH,,,,HCl,,,,,2068151-60-8,MeCN/H2O,,"Oriental Journal of Chemistry (2015), 31(4), 2395-2399",91,0.0
