reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
NozakiHiyamaKishi,Unknown,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC.C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC,|Alkyl-Alkynyl_terminal|RCH2-COR|R_acidic-H -> Alkyl-Alkynyl|Alkynyl-CO2R|R3C-OH | spectators: Alkyl-Si*|Bn-OR|RCH2-OR,Alkyl-Alkynyl_terminal,RCH2-COR|R_acidic-H,,Alkyl-Alkynyl|Alkynyl-CO2R|R3C-OH,,,n-BuLi,,,,NaCl,,108-18-9,PhMe/n-Hexane/H2O,OR / Si*,"Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62",0.0,0.0
NozakiHiyamaKishi,Unknown,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O)[C@H](C)C[C@]1(O)C#CC(=O)OCC,|Alkyl-Alkynyl_terminal|Alkyl-Si*|RCH2-COR|RCH2-OR|R_acidic-H -> Alkyl-Alkynyl|Alkynyl-CO2R|R2CH-OH|R3C-OH | spectators: Bn-OR,Alkyl-Alkynyl_terminal|RCH2-OR,RCH2-COR|R_acidic-H|Alkyl-Si*,,Alkyl-Alkynyl|Alkynyl-CO2R|R2CH-OH|R3C-OH,,,n-BuLi,,,,NaCl,,"Hydrofluoricacid,ACS,48-/108-18-9",PhMe/n-Hexane/H2O/MeCN,OR,"Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62",75.0,0.0
NozakiHiyamaKishi,Unknown,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC.C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC,|Alkyl-Alkynyl_terminal|RCH2-COR|R_acidic-H -> Alkyl-Alkynyl|Alkynyl-CO2R|R3C-OH | spectators: Alkyl-Si*|Bn-OR|RCH2-OR,Alkyl-Alkynyl_terminal,RCH2-COR|R_acidic-H,,Alkyl-Alkynyl|Alkynyl-CO2R|R3C-OH,,,,,,,NaCl,,4111-54-0,PhMe/H2O,OR / Si*,"Organic & Biomolecular Chemistry (2013), 11(33), 5413-5424",0.0,0.0
NozakiHiyamaKishi,Unknown,O=CCCCOC(=O)c1ccccc1.C=C(Br)C[C@@H](CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)OS(=O)(=O)c1ccc(C)cc1>>C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@H](O)CCCOC(=O)c1ccccc1.C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@@H](O)CCCOC(=O)c1ccccc1,|Alkenyl-Br|Alkyl-OTs|RCH2-CHO|R_acidic-H -> R2CH-Cl|R2CH-OH | spectators: Ar-CO2R|Ar-Si*,RCH2-CHO|R_acidic-H,Alkyl-OTs|Alkenyl-Br,,R2CH-Cl|R2CH-OH,Bis(cyclopentadienyl)zirconium dichloride/Chromium(II) Chloride/NiCl2(dme),,,,,,TBAB,,20734-58-1/480444-15-3/85575-93-5,MeCN,CO2R / Si*,"Journal of the American Chemical Society (2021), 143(25), 9478-9488",47.0,0.0
NozakiHiyamaKishi,Unknown,IC(I)I.COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C>>COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO,|Alkyl-I|R2CH-CHO|R_acidic-H -> Alkenyl-I|RCH2-OH | spectators: Alkenyl-CO2R|Alkenyl-OR|Alkyl-Si*|Bn-OR|RCH2-OR,Alkyl-I,R2CH-CHO|R_acidic-H,R2CH-CHO|R_acidic-H,Alkenyl-I|RCH2-OH,Chromium(II) Chloride,,,,,,,,,THF,CO2R / OR / Si*,"Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62",0.0,0.0
NozakiHiyamaKishi,Unknown,COc1ccc(COCC=O)cc1.C=C[C@H](CCCCC)B1O[C@@H](C(OC)(c2ccccc2)c2ccccc2)[C@H](C(OC)(c2ccccc2)c2ccccc2)O1.IC(I)I>>CCCCC/C=C\C[C@H](O)/C=C/I,|Alkyl-I|Ar-Alkyl|Ar-OR|Bn-OR|R2CH-B(OR)2|R3C-OR|RCH2-CHO|R_acidic-H -> Alkenyl-I|R2CH-OH,RCH2-CHO|R_acidic-H|Ar-OR|Bn-OR,R2CH-B(OR)2|R3C-OR|Ar-Alkyl,Alkyl-I,Alkenyl-I|R2CH-OH,Chromium(II) Chloride,,Et3N,,,,Im/NH4Cl/NaCl/TBAF,,10139-51-2/79-37-8,DMSO/DCM/MeCN/H2O/THF,,"European Journal of Organic Chemistry (2015), 2015(25), 5620-5632",33.0,0.0
NozakiHiyamaKishi,Unknown,C#CCCl.COc1ccc(C(C)=O)cc1>>C#CC[C@@](C)(O)c1ccccc1,|Ar-COR|Ar-OR|Propargyl-Cl -> Ar-Alkyl|R3C-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: C-Cl; C(ar)-O | spectators: Alkyl-Alkynyl_terminal|Propargyl-H,Propargyl-Cl,Ar-COR|R_acidic-H|Ar-OR,,Ar-Alkyl|R3C-OH,,,Et3N,,,Mn,LiCl/TMSCl/NH4Cl,,10170-68-0/1345249-38-8,THF/H2O,Alkynyl_terminal,"Science (Washington, DC, United States) (2011), 333(6051), 1875-1878",75.0,0.0
NozakiHiyamaKishi,Unknown,C#CCBr.COc1ccc(C(C)=O)cc1>>C#CC[C@@](C)(O)c1ccccc1,|Ar-COR|Ar-OR|Propargyl-Br -> Ar-Alkyl|R3C-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: Br-C; C(ar)-O | spectators: Alkyl-Alkynyl_terminal|Propargyl-H,Propargyl-Br,Ar-COR|R_acidic-H|Ar-OR,,Ar-Alkyl|R3C-OH,,,Et3N,,,Mn,LiCl/TMSCl/NH4Cl,,10170-68-0/1345249-47-9,THF/H2O,Alkynyl_terminal,"Science (Washington, DC, United States) (2011), 333(6051), 1875-1878",0.0,0.0
NozakiHiyamaKishi,Unknown,C=C(C)CCl.O=C/C=C/c1ccccc1>>CC(C)=CC(=O)/C=C/c1ccccc1.C=C(C)C[C@@H](O)/C=C/c1ccccc1,|Alkenyl-CHO|RCH2-Cl -> Alkenyl-COR|R2CH-OH | bond_formed: C-C(ar); C-C; C-C; C-C; C-O | bond_formed_labeled: C-C(ar); C-C; C-C; C-C; C-O | bond_broken: C-Cl | spectators: Ar-Alkenyl,RCH2-Cl,Alkenyl-CHO,,Alkenyl-COR|R2CH-OH,,,K3PO4,,,,iPrOH,,1309435-39-9,THF,,"Chemical Communications (Cambridge, United Kingdom) (2011), 47(36), 10028-10030",13.0,0.0
NozakiHiyamaKishi,Unknown,O=Cc1ccc2c(c1)OCO2.C=C(C)CCl>>C=C(C)C[C@@H](O)c1ccc2c(c1)OCO2.CC(C)=CC(=O)c1ccc2c(c1)OCO2,|Ar-CHO|RCH2-Cl -> Ar-Alkyl | bond_formed: C-C; C-C; C-O; C-C(ar); C-C(ar) | bond_formed_labeled: C-C; C-C; C-O; C-C(ar)[Ar-Alkyl]; C-C(ar) | bond_broken: C-Cl | spectators: Ar-OR,Ar-CHO,RCH2-Cl,,Alkenyl-COR|Ar-Alkyl|R2CH-OH,,,K3PO4,,,,iPrOH,,1309435-39-9,THF,OR,"Chemical Communications (Cambridge, United Kingdom) (2011), 47(36), 10028-10030",85.0,0.0
