reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Oxidation-BAIB,Oxidation_primary_alcohol_to_aldehyde,CC(C)(C)[Si](Cl)(c1ccccc1)c1ccccc1.CC(C)(/C=C/C=C/CO)CCCO>>CC(C)(/C=C/C=C/CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CCC=O,|RCH2-OH -> RCH2-CHO | spectators: Alkenyl-Alkenyl|Ar-Si*|R3C-Alkenyl|RCH2-Alkenyl,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:intermolecular_or_multi_component,Ar-Si*,RCH2-OH,,RCH2-CHO|R_acidic-H,,,,,TEMPO/PIDA,,,,,,Si*,"Synlett (2001), (1), 87-89",98,0.0
Oxidation-BAIB,Oxidation_primary_alcohol_to_aldehyde,COc1ccccc1O[C@H](CO)C(O)c1cc(OC)c(OC)c(OC)c1>>COc1cc(C=O)cc(OC)c1OC.COc1ccccc1O.COc1ccccc1OCC=O,|Ar-Alkyl|R2CH-OH|RCH2-OH -> Ar-CHO|RCH2-CHO | spectators: Ar-OR,redox:redox_neutral | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:ring_closure_or_annulation,RCH2-OH|R2CH-OH|Ar-Alkyl,,,Ar-CHO|Ar-OH|RCH2-CHO|R_acidic-H,,DL-Proline,,,TEMPO/PIDA,,,,,MeCN,OR,"ChemSusChem (2017), 10(13), 2707-2713",79,0.0
Oxidation-BAIB,Oxidation_primary_alcohol_to_aldehyde,CC/C=C/CCO>>CCC/C=C/C=O.CC/C=C/CC=O,|RCH2-OH -> Alkenyl-CHO | spectators: RCH2-Alkenyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-OH,,,Alkenyl-CHO|RCH2-Alkenyl|RCH2-CHO|R_acidic-H,,,,,PIDA/TEMPO,,,,,DCM/Pent,,"European Journal of Organic Chemistry (2012), 2012(21), 3978-4017, S3978/1-S3978/9",2,-0.71
Oxidation-BAIB,Event:C-C,CC(O)CCCCCCCCCO>>CC(O)CCCCCCCCC#N.CC(=O)CCCCCCCCC#N,|RCH2-OH -> RCH2-CN|RCH2-COR|R_acidic-H | spectators: R2CH-OH,form:C-C | form_labeled:C-C | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intramolecular_likely,RCH2-OH,,,RCH2-CN|RCH2-COR|R_acidic-H,,,,,PIDA/TEMPO,,,,631-61-8,MeCN/H2O,OH,"Synlett (2014), 25(9), 1275-1278, 4 pp.",84,0.0
Oxidation-BAIB,Event:C-C,C[Mg]Br.COc1ccc(C=O)cc1OC>>COc1ccc(C(C)=O)cc1OC,|Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H | spectators: Ar-OR,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Alkyl-Mg*,Ar-CHO,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,OR,"RSC Advances (2014), 4(29), 15011-15013",93,0.0
Oxidation-BAIB,Event:C-C,C[Mg]Br.O=Cc1ccc2ccc3cccc4ccc1c2c34>>CC(=O)c1ccc2ccc3cccc4ccc1c2c34,|Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Alkyl-Mg*,Ar-CHO,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,,"RSC Advances (2014), 4(29), 15011-15013",73,-0.71
Oxidation-BAIB,Event:C-C,C[Mg]Br.O=Cc1ccccc1>>CC(=O)c1ccccc1,|Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Alkyl-Mg*,Ar-CHO,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,,"RSC Advances (2014), 4(29), 15011-15013",92,0.71
Oxidation-BAIB,Event:C-C,COc1ccc(C=O)cc1OC.CCCC[Mg]Br>>CCCCC(=O)c1ccc(OC)c(OC)c1,|Ar-CHO|RCH2-Mg* -> Ar-COR|R_acidic-H | spectators: Ar-OR,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-CHO,RCH2-Mg*,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,OR,"RSC Advances (2014), 4(29), 15011-15013",82,0.0
Oxidation-BAIB,Event:C-C,COc1ccc(C=O)cc1OC.CC(C)[Mg]Br>>COc1ccc(C(=O)C(C)C)cc1OC,|Ar-CHO|R2CH-Mg* -> Ar-COR|R_acidic-H | spectators: Ar-OR,form:C-C | form_labeled:C-C | break:C-Mg | redox:redox_neutral | redox_conf:0.55 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-CHO,R2CH-Mg*,,Ar-COR|R_acidic-H,,,,,PIDA,,,,,THF,OR,"RSC Advances (2014), 4(29), 15011-15013",86,0.0
Oxidation-BAIB,Oxidation_primary_alcohol_to_aldehyde,C[C@@H](CC[C@H](C)N1Cc2[nH]c3ccccc3c2C[C@H]1CO)N(Cc1ccccc1)C(=O)OC(C)(C)C>>C[C@@H](CC[C@H](C)N1Cc2[nH]c3ccccc3c2C[C@H]1C=O)NCc1ccccc1,|Ar-Alkyl|RCH2-OH -> R2CH-CHO | spectators: AromN-H|Bn-NR2|HeteroAr-H|Indole,break:C-N | redox:net_reduction | redox_conf:0.55 | q:high(1.00),RCH2-OH|Ar-Alkyl,,,Bn-NHR|R2CH-CHO|R_acidic-H,,,,,TEMPO/PIDA,,,,7226-23-5,,Indole / NR2 / HeteroAr,"Journal of Organic Chemistry (2013), 78(23), 11656-11669",95,0.0
