reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Oxidation_IBX,Event:C-C,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1cccc(Cl)c1>>COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1cccc(Cl)c1,|Alkenyl-CO2R -> Ar-COR|R2CH-CO2R|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | spectators: Ar-Alkyl|Ar-Cl|AromN-H|HeteroAr-H|Indole,HeteroAr-H,Alkenyl-CO2R|R2CH-OH,,Ar-COR|R2CH-CO2R|R_acidic-H,,,,,,,,,64297-64-9,MeCN,Indole / Cl / HeteroAr,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",87,0.0
Oxidation_IBX,Event:C-C,COc1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1>>COC(=O)C(Cc1c[nH]c2ccc(OC)cc12)C(=O)c1ccc(OC)cc1,|Alkenyl-CO2R -> Ar-COR|R2CH-CO2R|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | spectators: Ar-Alkyl|Ar-OR|AromN-H|HeteroAr-H|Indole,HeteroAr-H,Alkenyl-CO2R|R2CH-OH,,Ar-COR|R2CH-CO2R|R_acidic-H,,,,,,,,,64297-64-9,MeCN,Indole / HeteroAr / OR,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",79,0.0
Oxidation_IBX,Event:C-C,C=C(C(N)=O)C(O)c1ccccc1.COC(=O)c1cc2ccccn2c1>>COC(=O)c1cc2ccccn2c1CC(C(N)=O)C(=O)c1ccccc1,|Alkenyl-CONH2 -> Ar-COR|R2CH-CONH2|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | spectators: Ar-Alkyl|Ar-CO2R|HeteroAr-H|Pyridine,R2CH-OH|Alkenyl-CONH2,HeteroAr-H,,Ar-COR|R2CH-CONH2|R_acidic-H,,,,,,,,,64297-64-9,MeCN,Pyridine / CO2R / HeteroAr,"Journal of Organic Chemistry (2020), 85(8), 5438-5448",73,0.0
Oxidation_IBX,Event:C-C,C=C(C(=O)OC)C(O)c1ccccc1.COC(=O)c1c(-c2ccccc2)cn2ccccc12>>COC(=O)c1c(-c2ccccc2)c(CC(C(=O)OC)C(=O)c2ccccc2)n2ccccc12,|Alkenyl-CO2R -> Ar-COR|R2CH-CO2R|R_acidic-H | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | spectators: Ar-Alkyl|Ar-Ar|Ar-CO2R|HeteroAr-H|Pyridine,Alkenyl-CO2R|R2CH-OH,HeteroAr-H,,Ar-COR|R2CH-CO2R|R_acidic-H,,,,,,,,,64297-64-9,MeCN,Pyridine / CO2R / HeteroAr,"Journal of Organic Chemistry (2020), 85(8), 5438-5448",78,0.0
Oxidation_IBX,Oxidation_primary_alcohol_to_aldehyde,CC(=C/CO)/C=C1\CCCC(C(C)C)=C1CCC(C)C>>CC(=C/C=O)/C=C1\CCCC(C(C)C)=C1CCC(C)C.CC(=C\C=O)/C=C1\CCCC(C(C)C)=C1CCC(C)C,|RCH2-OH -> Alkenyl-CHO | spectators: Alkenyl-Alkenyl | events: Ann+C-C,RCH2-OH,,,Alkenyl-CHO,,,,,,,,,64297-64-9,Me2CO/Et2O,,"Journal of Medicinal Chemistry (2015), 58(19), 7763-7774",80,0.0
Oxidation_IBX,Event:C-C,C[Mg]Br.O=Cc1ccccc1C#Cc1ccccc1>>CC(=O)c1ccccc1C#Cc1ccccc1,|Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: C-Mg | spectators: Ar-Alkynyl,Alkyl-Mg*,Ar-CHO,,Ar-COR|R_acidic-H,,,,,,,NH4Cl,,64297-64-9,Et2O/THF/H2O/DMSO,,"Chemistry - A European Journal (2015), 21(2), 559-564",78,0.0
Oxidation_IBX,Event:C-C,C#Cc1cc(OC)c(OC)c(OC)c1.O=Cc1ccc(F)cc1Br>>COc1cc(C#CC(=O)c2ccc(F)cc2Br)cc(OC)c1OC,|Ar-Alkynyl_terminal|Ar-CHO -> Alkynyl-COR|Ar-Alkynyl | spectators: Ar-Br|Ar-F|Ar-OR,Ar-Alkynyl_terminal,Ar-CHO,,Alkynyl-COR|Ar-Alkynyl,,,n-BuLi,,,,NH4Cl,,64297-64-9,H2O/THF/n-Hexane/DMSO,Br / F / OR,"Chemistry - A European Journal (2016), 22(36), 12655-12659",70,0.0
Oxidation_IBX,Event:C-C,C#Cc1ccccc1.O=Cc1cccnc1Br>>O=C(C#Cc1ccccc1)c1cccnc1Br,|Ar-Alkynyl_terminal|Ar-CHO -> Alkynyl-COR|Ar-Alkynyl | bond_formed: C-C | bond_formed_labeled: C-C | spectators: Ar-Br|HeteroAr-H|Pyridine,Ar-Alkynyl_terminal,Ar-CHO,,Alkynyl-COR|Ar-Alkynyl,,,n-BuLi,,,,NH4Cl,,64297-64-9,H2O/THF/n-Hexane/DMSO,Pyridine / Br / HeteroAr,"Chemistry - A European Journal (2016), 22(36), 12655-12659",92,0.0
Oxidation_IBX,Event:C-C,C#Cc1ccc(C)cc1.O=Cc1ccccc1Br>>Cc1ccc(C#CC(=O)c2ccccc2Br)cc1,|Ar-Alkynyl_terminal|Ar-CHO -> Alkynyl-COR|Ar-Alkynyl | bond_formed: C-C | bond_formed_labeled: C-C | spectators: Ar-Alkyl|Ar-Br,Ar-Alkynyl_terminal,Ar-CHO,,Alkynyl-COR|Ar-Alkynyl,,,n-BuLi,,,,NH4Cl,,64297-64-9,H2O/THF/n-Hexane/DMSO,Br,"Chemistry - A European Journal (2016), 22(36), 12655-12659",85,0.0
Oxidation_IBX,Event:C-C,C#CC(C)(C)C.O=Cc1ccccc1Br>>CC(C)(C)C#CC(=O)c1ccccc1Br,|Alkyl-Alkynyl_terminal|Ar-CHO -> Alkyl-Alkynyl|Alkynyl-COR | spectators: Ar-Br,Alkyl-Alkynyl_terminal,Ar-CHO,,Alkyl-Alkynyl|Alkynyl-COR,,,n-BuLi,,,,NH4Cl,,64297-64-9,H2O/THF/n-Hexane/DMSO,Br,"Chemistry - A European Journal (2016), 22(36), 12655-12659",93,0.0
