reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Oxidation_of_Aromatic_Side_Chains,Multi-Event:Ann+C-O+C-C,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(Cc2cc(C)ccc2C)cc1.Cc1ccc(COO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1.Cc1ccc(COCc2ccc(C)cc2)cc1,|[] -> Ar-Alkyl|Ar-CHO|Ar-CO2H|Ar-CO2R|Bn-OH|Bn-OR | spectators: Ar-Alkyl,"sig:Ann+C-O+C-C | redox:net_oxidation | redox_conf:0.55 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+c_o_bond_formation+intramolecular_likely+ring_closure_or_annulation",Ar-Alkyl,,,Ar-Alkyl|Ar-CHO|Ar-CO2H|Ar-CO2R|Bn-OH|Bn-OR,,,,,O2,,,,,,,"Catalysis Communications (2011), 12(7), 669-672",0.0,0.0
Oxidation_of_Aromatic_Side_Chains,Multi-Event:Ann+C-C,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,|[] -> Ar-Alkyl|Ar-CHO|Ar-CO2H|Bn-OH | spectators: Ar-Alkyl,"sig:Ann+C-C | redox:redox_neutral | redox_conf:0.55 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+intramolecular_likely+ring_closure_or_annulation",Ar-Alkyl,,,Ar-Alkyl|Ar-CHO|Ar-CO2H|Bn-OH,,,,,O2,,,,110-83-8,,,"Tetrahedron Letters (2007), 48(19), 3417-3421",0.0,0.0
Oxidation_of_Aromatic_Side_Chains,Multi-Event:Ann+C-C,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1,|[] -> Ar-Alkyl|Ar-CHO|Ar-CO2H|Ar-CO2R|Bn-OH | spectators: Ar-Alkyl,"sig:Ann+C-C | redox:redox_neutral | redox_conf:0.55 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_c_bond_formation+intramolecular_likely+ring_closure_or_annulation",Ar-Alkyl,,,Ar-Alkyl|Ar-CHO|Ar-CO2H|Ar-CO2R|Bn-OH,,,,,O2,,,,110-83-8/7782-42-5,,,"Tetrahedron Letters (2007), 48(19), 3417-3421",0.0,0.0
Oxidation_of_Aromatic_Side_Chains,Benzylic_CH_oxidation_to_carboxylic_acid,Cc1ccc([N+](=O)[O-])cc1>>O=C(O)c1ccc([N+](=O)[O-])cc1,|Ar-Alkyl -> Ar-CO2H | spectators: Ar-NO2,form:C-O | form_labeled:C-O | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_o_bond_formation+intramolecular_likely,Ar-Alkyl,,,Ar-CO2H,,,,,Oxone,,,,7758-02-3/7757-83-7,DCM/H2O,NO2,"Organic Letters (2012), 14(9), 2414-2417",99.0,0.0
Oxidation_of_Aromatic_Side_Chains,Benzylic_CH_oxidation_to_carboxylic_acid,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,|Ar-Alkyl -> Ar-CO2H | spectators: Ar-OR,form:C-O | form_labeled:C-O | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_o_bond_formation+intramolecular_likely,Ar-Alkyl,,,Ar-CO2H,,,Pyridine,HCl,TBHP,,,,10025-77-1,H2O,OR,"Advanced Synthesis & Catalysis (2007), 349(6), 861-864",53.0,-0.71
Oxidation_of_Aromatic_Side_Chains,Event:C-O,N#CCc1ccccc1>>O=C(O)c1ccccc1,|Bn-CN|R_acidic-H -> Ar-CO2H,form:C-O | form_labeled:C-O | break:C-C | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_o_bond_formation+intramolecular_likely,R_acidic-H|Bn-CN,,,Ar-CO2H,,,,,TBHP,,,,151-21-3/10028-22-5,H2O,,"RSC Advances (2013), 3(15), 4903-4908",46.0,0.0
Oxidation_of_Aromatic_Side_Chains,Benzylic_CH_oxidation_to_carboxylic_acid,Cc1ccccc1C>>Cc1ccccc1C(=O)O,|Ar-Alkyl -> Ar-CO2H,form:C-O | form_labeled:C-O | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_o_bond_formation+intramolecular_likely,Ar-Alkyl,,,Ar-CO2H,Co(acac)2,,,,TBHP,,,,,Me2CO,,"Synthesis (2013), 45(5), 615-620",55.0,-1.19
Oxidation_of_Aromatic_Side_Chains,Benzylic_CH_oxidation_to_carboxylic_acid,COC(=O)c1ccc(C)cc1>>COC(=O)c1ccc(C(=O)O)cc1,|Ar-Alkyl -> Ar-CO2H | spectators: Ar-CO2R,form:C-O | form_labeled:C-O | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_o_bond_formation+intramolecular_likely,Ar-Alkyl,,,Ar-CO2H,,,,,Oxone,,,,7758-02-3/7757-83-7,DCM/H2O,CO2R,"Organic Letters (2012), 14(9), 2414-2417",99.0,0.0
Oxidation_of_Aromatic_Side_Chains,Benzylic_CH_oxidation_to_carboxylic_acid,c1ccc(CCc2ccccc2)cc1>>O=C(O)c1ccccc1,|Ar-Alkyl -> Ar-CO2H,redox:net_oxidation | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_o_bond_formation+intramolecular_likely,Ar-Alkyl,,,Ar-CO2H,,,Pyridine,HCl,TBHP/O2,,,,13682-61-6,Decane/H2O,,"Tetrahedron (2009), 65(9), 1856-1858",46.0,-1.74
Oxidation_of_Aromatic_Side_Chains,Benzylic_CH_oxidation_to_carboxylic_acid,Cc1ccc(Cl)cc1>>O=C(O)c1ccc(Cl)cc1,|Ar-Alkyl -> Ar-CO2H | spectators: Ar-Cl,form:C-O | form_labeled:C-O | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_o_bond_formation+intramolecular_likely,Ar-Alkyl,,,Ar-CO2H,,,,,Oxone,,,,7758-02-3/7757-83-7,DCM/H2O,Cl,"Organic Letters (2012), 14(9), 2414-2417",99.0,1.34
