reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(OC(C)C)c1ccccc1,|Alkyl-COR|R_acidic-H -> [] | spectators: Ar-PO2NHR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0,Alkyl-COR|R_acidic-H,Ar-PO2NHR,,None,,,,,,,,,Kieselguhr,PhH,PO2NHR,"Molecules (2007), 12(8), 1632-1640",82,0.0
Oximehy_drazone_formation,Event:C-N,CC(=NO)C(=O)c1ccccc1.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OC(C)C)c1ccccc1)c1ccccc1,|Ar-COR -> Ar-C=N | spectators: Ar-PO2NHR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:amine | amb:0,Ar-COR,Ar-PO2NHR,,Ar-C=N,,,,,,,,,Kieselguhr,PhH,PO2NHR,"Molecules (2007), 12(8), 1632-1640",78,-0.54
Oximehy_drazone_formation,Event:C-N,CC(=NO)C(=O)c1ccccc1.CCCCCOP(=O)(NN)c1ccccc1>>CCCCCOP(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,|Ar-COR -> Ar-C=N | spectators: Ar-PO2NHR,"form:C-N | form_labeled:C-N | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:O,formed_bond_element_without_product_motif:N | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:amine | amb:0",Ar-COR,Ar-PO2NHR,,Ar-C=N,,,,,,,,,Kieselguhr,PhH,PO2NHR,"Molecules (2007), 12(8), 1632-1640",94,1.28
Oximehy_drazone_formation,Event:C-N,CN(C)N.C#CCOCC#CCCCC=O>>C#CCOCC#CCCC/C=N/N(C)C,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkyl-Alkynyl_terminal|Propargyl-H|RCH2-OR,"redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | anom:mapping_unreliable_fallback_used | risk:ambident_site_selectivity,overreaction_or_chemoselectivity | ehyb:sp3 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:1",Alkyl-Hydrazine,RCH2-CHO|R_acidic-H,,CH3-NR2,,,,,,,,,,MeOH,Alkynyl_terminal / OR,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",98,0.0
Oximehy_drazone_formation,Event:C-N,CN(C)N.COC(=O)C#CCOCC#CCCCC=O>>COC(=O)C#CCOCC#CCCC/C=N/N(C)C,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkynyl-COOR|Propargyl-H|RCH2-OR,"redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | anom:mapping_unreliable_fallback_used | risk:ambident_site_selectivity,overreaction_or_chemoselectivity | ehyb:sp3 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:1",Alkyl-Hydrazine,RCH2-CHO|R_acidic-H,,CH3-NR2,,,,,,,,,,THF,COOR / OR,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",62,0.0
Oximehy_drazone_formation,Event:C-N,CN(C)N.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C>>CC(C)[Si](C#CC#CCOCC#CCCC/C=N/N(C)C)(C(C)C)C(C)C,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkynyl-Si*|Propargyl-H|RCH2-OR,"redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | anom:mapping_unreliable_fallback_used | risk:ambident_site_selectivity,overreaction_or_chemoselectivity | ehyb:sp3 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:1",Alkyl-Hydrazine,RCH2-CHO|R_acidic-H,,CH3-NR2,,,,,,,,,,MeOH,OR / Si*,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",85,0.0
Oximehy_drazone_formation,Event:C-N,CC(=NO)C(=O)c1ccccc1.CC(C)COP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OCC(C)C)c1ccccc1)c1ccccc1,|Ar-COR -> Ar-C=N | spectators: Ar-PO2NHR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | anom:mapping_unreliable_fallback_used | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:amine | amb:0,Ar-COR,Ar-PO2NHR,,Ar-C=N,,,,,,,,,Kieselguhr,PhH,PO2NHR,"Molecules (2007), 12(8), 1632-1640",85,0.26
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CCCN(CCC)P(=O)(NN)c1ccccc1>>CCCN(CCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,|Alkyl-COR -> [] | spectators: Alkyl-H|Ar-H,"form:C-N | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:O,formed_bond_element_without_product_motif:N | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",85,-0.71
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C,|Alkyl-COR|R_acidic-H -> [] | spectators: Alkyl-H|Ar-H,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0,Alkyl-COR|R_acidic-H,Ar-H,,None,,,,,,,,,Kieselguhr,PhH,,"Molecules (2007), 12(8), 1632-1640",76,-0.71
Oximehy_drazone_formation,Event:C-N,CC(=O)C(C)=NO.CCCCOP(=O)(NN)c1ccccc1>>CCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,|Alkyl-COR -> [] | spectators: Ar-PO2NHR,"form:C-N | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:medium(0.50) | q_reason:bond_key_consistency_penalty,broken_bond_element_without_reactant_motif:O,formed_bond_element_without_product_motif:N | kinds:c_n_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-O | ringd:0 | risk:overreaction_or_chemoselectivity | ehyb:sp3 | eenv:ewg_activated | nclass:amine+carbon_nucleophile_like | amb:0",Alkyl-COR|R_acidic-H,Ar-PO2NHR,,None,,,,,,,,,Kieselguhr,PhH,PO2NHR,"Molecules (2007), 12(8), 1632-1640",73,-1.15
