reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
PaalKnorr_synthesis,Michael_addition,c1ccc2[nH]ccc2c1.CC(=O)C(=CC(=O)c1ccccc1)C(C)=O>>CC(=O)c1c(C)oc(-c2ccccc2)c1-c1c[nH]c2ccccc12.CC(=O)C(C(C)=O)C(C(=O)c1ccccc1)c1c[nH]c2ccccc12,|Alkenyl-COR -> Ar-Alkyl | spectators: AromN-H|HeteroAr-H|Indole|R_acidic-H,HeteroAr-H,Alkenyl-COR,,Ar-Alkyl|Ar-Ar|Ar-COR|Furan|HeteroAr-H|R2CH-COR|R_acidic-H,,,,,,,,,,MeOH,Indole / AromN / HeteroAr,"Heterocycles (2017), 94(8), 1479-1505",16,0.0
PaalKnorr_synthesis,Arylation_acidic_C_H,CC(=O)CCC(C)=O.NCc1ccc(F)cc1>>Cc1ccc(C)n1Cc1ccccc1,|Ar-F|Bn-NH2|RCH2-COR|R_acidic-H -> Ar-Alkyl,RCH2-COR|R_acidic-H,Ar-F|Bn-NH2,,Alkyl-AromN|Ar-Alkyl|HeteroAr-H,,,,,,,,,1698053-05-2,,,"Tetrahedron (2015), 71(18), 2595-2602",95,0.0
PaalKnorr_synthesis,Unknown,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccccc1>>O=C(O)C(=O)c1ccccc1.N#Cc1c(-c2ccccc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccccc1,|Ar-COR|RCH2-CN|R_acidic-H -> Ar-Alkenyl | bond_formed: C-C(ar); C(ar)-O; C-O; C-O | bond_formed_labeled: C-C(ar)[Ar-Alkenyl]; C(ar)-O; C-O; C-O,Ar-COR|RCH2-CN|R_acidic-H,Ar-COR,,Acyl-CO2H|Alkenyl-CONH2|Alkenyl-OH|Ar-Alkenyl|Ar-Ar|Furan|HeteroAr-CN,,,Et3N,,TBHP,,,,,PhMe/Decane,COR,"ACS Omega (2018), 3(5), 5445-5452",76,0.0
PaalKnorr_synthesis,Unknown,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccc(Cl)cc1>>N#Cc1c(-c2ccccc2)oc(-c2ccc(Cl)cc2)c1/C(C(N)=O)=C(/O)c1ccccc1,|Ar-COR -> Ar-Alkenyl|Ar-Ar | bond_formed: C-C; C-C; C-C(ar); C(ar)-O; C(ar)-C(ar) | bond_formed_labeled: C-C; C-C; C-C(ar)[Ar-Alkenyl]; C(ar)-O; C(ar)-C(ar)[Ar-Ar] | spectators: Ar-Cl,Ar-COR|RCH2-CN|R_acidic-H,Ar-COR,,Alkenyl-CONH2|Alkenyl-OH|Ar-Alkenyl|Ar-Ar|Furan|HeteroAr-CN,,,Et3N,,TBHP,,,,,PhMe/Decane,Cl,"ACS Omega (2018), 3(5), 5445-5452",70,0.0
PaalKnorr_synthesis,Unknown,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccc(Br)cc1>>N#Cc1c(-c2ccccc2)oc(-c2ccc(Br)cc2)c1/C(C(N)=O)=C(/O)c1ccccc1,|Ar-COR|RCH2-CN|R_acidic-H -> Ar-Alkenyl | spectators: Ar-Br,Ar-COR|RCH2-CN|R_acidic-H,Ar-COR,,Alkenyl-CONH2|Alkenyl-OH|Ar-Alkenyl|Ar-Ar|Furan|HeteroAr-CN,,,Et3N,,TBHP,,,,,PhMe/Decane,Br,"ACS Omega (2018), 3(5), 5445-5452",72,0.0
PaalKnorr_synthesis,Unknown,N#CCC(=O)c1ccccc1.Cc1ccc(C(=O)C=O)cc1C>>Cc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1C,|Ar-COR -> Ar-Alkenyl|Ar-Ar | bond_formed: C(ar)-O; C(ar)-C(ar); C-C(ar); C-C; C-C | bond_formed_labeled: C(ar)-O; C(ar)-C(ar)[Ar-Alkenyl]; C-C(ar)[Ar-Ar]; C-C; C-C | spectators: Ar-Alkyl,Ar-COR|RCH2-CN|R_acidic-H,Ar-COR,,Alkenyl-CONH2|Alkenyl-OH|Ar-Alkenyl|Ar-Ar|Furan|HeteroAr-CN,,,Et3N,,TBHP,,,,,PhMe/Decane,,"ACS Omega (2018), 3(5), 5445-5452",74,0.0
PaalKnorr_synthesis,Unknown,N#CCC(=O)c1ccccc1.Cc1ccc(C(=O)C=O)cc1>>Cc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1,|Ar-COR|RCH2-CN|R_acidic-H -> Alkenyl-CONH2|Ar-Alkenyl|Ar-Ar | spectators: Ar-Alkyl,Ar-COR|RCH2-CN|R_acidic-H,Ar-COR,,Alkenyl-CONH2|Alkenyl-OH|Ar-Alkenyl|Ar-Ar|Furan|HeteroAr-CN,,,Et3N,,TBHP,,,,,PhMe/Decane,,"ACS Omega (2018), 3(5), 5445-5452",73,0.0
PaalKnorr_synthesis,Unknown,N#CCC(=O)c1ccccc1.CCc1ccc(C(=O)C=O)cc1>>CCc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1,|Ar-COR|RCH2-CN|R_acidic-H -> Ar-Alkenyl | spectators: Ar-Alkyl,Ar-COR|RCH2-CN|R_acidic-H,Ar-COR,,Alkenyl-CONH2|Alkenyl-OH|Ar-Alkenyl|Ar-Ar|Furan|HeteroAr-CN,,,Et3N,,TBHP,,,,,PhMe/Decane,,"ACS Omega (2018), 3(5), 5445-5452",75,0.0
PaalKnorr_synthesis,Unknown,O=CC(=O)c1ccccc1.Cc1ccc(C(=O)CC#N)cc1>>Cc1ccc(/C(O)=C(/C(N)=O)c2c(-c3ccccc3)oc(-c3ccc(C)cc3)c2C#N)cc1,|Ar-COR|RCH2-CN|R_acidic-H -> Alkenyl-CONH2|Ar-Alkenyl|Ar-Alkyl | spectators: Ar-Alkyl,Ar-COR,Ar-COR|RCH2-CN|R_acidic-H,,Alkenyl-CONH2|Alkenyl-OH|Ar-Alkenyl|Ar-Alkyl|Ar-Ar|Furan|HeteroAr-CN,,,Et3N,,TBHP,,,,,PhMe/Decane,,"ACS Omega (2018), 3(5), 5445-5452",72,-0.71
PaalKnorr_synthesis,Unknown,O=CC(=O)c1ccccc1.N#CCC(=O)c1ccc(Br)cc1>>N#Cc1c(-c2ccc(Br)cc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccc(Br)cc1,|Ar-COR -> Ar-Alkenyl|Ar-Ar | bond_formed: C-C; C-C; C-C(ar); C(ar)-O; C(ar)-C(ar); C(ar)-C(ar) | bond_formed_labeled: C-C; C-C; C-C(ar)[Ar-Alkenyl]; C(ar)-O; C(ar)-C(ar)[Ar-Ar]; C(ar)-C(ar) | spectators: Ar-Br,Ar-COR,Ar-COR|RCH2-CN|R_acidic-H,,Alkenyl-CONH2|Alkenyl-OH|Ar-Alkenyl|Ar-Ar|Ar-Br|Furan|HeteroAr-CN,,,Et3N,,TBHP,,,,,PhMe/Decane,Br,"ACS Omega (2018), 3(5), 5445-5452",70,0.0
