reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Passerini_3component,Baeyer_villiger_oxidation,CC(C)C(=O)O.O=C(O)CNC(=O)OCc1ccccc1.CC(=O)C=[N+]=[N-].[C-]#[N+]CCCC>>CCCCNC(=O)C(C)(COC(=O)C(C)C)OC(=O)CNC(=O)OCc1ccccc1,|Alkyl-COR|Alkyl-H|R2CH-CO2H|RCH2-CO2H|R_acidic-H -> R2CH-CO2R|RCH2-CO2R | spectators: Ar-Alkyl | events: C-O+C-C,R2CH-CO2H|R_acidic-H,RCH2-CO2H|R_acidic-H,Alkyl-COR|R_acidic-H,Alkyl-NHCOR|R2CH-CO2R|R3C-CONHR|RCH2-CO2R,Cu(acac)2,,,,,,,,,PhMe,,"Tetrahedron Letters (2008), 49(41), 5983-5985",71,0.0
Passerini_3component,Baeyer_villiger_oxidation,CC(=O)O.[C-]#[N+]C(C)(C)C.[N-]=[N+]=CC(=O)CCc1ccccc1>>CC(=O)OCC(CCc1ccccc1)(OC(C)=O)C(=O)NC(C)(C)C,|Alkyl-CO2H|Alkyl-H|RCH2-COR -> Alkyl-CO2R | spectators: Ar-Alkyl|R_acidic-H | events: C-O+C-C,Alkyl-CO2H,Alkyl-H,RCH2-COR,Alkyl-CO2R|Alkyl-NHCOR|R3C-CONHR,Cu(acac)2,,,,,,,,,PhMe,,"Tetrahedron Letters (2008), 49(41), 5983-5985",94,0.0
Passerini_3component,Baeyer_villiger_oxidation,CC(C)C(=O)O.CC(=O)C=[N+]=[N-].O=C(O)CNC(=O)OCc1ccccc1.[C-]#[N+]CCCC>>CCCCNC(=O)C(C)(COC(=O)C(C)C)OC(=O)CNC(=O)OCc1ccccc1,|Alkyl-COR|Alkyl-H|R2CH-CO2H|RCH2-CO2H|R_acidic-H -> R2CH-CO2R|RCH2-CO2R | spectators: Ar-Alkyl | events: C-O+C-C,R2CH-CO2H|R_acidic-H,Alkyl-COR|R_acidic-H,RCH2-CO2H|R_acidic-H,Alkyl-NHCOR|R2CH-CO2R|R3C-CONHR|RCH2-CO2R,Cu(acac)2,,,,,,,,,PhMe,,"Journal of Organic Chemistry (2008), 73(24), 9720-9726",71,0.0
Passerini_3component,Baeyer_villiger_oxidation,O=C(O)c1ccccc1.CC(=O)O.[C-]#[N+]C1CCCCC1.CCCCCCCC(=O)C=[N+]=[N-]>>CCCCCCCC(COC(=O)c1ccccc1)(OC(C)=O)C(=O)NC1CCCCC1,|Alkyl-CO2H|Alkyl-H|Ar-CO2H|RCH2-COR|R_acidic-H -> Alkyl-CO2R|Ar-CO2R | events: C-O+C-C,Ar-CO2H,Alkyl-CO2H|R_acidic-H,Alkyl-H,Alkyl-CO2R|Alkyl-NHCOR|Ar-CO2R|R3C-CONHR,Cu(acac)2,,,,,,,,,PhMe,,"Tetrahedron Letters (2008), 49(41), 5983-5985",80,0.0
Passerini_3component,Multi-Event:C-N+C-C,NCc1ccc(Cl)cc1.CCC=O.O=[N+]([O-])c1ccc(O)c(Cl)c1.[C-]#[N+]C1CCCCC1>>CCC(C(=O)NC1CCCCC1)N(Cc1ccc(Cl)cc1)c1ccc([N+](=O)[O-])cc1Cl,|Ar-OH|Bn-NH2|RCH2-CHO -> Alkyl-NHCOR|Ar-NR2 | bond_formed: C-C; C-N; C(ar)-N | bond_formed_labeled: C-C; C-N; C(ar)-N[Ar-NR2] | bond_broken: C(ar)-O | spectators: Ar-Cl|Ar-NO2|R_acidic-H | events: C-N+C-C,Bn-NH2,RCH2-CHO,Ar-OH,Alkyl-NHCOR|Ar-NR2|R2CH-CONHR,,,,,,,,,,MeOH,Cl / NO2,"Journal of Organic Chemistry (2007), 72(11), 4169-4180",95,0.0
Passerini_3component,Multi-Event:C-N+C-C,O=[N+]([O-])c1ccccc1O.CCC=O.NCc1ccco1.[C-]#[N+]C1CCCCC1>>CCC(C(=O)NC1CCCCC1)N(Cc1ccco1)c1ccccc1[N+](=O)[O-],|Ar-OH|Bn-NH2|RCH2-CHO -> Alkyl-NHCOR|Ar-NR2 | bond_formed: C-C; C-N; C(ar)-N | bond_formed_labeled: C-C; C-N; C(ar)-N[Ar-NR2] | bond_broken: C(ar)-O | spectators: Ar-NO2|Furan|HeteroAr-H|R_acidic-H | events: C-N+C-C,Ar-OH,RCH2-CHO,Bn-NH2,Alkyl-NHCOR|Ar-NR2|R2CH-CONHR,,,,,,,,,,MeOH,Furan / HeteroAr / NO2,"Journal of Organic Chemistry (2007), 72(11), 4169-4180",97,0.0
Passerini_3component,Multi-Event:C-N+C-C,O=[N+]([O-])c1ccccc1O.COCCN.CCC=O.[C-]#[N+]CCc1ccc(OC)c(OC)c1>>CCC(C(=O)NCCc1ccc(OC)c(OC)c1)N(CCOC)c1ccccc1[N+](=O)[O-],|Ar-OH|RCH2-CHO|RCH2-NH2 -> Alkyl-NHCOR|Ar-NR2 | bond_formed: C-N; C-C; C(ar)-N | bond_formed_labeled: C-N; C-C; C(ar)-N[Ar-NR2] | bond_broken: C(ar)-O | spectators: Ar-Alkyl|Ar-NO2|Ar-OR|RCH2-OR|R_acidic-H | events: C-N+C-C,Ar-OH,RCH2-NH2,RCH2-CHO,Alkyl-NHCOR|Ar-NR2|R2CH-CONHR,,,,,,,,,,MeOH,NO2 / OR,"Journal of Organic Chemistry (2007), 72(11), 4169-4180",71,0.0
Passerini_3component,Multi-Event:C-N+C-C,O=[N+]([O-])c1ccccc1O.CCC=O.[C-]#[N+]C1CCCCC1.C#CCN>>C#CCN(c1ccccc1[N+](=O)[O-])C(CC)C(=O)NC1CCCCC1,|Alkyl-H|Ar-OH|Propargyl-NH2|RCH2-CHO -> Alkyl-NHCOR|Ar-NR2 | spectators: Alkyl-Alkynyl_terminal|Ar-NO2|Propargyl-H|R_acidic-H | events: C-N+C-C,Ar-OH,RCH2-CHO,Alkyl-H,Alkyl-NHCOR|Ar-NR2|R2CH-CONHR,,,,,,,,,,MeOH,Alkynyl_terminal / NO2,"Journal of Organic Chemistry (2007), 72(11), 4169-4180",71,0.0
Passerini_3component,Reduction_carbonyl_to_alcohol,O=C(O)Cc1ccccc1.[C-]#[N+]Cc1ccc(OC)cc1.O=CCCOCc1ccccc1>>COc1ccc(CNC(=O)C(CCO)OC(=O)Cc2ccccc2)cc1,|RCH2-CHO -> RCH2-OH | bond_formed: C-C | bond_formed_labeled: C-C | spectators: Ar-Alkyl|Ar-OR|R_acidic-H,RCH2-CO2H|Ar-Alkyl,Ar-Alkyl,RCH2-CHO|Bn-OR,Alkyl-NHCOR|Bn-CO2R|R2CH-CONHR|RCH2-OH,,,,,,H2,,,7440-05-3,EtOH,OR,"European Journal of Organic Chemistry (2018), 2018(25), 3280-3290",99,0.0
Passerini_3component,Amide_formation,CC(C)=O.[C-]#[N+]C1CCCCC1.COc1ccc(C(=O)CBr)cc1.C[C@H](NC(=S)NC(=O)c1ccccc1)C(=O)O>>COc1ccc(-c2csc(=NC(=O)c3ccccc3)n2C(C)C(=O)OC(C)(C)C(=O)NC2CCCCC2)cc1,|Alkyl-COR|Alkyl-H|Alkyl-Thiourea|Ar-CONHR|Ar-COR|R2CH-CO2H|RCH2-Br|R_acidic-H -> Alkyl-NHCOR | spectators: Ar-OR | events: Amid+Ann+LGDisp+C-N,Alkyl-COR|R_acidic-H,Alkyl-H,Ar-COR|R_acidic-H|RCH2-Br,Alkyl-AromN|Alkyl-NHCOR|Ar-Ar|HeteroAr-H|R2CH-CO2R|R3C-CONHR|Thiazole,,,,,,,,,343851-31-0,H2O,OR,"Letters in Organic Chemistry (2016), 13(2), 100-106",93,0.0
