reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Reduction-Borane,Unknown,O=C(C[C@@H]1C=CCC1)C1=CCCC12OCCO2>>O=C1CCC=C1[C@H](O)C[C@@H]1C=CCC1,|RCH2-OR -> R2CH-OH | spectators: Alkenyl-COR|R_acidic-H,RCH2-OR,,,R2CH-OH,,,,HCl,,,,,112022-83-0/14044-65-6,PhMe/THF/MeOH/H2O,COR,"Journal of the American Chemical Society (2006), 128(22), 7315-7319",60.0,0.71
Reduction-Borane,Unknown,C=CCCCC(=O)C1=CCCCC12OCCO2>>C=CCCCC(O)C1=CCCCC1=O,|RCH2-OR -> R2CH-OH | bond_broken: C-O | spectators: Alkenyl-COR|R_acidic-H,RCH2-OR,,,R2CH-OH,,,,HCl,,NaBH4,,,"Cerium(III)chloride,anhydrous,(REO)",MeOH/H2O,COR,"Journal of the American Chemical Society (2006), 128(22), 7315-7319",77.0,0.0
Reduction-Borane,Unknown,O=C(C[C@@H]1C=CCC1)C1=CCCC12OCCO2>>O=C1CCC=C1[C@@H](O)C[C@@H]1C=CCC1,|RCH2-OR -> R2CH-OH | spectators: Alkenyl-COR|R_acidic-H,RCH2-OR,,,R2CH-OH,,,,HCl,,,,,112022-81-8/14044-65-6,PhMe/THF/MeOH/H2O,COR,"Journal of the American Chemical Society (2006), 128(22), 7315-7319",55.0,-0.71
Reduction-Borane,Reduction_carbonyl_to_alcohol,C#CC[C@@]1(C=O)CCC(O[Si](C(C)C)(C(C)C)C(C)C)=C[C@@H]1CO[Si](C)(C)C(C)(C)C>>C#CC[C@@]1(CO)CCC(=O)C[C@@H]1CO,|Alkyl-Si*|R3C-CHO -> RCH2-OH | bond_broken: O-Si | spectators: Alkyl-Alkynyl_terminal|Propargyl-H,R3C-CHO|Alkyl-Si*,,,RCH2-COR|RCH2-OH|R_acidic-H,,,,,,NaBH4,TBAF,,,MeOH/THF,Alkynyl_terminal,"Organic Letters (2008), 10(17), 3877-3878",84.0,0.0
Reduction-Borane,Reductive_amination,O=C(CBr)c1ccc2ccccc2c1.CC(C)N>>CC(C)NC[C@H](O)c1ccc2ccccc2c1,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | events: LGDisp+C-N,Ar-COR|R_acidic-H|RCH2-Br,R2CH-NH2,,Ar-Alkyl|R2CH-NHR|R2CH-OH|RCH2-NHR,,,NaOH,,,,TMB,,14044-65-6/13292-87-0/640-68-6,THF/H2O,,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",78.0,0.71
Reduction-Borane,Reductive_amination,O=C(CBr)c1ccc2ccccc2c1.CC(C)N>>CC(C)NC[C@@H](O)c1ccc2ccccc2c1,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | events: LGDisp+C-N,Ar-COR|R_acidic-H|RCH2-Br,R2CH-NH2,,Ar-Alkyl|R2CH-NHR|R2CH-OH|RCH2-NHR,,,NaOH,,,,TMB,,14044-65-6/13292-87-0/72-18-4,THF/H2O,,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",75.0,-0.71
Reduction-Borane,Reductive_amination,O=C(CBr)c1ccc(Cl)c(Cl)c1.CC(C)N>>CC(C)NC[C@H](O)c1ccc(Cl)c(Cl)c1,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-Cl | events: LGDisp+C-N,Ar-COR|R_acidic-H|RCH2-Br,R2CH-NH2,,Ar-Alkyl|R2CH-NHR|R2CH-OH|RCH2-NHR,,,NaOH,,,,TMB,,14044-65-6/13292-87-0/640-68-6,THF/H2O,Cl,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",80.0,-0.71
Reduction-Borane,Reductive_amination,O=C(CBr)c1ccc(Cl)c(Cl)c1.CC(C)N>>CC(C)NC[C@@H](O)c1ccc(Cl)c(Cl)c1,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-Cl | events: LGDisp+C-N,Ar-COR|R_acidic-H|RCH2-Br,R2CH-NH2,,Ar-Alkyl|R2CH-NHR|R2CH-OH|RCH2-NHR,,,NaOH,,,,TMB,,14044-65-6/13292-87-0/72-18-4,THF/H2O,Cl,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",84.0,0.71
Reduction-Borane,Reductive_amination,O=C(CBr)c1ccc([N+](=O)[O-])cc1.CC(C)N>>CC(C)NC[C@H](O)c1ccc([N+](=O)[O-])cc1,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-NO2 | events: LGDisp+C-N,Ar-COR|R_acidic-H|RCH2-Br,R2CH-NH2,,Ar-Alkyl|R2CH-NHR|R2CH-OH|RCH2-NHR,,,NaOH,,,,TMB,,14044-65-6/13292-87-0/640-68-6,THF/H2O,NO2,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",82.0,0.0
Reduction-Borane,Reduction_carbonyl_to_alcohol,CC(C)(C)[Si](C)(C)OCC(=O)c1ccccc1>>OC[C@@H](O)c1ccccc1,|Alkyl-Si*|Ar-COR -> R2CH-OH|RCH2-OH | bond_broken: O-Si,Ar-COR|R_acidic-H|Alkyl-Si*,,,Ar-Alkyl|R2CH-OH|RCH2-OH,,,,,,,TBAF,,14044-65-6/110205-59-9,MeOH/THF,,"Journal of Organic Chemistry (1998), 63(15), 5280-5282",94.0,0.0
