reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Reduction_LAH_LiAlH4,Event:C-C,CC1(C)O[C@@H]2[C@H](O1)[C@H]1OC(C)(C)O[C@H]1O[C@@H]2[C@@H](O)CO.CC1(C)O[C@@H]2[C@H](O1)[C@H]1OC(C)(C)O[C@H]1O[C@@H]2[C@H](O)CO>>OCC(O)C(O)C(O)C(O)C(O)CO,|R2CH-OR|R3C-OR -> R2CH-OH | spectators: R2CH-OH|RCH2-OH,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C-C / -C-O | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), ring=-6 | alerts:risk=overreaction_or_chemoselectivity",R3C-OR|R2CH-OR,R3C-OR|R2CH-OR,,R2CH-OH,,,,,,NaBH4,TFA,,,H2O,OH,"Carbohydrate Research (1986), 15035-51",54,0.0
Reduction_LAH_LiAlH4,Reduction_carbonyl_to_alcohol,COc1cc2c3c(c1)C(=O)CCC3N(S(=O)(=O)C(F)(F)F)CC2>>O=S(=O)(N1CCc2cc(O)cc3c2C1CCC3O)C(F)(F)F,|Ar-COR|Ar-OR -> Ar-OH|R2CH-OH | spectators: Alkyl-F|Alkyl-N*|Alkyl-SO2NR2|Ar-Alkyl,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C / -C-O | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), mol=intramolecular | alerts:risk=overreaction_or_chemoselectivity",Ar-COR|R_acidic-H|Ar-OR,,,Ar-Alkyl|Ar-OH|R2CH-OH,Silver nitrate,,NaOH,BBr3,,LiAlH4,,,,Et2O/THF/EtOAc/DCM/H2O,F / N* / SO2NR2,"Journal of Organic Chemistry (2000), 65(20), 6743-6748",58,0.0
Reduction_LAH_LiAlH4,Reductive_amination,NCC(=O)c1ccccc1>>C[C@H](O)c1ccccc1N,|Ar-COR|RCH2-NH2 -> Ar-NH2,"sig:C-N+C-O+C-C | bonds:+C(ar)-N;+C(ar)-O;+C-C(ar) / -C(ar)-C(ar);-C-C;-C-N;-C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00), mol=intramolecular | alerts:risk=overreaction_or_chemoselectivity",Ar-COR|RCH2-NH2|R_acidic-H,,,Ar-Alkyl|Ar-NH2|R2CH-OH,,,NaOH,,,,,,214000-21-2/lithium borohydride,THF/H2O,,"Bulletin of the Chemical Society of Japan (1999), 72(5), 1109-1113",100,0.0
Reduction_LAH_LiAlH4,Reduction_carbonyl_to_alcohol,O=Cc1ccccc1>>[2H]C(O)c1ccccc1,|Ar-CHO -> Bn-OH,"sig:C-O+C-C | bonds:+C(ar)-H;+C(ar)-O;+C-C(ar) / -C(ar)-C(ar);-C-O | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), mol=intramolecular | alerts:risk=overreaction_or_chemoselectivity",Ar-CHO,,,Bn-OH,,,,,,,NH4Cl,,sodium borodeuteride/1455-13-6,H2O,,"ACS Central Science (2017), 3(4), 314-321",83,-0.7
Reduction_LAH_LiAlH4,Reduction_carbonyl_to_alcohol,CCC[C@@H]1[C@@H]2[C@H]1[C@]1(C)O[C@H]2C(=O)C12CC2>>C[C@]12O[C@H]([C@@H]3[C@@H](C4CC4)[C@@H]31)[C@H](O)C21CC1,|R3C-COR -> R2CH-OH | spectators: R3C-OR,"sig:Ann+C-C | bonds:+C-C | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), mol=intramolecular, ring=+1 | alerts:anom=multi_transform_record_possible",R3C-COR|R_acidic-H,,,R2CH-OH,,,,,,LiAlH4,NH4Cl,,,Et2O/THF/H2O,OR,"Russian Journal of Organic Chemistry (2009), 45(8), 1164-1167",80,0.0
Reduction_LAH_LiAlH4,Reduction_carbonyl_to_alcohol,CC(=O)C(C)Sc1ccccc1>>CC(O)CCSc1ccccc1,|R2CH-COR -> R2CH-OH | spectators: Ar-SR,"kinds:c_c_bond_formation+intramolecular_likely | bonds:+C-C(ar) | summary:fam=bond_formation, redox=neutral, q=high(1.00), mol=intramolecular",R2CH-COR|R_acidic-H,,,R2CH-OH,,,,,,NaBH4,,,,MeOH,SR,"International Journal of Chemical Kinetics (2008), 40(2), 51-58",60,0.0
Reduction_LAH_LiAlH4,Reduction_carbonyl_to_alcohol,CC(C)C1=CC[C@@H](C)CC1=O>>CC(C)[C@H]1[C@H](O)C[C@H](C)C[C@@H]1O.CC(C)[C@H]1[C@H](O)C[C@H](C)C[C@H]1O,|Alkenyl-COR|R2CH-Alkenyl|RCH2-Alkenyl -> R2CH-OH,"kinds:ring_closure_or_annulation | bonds:-C-C | summary:fam=annulation, redox=neutral, q=high(1.00), mol=unknown, ring=+1",Alkenyl-COR|R_acidic-H|RCH2-Alkenyl|R2CH-Alkenyl,,,R2CH-OH,,,NaOH,BF3-Et2O,,NaBH4,,,Hydrogen peroxide,H2O/THF,,"Chemistry of Natural Compounds (2013), 48(6), 978-980",56,0.0
Reduction_LAH_LiAlH4,Reduction_carbonyl_to_alcohol,CC1(C)[C@H]2CC=C(C=O)[C@@H]1C2>>CC1(C)[C@H]2C[C@H](O)[C@@H](CO)[C@@H]1C2,|Alkenyl-CHO|R2CH-Alkenyl|RCH2-Alkenyl -> R2CH-OH|RCH2-OH,"kinds:c_o_bond_formation+intramolecular_likely | bonds:+C-O | summary:fam=bond_formation, redox=net_oxidation, q=high(1.00), mol=intramolecular | alerts:risk=overreaction_or_chemoselectivity",Alkenyl-CHO|RCH2-Alkenyl|R2CH-Alkenyl,,,R2CH-OH|RCH2-OH,,,NaOH,BF3-Et2O,,,,,Hydrogen peroxide,H2O/THF,,"Tetrahedron: Asymmetry (2007), 18(23), 2727-2737",78,0.0
Reduction_LAH_LiAlH4,Reduction_carbonyl_to_alcohol,O=C(C#Cc1ccccc1)c1ccccc1>>OC(C=Cc1ccccc1)c1ccccc1,|Alkynyl-COR|Ar-Alkynyl -> R2CH-OH,"sig:C-O+C-C | bonds:+C(ar)-O;+C-C(ar) / -C(ar)-C(ar);-C-O | summary:fam=bond_formation, redox=neutral, q=high(1.00), mol=intramolecular | alerts:risk=overreaction_or_chemoselectivity",Alkynyl-COR|Ar-Alkynyl,,,Ar-Alkenyl|Ar-Alkyl|R2CH-Alkenyl|R2CH-OH,,,,,,LiAlH4,,,,MeOH/Et2O,,"Chemical Communications (Cambridge, United Kingdom) (2018), 54(40), 5134-5137",91,0.0
Reduction_LAH_LiAlH4,Reduction_carbonyl_to_alcohol,CC(C)(C)[Si](C)(C)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C>>CC(C)(C)[Si](C)(C)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@@H]4[C@H]3CC[C@]12C,|Alkenyl-COR|R2CH-Alkenyl|RCH2-Alkenyl|R_acidic-H -> R2CH-OH | spectators: Alkyl-O*|Alkyl-Si*,"summary:redox=uncertain, q=high(0.75), mol=unknown",Alkenyl-COR|R_acidic-H|RCH2-Alkenyl|R2CH-Alkenyl,,,R2CH-OH,,,NH3,,,,,,"Lithiumgranules,1-6mm(0.04-0.2in),(metalsbasis)",MeOH/Et2O,O* / Si*,"Australian Journal of Chemistry (2003), 56(8), 829-838",65,0.0
