reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Reduction_NaBHOAc3_NaBH3CN,Reductive_amination,CC1(C)OCC(=O)CO1.Cc1c(-c2noc(-c3cnc(NC(C)C)c(C#N)c3)n2)ccc2c1CCNCC2.Cl>>Cc1c(-c2noc(-c3cnc(NC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)CC2,|Inorganic|RCH2-COR|RCH2-NHR|RCH2-OR|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Ar-Alkyl|Ar-Ar|Ar-NHR|HeteroAr-CN|HeteroAr-H|Pyridine,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component,RCH2-COR|R_acidic-H|RCH2-OR,RCH2-NHR,Inorganic,R2CH-NR2|RCH2-NR2|RCH2-OH,,,,HCl,,NaBHOAc3-80%,,,,DCM/THF/H2O,Pyridine / NHR / CN / HeteroAr,"Journal of Medicinal Chemistry (2015), 58(20), 8236-8256",51,0.0
Reduction_NaBHOAc3_NaBH3CN,Acylation_amide,COC(=O)C[C@H](N)C(=O)OC.Cl.COC(=O)COc1cccc(C=O)c1.O=C(Cl)c1ccccc1[N+](=O)[O-].BrCc1ccccc1>>COC(=O)COc1cccc(CN2C(=O)c3ccccc3N(Cc3ccccc3)C(=O)[C@@H]2CC(=O)OC)c1,|Ar-CHO|Ar-COCl|Ar-NO2|Bn-Br|Inorganic|R2CH-CO2R|R2CH-NH2 -> Ar-CONR2|Ar-NRCOR | spectators: Ar-OR|RCH2-CO2R|R_acidic-H,"sig:Ann+LGDisp+C-N | redox:net_reduction | redox_conf:0.85 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation",R2CH-CO2R|R2CH-NH2,Inorganic,Ar-CHO,Ar-CONR2|Ar-NRCOR|Bn-LactamN,,,NaOAc/K2CO3/Cs2CO3/Na2CO3,,,NaBHOAc3-80%/Zn,TBAI/AcOH/TFA/NaTFA,,,DCM/MeCN/DMF/MeOH,CO2R / OR,"Journal of Combinatorial Chemistry (2004), 6(1), 99-104",88,0.0
Reduction_NaBHOAc3_NaBH3CN,Alkyl_Nucleophilic_Substitution,BrC1CCCCC1.COc1ccc(Cn2c(C3CCCNC3)nc3ccccc32)cc1>>COc1ccc(Cn2c(C3CCCN(C4CCCCC4)C3)nc3ccccc32)cc1,|R2CH-Br|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | spectators: Alkyl-AromN|Ar-Alkyl|Ar-OR|HeteroAr-H,sig:LGDisp+C-N | form:C-N | form_labeled:C-N | break:Br-C | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,R2CH-Br,RCH2-NHR,,R2CH-NR2|RCH2-NR2,,,Et3N,,,,,,,THF,AromN / HeteroAr / OR,"Bioorganic & Medicinal Chemistry Letters (2010), 20(9), 2916-2919",90,0.0
Reduction_NaBHOAc3_NaBH3CN,Multi-Event:LGDisp+C-N,O=Cc1ccccc1.CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1N.CI>>CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1[N+](C)(C)Cc1ccccc1.[I-],|Ar-CHO|CH3-I|R2CH-NH2 -> Ar-Alkyl|Inorganic,sig:LGDisp+C-N | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-CHO,R2CH-NH2,CH3-I,Ar-Alkyl|Inorganic,,,K2CO3,,,NaBH4,,,,H2O/MeOH/THF,,"European Journal of Organic Chemistry (2014), 2014(4), 802-809",64,0.0
Reduction_NaBHOAc3_NaBH3CN,Alkyl_Nucleophilic_Substitution,COC(=O)COc1cccc(C=O)c1.COC(=O)[C@@H](N)C(C)C.Cl.O=C(Cl)c1ccccc1[N+](=O)[O-].BrCc1ccccc1.CO>>COC(=O)COc1cccc(CN2C(=O)c3ccccc3N(Cc3ccccc3)C(=O)[C@@H]2C(C)C)c1,|Ar-CHO|Ar-COCl|Ar-NO2|Bn-Br|CH3-OH|Inorganic|R2CH-CO2R|R2CH-NH2 -> Ar-NRCOR | spectators: Ar-OR|RCH2-CO2R|R_acidic-H,"sig:Ann+LGDisp+C-N | redox:net_reduction | redox_conf:0.85 | q:medium(0.70) | q_reason:mapping_unreliable_fallback_used,multi_transform_record_possible | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement+ring_closure_or_annulation",Ar-CHO,R2CH-CO2R|R2CH-NH2,Inorganic,Ar-CONR2|Ar-NRCOR|Bn-LactamN,,,DMAP/NaOAc/K2CO3/Cs2CO3/Na2CO3,,,NaBHOAc3-80%/Zn,TBAI/AcOH/TFA/NaTFA,DCC,9004-74-4,MeCN/DCM/DMF/MeOH,CO2R / OR,"Journal of Combinatorial Chemistry (2004), 6(1), 99-104",99,0.0
Reduction_NaBHOAc3_NaBH3CN,Reductive_amination,CCCCCCCCC=O.CC(C)(C)[Si](C)(C)OC[C@@H]1N[C@H](COCc2ccccc2)[C@H]1OCc1ccccc1>>CCCCCCCCCN1[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1CO,|Alkyl-Si*|R2CH-NHR|RCH2-CHO|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Bn-OR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component,RCH2-CHO|R_acidic-H,R2CH-NHR|Alkyl-Si*,,R2CH-NR2|RCH2-NR2|RCH2-OH,,,NaHCO3,,,NaBHOAc3-80%,,,22206-57-1,DCE/H2O/THF,OR,"Journal of Organic Chemistry (2012), 77(7), 3082-3098",80,0.71
Reduction_NaBHOAc3_NaBH3CN,Reductive_amination,CCCC=O.CC(C)(C)[Si](C)(C)OC[C@@H]1N[C@H](COCc2ccccc2)[C@H]1OCc1ccccc1>>CCCCN1[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1CO,|Alkyl-Si*|R2CH-NHR|RCH2-CHO|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Bn-OR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component,RCH2-CHO|R_acidic-H,R2CH-NHR|Alkyl-Si*,,R2CH-NR2|RCH2-NR2|RCH2-OH,,,NaHCO3,,,NaBHOAc3-80%,,,22206-57-1,DCE/H2O/THF,OR,"Journal of Organic Chemistry (2012), 77(7), 3082-3098",73,-0.71
Reduction_NaBHOAc3_NaBH3CN,Event:C-N,CC(C)(C)C1CCC(=O)CC1.CC(=O)Nc1ccccc1N>>CC(=O)Nc1ccccc1NC1CCC(C(C)(C)C)CC1,|Ar-NH2|RCH2-COR|R_acidic-H -> Ar-NHR | spectators: Ar-NHCOR,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component,RCH2-COR|R_acidic-H,R_acidic-H|Ar-NH2,,Ar-NHR,,,,,,NaBHOAc3-80%,AcOH,,,DCM/H2O,NHCOR,"Synthetic Communications (2007), 37(18), 3029-3039",62,0.0
Reduction_NaBHOAc3_NaBH3CN,Event:C-N,O=C1CCN(Cc2ccccc2)CC1.CC(=O)Nc1ccccc1N>>CC(=O)Nc1ccccc1NC1CCN(Cc2ccccc2)CC1,|Ar-NH2|RCH2-COR|R_acidic-H -> Ar-NHR | spectators: Ar-NHCOR|Bn-NR2,redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component,RCH2-COR|R_acidic-H,R_acidic-H|Ar-NH2,,Ar-NHR,,,,,,NaBHOAc3-80%,AcOH,,,DCM/H2O,NR2 / NHCOR,"Synthetic Communications (2007), 37(18), 3029-3039",77,0.0
Reduction_NaBHOAc3_NaBH3CN,Event:C-N,O=C1CCN(Cc2ccccc2)C1.CC(=O)Nc1ccccc1N>>CC(=O)Nc1ccccc1NC1CCN(Cc2ccccc2)C1,|Ar-NH2|RCH2-COR -> Ar-NHR | spectators: Ar-NHCOR|Bn-NR2|R_acidic-H,form:C-N | form_labeled:C-N | break:C-O | redox:redox_neutral | redox_conf:0.65 | q:high(1.00) | kinds:c_n_bond_formation+intermolecular_or_multi_component,RCH2-COR|R_acidic-H,R_acidic-H|Ar-NH2,,Ar-NHR,,,,,,NaBHOAc3-80%,AcOH,,,DCM/H2O,NR2 / NHCOR,"Synthetic Communications (2007), 37(18), 3029-3039",86,0.0
