reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Riley_oxidation,Unknown,CC(=O)C(C)OC1CCCCO1>>CC(O)C(=O)C=O,|R2CH-OR|RCH2-OR|R_acidic-H -> R2CH-OH | spectators: R2CH-COR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | risk:overreaction_or_chemoselectivity | ehyb:sp3 | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,R_acidic-H|RCH2-OR|R2CH-OR,,,R2CH-OH,,,,,,,,,7446-08-4,Dioxane/H2O,COR,"RSC Advances (2015), 5(73), 59114-59119",95,0.0
Riley_oxidation,Event:C-O,CC(=O)c1ccccc1[N+](=O)[O-]>>O=CC(=O)c1ccccc1[N+](=O)[O-],|R_acidic-H -> [] | spectators: Ar-COR|Ar-NO2,form:C-O | redox:net_oxidation | redox_conf:0.55 | q:high(1.00) | kinds:c_o_bond_formation+intramolecular_likely | fam:bond_formation | mol:intramolecular | form_cls:C-O | ringd:0 | risk:overreaction_or_chemoselectivity | ehyb:unknown | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,R_acidic-H,,,None,,,,,,,,,7446-08-4,Dioxane/H2O,COR / NO2,"Journal of Natural Products (2000), 63(5), 643-645",74,-1.95
Riley_oxidation,Event:C-O,Cc1cc(O)c2c(c1)[C@H]1[C@@H](C(C)C)CC[C@@]1(C)CCC2=O>>Cc1cc2c(c(O)c1Br)C(=O)C(=O)C[C@]1(C)CC[C@H](C(C)C)[C@H]21,|[] -> Ar-Br|RCH2-COR | spectators: Ar-Alkyl|Ar-COR|Ar-OH|R_acidic-H,form:Br-C(ar);C-O | form_labeled:Br-C(ar);C-O | redox:net_oxidation | redox_conf:0.65 | q:high(1.00) | kinds:c_o_bond_formation+intramolecular_likely | fam:bond_formation | mol:intramolecular | form_cls:Br-C;C-O | ringd:0 | ehyb:unknown | nclass:alcohol_or_phenol | amb:0,Ar-COR,,,Ar-Br|RCH2-COR,,,,,,,AcOH,,39416-48-3/7446-08-4,MeOH/DCM/Dioxane/H2O,OH / COR,"Angewandte Chemie, International Edition (2016), 55(34), 9942-9946",71,0.0
Riley_oxidation,Reduction_ester_to_alcohol,CC(=O)Oc1ccc(C(=O)CCc2ccc(Cl)cc2)cc1>>O=C(Cc1ccc(Cl)cc1)C(=O)c1ccc(O)cc1,|Alkyl-COOR|Ar-Alkyl|R_acidic-H -> Ar-OH | spectators: Ar-COR|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:carbon_nucleophile_like | amb:0,Alkyl-COOR|R_acidic-H|Ar-Alkyl,,,Ar-OH|Bn-COR,,,,,,,,,7446-08-4,Dioxane/H2O,COR / Cl,"RSC Advances (2015), 5(73), 59114-59119",93,-0.71
Riley_oxidation,Reduction_ester_to_alcohol,CCC(=O)c1ccc(OC(C)=O)cc1>>CC(=O)C(=O)c1ccc(O)cc1,|Alkyl-COOR|R_acidic-H -> Ar-OH | spectators: Ar-COR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-COOR|R_acidic-H,,,Alkyl-COR|Ar-OH,,,,,,,,,7446-08-4,Dioxane/H2O,COR,"RSC Advances (2015), 5(73), 59114-59119",94,0.71
Riley_oxidation,Reduction_ester_to_alcohol,CC(=O)Oc1ccc(CCC(=O)c2ccc(Cl)cc2)cc1>>O=C(Cc1ccc(O)cc1)C(=O)c1ccc(Cl)cc1,|Alkyl-COOR|Ar-Alkyl|R_acidic-H -> Ar-OH | spectators: Ar-COR|Ar-Cl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:carbon_nucleophile_like | amb:0,Alkyl-COOR|R_acidic-H|Ar-Alkyl,,,Ar-OH|Bn-COR,,,,,,,,,7446-08-4,Dioxane/H2O,COR / Cl,"RSC Advances (2015), 5(73), 59114-59119",94,0.71
Riley_oxidation,Reduction_ester_to_alcohol,CC(=O)Oc1ccc(C(C)=O)cc1>>O=CC(=O)c1ccc(O)cc1,|Alkyl-COOR|R_acidic-H -> Ar-OH | spectators: Ar-COR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp3 | nclass:carbon_nucleophile_like | amb:0,Alkyl-COOR|R_acidic-H,,,Ar-OH,,,,,,,,,7446-08-4,Dioxane/H2O,COR,"RSC Advances (2015), 5(73), 59114-59119",93,-0.71
Riley_oxidation,Reduction_ester_to_alcohol,CC(=O)Oc1ccc(CCC(=O)c2ccc(F)cc2)cc1>>O=C(Cc1ccc(O)cc1)C(=O)c1ccc(F)cc1,|Alkyl-COOR|Ar-Alkyl|R_acidic-H -> Ar-OH | spectators: Ar-COR|Ar-F,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:carbon_nucleophile_like | amb:0,Alkyl-COOR|R_acidic-H|Ar-Alkyl,,,Ar-OH|Bn-COR,,,,,,,,,7446-08-4,Dioxane/H2O,COR / F,"RSC Advances (2015), 5(73), 59114-59119",95,0.71
Riley_oxidation,Reduction_ester_to_alcohol,CC(=O)Oc1ccc(C(=O)CCc2ccccc2)cc1>>O=C(Cc1ccccc1)C(=O)c1ccc(O)cc1,|Alkyl-COOR|Ar-Alkyl|R_acidic-H -> Ar-OH | spectators: Ar-COR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:carbon_nucleophile_like | amb:0,Alkyl-COOR|R_acidic-H|Ar-Alkyl,,,Ar-OH|Bn-COR,,,,,,,,,7446-08-4,Dioxane/H2O,COR,"RSC Advances (2015), 5(73), 59114-59119",95,0.0
Riley_oxidation,Reduction_ester_to_alcohol,CC(=O)Oc1ccc(C(=O)CCc2ccc(Br)cc2)cc1>>O=C(Cc1ccc(Br)cc1)C(=O)c1ccc(O)cc1,|Alkyl-COOR|Ar-Alkyl|R_acidic-H -> Ar-OH | spectators: Ar-Br|Ar-COR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:carbon_nucleophile_like | amb:0,Alkyl-COOR|R_acidic-H|Ar-Alkyl,,,Ar-OH|Bn-COR,,,,,,,,,7446-08-4,Dioxane/H2O,Br / COR,"RSC Advances (2015), 5(73), 59114-59119",90,-0.71
