reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Rosenmund_reduction,Rosenmund_reduction,O=C(Cl)c1ccc2ccccc2c1>>O=Cc1ccc2ccccc2c1,|Ar-COCl -> Ar-CHO,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,Ar-COCl,,,Ar-CHO,,,,,,H2,,,91-22-5/7440-05-3/Sulfane/Bariumsulfate,,,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2015), 1-4",81,0.0
Rosenmund_reduction,Rosenmund_reduction,COCCN(Cc1ccccc1)C(Br)C(=O)Cl>>COCCN(Cc1ccccc1)C(Br)C=O,|Alkyl-COCl -> R2CH-CHO | spectators: Bn-NR2|R2CH-Br|RCH2-OR|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,R2CH-CHO,,,,,,H2,,,7439-92-1/Bariumsulfate,PhMe,NR2 / Br / OR,"China, CN104496930 A 2015-04-08",97,0.0
Rosenmund_reduction,Rosenmund_reduction,O=C(Cl)c1ccc2ccccc2c1>>O=Cc1ccc2ccccc2c1,|Ar-COCl -> Ar-CHO,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,Ar-COCl,,,Ar-CHO,,,,,,H2,,,91-22-5/Sulfane/7440-05-3,Xylenes,,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",81,0.0
Rosenmund_reduction,Rosenmund_reduction,CC1(C)OC2C3CC(C2O1)C1(C(=O)Cl)CC(=O)OCC31>>CC1(C)OC2C3CC(C2O1)C1(C=O)CC(=O)OCC31,|Alkyl-COCl -> R3C-CHO | spectators: R3C-OR|RCH2-COOR|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,R3C-CHO,,,,,,H2,,,7440-05-3,PhMe,COOR / OR,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",95,0.0
Rosenmund_reduction,Rosenmund_reduction,CSCCC(C(=O)Cl)N1C(=O)c2ccccc2C1=O>>CSCCC(C=O)N1C(=O)c2ccccc2C1=O,|Alkyl-COCl -> R2CH-CHO | spectators: Alkyl-NRCOR|Ar-CONR2|RCH2-SR|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,R2CH-CHO,,,,,,H2,,,7440-05-3,PhH,CONR2 / NRCOR / SR,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",90,0.0
Rosenmund_reduction,Rosenmund_reduction,CC(C[C@@]1(C)CCCC[C@@H]1CCC(=O)Cl)C(=O)Cl>>CC(C=O)C[C@@]1(C)CCCC[C@@H]1CCC=O,|Alkyl-COCl -> R2CH-CHO|RCH2-CHO | spectators: R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,R2CH-CHO|RCH2-CHO,,,,,,H2,,,7440-05-3,PhH,,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",94,0.0
Rosenmund_reduction,Rosenmund_reduction,COc1cc(C(=O)Cl)cc(OC)c1OC>>COc1cc(C=O)cc(OC)c1OC,|Ar-COCl -> Ar-CHO | spectators: Ar-OR,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,Ar-COCl,,,Ar-CHO,,,NaOAc,,,H2,,,91-22-5/Sulfane/7440-05-3,PhMe,OR,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",83,0.0
Rosenmund_reduction,Rosenmund_reduction,CC(C)(C)C1CCCCC1C(=O)Cl>>CC(C)(C)C1CCCCC1C=O,|Alkyl-COCl -> R2CH-CHO | spectators: R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,R2CH-CHO,,,DIPEA,,,H2,,,7440-05-3,Me2CO,,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",78,0.0
Rosenmund_reduction,Rosenmund_reduction,O=C(Cl)CCCCCCC/C=C\CCCCCCCC(=O)Cl>>O=CCCCCCCC/C=C\CCCCCCCC=O,|Alkyl-COCl -> RCH2-CHO | spectators: RCH2-Alkenyl|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,RCH2-CHO,,,Lutidine,,,H2,,,7440-05-3,THF,,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",96,0.0
Rosenmund_reduction,Rosenmund_reduction,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C(=O)Cl)CCC[C@]21C>>CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C=O)CCC[C@]21C,|Alkyl-COCl -> R3C-CHO | spectators: Ar-Alkyl,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,R3C-CHO,,,Lutidine,,,H2,,,7440-05-3,THF,,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",93,0.0
Rosenmund_reduction,Event:LGDisp,C[C@H]1CC=C(Cl)[C@@H](/C=C/C(=O)Cl)C1(C)C>>C[C@H]1CC=C(Cl)[C@@H](/C=C/C=O)C1(C)C,|Acyl-Cl -> Alkenyl-CHO | spectators: Alkenyl-Cl|R2CH-Alkenyl|RCH2-Alkenyl,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | ehyb:unknown | amb:0,Acyl-Cl,,,Alkenyl-CHO,,,,,,H2,,,7440-05-3,PhMe,Cl,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",93,0.0
Rosenmund_reduction,Rosenmund_reduction,O=C(Cl)C[C@H]1C(=O)OCN1C(=O)OCc1ccccc1>>O=CC[C@H]1C(=O)OCN1C(=O)OCc1ccccc1,|Alkyl-COCl -> RCH2-CHO | spectators: Ar-Alkyl|R2CH-COOR|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,RCH2-CHO,,,,,,H2,,,7440-05-3,PhMe,COOR,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",87,0.71
Rosenmund_reduction,Rosenmund_reduction,O=C(Cl)CC[C@H]1C(=O)OCN1C(=O)OCc1ccccc1>>O=CCC[C@H]1C(=O)OCN1C(=O)OCc1ccccc1,|Alkyl-COCl -> RCH2-CHO | spectators: Ar-Alkyl|R2CH-COOR|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,RCH2-CHO,,,,,,H2,,,7440-05-3,PhMe,COOR,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",82,-0.71
Rosenmund_reduction,Rosenmund_reduction,COC(=O)N1COC(=O)[C@@H]1CC(=O)Cl>>COC(=O)N1COC(=O)[C@@H]1CC=O,|Alkyl-COCl -> RCH2-CHO | spectators: R2CH-COOR|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,RCH2-CHO,,,,,,H2,,,7440-05-3,PhMe,COOR,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",93,0.71
Rosenmund_reduction,Rosenmund_reduction,CC(C)(C)OC(=O)[C@H](CCC(=O)Cl)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C>>CC(C)(C)OC(=O)[C@H](CCC=O)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,|Alkyl-COCl -> RCH2-CHO | spectators: R2CH-COOR|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,RCH2-CHO,,,Lutidine,,,H2,,,7440-05-3,THF,COOR,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2001), 1-4",78,-0.71
Rosenmund_reduction,Rosenmund_reduction,CC(C)OC(=O)CCCC(=O)Cl>>CC(C)OC(=O)CCCC=O,|Alkyl-COCl -> RCH2-CHO | spectators: RCH2-COOR|R_acidic-H,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | mech:E2_competitor | risk:substitution_vs_elimination | ehyb:sp3 | amb:0,Alkyl-COCl,,,RCH2-CHO,,,Lutidine,,,H2,,,7440-05-3,THF,COOR,"e-EROS Encyclopedia of Reagents for Organic Synthesis (2007), 1-6",89,0.0
Rosenmund_reduction,Rosenmund_reduction,O=C(Cl)c1c(F)c(F)cc(F)c1F>>O=Cc1c(F)c(F)cc(F)c1F,|Ar-COCl -> Ar-CHO | spectators: Ar-F,break:C-Cl | redox:net_reduction | redox_conf:0.55 | q:high(1.00) | kinds:leaving_group_displacement | fam:displacement | mol:unknown | break_cls:C-Cl | lg:Cl | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,Ar-COCl,,,Ar-CHO,,,CaCO3,,,H2,,,62-56-6/7440-05-3,,F,"China, CN113292399 A 2021-08-24",90,0.0
