reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
RuppertPrakash_TMSCF3,Reduction_carbonyl_to_alcohol,C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2C(=O)c1ccnc2ccc(OC)cc12.C[Si](C)(C)C(F)(F)F>>C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2[C@](O)(c1ccnc2ccc(OC)cc12)C(F)(F)F,|Alkyl-F|Alkyl-Si*|Ar-COR|R_acidic-H -> R3C-OH | spectators: Ar-OR|HeteroAr-H|Quinoline|R2CH-NR2|RCH2-NR2,Ar-COR|R_acidic-H,Alkyl-Si*|Alkyl-F,,Alkyl-CF3|Ar-Alkyl|R3C-OH,,,,,,,,,163931-61-1,THF,Quinoline / NR2 / HeteroAr / OR,"Journal of the American Chemical Society (2011), 133(26), 9992-9995",71,0.0
RuppertPrakash_TMSCF3,Reduction_carbonyl_to_alcohol,C[Si](C)(C)C(F)(F)F.Cc1ccc(C=O)cc1>>Cc1ccc(C(O)C(F)(F)F)cc1,|Alkyl-F|Alkyl-Si*|Ar-CHO -> R2CH-OH | spectators: Ar-Alkyl,Alkyl-Si*|Alkyl-F,Ar-CHO,,Alkyl-CF3|R2CH-OH,,,,HCl,,,NH4Cl,,373-68-2/1091629-74-1,DCM/PhMe/H2O,,"Journal of Fluorine Chemistry (2013), 15246-50",76,-0.58
RuppertPrakash_TMSCF3,Reduction_carbonyl_to_alcohol,O=Cc1ccc(Br)cc1.C[Si](C)(C)C(F)(F)F>>O[C@H](c1ccc(Br)cc1)C(F)(F)F,|Alkyl-F|Alkyl-Si*|Ar-CHO -> R2CH-OH | spectators: Ar-Br,Ar-CHO,Alkyl-Si*|Alkyl-F,,Alkyl-CF3|Ar-Alkyl|R2CH-OH,,,,,,,TBAF,,945732-76-3/1087319-58-1,H2O/PhMe/THF,Br,"Organic & Biomolecular Chemistry (2012), 10(47), 9334-9337",81,-1.33
RuppertPrakash_TMSCF3,Reduction_carbonyl_to_alcohol,COc1ccc(C=O)cc1.C[Si](C)(C)C(F)(F)F>>COc1ccc(C(O)C(F)(F)F)cc1,|Alkyl-F|Alkyl-Si*|Ar-CHO -> R2CH-OH | spectators: Ar-OR,Ar-CHO,Alkyl-Si*|Alkyl-F,,Alkyl-CF3|Ar-Alkyl|R2CH-OH,,,,HCl,,,NH4Cl,,254910-12-8,Et2O/H2O/THF,OR,"Tetrahedron Letters (1999), 40(47), 8231-8234",97,1.07
RuppertPrakash_TMSCF3,Reduction_carbonyl_to_alcohol,C[Si](C)(C)C(F)(F)F.COc1ccc(/N=C2/C(=O)[C@]3(C)CC[C@H]2C3(C)C)cc1>>COc1ccc(/N=C2\[C@H]3CC[C@](C)(C3(C)C)[C@@]2(O)C(F)(F)F)cc1,|Alkyl-F|Alkyl-Si*|R3C-COR -> R3C-OH | spectators: Ar-OR,Alkyl-Si*|Alkyl-F,R3C-COR,,Alkyl-CF3|R3C-OH,,,CsF,,,NaBH4,,,,DME/H2O/EtOH,OR,"Tetrahedron: Asymmetry (2008), 19(14), 1676-1683",85,0.0
RuppertPrakash_TMSCF3,Event:C-C,Cc1ccc(S(=O)(=O)N=Cc2ccccc2)cc1.C[Si](C)(C)CC#N>>Cc1ccc(S(=O)(=O)NC(CC#N)c2ccccc2)cc1,|Alkyl-Si*|Ar-C=N -> Ar-Alkyl|Ar-SO2NHR | spectators: Ar-Alkyl|RCH2-CN|R_acidic-H,Ar-C=N,Alkyl-Si*,,Ar-Alkyl|Ar-SO2NHR,,,,,,,TBAB,,139-02-6,PhMe/THF,CN,"Chemical Communications (Cambridge, United Kingdom) (2012), 48(10), 1428-1430",87,0.0
RuppertPrakash_TMSCF3,Reduction_carbonyl_to_alcohol,O=CC=Cc1ccccc1.C[Si](C)(C)C(F)(F)F>>OC(C=Cc1ccccc1)C(F)(F)F,|Alkenyl-CHO|Alkyl-F|Alkyl-Si* -> R2CH-OH | spectators: Ar-Alkenyl,Alkenyl-CHO,Alkyl-Si*|Alkyl-F,,Alkyl-CF3|R2CH-OH,,,,,,,,,215368-99-3/9037-24-5/9064-41-9,THF,,"Combinatorial Chemistry and High Throughput Screening (2002), 5(3), 197-199",100,0.0
RuppertPrakash_TMSCF3,Event:C-C,O=CCCc1ccccc1.C[Si](C)(C)C(F)(F)F>>C[Si](C)(C)OC(CCc1ccccc1)C(F)(F)F,|Alkyl-F|RCH2-CHO|R_acidic-H -> Alkyl-CF3 | spectators: Alkyl-Si*|Ar-Alkyl,RCH2-CHO|R_acidic-H,Alkyl-F,,Alkyl-CF3,,,LiOAc,,,,NH4Cl,,,DMF/H2O,Si*,"Bulletin of the Chemical Society of Japan (2006), 79(7), 1133-1145",77,0.0
RuppertPrakash_TMSCF3,Event:C-C,COc1ccc(C=NS(=O)(=O)c2ccc(C)cc2)cc1.C[Si](C)(C)C(F)(F)F>>COc1ccc(C(NS(=O)(=O)c2ccc(C)cc2)C(F)(F)F)cc1,|Alkyl-F|Alkyl-Si*|Ar-C=N -> Alkyl-CF3|Ar-SO2NHR | spectators: Ar-Alkyl|Ar-OR,Ar-C=N,Alkyl-Si*|Alkyl-F,,Alkyl-CF3|Ar-SO2NHR,,,LiOAc,,,,NH4Cl,,,DMF/H2O,OR,"Chemistry Letters (2005), 34(3), 422-423",83,0.0
RuppertPrakash_TMSCF3,Event:C-C,Cc1ccc(S(=O)(=O)N=Cc2ccc(Br)cc2)cc1.C[Si](C)(C)C(F)(F)F>>Cc1ccc(S(=O)(=O)NC(c2ccc(Br)cc2)C(F)(F)F)cc1,|Alkyl-F|Alkyl-Si*|Ar-C=N -> Alkyl-CF3|Ar-SO2NHR | spectators: Ar-Alkyl|Ar-Br,Ar-C=N,Alkyl-Si*|Alkyl-F,,Alkyl-CF3|Ar-SO2NHR,,PtBu3,,,,,,,,DMF,Br,"Synlett (2006), (2), 267-270",80,0.0
