reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
SNAr_amination,C_N_Coupling,NCc1ccccc1.Cn1c(=O)c(Br)cc2cnc(Cl)cc21>>Cn1c(=O)c(NCc2ccccc2)cc2cnc(Cl)cc21,CRK-v1 |Bn-NH2|HeteroAr-Br|Pyridine -> [] | products_broad: [] | bond_formed: C(ar)-N | bond_broken: Br-C(ar) | spectators: Alkyl-AromN|HeteroAr-Cl|HeteroAr-H | pairs: Bn-NH2~HeteroAr-Br,Bn-NH2,HeteroAr-Br,,HeteroAr-NHR,Pd(OAc)2,XantPhos,Cs2CO3,,,,,,,Dioxane,AromN / Cl,"Tetrahedron (2015), 71(21), 3303-3313",87,0.0
SNAr_amination,C_N_Coupling,Nc1ccc(Br)cc1.Cc1ccc(I)cc1>>Cc1ccc(N(c2ccc(C)cc2)c2ccc(Br)cc2)cc1,CRK-v1 |Ar-I|Ar-NH2 -> [] | products_broad: [] | bond_formed: C(ar)-C(ar); C(ar)-N | bond_broken: C(ar)-C(ar); C(ar)-I | spectators: Ar-Alkyl|Ar-Br | pairs: Ar-NH2~Ar-I,Ar-NH2,Ar-I,,Ar-Alkyl|Ar-NR2,CuCl,phen,KOH,,,,,,,PhMe,Br,"New Journal of Chemistry (2015), 39(3), 1840-1851",89,0.0
SNAr_amination,C_N_Coupling,O=C1CCCN1.Clc1nnc(N2CCOCC2)c2nn3ccccc3c12>>O=C1CCCN1c1nnc(N2CCOCC2)c2nn3ccccc3c12,CRK-v1 |Alkyl-NHCOR|HeteroAr-Cl|Pyridine|RCH2-CONHR -> [] | products_broad: [] | bond_formed: C(ar)-N | bond_broken: C(ar)-Cl | spectators: Ar-NR2|HeteroAr-H|RCH2-NR2|RCH2-OR|R_acidic-H | pairs: Alkyl-NHCOR~HeteroAr-Cl,Alkyl-NHCOR|RCH2-CONHR,HeteroAr-Cl,,Ar-NRCOR,Pd(OAc)2,XantPhos,Cs2CO3,,,,,,,PhMe,NR2 / OR,"European Journal of Organic Chemistry (2015), 2015(18), 4006-4017",76,0.0
SNAr_amination,C_N_Coupling,Nc1ccccc1.Cn1c(=O)c(Br)cc2cnc(Cl)cc21>>Cn1c(=O)c(Nc2ccccc2)cc2cnc(Cl)cc21,CRK-v1 |Ar-NH2|HeteroAr-Br|Pyridine -> [] | products_broad: [] | bond_formed: C(ar)-N | bond_broken: Br-C(ar) | spectators: Alkyl-AromN|HeteroAr-Cl|HeteroAr-H | pairs: Ar-NH2~HeteroAr-Br,Ar-NH2,HeteroAr-Br,,HeteroAr-NHR,Pd(OAc)2,XantPhos,Cs2CO3,,,,,,,Dioxane,AromN / Cl,"Tetrahedron (2015), 71(21), 3303-3313",84,0.0
SNAr_amination,C_N_Coupling,C1COCCN1.Cn1c(=O)c(Br)cc2cnc(Cl)cc21>>Cn1c(=O)c(N2CCOCC2)cc2cnc(Cl)cc21,CRK-v1 |HeteroAr-Br|Pyridine|RCH2-NHR -> [] | products_broad: [] | bond_formed: C(ar)-N | bond_broken: Br-C(ar) | spectators: Alkyl-AromN|HeteroAr-Cl|HeteroAr-H|RCH2-OR | pairs: RCH2-NHR~HeteroAr-Br,RCH2-NHR,HeteroAr-Br,,Ar-NR2,Pd(OAc)2,XantPhos,Cs2CO3,,,,,,,Dioxane,AromN / Cl / OR,"Tetrahedron (2015), 71(21), 3303-3313",83,0.0
SNAr_amination,Snar_cn,CCOC(=O)C(=C(N)N)c1ccc([N+](=O)[O-])cc1Br>>CCOC(=O)c1c(N)[nH]c2cc([N+](=O)[O-])ccc12,CRK-v1 |Alkenyl-NH2|Ar-Alkenyl|Ar-Br -> [] | products_broad: [] | bond_formed: C(ar)-N | bond_broken: Br-C(ar) | spectators: Ar-NO2 | pairs: Alkenyl-NH2~Ar-Br,Ar-Br|Alkenyl-CO2R|Ar-Alkenyl|Alkenyl-NH2,,,Ar-CO2R|AromN-H|HeteroAr-H|HeteroAr-NH2,CuI,L-Proline,Cs2CO3,,,,,,,DMSO,NO2,"Synthesis (2016), 48(17), 2851-2862",81,0.71
SNAr_amination,Snar_cn,NC(N)=C(C(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1Br>>Nc1[nH]c2cc([N+](=O)[O-])ccc2c1C(=O)c1ccccc1,CRK-v1 |Alkenyl-COR|Alkenyl-NH2|Ar-Alkenyl|Ar-Br -> [] | products_broad: [] | bond_formed: C(ar)-N | bond_broken: Br-C(ar) | spectators: Ar-NO2 | pairs: Alkenyl-NH2~Ar-Br,Ar-Br|Alkenyl-COR|Ar-Alkenyl|Alkenyl-NH2,,,Ar-COR|AromN-H|HeteroAr-H|HeteroAr-NH2,CuI,L-Proline,Cs2CO3,,,,,,,DMSO,NO2,"Synthesis (2016), 48(17), 2851-2862",80,-0.71
SNAr_amination,Snar_cn,O=S(=O)(Cl)c1ccc(Cl)cc1Cl.COCCCn1c(N)nc2cc(C(=O)OC)ccc21>>COCCCN1C2=NS(=O)(=O)c3ccc(Cl)cc3N2c2cc(C(=O)OC)ccc21,CRK-v1 |Alkyl-AromN|Ar-Cl|Ar-SO2Cl|HeteroAr-NH2 -> Product_Aryl_S (+Product_C-S) | products_broad: Product_Aryl_S|Product_C-S | bond_formed: N-S; C(ar)-N(ar) | bond_broken: Cl-S; C(ar)-Cl | spectators: Ar-CO2R|Ar-Cl|RCH2-OR | pairs: HeteroAr-NH2~Ar-Cl,Ar-Cl|Ar-SO2Cl,HeteroAr-NH2|HeteroAr-H|Alkyl-AromN,,Ar-NR2,CuI,,K2CO3,,,,,,,MeCN,CO2R / Cl / OR,"Organic Letters (2016), 18(15), 3706-3709",80,0.0
SNAr_amination,Snar_cn,O=S(=O)(Cl)c1c(Cl)cccc1Cl.CCCCn1c(N)nc2cc(C(=O)OC)ccc21>>CCCCN1C2=NS(=O)(=O)c3c(Cl)cccc3N2c2cc(C(=O)OC)ccc21,CRK-v1 |Alkyl-AromN|Ar-Cl|Ar-SO2Cl|HeteroAr-NH2 -> Product_Aryl_S (+Product_C-S) | products_broad: Product_Aryl_S|Product_C-S | bond_formed: N-S; C(ar)-N(ar) | bond_broken: Cl-S; C(ar)-Cl | spectators: Ar-CO2R|Ar-Cl | pairs: HeteroAr-NH2~Ar-Cl,Ar-Cl|Ar-SO2Cl,HeteroAr-NH2|HeteroAr-H|Alkyl-AromN,,Ar-NR2,CuI,,K2CO3,,,,,,,MeCN,CO2R / Cl,"Organic Letters (2016), 18(15), 3706-3709",78,-0.71
SNAr_amination,Snar_cn,O=S(=O)(Cl)c1ccc(Cl)cc1Cl.CCCCCn1c(N)nc2cc(C(=O)OC)ccc21>>CCCCCN1C2=NS(=O)(=O)c3ccc(Cl)cc3N2c2cc(C(=O)OC)ccc21,CRK-v1 |Alkyl-AromN|Ar-Cl|Ar-SO2Cl|HeteroAr-NH2 -> Product_Aryl_S (+Product_C-S) | products_broad: Product_Aryl_S|Product_C-S | bond_formed: N-S; C(ar)-N(ar) | bond_broken: Cl-S; C(ar)-Cl | spectators: Ar-CO2R|Ar-Cl | pairs: HeteroAr-NH2~Ar-Cl,Ar-Cl|Ar-SO2Cl,HeteroAr-NH2|HeteroAr-H|Alkyl-AromN,,Ar-NR2,CuI,,K2CO3,,,,,,,MeCN,CO2R / Cl,"Organic Letters (2016), 18(15), 3706-3709",80,0.71
