reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Sandmeyer_reactions,Sandmeyer,Nc1c(Br)cc(Br)cc1Br>>Clc1c(Br)cc(Br)cc1Br,|Ar-NH2 -> Ar-Cl | spectators: Ar-Br,"kinds:intramolecular_likely | bonds:+C(ar)-Cl / -C(ar)-N | summary:redox=neutral, q=high(1.00), mol=intramolecular",Ar-NH2,,,Ar-Cl,CuCl,,,HCl,,,,,sodium nitrite,H2O,Br,"Organometallics (2014), 33(12), 3012-3020",71,0.0
Sandmeyer_reactions,Sandmeyer,COC(=O)c1cccc(Cl)c1N>>COC(=O)c1cccc(Cl)c1Cl,|Ar-NH2 -> Ar-Cl | spectators: Ar-COOR|Ar-Cl,"kinds:intramolecular_likely | bonds:+C(ar)-Cl / -C(ar)-N | summary:redox=neutral, q=high(1.00), mol=intramolecular",Ar-NH2,,,Ar-Cl,CuCl,,,HCl,,,,,sodium nitrite,H2O,COOR / Cl,"Xiangtan Daxue Ziran Kexue Xuebao (2007), 29(2), 57-59,110",85,0.0
Sandmeyer_reactions,Sandmeyer,Cc1ccc(N)cc1[N+](=O)[O-]>>Cc1ccc(Br)cc1[N+](=O)[O-],|Ar-NH2 -> Ar-Br | spectators: Ar-Alkyl|Ar-NO2,"kinds:intramolecular_likely | bonds:+Br-C(ar) / -C(ar)-N | summary:redox=neutral, q=high(1.00), mol=intramolecular",Ar-NH2,,,Ar-Br,CuBr,,,,,,,,sodium nitrite/Hydrobromic acid,H2O,NO2,"Jingxi Huagong Zhongjianti (2010), 40(5), 47-48, 51",76,-0.71
Sandmeyer_reactions,Sandmeyer,COC(=O)c1scc(-c2ccc(OC)cc2)c1N>>COC(=O)c1scc(-c2ccc(OC)cc2)c1Br,|HeteroAr-NH2 -> HeteroAr-Br | spectators: Ar-COOR|Ar-OR|HeteroAr-Ar|HeteroAr-H|Thiophene,"kinds:intramolecular_likely | bonds:+Br-C(ar) / -C(ar)-N | summary:redox=neutral, q=high(1.00), mol=intramolecular",HeteroAr-NH2,,,HeteroAr-Br,CuBr2,,,HCl,,,,,540-80-7,MeCN/H2O,Thiophene / COOR / HeteroAr / OR,"Heterocycles (2008), 75(12), 3015-3024",95,0.0
Sandmeyer_reactions,Sandmeyer,CC1=CC=CC([N+]#N)=C1>>Cc1cccc(Cl)c1,|Ar-N2+ -> Ar-Cl | spectators: Ar-Alkyl,"kinds:intramolecular_likely | bonds:+C(ar)-Cl / -C(ar)-N | summary:redox=neutral, q=high(1.00), mol=intramolecular",Ar-N2+,,,Ar-Cl,CuCl2/CuCl,TMEDA,,,,,,,7447-40-7/56-37-1,MeCN,,"Russian Journal of Organic Chemistry (2012), 48(8), 1055-1058",83,-0.71
Sandmeyer_reactions,Sandmeyer,COC(=O)c1cc(I)ccc1N>>COC(=O)c1cc(I)ccc1Cl,|Ar-NH2 -> Ar-Cl | spectators: Ar-COOR|Ar-I,"kinds:intramolecular_likely | bonds:+C(ar)-Cl / -C(ar)-N | summary:redox=neutral, q=high(1.00), mol=intramolecular",Ar-NH2,,,Ar-Cl,CuCl,,,HCl,,,,,H2SO4/sodium nitrite,H2O,COOR / I,"Yingyong Huagong (2011), 40(8), 1479-1480",97,0.0
Sandmeyer_reactions,Sandmeyer,Nc1nc2cc([N+](=O)[O-])ccc2s1>>O=[N+]([O-])c1ccc2sc(Br)nc2c1,|HeteroAr-NH2 -> HeteroAr-Br | spectators: Ar-NO2|HeteroAr-H|Thiazole,"kinds:intramolecular_likely | bonds:+Br-C(ar) | summary:redox=net_oxidation, q=high(1.00), mol=intramolecular",HeteroAr-NH2,,,HeteroAr-Br,CuBr,,,,,,,,sodium nitrite/Hydrobromic acid,H2O,Thiazole / HeteroAr / NO2,"Bioorganic & Medicinal Chemistry Letters (2012), 22(15), 5046-5050",83,0.0
Sandmeyer_reactions,Sandmeyer,COc1ccc([N+](=O)[O-])cc1N>>COc1ccc([N+](=O)[O-])cc1Cl,|Ar-NH2 -> Ar-Cl | spectators: Ar-NO2|Ar-OR,"kinds:intramolecular_likely | bonds:+C(ar)-Cl / -C(ar)-N | summary:redox=neutral, q=high(1.00), mol=intramolecular",Ar-NH2,,,Ar-Cl,CuCl,,,HCl,,,,,sodium nitrite,H2O,NO2 / OR,"Huanan Shifan Daxue Xuebao, Ziran Kexueban (2009), (2), 66-69",80,0.0
Sandmeyer_reactions,Sandmeyer,N#[N+]c1c2c(c(O)c3c1C1c4ccccc4C3c3ccccc31)C1c3ccccc3C2c2ccccc21.O=[PH2][O-]>>Oc1c2c(c(Br)c3c1C1c4ccccc4C3c3ccccc31)C1c3ccccc3C2c2ccccc21,|Ar-N2+|Inorganic -> Ar-Br | spectators: Ar-Alkyl|Ar-OH,"kinds:intermolecular_or_multi_component | bonds:+Br-C(ar) / -C(ar)-N | summary:redox=neutral, q=high(1.00)",Ar-N2+,Inorganic,,Ar-Br,CuBr2,,,,,,,,,MeCN,OH,"Youji Huaxue (2009), 29(11), 1816-1820",71,0.0
Sandmeyer_reactions,Sandmeyer,Nc1ccc2c(c1)COC2=O>>O=C1OCc2cc(Br)ccc21,|Ar-NH2 -> Ar-Br | spectators: Ar-Alkyl|Ar-COOR,"kinds:intramolecular_likely | bonds:+Br-C(ar) / -C(ar)-N | summary:redox=neutral, q=high(1.00), mol=intramolecular",Ar-NH2,,,Ar-Br,,,,,,,,,sodium nitrite/Hydrobromic acid/11129-27-4,H2O,COOR,"Zhongguo Yaoye (2011), 20(17), 6-7",75,0.0
