reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Skraup_DoebnerMiller,Reductive_amination,CC(C)=O.CS(=O)(=O)Nc1ccc(N)cc1Oc1ccccc1>>CC1=CC(C)(C)Nc2cc(Oc3ccccc3)c(NS(C)(=O)=O)cc21,|Alkyl-COR|Ar-NH2 -> Ar-NHR | spectators: Alkyl-SO2NHR|Ar-N*|Ar-OR|R_acidic-H,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C-O | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkyl-COR|R_acidic-H,R_acidic-H|Ar-NH2,,Ar-Alkenyl|Ar-NHR|R3C-Alkenyl,,,,,,,,,10139-51-2,,N* / OR / SO2NHR,"Letters in Organic Chemistry (2010), 7(4), 306-310",80.0,0.0
Skraup_DoebnerMiller,Reductive_amination,CC(C)=O.Nc1ccc(Cl)cc1>>CC1=CC(C)(C)Nc2ccc(Cl)cc21,|Alkyl-COR|Ar-NH2 -> Ar-NHR | spectators: Ar-Cl,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C-O | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkyl-COR|R_acidic-H,Ar-NH2,,Ar-Alkenyl|Ar-NHR|R3C-Alkenyl,,,,,,,,,10139-51-2,,Cl,"Letters in Organic Chemistry (2010), 7(4), 306-310",70.0,0.71
Skraup_DoebnerMiller,Reductive_amination,CC(C)=O.Nc1ccc(Br)cc1>>CC1=CC(C)(C)Nc2ccc(Br)cc21,|Alkyl-COR|Ar-NH2 -> Ar-NHR | spectators: Ar-Br,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C-O | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkyl-COR|R_acidic-H,Ar-NH2,,Ar-Alkenyl|Ar-NHR|R3C-Alkenyl,,,,,,,,,10139-51-2,,Br,"Letters in Organic Chemistry (2010), 7(4), 306-310",75.0,0.0
Skraup_DoebnerMiller,Reduction_carbonyl_to_alcohol,O=[N+]([O-])c1ccccc1O.Nc1ccccc1O.C=CC=O>>Oc1cccc2cccnc12,|Alkenyl-CHO|Ar-NO2 -> HeteroAr-OH,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C(ar)-C(ar) / -C-C(ar) | summary:fam=bond_formation, redox=neutral, q=high(1.00) | alerts:risk=ambident_site_selectivity+overreaction_or_chemoselectivity",Ar-NO2|Ar-OH,Ar-OH|Ar-NH2,Alkenyl-CHO,HeteroAr-H|HeteroAr-OH|Quinoline,,,NaOH,HCl,,,AcOH,,,H2O,,"Huaxue Yu Shengwu Gongcheng (2009), 26(8), 43-44, 47",72.0,0.0
Skraup_DoebnerMiller,Sandmeyer,C=CC=O.COc1cc(N)c(Br)cc1Cl>>COc1c(Cl)cc(Br)c2ncccc12,|Alkenyl-CHO|Ar-NH2|Ar-OR -> HeteroAr-Br|HeteroAr-Cl,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C(ar)-O;-C-C | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkenyl-CHO,Ar-Br|Ar-Cl|Ar-NH2|Ar-OR,,HeteroAr-Br|HeteroAr-Cl|HeteroAr-H|HeteroAr-OR|Quinoline,,,,HCl,,,,,,H2O,,"Tetrahedron Letters (2010), 51(30), 3876-3878",52.0,0.0
Skraup_DoebnerMiller,Alkene_Hydrogenation / Aromatic_Halogen_Exchange / Sandmeyer,COc1ccc(Cl)c(N)c1.CC=CC=O>>COc1ccc(Cl)c2nc(C)ccc12,|Alkenyl-CHO|Alkyl-Alkenyl|Ar-NH2|Ar-OR -> Ar-Alkyl,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C-C;-C-O | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Ar-Cl|Ar-NH2|Ar-OR,Alkenyl-CHO|Alkyl-Alkenyl,,Ar-Alkyl|HeteroAr-Cl|HeteroAr-H|HeteroAr-OR|Quinoline,,,,HCl,,,ZnCl2,,,PhMe/H2O,,"Tetrahedron Letters (2010), 51(30), 3876-3878",23.0,-0.71
Skraup_DoebnerMiller,Reductive_amination,CC(C)=O.Nc1cccc2c1CCCC2>>CC1=CC(C)(C)Nc2c1ccc1c2CCCC1,|Alkyl-COR|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkyl,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C-O | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkyl-COR|R_acidic-H,Ar-NH2,,Ar-Alkenyl|Ar-NHR|R3C-Alkenyl,Scandium(III) trifluoromethanesulfonate,,,,,,,,,Me2CO,,"Journal of Medicinal Chemistry (2015), 58(12), 4918-4926",0.0,-1.14
Skraup_DoebnerMiller,Reductive_amination,CC(C)=O.Nc1cccc2c1OCO2>>CC1=CC(C)(C)Nc2c1ccc1c2OCO1,|Alkyl-COR|Ar-NH2 -> Ar-NHR | spectators: Ar-OR,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C(ar)-O | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkyl-COR|R_acidic-H,Ar-NH2,,Ar-Alkenyl|Ar-NHR|R3C-Alkenyl,Scandium(III) trifluoromethanesulfonate,,,,,,,,,Me2CO,OR,"Journal of Medicinal Chemistry (2015), 58(12), 4918-4926",0.0,-0.98
Skraup_DoebnerMiller,Reductive_amination,CC(C)=O.COc1cccc(N)c1>>COc1ccc2c(c1)NC(C)(C)C=C2C,|Alkyl-COR|Ar-NH2 -> Ar-NHR | spectators: Ar-OR,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C(ar)-N;-C-C;-C-O | summary:fam=annulation+bond_formation, redox=net_reduction, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkyl-COR|R_acidic-H,Ar-NH2,,Ar-Alkenyl|Ar-NHR|R3C-Alkenyl,,,,,,,,,120-80-9/Iodine,Me2CO,OR,"Journal of Medicinal Chemistry (2015), 58(12), 4918-4926",35.0,-0.04
Skraup_DoebnerMiller,Reductive_amination,CC(C)=O.Nc1cccc2c1CCC2>>CC1=CC(C)(C)Nc2c1ccc1c2CCC1,|Alkyl-COR|Ar-NH2 -> Ar-NHR | spectators: Ar-Alkyl,"sig:Ann+C-N+C-C | bonds:+C-C(ar);+C-N / -C(ar)-C(ar);-C-O | summary:fam=annulation+bond_formation, redox=neutral, q=high(0.85), ring=+1 | alerts:risk=overreaction_or_chemoselectivity, anom=multi_transform_record_possible",Alkyl-COR|R_acidic-H,Ar-NH2,,Ar-Alkenyl|Ar-NHR|R3C-Alkenyl,Scandium(III) trifluoromethanesulfonate,,,,,,,,,Me2CO,,"Journal of Medicinal Chemistry (2015), 58(12), 4918-4926",60.0,0.44
