reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Sonogashira_coupling,Sonogashira / Alcohol_to_Alkyl_Halide,C#Cc1ccc(F)cc1.COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1ccc(I)cc1>>COC(=O)[C@@H]1C[C@H](F)CN1C(=O)c1ccc(C#Cc2ccc(F)cc2)cc1,|Ar-Alkynyl_terminal|Ar-I|R2CH-OH -> Ar-Alkynyl | spectators: Alkyl-NRCOR|Ar-CONR2|Ar-F|R2CH-COOR|R_acidic-H,"sig:LGDisp+C-C | bonds:+C-C(ar);+C-F / -C(ar)-I;-C-O | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Ar-Alkynyl_terminal,Ar-I|R2CH-OH,,Ar-Alkynyl|R2CH-F,CuI/Pd(PPh3)4,,Et3N,,,,,,,MeCN,CONR2 / COOR / F / NRCOR,"Journal of Medicinal Chemistry (2016), 59(20), 9541-9559",95,0.0
Sonogashira_coupling,Sonogashira,C#Cc1ccccc1.Cc1cnc(N)c(Br)c1>>Cc1cnc(N)c(C#Cc2cccc(Cl)c2)c1,|Ar-Alkynyl_terminal|HeteroAr-Br -> Ar-Alkynyl | spectators: Ar-Alkyl|HeteroAr-H|HeteroAr-NH2|Pyridine,"sig:LGDisp+C-C | bonds:+C(ar)-Cl;+C-C(ar) / -Br-C(ar) | context:LG=Br, Nu=C | summary:fam=substitution, redox=neutral, q=high(1.00)",Ar-Alkynyl_terminal,HeteroAr-Br,,Ar-Alkynyl|Ar-Cl,CuI/Pd(PPh3)4,,Et3N,,,,NH4Cl,,,THF/H2O,Pyridine / NH2 / HeteroAr,"Organic & Biomolecular Chemistry (2014), 12(2), 307-315",83,-0.71
Sonogashira_coupling,Multi-Event:LGDisp+C-C,C#CC(=C)C.COc1cc(OC)c(OC)cc1I>>C=C(C)C#Cc1cc(OC)c(OC)cc1OC,|Ar-I -> Ar-Alkynyl | spectators: Alkyl-Alkenyl|Ar-OR,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-I | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Alkyl-Alkenyl,Ar-I,,Ar-Alkynyl,CuI/Pd(PPh3)4,,Et3N,,,,,,,THF,OR,"Organic & Biomolecular Chemistry (2011), 9(1), 70-73",81,0.09
Sonogashira_coupling,Sonogashira / Aliphatic_Halide_Exchange,C#Cc1ccccn1.COC(=O)c1ccc(OC(F)F)c(I)c1>>C(C#Cc1ccccn1)#Cc1ccccn1.COC(=O)c1ccc(OC(F)F)cc1.COC(=O)c1ccc(OC(F)F)c(C#Cc2ccccn2)c1,|Ar-Alkynyl_terminal|Ar-I -> Ar-Alkynyl | spectators: Alkyl-F|Ar-COOR|Ar-OR|HeteroAr-H|Pyridine,"sig:Ann+LGDisp+C-N | bonds:+C(ar)-N / -C(ar)-C(ar);-C(ar)-I;-C(ar)-O | context:LG=I, Nu=N, mech=SNAr | summary:fam=annulation+substitution, redox=net_reduction, q=medium(0.50), ring=+3 | alerts:anom=multi_transform_record_possible",Ar-Alkynyl_terminal,Ar-I,,Alkyl-F|Ar-Alkynyl|Ar-COOR|Ar-OR|HeteroAr-H|Pyridine,CuI,,NH4OH,,,,,,52-90-4/13965-03-2,NMP/H2O,Pyridine / COOR / F / HeteroAr / OR,"Organic Process Research & Development (2012), 16(11), 1854-1860",86,0.0
Sonogashira_coupling,Multi-Event:LGDisp+C-C,C#C[Si](C)(C)C.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>C[Si](C)(C)C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,|HeteroAr-Br -> Ar-Alkynyl | spectators: Alkynyl-Si*|Ar-Cl|Ar-F|HeteroAr-H|HeteroAr-NHR|Pyrimidine,"sig:LGDisp+C-C | bonds:+C-C(ar) / -Br-C(ar) | context:LG=Br, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Alkynyl-Si*,HeteroAr-Br,,Ar-Alkynyl,CuI,,,,,,,,13965-03-2,THF,Pyrimidine / NHR / Cl / F / HeteroAr / Si*,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377",80,0.0
Sonogashira_coupling,Sonogashira,C#CCO.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>OCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,|Alkyl-Alkynyl_terminal|HeteroAr-Br -> Ar-Alkynyl | spectators: Ar-Cl|Ar-F|HeteroAr-H|HeteroAr-NHR|Propargyl-H|Propargyl-OH|Pyrimidine,"sig:LGDisp+C-C | bonds:+C-C(ar) / -Br-C(ar) | context:LG=Br, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Alkyl-Alkynyl_terminal,HeteroAr-Br,,Alkyl-Alkynyl|Ar-Alkynyl,CuI,,,,,,,,13965-03-2,THF,Pyrimidine / NHR / OH / Cl / F / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377",80,0.0
Sonogashira_coupling,Sonogashira,C#CCCO.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>OCCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,|Alkyl-Alkynyl_terminal|HeteroAr-Br -> Ar-Alkynyl | spectators: Ar-Cl|Ar-F|HeteroAr-H|HeteroAr-NHR|Propargyl-H|Pyrimidine|RCH2-OH,"sig:LGDisp+C-C | bonds:+C-C(ar) / -Br-C(ar) | context:LG=Br, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Alkyl-Alkynyl_terminal,HeteroAr-Br,,Alkyl-Alkynyl|Ar-Alkynyl,CuI,,,,,,,,13965-03-2,THF,Pyrimidine / NHR / OH / Cl / F / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377",80,0.0
Sonogashira_coupling,Sonogashira,C#Cc1ccccc1.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>Fc1ccc(Nc2ncnc3ccc(C#Cc4ccccc4)cc23)cc1Cl,|Ar-Alkynyl_terminal|HeteroAr-Br -> Ar-Alkynyl | spectators: Ar-Cl|Ar-F|HeteroAr-H|HeteroAr-NHR|Pyrimidine,"sig:LGDisp+C-C | bonds:+C-C(ar) / -Br-C(ar) | context:LG=Br, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Ar-Alkynyl_terminal,HeteroAr-Br,,Ar-Alkynyl,CuI,,,,,,,,13965-03-2,THF,Pyrimidine / NHR / Cl / F / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377",80,0.0
Sonogashira_coupling,Sonogashira,C#CCCCO.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>OCCCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,|Alkyl-Alkynyl_terminal|HeteroAr-Br -> Ar-Alkynyl | spectators: Ar-Cl|Ar-F|HeteroAr-H|HeteroAr-NHR|Propargyl-H|Pyrimidine|RCH2-OH,"sig:LGDisp+C-C | bonds:+C-C(ar) / -Br-C(ar) | context:LG=Br, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Alkyl-Alkynyl_terminal,HeteroAr-Br,,Alkyl-Alkynyl|Ar-Alkynyl,CuI,,,,,,,,13965-03-2,THF,Pyrimidine / NHR / OH / Cl / F / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377",80,0.0
Sonogashira_coupling,Sonogashira,C#Cc1cccs1.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>Fc1ccc(Nc2ncnc3ccc(C#Cc4cccs4)cc23)cc1Cl,|Ar-Alkynyl_terminal|HeteroAr-Br -> Ar-Alkynyl | spectators: Ar-Cl|Ar-F|HeteroAr-H|HeteroAr-NHR|Pyrimidine|Thiophene,"sig:LGDisp+C-C | bonds:+C-C(ar) / -Br-C(ar) | context:LG=Br, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00)",Ar-Alkynyl_terminal,HeteroAr-Br,,Ar-Alkynyl,CuI,,,,,,,,13965-03-2,THF,Pyrimidine / Thiophene / NHR / Cl / F / HeteroAr,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377",80,0.0
