reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Staudinger_reduction,Unknown,CC(=O)OC[C@H]1O[C@H](O[C@@H]2C[C@]3(COC(C)(C)O3)C[C@H]3OC(C)(C)O[C@@H]23)[C@H](N=[N+]=[N-])[C@@H](OC(C)=O)[C@@H]1OC(C)=O.O=C(Cl)c1ccc([N+](=O)[O-])cc1>>CC(=O)OC[C@H]1O[C@H](O[C@@H]2C[C@](O)(CO)C[C@@H](O)[C@H]2O)[C@H](NC(=O)c2ccc([N+](=O)[O-])cc2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,|Ar-COCl|R2CH-N3|R3C-OR|RCH2-OR -> Alkyl-NHCOR|Ar-CONHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O; N-N; C-Cl | spectators: Alkyl-CO2R|Ar-NO2|R2CH-OR|R_acidic-H,R2CH-N3|RCH2-OR|R3C-OR,Ar-COCl,,Alkyl-NHCOR|Ar-CONHR|R2CH-OH|R3C-OH|RCH2-OH,,PPh3,NaOMe,,,,TFA,,77-86-1,DCM/MeOH/H2O,CO2R / NO2 / OR,"Bioorganic & Medicinal Chemistry Letters (2007), 17(2), 444-447",78,0.0
Staudinger_reduction,Unknown,CC(=O)OC[C@H]1O[C@H](O[C@@H]2C[C@]3(COC(C)(C)O3)C[C@H]3OC(C)(C)O[C@@H]23)[C@H](N=[N+]=[N-])[C@@H](OC(C)=O)[C@@H]1OC(C)=O.O=C(Cl)c1ccc(C(F)(F)F)cc1>>CC(=O)OC[C@H]1O[C@H](O[C@@H]2C[C@](O)(CO)C[C@@H](O)[C@H]2O)[C@H](NC(=O)c2ccc(C(F)(F)F)cc2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,|Ar-COCl|R2CH-N3|R3C-OR|RCH2-OR -> Alkyl-NHCOR|Ar-CONHR | spectators: Alkyl-CO2R|Ar-CF3|R2CH-OR|R_acidic-H,R2CH-N3|RCH2-OR|R3C-OR,Ar-COCl,,Alkyl-NHCOR|Ar-CONHR|R2CH-OH|R3C-OH|RCH2-OH,,PPh3,NaOMe,,,,TFA,,77-86-1,DCM/MeOH/H2O,CF3 / CO2R / OR,"Bioorganic & Medicinal Chemistry Letters (2007), 17(2), 444-447",79,0.0
Staudinger_reduction,Unknown,CO[C@H]1O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@H](OC)[C@@H]1N=[N+]=[N-].CC(=O)Cl>>CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC)[C@@H]1NC(C)=O,|Acyl-Cl|Ar-Alkyl|R2CH-N3|R2CH-OR|RCH2-OR -> Alkyl-NHCOR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O; N-N; C-Cl | spectators: R_acidic-H,R2CH-N3|RCH2-OR|R2CH-OR|Ar-Alkyl,Acyl-Cl,,Alkyl-NHCOR|R2CH-OH|RCH2-OH,,,Et3N/NaHCO3/DMAP,,,H2,,,7440-05-3,MeOH/DCM/H2O,OR,"Journal of Biological Chemistry (2014), 289(46), 32056-32063",83,0.0
Staudinger_reduction,Claisen_condensation,CCCCCCCCCCCCCC[C@@H](OCOC)[C@@H](O)[C@@H](N=[N+]=[N-])C(=O)OCC>>CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO,|R2CH-CO2R|R2CH-N3|RCH2-OR|R_acidic-H -> R2CH-NH2|R2CH-OH|RCH2-OH | spectators: R2CH-OH,R2CH-CO2R|R2CH-N3|R_acidic-H|RCH2-OR,,,R2CH-NH2|R2CH-OH|RCH2-OH,,,,HCl,,LiAlH4,,,,MeOH/THF,OH,"Journal of Organic Chemistry (2000), 65(22), 7618-7626",78,0.0
Staudinger_reduction,Unknown,CC1(C)O[C@@H]2[C@H](O1)[C@@H](CN=[N+]=[N-])O[C@H]2CNC(=O)c1ccccc1.O=C(O)c1ccccc1>>O=C(NC[C@@H]1O[C@H](CNC(=O)c2ccccc2)[C@@H](O)[C@H]1O)c1ccccc1,|Ar-CO2H|R3C-OR|RCH2-N3 -> Alkyl-NHCOR|Ar-CONHR | spectators: Alkyl-NHCOR|Ar-CONHR|R2CH-OR,RCH2-N3|R3C-OR,Ar-CO2H,,Alkyl-NHCOR|Ar-CONHR|R2CH-OH,,PMe3,DIPEA,,,,TFA/HOBt,EDCICl,,THF/H2O/DMF,CONHR / NHCOR / OR,"European Journal of Medicinal Chemistry (2017), 127757-770",80,0.0
Staudinger_reduction,Claisen_condensation,CCCCCCCCCCCCCC[C@H](OCOC)[C@@H](O)[C@@H](N=[N+]=[N-])C(=O)OCC>>CCCCCCCCCCCCCC[C@H](O)[C@@H](O)[C@@H](N)CO,|R2CH-CO2R|R2CH-N3|RCH2-OR|R_acidic-H -> R2CH-NH2|R2CH-OH|RCH2-OH | spectators: R2CH-OH,R2CH-CO2R|R2CH-N3|R_acidic-H|RCH2-OR,,,R2CH-NH2|R2CH-OH|RCH2-OH,,,,HCl,,LiAlH4,,,,MeOH/THF,OH,"Journal of Organic Chemistry (2000), 65(22), 7618-7626",78,0.0
Staudinger_reduction,Unknown,CC(=O)OC[C@H]1O[C@H](O[C@@H]2C[C@]3(COC(C)(C)O3)C[C@H]3OC(C)(C)O[C@@H]23)[C@H](N=[N+]=[N-])[C@@H](OC(C)=O)[C@@H]1OC(C)=O.O=C(Cl)c1ccncc1>>CC(=O)OC[C@H]1O[C@H](O[C@@H]2C[C@](O)(CO)C[C@@H](O)[C@H]2O)[C@H](NC(=O)c2ccncc2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,|Ar-COCl|R2CH-N3|R3C-OR|RCH2-OR -> Alkyl-NHCOR|Ar-CONHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O; N-N; C-Cl | spectators: Alkyl-CO2R|HeteroAr-H|Pyridine|R2CH-OR|R_acidic-H,R2CH-N3|RCH2-OR|R3C-OR,Ar-COCl,,Alkyl-NHCOR|Ar-CONHR|R2CH-OH|R3C-OH|RCH2-OH,,PPh3,NaOMe,,,,TFA,,77-86-1,DCM/MeOH/H2O,Pyridine / CO2R / HeteroAr / OR,"Bioorganic & Medicinal Chemistry Letters (2007), 17(2), 444-447",71,0.0
Staudinger_reduction,Unknown,CC1(C)O[C@H]2O[C@](CO)(CO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)[C@@H](N=[N+]=[N-])[C@H]2O1.Cc1ccc(S(=O)(=O)Cl)cc1>>Cc1ccc(S(=O)(=O)N[C@H]2[C@H]3OC(C)(C)O[C@H]3O[C@@]2(CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)COS(=O)(=O)c2ccc(C)cc2)cc1,|Ar-SO2Cl|R2CH-N3|RCH2-OH -> Alkyl-N(R)SO2R|Alkyl-OTs|Ar-SO2NHR | spectators: Ar-Alkyl|Ar-Si*|R3C-OR,R2CH-N3|RCH2-OH,Ar-SO2Cl,,Alkyl-N(R)SO2R|Alkyl-OTs|Ar-SO2NHR,,,Et3N/DMAP,,,H2,,,7440-05-3,EtOAc/DCM,OR / Si*,"Tetrahedron Letters (2003), 44(28), 5267-5270",92,0.0
Staudinger_reduction,Claisen_condensation,Cc1ccc(S(=O)(=O)Cl)cc1.COC(=O)[C@@H](OCc1ccccc1)[C@H](O)CCN=[N+]=[N-]>>Cc1ccc(S(=O)(=O)O[C@@H]2CCNC(=O)[C@H]2OCc2ccccc2)cc1,|Ar-Alkyl|Ar-SO2Cl|R2CH-CO2R|R2CH-OH|RCH2-N3 -> Alkyl-NHCOR|R2CH-CONHR | spectators: Bn-OR|R_acidic-H,Ar-SO2Cl|Ar-Alkyl,R2CH-CO2R|RCH2-N3|R2CH-OH,,Alkyl-NHCOR|Alkyl-OTs|R2CH-CONHR,,PPh3,Pyridine/DMAP,,,,,,,DCM/THF/H2O,OR,"Tetrahedron Letters (2015), 56(6), 834-836",92,0.0
Staudinger_reduction,Unknown,Oc1ccccc1CNc1cccc(Cl)c1.Clc1ccc(OP(Cl)Cl)cc1.CCCN=[N+]=[N-]>>CCCN=P1(Oc2ccc(Cl)cc2)Oc2ccccc2CN1c1cccc(Cl)c1,|Ar-NHR|Ar-OH|RCH2-N3 -> Ar-NR2 | bond_formed: N-P; N-P; O-P | bond_formed_labeled: N-P; N-P; O-P | bond_broken: N-N; Cl-P | spectators: Ar-Cl,Ar-OH|Ar-NHR,Ar-Cl,RCH2-N3,Ar-NR2,,,Et3N,,,,,,,THF,Cl,"Heteroatom Chemistry (2010), 21(7), 499-504",71,0.0
