reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Oxidation_secondary_alcohol_to_ketone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO>>C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@]2(C)C(=O)CC[C@@H]12,|R2CH-OH|R3C-OH|RCH2-OH -> RCH2-COR | spectators: Alkenyl-COR|R3C-Alkenyl|RCH2-Alkenyl|RCH2-COR|R_acidic-H,"bonds:-C-C | summary:redox=neutral, q=high(1.00), mol=unknown",RCH2-OH|R3C-OH|R2CH-OH,,,RCH2-COR|R_acidic-H,,,Na2CO3,,TEMPO,,,,429-06-1,MeCN/H2O,COR,"Chemistry - A European Journal (2021), 27(19), 6044-6049",78,0.0
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.N#Cc1ccc(I)cc1>>N#Cc1ccc(CCC=O)cc1,|Ar-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: Ar-CN,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-I | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,Ar-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,CN,"ACS Catalysis (2020), 10(3), 2226-2230",87,0.0
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.Ic1cccs1>>O=CCCc1cccs1,|HeteroAr-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: HeteroAr-H|Thiophene,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-C(ar);-C(ar)-I;-C-C | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,HeteroAr-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,Thiophene / HeteroAr,"ACS Catalysis (2020), 10(3), 2226-2230",91,0.0
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.COc1ncc(I)c(OC)n1>>COc1ncc(CCC=O)c(OC)n1,|HeteroAr-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: HeteroAr-H|HeteroAr-OR|Pyrimidine,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-I | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,HeteroAr-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,Pyrimidine / HeteroAr / OR,"ACS Catalysis (2020), 10(3), 2226-2230",90,0.0
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.Cc1ccc(I)cc1>>Cc1ccc(CCC=O)cc1,|Ar-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: Ar-Alkyl,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-I | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,Ar-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",80,0.0
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.Ic1ccc(-c2ccccc2)cc1>>O=CCCc1ccc(-c2ccccc2)cc1,|Ar-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: Ar-Ar,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-C(ar);-C(ar)-I;-C-C | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,Ar-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",80,0.58
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.COc1ccc(I)cc1>>COc1ccc(CCC=O)cc1,|Ar-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: Ar-OR,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-I | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,Ar-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,OR,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",80,0.0
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.FC(F)(F)c1ccc(I)cc1>>O=CCCc1ccc(C(F)(F)F)cc1,|Ar-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: Ar-CF3,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-C(ar);-C(ar)-I;-C-C | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,Ar-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,CF3,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",80,0.0
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.Fc1ccc(I)cc1>>O=CCCc1ccc(F)cc1,|Ar-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: Ar-F,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-C(ar);-C(ar)-I;-C-C | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,Ar-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,F,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",80,0.5
TEMPObleach_Oxidations_Primary_alcohols__aldehydesacids,Alkene_Hydrogenation / Oxidation_primary_alcohol_to_aldehyde,C=CCO.Clc1ccc(I)cc1>>O=CCCc1ccc(Cl)cc1,|Ar-I|RCH2-Alkenyl -> Ar-Alkyl | spectators: Ar-Cl,"sig:LGDisp+C-C | bonds:+C-C(ar) / -C(ar)-C(ar);-C(ar)-I;-C-C | context:LG=I, Nu=C | summary:fam=substitution, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",Allyl-OH|RCH2-Alkenyl,Ar-I,,Ar-Alkyl|RCH2-CHO|R_acidic-H,Pd(OAc)2,,NaHCO3,,,,,,56-37-1,DMF,Cl,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",80,0.71
