reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,COc1cccc(CO)c1OC(C)C>>COc1cccc(C=O)c1OC(C)C,|Bn-OH -> Ar-CHO | spectators: Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Bn-OH,,,Ar-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,OR,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",89,-0.47
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,COc1ccc(CO)cc1>>COc1ccc(C=O)cc1,|Bn-OH -> Ar-CHO | spectators: Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Bn-OH,,,Ar-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,OR,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",88,-0.68
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,OCc1ccc2c(c1)OCO2>>O=Cc1ccc2c(c1)OCO2,|Bn-OH -> Ar-CHO | spectators: Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Bn-OH,,,Ar-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,OR,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",97,1.15
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,COC(=O)c1ccc(CO)cc1>>COC(=O)c1ccc(C=O)cc1,|Bn-OH -> Ar-CHO | spectators: Ar-CO2R,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Bn-OH,,,Ar-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,CO2R,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",82,0.0
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,OC/C=C/c1ccccc1>>O=C/C=C/c1ccccc1,|RCH2-Alkenyl|RCH2-OH -> Alkenyl-CHO | spectators: Ar-Alkenyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-Alkenyl|RCH2-OH,,,Alkenyl-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",82,0.0
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,Cc1cc(CO)ccc1[N+](=O)[O-]>>Cc1cc(C=O)ccc1[N+](=O)[O-],|Bn-OH -> Ar-CHO | spectators: Ar-Alkyl|Ar-NO2,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Bn-OH,,,Ar-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,NO2,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",84,0.0
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,COc1ccccc1/C=C/CO>>COc1ccccc1/C=C/C=O,|RCH2-Alkenyl|RCH2-OH -> Alkenyl-CHO | spectators: Ar-Alkenyl|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-Alkenyl|RCH2-OH,,,Alkenyl-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,OR,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",80,0.0
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,CC1(C)[C@H]2CC=C(CO)[C@@H]1C2>>CC1(C)[C@H]2CC=C(C=O)[C@@H]1C2,|RCH2-Alkenyl|RCH2-OH -> Alkenyl-CHO | spectators: R2CH-Alkenyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-Alkenyl|RCH2-OH,,,Alkenyl-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",85,0.0
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,CC(C)c1ccc(CO)cc1>>CC(C)c1ccc(C=O)cc1,|Bn-OH -> Ar-CHO | spectators: Ar-Alkyl,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,Bn-OH,,,Ar-CHO,Tetrapropylammonium perruthenate,,,,,,,,1960452-05-4,MeCN/H2O,,"European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",88,-0.71
TPAPNMO_Catalytic_Ru_oxidations,Oxidation_primary_alcohol_to_aldehyde,CCC1(CO)CCCn2cccc21>>CCC1(C=O)CCCn2cccc21,|RCH2-OH -> R3C-CHO | spectators: Alkyl-AromN|Ar-Alkyl|HeteroAr-H,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key,RCH2-OH,,,R3C-CHO,Tetrapropylammonium perruthenate,,,,,,,,7529-22-8,MeCN,AromN / HeteroAr,"Synthesis (2017), 49(11), 2584-2588",81,-0.71
