reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
TetrazineTCO_iEDDA,Unresolved:NoMotifEvidence,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.CCSc1nc(Cl)ncc1F>>CCSc1nc(Cl)nc2c(-c3ccccc3)nnc(-c3ccccc3)c12,|HeteroAr-F -> Product_Aryl_S | spectators: Ar-SR|HeteroAr-Ar|HeteroAr-Cl|Pyrimidine,"summary:redox=uncertain, q=low(0.00), mol=unknown | alerts:anom=bond_key_demoted_due_to_inconsistency",HeteroAr-Ar,HeteroAr-F|HeteroAr-H,,None,,,KHMDS,,,,NH4Cl,,,PhMe/H2O,Pyrimidine / Cl / SR,"Organic Letters (2016), 18(15), 3594-3597",73,0.0
TetrazineTCO_iEDDA,Event:C-C,C=Cc1ccc(OC)cc1.c1ccc(-c2nnc(-c3ccccn3)nn2)nc1>>COc1ccc(-c2cc(-c3ccccn3)nnc2-c2ccccn2)cc1,|Ar-Alkenyl_terminal -> HeteroAr-Ar|HeteroAr-H | spectators: Ar-OR|HeteroAr-Ar|HeteroAr-H|Pyridine,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C-C(ar) / -C(ar)-N;-C-C | summary:fam=bond_formation, redox=net_reduction, q=high(1.00)",Ar-Alkenyl_terminal,HeteroAr-H,,HeteroAr-Ar|HeteroAr-H,,,,,,,,,118-75-2,MeOH/H2O,Pyridine / HeteroAr / OR,"Angewandte Chemie, International Edition (2016), 55(40), 12243-12247",96,0.0
TetrazineTCO_iEDDA,Event:C-C,COC(=O)c1nnc(C(=O)OC)nn1.C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12>>COC(=O)C1=NN=C(C(=O)OC)[C@H]2[C@H]3C[C@@H]([C@@H]12)[C@H]1c2ccccc2[C@@H]31,|R2CH-Alkenyl -> Alkyl-O* | spectators: Ar-Alkyl,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C-C(ar) / -C(ar)-N | summary:fam=bond_formation, redox=net_reduction, q=high(1.00)",Ar-COOR,R2CH-Alkenyl,,Alkyl-O*,,,,,,,,,,DCM,,"Journal of Heterocyclic Chemistry (2016), 53(6), 2049-2056",95,0.0
TetrazineTCO_iEDDA,Event:C-C,c1ccc(-c2nnc(-c3ccccn3)nn2)nc1.C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12>>c1ccc(C2=NN=C(c3ccccn3)[C@H]3[C@H]4C[C@@H]([C@@H]23)[C@H]2c3ccccc3[C@@H]42)nc1,|HeteroAr-Ar|R2CH-Alkenyl -> Ar-C=N | spectators: Ar-Alkyl|HeteroAr-H|Pyridine,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C-C(ar) / -C(ar)-N | summary:fam=bond_formation, redox=net_reduction, q=high(1.00)",HeteroAr-Ar,R2CH-Alkenyl,,Ar-C=N,,,,,,,,,,DCM,Pyridine / HeteroAr,"Journal of Heterocyclic Chemistry (2016), 53(6), 2049-2056",96,0.0
TetrazineTCO_iEDDA,Event:C-C,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O>>COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c(-c3ccccc3)nnc(-c3ccccc3)c1-2,|Ar-Ar -> HeteroAr-Ar | spectators: Ar-OR|Ar-Si*|HeteroAr-Ar,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C(ar)-C(ar) / -C(ar)-N;-C-C(ar) | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), ring=-1",HeteroAr-Ar,Ar-Ar,,HeteroAr-Ar,,,,,,,,,,CHCl3,OR / Si*,"Organic Letters (2016), 18(19), 4892-4895",84,0.0
TetrazineTCO_iEDDA,Event:C-C,COC(=O)c1nnc(C(=O)OC)nn1.COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O>>COC(=O)c1nnc(C(=O)OC)c2c1-c1ccc(OC)cc1[Si](C)(C)c1cc(OC)ccc1-2,|Ar-Ar -> HeteroAr-Ar | spectators: Ar-COOR|Ar-OR|Ar-Si*,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C(ar)-C(ar) / -C(ar)-N;-C-C(ar) | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), ring=-1",Ar-COOR,Ar-Ar,,HeteroAr-Ar,,,,,,,,,,MeCN,COOR / OR / Si*,"Organic Letters (2016), 18(19), 4892-4895",92,0.0
TetrazineTCO_iEDDA,Event:C-C,c1ccc(-c2nnc(-c3ccccn3)nn2)nc1.C=COC[C@H](NC(=O)OCc1ccccc1)C(=O)OC>>COC(=O)[C@H](CO)NC(=O)OCc1ccccc1.c1ccc(-c2ccc(-c3ccccn3)nn2)nc1,|Alkenyl-OR -> HeteroAr-H|RCH2-OH | spectators: Alkyl-N*|Alkyl-O*|Ar-Alkyl|HeteroAr-Ar|HeteroAr-H|Pyridine|R2CH-COOR|R_acidic-H,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C-C(ar) / -C(ar)-N;-C-O | summary:fam=bond_formation, redox=net_reduction, q=high(1.00) | alerts:risk=overreaction_or_chemoselectivity",HeteroAr-H,Alkenyl-OR,,HeteroAr-H|RCH2-OH,,,,,,,,,,DCM,Pyridine / COOR / HeteroAr / N* / O*,"Angewandte Chemie, International Edition (2017), 56(1), 243-247",57,0.0
TetrazineTCO_iEDDA,Event:C-C,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.C[Si]1(C)O[Si](C)(C)c2cc3c(cc21)C1C=CC3O1>>C[Si]1(C)O[Si](C)(C)c2cc3cc4c(-c5ccccc5)nnc(-c5ccccc5)c4cc3cc21,|Ar-Alkyl|R2CH-Alkenyl|R2CH-OR -> HeteroAr-H | spectators: Ar-Si*|HeteroAr-Ar,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C-C(ar) / -C(ar)-N;-C-O | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), ring=-1 | alerts:risk=overreaction_or_chemoselectivity",HeteroAr-Ar,Ar-Alkyl|R2CH-Alkenyl|R2CH-OR,,HeteroAr-H,,,,,,,,,,THF,Si*,"Tetrahedron (2017), 73(48), 6742-6746",75,0.0
TetrazineTCO_iEDDA,Event:C-C,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.C1=CC2OC1c1cc3ccccc3cc12>>c1ccc(-c2nnc(-c3ccccc3)c3cc4cc5ccccc5cc4cc23)cc1,|Ar-Alkyl|R2CH-Alkenyl|R2CH-OR -> HeteroAr-H | spectators: HeteroAr-Ar,"kinds:c_c_bond_formation+intermolecular_or_multi_component | bonds:+C-C(ar) / -C(ar)-N;-C-O | summary:fam=bond_formation, redox=net_reduction, q=high(1.00), ring=-1 | alerts:risk=overreaction_or_chemoselectivity",HeteroAr-Ar,Ar-Alkyl|R2CH-Alkenyl|R2CH-OR,,HeteroAr-H,,,,,,,,,,THF,,"Tetrahedron (2017), 73(48), 6742-6746",89,0.0
TetrazineTCO_iEDDA,Unknown,C1=CC2OC1c1cc3ccccc3cc12.FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)nn2)cc1>>FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3cc4cc5ccccc5cc4cc23)cc1,|Ar-Alkyl|R2CH-Alkenyl|R2CH-OR -> HeteroAr-H | spectators: Ar-CF3|HeteroAr-Ar,"summary:redox=uncertain, q=low(0.25), mol=unknown, ring=-1 | alerts:anom=bond_key_demoted_due_to_inconsistency",Ar-Alkyl|R2CH-Alkenyl|R2CH-OR,Ar-CF3,,HeteroAr-H,,,,,,,,,,THF,CF3,"Tetrahedron (2017), 73(48), 6742-6746",87,0.0
