reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Trifluoromethylation,Unknown,FC(Cl)(Cl)Cl.Clc1cc(Cl)cc(Cl)c1>>FC(F)(F)c1c(Cl)cc(Cl)cc1Cl,Alkyl-Cl -> Ar-CF3 || Ar-Cl,Alkyl-Cl|Alkyl-F,Ar-Cl,,Ar-CF3,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",,Cl,"Tetrahedron Letters (1989), 30(29), 3825-8",98,1.2
Trifluoromethylation,Unknown,FC(Cl)(Cl)Cl.Clc1cc(Cl)c(Cl)c(Cl)c1Cl>>FC(F)(F)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Alkyl-Cl -> Ar-CF3 || Ar-Cl,Alkyl-Cl|Alkyl-F,Ar-Cl,,Ar-CF3,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",,Cl,"Tetrahedron Letters (1989), 30(29), 3825-8",77,-0.9
Trifluoromethylation,Unknown,FC(Cl)(Cl)Cl.Clc1ccc(Cl)c(Cl)c1Cl>>FC(F)(F)c1cc(Cl)c(Cl)c(Cl)c1Cl,Alkyl-Cl -> Ar-CF3 || Ar-Cl,Alkyl-Cl|Alkyl-F,Ar-Cl,,Ar-CF3,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",,Cl,"Tetrahedron Letters (1989), 30(29), 3825-8",92,0.6
Trifluoromethylation,Unknown,ClC(Cl)(Cl)Cl.CC(=O)NCCC1CNc2ccccc21>>CC(=O)NCCC1CNc2cc(C(F)(F)F)ccc21,Alkyl-Cl -> Ar-CF3 || Alkyl-NHCOR|Ar-Alkyl|Ar-NHR|R_acidic-H,Alkyl-Cl,Alkyl-NHCOR,,Ar-CF3,,,Pyridine,,,,,,"Hydrofluoricacid,ACS,48-/7783-70-2",,NHR / NHCOR,"Tetrahedron Letters (2004), 45(1), 21-23",80,0.0
Trifluoromethylation,Unknown,ClC(Cl)(Cl)Cl.c1ccc2c(c1)CCN2>>FC(F)(F)c1ccc2c(c1)NCC2,Alkyl-Cl -> Ar-CF3 || Ar-Alkyl|Ar-NHR,Alkyl-Cl,Ar-NHR,,Ar-CF3,,,Pyridine,,,,,,"Hydrofluoricacid,ACS,48-/7783-70-2",,NHR,"Tetrahedron Letters (2004), 45(1), 21-23",83,0.0
Trifluoromethylation,Unknown,FC(Cl)(Cl)Cl.Clc1cc(Cl)c(Cl)cc1Cl>>FC(F)(F)c1c(Cl)c(Cl)cc(Cl)c1Cl,Alkyl-Cl -> Ar-CF3 || Ar-Cl,Alkyl-Cl|Alkyl-F,Ar-Cl,,Ar-CF3,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",,Cl,"Tetrahedron Letters (1989), 30(29), 3825-8",77,-0.9
Trifluoromethylation,Unknown,FC(Cl)(Cl)Cl.Clc1cc(Cl)c(Cl)c(Cl)c1>>FC(F)(F)c1c(Cl)cc(Cl)c(Cl)c1Cl,Alkyl-Cl -> Ar-CF3 || Ar-Cl,Alkyl-Cl|Alkyl-F,Ar-Cl,,Ar-CF3,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",,Cl,"Tetrahedron Letters (1989), 30(29), 3825-8",95,0.9
Trifluoromethylation,Unknown,FC(Cl)(Cl)Cl.Clc1cc(Cl)c(Cl)c(Cl)c1Cl>>FC(F)(F)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Alkyl-Cl -> Ar-CF3 || Ar-Cl,Alkyl-Cl|Alkyl-F,Ar-Cl,,Ar-CF3,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade/75-69-4",,Cl,"Journal of Organic Chemistry (1991), 56(1), 103-10",77,-0.9
Trifluoromethylation,Unknown,c1ccccc1.CCOC(O)C(F)(F)F>>FC(F)(F)C(Cl)c1ccccc1.FC(F)(F)C(c1ccccc1)c1ccccc1,Ar-H|R2CH-OH -> Ar-Alkyl || Alkyl-CF3,Ar-H,R2CH-OH|RCH2-OR,,Alkyl-CF3|Ar-Alkyl|R2CH-Cl,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",DCM,CF3,"Journal of Fluorine Chemistry (1986), 32(4), 361-6",98,-0.71
Trifluoromethylation,Unknown,c1ccccc1.CCOC(O)C(F)(F)F>>OC(c1ccccc1)C(F)(F)F.FC(F)(F)C(Cl)c1ccccc1,Ar-H|RCH2-OR -> Ar-Alkyl || Alkyl-CF3|R2CH-OH,Ar-H,RCH2-OR,,Alkyl-CF3|Ar-Alkyl|R2CH-Cl,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",MeNO2,OH / CF3,"Journal of Fluorine Chemistry (1986), 32(4), 361-6",96,0.41
Trifluoromethylation,Unknown,c1ccccc1.CCOC(O)C(F)(F)F>>OC(c1ccccc1)C(F)(F)F.FC(F)(F)C(Cl)c1ccccc1.FC(F)(F)C(c1ccccc1)c1ccccc1,Ar-H|RCH2-OR -> Ar-Alkyl || Alkyl-CF3|R2CH-OH,Ar-H,RCH2-OR,,Alkyl-CF3|Ar-Alkyl|R2CH-Cl,,,,,,,,,"Aluminumchloride,anhydrous,ReagentGrade",MeNO2,OH / CF3,"Journal of Fluorine Chemistry (1986), 32(4), 361-6",86,-1.14
Trifluoromethylation,Unknown,CC(=O)c1cccn1C.FC(F)(F)I>>CC(=O)c1ccc(C(F)(F)F)n1C,Alkyl-I|HeteroAr-H -> Ar-CF3 || Alkyl-AromN|Ar-COR|HeteroAr-H|R_acidic-H,HeteroAr-H,Alkyl-I|Alkyl-F,,Ar-CF3,ferrocene,,Na2CO3,,,,,,H2SO4/Hydrogen peroxide,DMSO/H2O,AromN / COR,"Journal of Fluorine Chemistry (2010), 131(1), 98-105",79,0.0
Trifluoromethylation,Unknown,c1ccccc1.CCOC(O)C(F)(F)F>>OC(c1ccccc1)C(F)(F)F.CCOC(c1ccccc1)C(F)(F)F,Ar-H -> Ar-Alkyl || Alkyl-CF3|R2CH-OH|RCH2-OR,Ar-H,R2CH-OH,,Alkyl-CF3|Ar-Alkyl,,,,,,,,,7705-08-0/76-14-2,,OH / CF3 / OR,"Journal of Fluorine Chemistry (1986), 32(4), 361-6",13,-0.59
Trifluoromethylation,Unknown,FC(F)(F)[s+]1c2ccccc2c2ccccc21.O=S(=O)([O-])C(F)(F)F.Cc1cccc(C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)c1>>Cc1ccc(C(F)(F)F)c(C(=O)Nc2c(F)c(F)c(C(F)(F)F)c(F)c2F)c1,Alkyl-F|HeteroAr-H -> Ar-CF3 || Ar-Alkyl|Ar-CF3|Ar-F|Ar-NHCOR,HeteroAr-H|Alkyl-F,Alkyl-F,Ar-NHCOR,Ar-CF3,Cu(OAc)2/Pd(OAc)2,,,,,,TFA,,123-39-7,DCE,CF3 / F / NHCOR,"Journal of the American Chemical Society (2012), 134(29), 11948-11951",94,1.26
Trifluoromethylation,Unknown,Cc1c[nH]c2ccccc12.FC(F)(F)I>>Cc1c(C(F)(F)F)[nH]c2ccccc12,Alkyl-I|HeteroAr-H -> Ar-CF3 || Ar-Alkyl|AromN-H|HeteroAr-H,HeteroAr-H,Alkyl-I|Alkyl-F,,Ar-CF3,"Tris(2,2'-bipyridine)ruthenium dichloride",,,,,,,,109-76-2,MeCN,,"ChemSusChem (2014), 7(6), 1612-1617",95,0.85
Trifluoromethylation,Unknown,FC(F)(F)Br.Cc1cccc(N)c1>>Cc1cc(N)ccc1C(F)(F)F,Alkyl-Br -> Ar-CF3 || Ar-Alkyl|Ar-NH2,Alkyl-Br|Alkyl-F,Ar-NH2,,Ar-CF3,,,Na2CO3/Pyridine,,,,,,"Hydrofluoricacid,ACS,48-/7783-70-2",CCl4/H2O,NH2,"Tetrahedron Letters (2003), 44(9), 1747-1750",81,-0.71
Trifluoromethylation,Unknown,CCOC(=O)c1cccc(C)c1.CC1(C)OI(C(F)(F)F)c2ccccc21>>CCOC(=O)c1cc(C)cc(C(F)(F)F)c1,Ar-Alkyl|Ar-I -> Ar-CF3 || Ar-Alkyl|Ar-CO2R,Ar-Alkyl,Ar-I|Alkyl-F|Ar-Alkyl,,Ar-CF3,[Ir(OMe)(cod)]2/CuTC,dtbbpy/phen,LiOH,,,,,,73183-34-3,THF/DCM,CO2R,"Angewandte Chemie, International Edition (2012), 51(2), 540-543, S540/1-S540/68",80,0.0
Trifluoromethylation,Unknown,c1ccc2[nH]ccc2c1.FC(F)(F)I>>FC(F)(F)c1cc2ccccc2[nH]1,Alkyl-I|HeteroAr-H -> Ar-CF3 || AromN-H|HeteroAr-H,HeteroAr-H,Alkyl-I|Alkyl-F,,Ar-CF3,"Tris(2,2'-bipyridine)ruthenium dichloride",,,,,,,,109-76-2,MeCN,,"ChemSusChem (2014), 7(6), 1612-1617",80,-0.54
