reaction_id,yield,z_score,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Ullmann-CN,96,0.0,Ar-Br,,,CuI,DMEDA,,,,,,,26628-22-8/134-03-2,EtOH/H2O,False,Nc1cccc(Br)c1>>[N-]=[N+]=Nc1cccc(N)c1,NH2,"Organic Chemistry Frontiers (2021), 8(11), 2434-2441"
Ullmann-CN,85,0.0,Ar-Br,Ar-Br,,CuI,phen,K2CO3,,,,,,,DMF,False,Sc1ccccc1Br.Brc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)s1>>c1ccc(-c2nc3n(c2-c2ccccc2)-c2ccccc2Sc2ccsc2-3)cc1,Thiophene,"Tetrahedron (2020), 76(7), 130915"
Ullmann-CN,6,0.0,Ar-NH2,Ar-Br,,CuI,phen,Cs2CO3,,,,,,,DMF,False,Nc1nc2ccccc2[nH]1.Brc1ccccc1-c1cc2ccccc2[nH]1>>c1ccc(-c2cc3ccccc3[nH]2)cc1.c1ccc2c(c1)cc1c3ccccc3n3c4ccccc4nc3n21,Indole / Pyrrole,"European Journal of Organic Chemistry (2020), 2020(19), 2807-2812"
Ullmann-CN,87,0.0,Ar-I,Ar-OH,,CuI,phen,Cs2CO3,,,,,,,DMAc,False,Brc1ccccc1I.Oc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>c1ccc(-c2nc3n(c2-c2ccccc2)-c2ccccc2Oc2ccccc2-3)cc1,,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858"
Ullmann-CN,86,-0.72,Ar-I,Ar-OH,,CuI,phen,Cs2CO3,,,,,,,DMAc,False,Brc1ccccc1I.COc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1O>>COc1cccc2c1Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,OR,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858"
Ullmann-CN,89,0.0,Ar-I,Ar-OH,,CuI,phen,Cs2CO3,,,,,,,DMAc,False,Brc1ccccc1I.CCOc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1O>>CCOc1cccc2c1Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,OR,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858"
Ullmann-CN,79,0.71,Ar-I,Ar-OH,,CuI,phen,Cs2CO3,,,,,,,DMAc,False,Brc1ccccc1I.Oc1cc(F)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>Fc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,F,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858"
Ullmann-CN,82,-1.15,Ar-I,Ar-OH,,CuI,phen,Cs2CO3,,,,,,,DMAc,False,Brc1ccccc1I.Cc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>Cc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858"
Ullmann-CN,87,-0.24,Ar-I,Ar-OH,,CuI,phen,Cs2CO3,,,,,,,DMAc,False,Brc1ccccc1I.COc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>COc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,OR,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858"
Ullmann-CN,89,0.0,Ar-I,Ar-OH,,CuI,phen,Cs2CO3,,,,,,,DMAc,False,Brc1ccccc1I.CCN(CC)c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>CCN(CC)c1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,NR2,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858"
