reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccccc1F>>Cn1cc(C(=O)NC(=S)Nc2ccccc2F)c(C(F)F)n1,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|Ar-F|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",93,1.32
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1cccc(F)c1>>Cn1cc(C(=O)NC(=S)Nc2cccc(F)c2)c(C(F)F)n1,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|Ar-F|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",83,-0.98
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccc(F)c(F)c1>>Cn1cc(C(=O)NC(=S)Nc2ccc(F)c(F)c2)c(C(F)F)n1,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|Ar-F|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",85,-0.52
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1c(F)cccc1F>>Cn1cc(C(=O)NC(=S)Nc2c(F)cccc2F)c(C(F)F)n1,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|Ar-F|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",88,0.17
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Cc1cc(C)c(N)c(C)c1>>Cc1cc(C)c(NC(=S)NC(=O)c2cn(C)nc2C(F)F)c(C)c1,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",91,1.05
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.COc1ccccc1N>>Cn1cc(C(=O)NC(=S)Nc2ccccc2OC(F)(F)F)c(C(F)F)n1,|Any-SH|Ar-COCl|Ar-NH2|Ar-OR|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:net_oxidation | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-F;C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol+amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-OCF3|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",83,0.0
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Nc1ccccc1Cl>>Cn1cc(C(=O)NC(=S)Nc2ccccc2Cl)c(C(F)F)n1,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|Ar-Cl|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / Cl / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",86,0.0
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.Cc1cc(C)cc(N)c1>>Cc1cc(C)cc(NC(=S)NC(=O)c2cn(C)nc2C(F)F)c1,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",82,-1.18
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.CCc1cccc(CC)c1N>>CCc1cccc(CC)c1NC(=S)NC(=O)c1cn(C)nc1C(F)F,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",89,0.56
Urea_and_thiourea_formation,Acylation_amide,N.N#CS.Cn1cc(C(=O)Cl)c(C(F)F)n1.CC(C)(C)c1ccc(N)cc1>>Cn1cc(C(=O)NC(=S)Nc2ccc(C(C)(C)C)cc2)c(C(F)F)n1,|Any-SH|Ar-COCl|Ar-NH2|H-NH2 -> Ar-CONHR | spectators: Alkyl-AromN|Alkyl-F|Ar-Alkyl|HeteroAr-H|Pyrazole,sig:LGDisp+C-N | redox:redox_neutral | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_n_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-N | break_cls:C-Cl | lg:Cl | nuc:N | ringd:0 | anom:mapping_unreliable_fallback_used | mech:SNAr | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine+thiol_or_thioether | amb:0,H-NH2,Any-SH,Ar-COCl,Ar-CONHR|Ar-Thiourea,,,,,,,,,,PEG-400/Me2CO/MeCN,Pyrazole / AromN / F / HeteroAr,"Phosphorus, Sulfur and Silicon and the Related Elements (2020), 195(1), 22-28",85,-0.43
