reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Weinreb_amide,Multi-Event:LGDisp+C-C,ClCBr.CON(C)C(=O)CCc1ccccc1>>O=C(CCc1ccccc1)C(Br)I,|Alkyl-Cl|Alkyl-NRCOR|RCH2-CONR2 -> Alkyl-I|RCH2-COR|R_acidic-H | spectators: Alkyl-Br|Ar-Alkyl|R_acidic-H,sig:LGDisp+C-C | form:C-C;C-I | form_labeled:C-C;C-I | break:C-Cl;C-N | redox:net_reduction | redox_conf:0.75 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Alkyl-Cl,RCH2-CONR2|Alkyl-NRCOR,,Alkyl-I|RCH2-COR|R_acidic-H,,,,,,,NH4Cl,,4111-54-0,THF/H2O,Br,"Advanced Synthesis & Catalysis (2020), 362(22), 5056-5061",77.0,0.0
Weinreb_amide,Event:C-C,CCCCCCCCc1ccc([Mg]Br)cc1.CON(C)C(=O)CC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)CC[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,|Alkyl-NRCOR|Alkyl-Si*|Ar-Mg*|RCH2-CONR2 -> Ar-COR|R2CH-OH | spectators: Ar-Alkyl|R_acidic-H,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-Mg*,Alkyl-Si*|RCH2-CONR2|Alkyl-NRCOR,,Ar-COR|R2CH-OH,,,,,,,TBAF,,,Et2O/THF,,"European Journal of Medicinal Chemistry (2018), 159217-242",59.0,0.0
Weinreb_amide,Event:C-C,CCCCCCCCc1ccc([Mg]Br)cc1.CON(C)C(=O)[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,|Alkyl-NRCOR|Alkyl-Si*|Ar-Mg*|R2CH-CONR2 -> Ar-COR|R2CH-OH | spectators: Ar-Alkyl|R_acidic-H,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-Mg*,Alkyl-Si*|R2CH-CONR2|Alkyl-NRCOR,,Ar-COR|R2CH-OH,,,,HCl,,,,,,Et2O/Dioxane,,"European Journal of Medicinal Chemistry (2018), 159217-242",65.0,0.71
Weinreb_amide,Event:C-C,CCCCCCCCc1ccc([Mg]Br)cc1.CON(C)C(=O)[C@H]1C[C@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)[C@H]2C[C@H](O)CN2C(=O)OC(C)(C)C)cc1,|Alkyl-NRCOR|Alkyl-Si*|Ar-Mg*|R2CH-CONR2 -> Ar-COR|R2CH-OH | spectators: Ar-Alkyl|R_acidic-H,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-Mg*,Alkyl-Si*|R2CH-CONR2|Alkyl-NRCOR,,Ar-COR|R2CH-OH,,,,HCl,,,,,,Et2O/Dioxane,,"European Journal of Medicinal Chemistry (2018), 159217-242",62.0,-0.71
Weinreb_amide,Reduction_ester_to_alcohol,CC(C)(C)C(=O)OCI.CC[C@@H]1CN(C(=O)OCc2ccccc2)C[C@@H]1C(=O)N(C)OC>>CC[C@@H]1CN(C(=O)OCc2ccccc2)C[C@@H]1C(=O)CO,|Alkyl-NRCOR|R2CH-CONR2|R3C-CO2R|RCH2-I -> RCH2-OH | spectators: Ar-Alkyl|R_acidic-H,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.75 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,R3C-CO2R|RCH2-I,R2CH-CONR2|Alkyl-NRCOR,,RCH2-COR|RCH2-OH|R_acidic-H,,,,,,,NH4Cl,,1068-55-9,THF/H2O,,"World Intellectual Property Organization, WO2021123288 A1 2021-06-24",32.0,0.0
Weinreb_amide,Event:C-C,[Li]c1ccccc1.CON(C)C(=O)C1=CN=C(Nc2ccc(C(F)(F)F)cc2)N(C(=O)OC(C)(C)C)C1>>CC(C)(C)OC(=O)N1CC(C(=O)c2ccccc2)=CN=C1Nc1ccc(C(F)(F)F)cc1,|Alkenyl-CONR2|Alkyl-NRCOR|Ar-H -> Alkenyl-COR | spectators: Ar-CF3|Ar-NHR|RCH2-Alkenyl,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-H,Alkenyl-CONR2|Alkyl-NRCOR,,Alkenyl-COR,,,,BF3-Et2O,,,NH4Cl,,,THF/Bu2O/EtOAc/H2O,NHR / CF3,"Tetrahedron Letters (2017), 58(45), 4236-4239",60.0,0.0
Weinreb_amide,Multi-Event:LGDisp+C-C,COc1ccc(Br)cc1.CON(C)C(=O)C1=CN=C(Nc2ccc(C(F)(F)F)cc2)N(C(=O)OC(C)(C)C)C1>>COc1ccc(C(=O)C2=CN=C(Nc3ccc(C(F)(F)F)cc3)N(C(=O)OC(C)(C)C)C2)cc1,|Alkenyl-CONR2|Alkyl-NRCOR|Ar-Br -> Alkenyl-COR | spectators: Ar-CF3|Ar-NHR|Ar-OR|RCH2-Alkenyl,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-Br,Alkenyl-CONR2|Alkyl-NRCOR,,Alkenyl-COR,,,n-BuLi,,,,NH4Cl,,,Pent/THF/EtOAc/H2O,NHR / CF3 / OR,"Tetrahedron Letters (2017), 58(45), 4236-4239",59.0,0.0
Weinreb_amide,Event:C-C,[Li]CCCC.CON(C)C(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1>>CCCCC(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1,|Alkenyl-CONR2|Alkyl-H|Alkyl-NRCOR -> Alkenyl-COR|R_acidic-H | spectators: Ar-NHR|RCH2-Alkenyl,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,Alkyl-H,Alkenyl-CONR2|Alkyl-NRCOR,,Alkenyl-COR|R_acidic-H,,,,BF3-Et2O,,,NH4Cl,,,THF/Bu2O/EtOAc/H2O,NHR,"Tetrahedron Letters (2017), 58(45), 4236-4239",59.0,0.0
Weinreb_amide,Event:C-C,C#Cc1ccccc1.CON(C)C(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1>>CC(C)(C)OC(=O)N1CC(C(=O)C#Cc2ccccc2)=CN=C1Nc1ccccc1,|Alkenyl-CONR2|Alkyl-NRCOR|Ar-Alkynyl_terminal -> Alkenyl-COR|Ar-Alkynyl | spectators: Ar-NHR|RCH2-Alkenyl,redox:net_reduction | redox_conf:0.55 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component,Ar-Alkynyl_terminal,Alkenyl-CONR2|Alkyl-NRCOR,,Alkenyl-COR|Ar-Alkynyl,,,n-BuLi,,,,NH4Cl,,,THF/n-Hexane/EtOAc/H2O,NHR,"Tetrahedron Letters (2017), 58(45), 4236-4239",80.0,0.0
Weinreb_amide,Multi-Event:LGDisp+C-C,COc1ccc(Br)cc1.CON(C)C(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1>>COc1ccc(C(=O)C2=CN=C(Nc3ccccc3)N(C(=O)OC(C)(C)C)C2)cc1,|Alkenyl-CONR2|Alkyl-NRCOR|Ar-Br -> Alkenyl-COR | spectators: Ar-NHR|Ar-OR|RCH2-Alkenyl,sig:LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement,Ar-Br,Alkenyl-CONR2|Alkyl-NRCOR,,Alkenyl-COR,,,n-BuLi,,,,NH4Cl,,,Pent/THF/EtOAc/H2O,NHR / OR,"Tetrahedron Letters (2017), 58(45), 4236-4239",74.0,0.0
