reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
Wittig_reaction,Wittig_reaction,CCOc1cc(C=O)cc(Br)c1O.Clc1cccc(CBr)c1Cl.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1cc(/C=C2\CC(=O)NC2=O)cc(Br)c1OCc1cccc(Cl)c1Cl,|Ar-CHO|Bn-Br -> Ar-Alkenyl | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:o_alkylation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO|Ar-OH,Bn-Br,RCH2-CONHR,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",91,0.92
Wittig_reaction,Wittig_reaction,CCOc1cc(C=O)cc(Br)c1O.Clc1ccc(Cl)c(CBr)c1.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1cc(/C=C2\CC(=O)NC2=O)cc(Br)c1OCc1cc(Cl)ccc1Cl,|Ar-CHO|Bn-Br -> Ar-Alkenyl | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:o_alkylation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO|Ar-OH,Bn-Br,RCH2-CONHR,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",92,1.16
Wittig_reaction,Alkyl_Nucleophilic_Substitution,CCOc1cc(C=O)cc(Br)c1O.Clc1cccc(Cl)c1CBr.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1cc(/C=C2\CC(=O)NC2=O)cc(Br)c1OCc1c(Cl)cccc1Cl,|Ar-CHO|Ar-OH|Bn-Br -> Ar-OR | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:o_alkylation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO|Ar-OH,Bn-Br,RCH2-CONHR,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",85,-0.71
Wittig_reaction,Wittig_reaction,Clc1cc(Cl)c(Cl)c(CBr)c1.CCOc1c(O)cc(C=O)cc1Br.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1c(Br)cc(/C=C2\CC(=O)NC2=O)cc1OCc1cc(Cl)cc(Cl)c1Cl,|Ar-CHO|Bn-Br -> Ar-Alkenyl | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:o_alkylation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Bn-Br,Ar-CHO|Ar-OH,RCH2-CONHR,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",82,-1.23
Wittig_reaction,Wittig_reaction,BrC1CCCC1.COc1ccc(C=O)cc1O.CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>CCOC(=O)/C=C/c1ccc(OC)c(OC2CCCC2)c1,|Ar-CHO|R2CH-Br -> Alkenyl-COOR|Ar-Alkenyl | spectators: Ar-OR,sig:LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:substitution | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,R2CH-Br,Ar-CHO|Ar-OH,Ar-H|Alkyl-H,Alkenyl-COOR|Ar-Alkenyl|Ar-OR,,,,,,,,,,THF,OR,"Tetrahedron Letters (2017), 58(46), 4333-4335",92,0.0
Wittig_reaction,Wittig_reaction,CCOc1cc(C=O)cc(Br)c1O.Clc1ccc(CBr)c(Cl)c1.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1cc(/C=C2\CC(=O)NC2=O)cc(Br)c1OCc1ccc(Cl)cc1Cl,|Ar-CHO|Bn-Br -> Ar-Alkenyl | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:o_alkylation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO|Ar-OH,Bn-Br,RCH2-CONHR,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",90,0.68
Wittig_reaction,Wittig_reaction,Clc1ccc(Cl)c(CBr)c1Cl.CCOc1c(O)cc(C=O)cc1Br.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1c(Br)cc(/C=C2\CC(=O)NC2=O)cc1OCc1c(Cl)ccc(Cl)c1Cl,|Ar-CHO|Bn-Br -> Ar-Alkenyl | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:o_alkylation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Bn-Br,Ar-CHO|Ar-OH,RCH2-CONHR,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",82,-1.23
Wittig_reaction,Alkyl_Nucleophilic_Substitution,CCOc1cc(C=O)cc(Br)c1O.Clc1cc(Cl)cc(CBr)c1.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1cc(/C=C2\CC(=O)NC2=O)cc(Br)c1OCc1cc(Cl)cc(Cl)c1,|Ar-CHO|Ar-OH|Bn-Br -> Ar-OR | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:o_alkylation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO|Ar-OH,Bn-Br,RCH2-CONHR,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",88,0.71
Wittig_reaction,Wittig_reaction,O=Cc1ccc(O)cc1O.CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.CC(C)(C)[Si](C)(C)Cl>>CCOC(=O)/C=C/c1ccc(O[Si](C)(C)C(C)(C)C)cc1O[Si](C)(C)C(C)(C)C,|Ar-CHO|Ar-H|Ar-OH -> Alkenyl-COOR|Ar-Alkenyl | spectators: Alkyl-Si*,redox:net_reduction | redox_conf:0.65 | q:high(0.85) | q_reason:mapping_unreliable_fallback_used | kinds:c_c_bond_formation+intermolecular_or_multi_component | fam:bond_formation | mol:intermolecular_or_multi_component | form_cls:C-C;C-Si;O-Si | break_cls:C-C;C-O;C-P;Cl-Si | ringd:-3 | anom:mapping_unreliable_fallback_used | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO|Ar-OH,Ar-H|Alkyl-H,Alkyl-Si*,Alkenyl-COOR|Alkyl-Si*|Ar-Alkenyl,,,,,,,Im,,,DCM,Si*,"European Journal of Organic Chemistry (2015), 2015(22), 4964-4972",85,0.0
Wittig_reaction,Wittig_reaction,CCOc1cc(C=O)cc(Br)c1O.Clc1cc(Cl)c(Cl)c(CBr)c1.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1cc(/C=C2\CC(=O)NC2=O)cc(Br)c1OCc1cc(Cl)cc(Cl)c1Cl,|Ar-CHO|Bn-Br -> Ar-Alkenyl | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H,sig:BzOAlk+LGDisp+C-C | form:C-C | form_labeled:C-C | break:Br-C;C-P | redox:net_reduction | redox_conf:0.65 | q:high(1.00) | kinds:benzyl_o_alkylation_like+c_c_bond_formation+intermolecular_or_multi_component+leaving_group_displacement | fam:o_alkylation | mol:intermolecular_or_multi_component | form_cls:C-C | break_cls:Br-C;C-P | lg:Br | nuc:C | ringd:-3 | risk:overreaction_or_chemoselectivity | ehyb:sp2_aromatic | eenv:aromatic_sp2+benzylic+ewg_activated | nclass:alcohol_or_phenol+carbon_nucleophile_like | amb:0,Ar-CHO|Ar-OH,Bn-Br,RCH2-CONHR,Alkenyl-CONHR|Ar-Alkenyl|Ar-OR|RCH2-Alkenyl,,,K2CO3,,,,,,,DMF/MeOH,Br / CONHR / Cl / OR,"Archiv der Pharmazie (Weinheim, Germany) (2015), 348(7), 463-474",85,-0.51
