reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
WolffKishner,Reduction_carbonyl_to_alcohol,COC(=O)C(=O)C(Cl)c1ccccc1>>NNC(=O)CC(O)c1ccccc1,|R2CH-COR|R2CH-Cl -> R2CH-OH | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O; C-Cl | spectators: Ar-Alkyl|R_acidic-H | events: LGDisp+C-N,R2CH-COR|R2CH-Cl,,,Alkyl-Hydrazide|R2CH-OH,,,,,,,,,302-01-2,MeOH,,"Russian Journal of Organic Chemistry (2005), 41(5), 694-702",73.0,0.0
WolffKishner,Unknown,COC1=CCC=C2C3=C(C(C)C)CC[C@]3(C)CC(=O)[C@@]12C>>CC(C)C1=C2C3=CCCC(=O)[C@]3(C)CC[C@@]2(C)CC1,|Alkenyl-OR -> [] | bond_broken: C-O | spectators: Alkenyl-Alkenyl|RCH2-COR|R_acidic-H,Alkenyl-OR,,,None,,,NaOAc/KOtBu,HCl,,,,,563-41-7,EtOH/Xylenes/THF/H2O,COR,"Journal of Organic Chemistry (2019), 84(6), 3223-3238",65.0,0.0
WolffKishner,Reduction_carbonyl_to_alcohol,COc1ccc2cc(C(=O)c3ccc(OCc4ccccc4)cc3)oc2c1>>COc1ccc2cc(Cc3ccc(O)cc3)oc2c1,|Ar-COR|Ar-OR -> Ar-OH | bond_broken: C-O | spectators: Benzofuran|HeteroAr-H,Ar-COR|Ar-OR,,,Ar-Alkyl|Ar-OH,Mercury(II)chloride,,NaHCO3,HCl,,Zn,,,,H2O/EtOH,Benzofuran / HeteroAr / OR,"Australian Journal of Chemistry (2008), 61(12), 991-999",68.0,0.0
WolffKishner,Unknown,C=CCC(=O)CC(=O)O>>C/C=C/CCC(=O)O,|Allyl-COR -> [] | bond_broken: C-O | spectators: RCH2-CO2H|R_acidic-H,Allyl-COR|R_acidic-H,,,None,,,,,,,,,302-01-2,DMSO,CO2H,"Chemische Berichte (1962), 952498-510",0.0,0.0
WolffKishner,Multi-Event:Ann+C-C,O=C1CC23CC/C=C\CCC2(C1)CC(=O)C3>>C1=C\CCC23CCCC2(CC/1)CCC3.C1=C\CC23CCCC2(CCC/1)CCC3,|RCH2-COR|R_acidic-H -> Alkenyl-H|Alkyl-H | events: Ann+C-C,RCH2-COR|R_acidic-H,,,Alkenyl-H|Alkyl-H,,,K2CO3,,,,,,302-01-2/112-27-6,,,"Journal of Organic Chemistry (1987), 52(18), 4110-15",0.0,0.0
WolffKishner,Unknown,O=C1C2CC=CCC1CC2>>C1=CC2CCC(CC1)C2,|R2CH-COR -> Alkenyl-H|Alkyl-H | bond_broken: C-O,R2CH-COR|R_acidic-H,,,Alkenyl-H|Alkyl-H,,,,,,,,,,,,"Helvetica Chimica Acta (1979), 62(7), 2174-80",0.0,-1.14
WolffKishner,Multi-Event:Ann+C-O+C-C,CC1(C)COC2(CC34CC/C=C\CCC3(CC(=O)C4)C2)OC1>>CC1(C)COC2(CC34CC/C=C\CCC3(CCC4)C2)OC1.CC1(C)COC2(CC34C/C=C\CCCC3(CCC4)C2)OC1,|RCH2-COR|R_acidic-H -> [] | spectators: RCH2-OR | events: Ann+C-O+C-C,RCH2-COR|R_acidic-H,,,None,,,K2CO3,,,,,,302-01-2,,OR,"Tetrahedron Letters (1986), 27(35), 4111-14",43.0,0.0
WolffKishner,Multi-Event:Ann+C-C,O=C1[C@H]2CC[C@@H]1[C@H]1C=C[C@@H]2C1>>C1=C(C2=CCCC2)CCC1.C1=CC2CC1C1CCC2C1.C1=CC2CC1C1CCC2C1,|R2CH-COR|R_acidic-H -> Alkenyl-Alkenyl|Alkenyl-H|Alkyl-H | events: Ann+C-C,R2CH-COR|R_acidic-H,,,Alkenyl-Alkenyl|Alkenyl-H|Alkyl-H,,,KOH,,,,,,302-01-2/112-27-6,,,"Chemische Berichte (1988), 121(12), 2257-8",0.0,0.0
WolffKishner,Reduction_nitro,O=C1C(=O)N(CC=Cc2ccccc2)c2ccc([N+](=O)[O-])cc21>>Nc1ccc2c(c1)CC(=O)N2CCCc1ccccc1,|Ar-Alkenyl|Ar-COR|Ar-NO2 -> Ar-NH2 | bond_broken: N-O; C-O | spectators: Ar-NRCOR,Ar-COR|Ar-Alkenyl|Ar-NO2,,,Ar-Alkyl|Ar-NH2|Bn-CONR2|R_acidic-H,,,,,,,,,hydrazine hydrate,,NRCOR,"European Journal of Organic Chemistry (2014), 2014(16), 3334-3336",52.0,0.0
WolffKishner,Unknown,C=CCN1C(=O)C(=O)c2cc(Cl)ccc21>>CCCN1C(=O)Cc2cc(Cl)ccc21,|Ar-COR -> Bn-CONR2|R_acidic-H | bond_broken: C-O | spectators: Ar-Cl|Ar-NRCOR,Ar-COR,,,Bn-CONR2|R_acidic-H,,,,,,,,,hydrazine hydrate,,Cl / NRCOR,"European Journal of Organic Chemistry (2014), 2014(16), 3334-3336",80.0,0.0
