reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,yield,z_score
protocols_all_v2,Unknown,CCCCCCCCI.B(B1OC(C)(C)C(C)(C)O1)B2OC(C)(C)C(C)(C)O2>>CCCCCCCCB1OC(C)(C)C(C)(C)O1,Alkyl-H|RCH2-I -> Alkyl-Bpin || [],RCH2-I,Alkyl-H,,Alkyl-Bpin,,,t-BuOLi,,,,,,,H2O/MeOH,,"Synthesis of Alkylboronic Esters from Alkyl Iodides. Organic Syntheses, Vol. 99, pp. 15-28 (2022). DOI: 10.15227/orgsyn.099.0015. URL: https://www.orgsyn.org/demo.aspx?prep=v99p0015",0.0,0.0
protocols_all_v2,Arylation_acidic_C_H,O=C1CCCC1.Brc2ccc(C(C)=O)cc2>>O=C(C)c3ccc(C4C(CCC4)=O)cc3,Ar-Br|R_acidic-H -> Ar-Alkyl || Ar-COR|RCH2-COR|R_acidic-H,R_acidic-H,Ar-Br|R_acidic-H,,Ar-Alkyl,Pd(OAc)2,P(o-tol)3,NaOAc/Pyrrolidine/tert-Octylamine,,,,,,,Dioxane,COR,"α-Arylation of Cyclopentanones by Palladium/Enamine Cooperative Catalysis. Organic Syntheses, Vol. 100, pp. 99-112 (2023). DOI: 10.15227/orgsyn.100.0099. URL: https://www.orgsyn.org/demo.aspx?prep=v100p0099",0.0,0.0
protocols_all_v2,Arylation_acidic_C_H,O=C1CCCC1.Brc2ccc(C(C)=O)cc2>>O=C(C)c3ccc(C4C(CCC4)=O)cc3,Ar-Br|R_acidic-H -> Ar-Alkyl || Ar-COR|RCH2-COR|R_acidic-H,R_acidic-H,Ar-Br|R_acidic-H,,Ar-Alkyl,Pd(OAc)2,P(o-tol)3,NaOAc/Pyrrolidine/tert-Octylamine,,,,,,,Dioxane,COR,"α-Arylation of Cyclopentanones by Palladium/Enamine Cooperative Catalysis. Organic Syntheses, Vol. 100, pp. 99-112 (2023). DOI: 10.15227/orgsyn.100.0099. URL: https://www.orgsyn.org/demo.aspx?prep=v100p0099",0.0,0.0
protocols_all_v2,Suzuki_miyaura,CC(C)(C)c1ccc(OS(=O)(=O)C)cc1.B(O)(O)c2ccccc2>>CC(C)(C)c1ccc(-c2ccccc2)cc1,Ar-B(OH)2|Ar-OMs -> Ar-Ar || Ar-Alkyl,Ar-OMs|R_acidic-H,Ar-B(OH)2,,Ar-Ar,Pd(OAc)2,,Et3N/K3PO4,,,,,,,DCM/t-BuOH,,"Palladium-catalyzed Buchwald–Hartwig Amination and Suzuki–Miyaura Cross-coupling Reaction of Aryl Mesylates. Organic Syntheses, Vol. 92, pp. 195-212 (2015). DOI: 10.15227/orgsyn.092.0195. URL: https://www.orgsyn.org/demo.aspx?prep=v92p0195",0.0,0.0
protocols_all_v2,Cyanation_coupling,IC1=NNC2=C1C=CC=C2>>N#CC3=NNC4=CC=CC=C43,HeteroAr-I -> Ar-CN || AromN-H|HeteroAr-H,HeteroAr-I,,,Ar-CN,[PdCl(C3H5)]2,XantPhos,,,,,,,,H2O/DMAc,,"Preparation of 1H-Indazole-3-carbonitrile. Organic Syntheses, Vol. 97, pp. 314-326 (2020). DOI: 10.15227/orgsyn.097.0314. URL: https://orgsyn.org/demo.aspx?prep=v97p0314",0.0,0.0
protocols_all_v2,Cyanation_coupling,IC=CCCCCCC.CC(C)(O)C#N>>N#CC=CCCCCCC,Alkenyl-I|R3C-OH -> Alkenyl-CN || [],Alkenyl-I,R3C-OH|R3C-CN,,Alkenyl-CN,CuI,phen,Bu3N,,,,,,,DMF,,"Copper-catalyzed Cyanation of Alkenyl Iodides. Organic Syntheses, Vol. 93, pp. 163-177 (2016). DOI: 10.15227/orgsyn.093.0163. URL: https://www.orgsyn.org/demo.aspx?prep=v93p0163",0.0,0.0
protocols_all_v2,Unknown,CC(C)(C)OC(=O)N(CC=C)CC=C>>CC(C)(C)OC(=O)N1CCC=C1,[] -> [] || Alkyl-N(R)CO2R,Alkyl-N(R)CO2R,,,None,Grubbs-I,TRIS(HYDROXYMETHYL)PHOSPHINE,Et3N,,,,,,,DCM/MeOH,N(R)CO2R,"RING-CLOSING METATHESIS SYNTHESIS OF N-Boc-3-PYRROLINE. Organic Syntheses, Vol. 80, pp. 85 (2003). DOI: 10.15227/orgsyn.080.0085. URL: https://www.orgsyn.org/demo.aspx?prep=v80p0085",0.0,0.0
protocols_all_v2,Unknown,CC(=O)Oc1ccc(C=C)cc1.O=C(F)c2ccccc2>>CC(=O)Oc1ccc(C(C)C(=O)c2ccccc2)cc1,Ar-Alkenyl_terminal|Ar-COF -> Ar-COR || Alkyl-CO2R|R_acidic-H,Ar-Alkenyl_terminal,Ar-COF,,Ar-Alkyl|Ar-COR|R_acidic-H,,,K3PO4,,,Triethoxysilane,,,,DMF,CO2R,"Synthesis of α-Aryl Ketones via the Nickel-Catalyzed Hydroacylation of Aryl Alkenes with Aroyl Fluorides. Organic Syntheses, Vol. 102, pp. 367-380 (2025). DOI: 10.15227/orgsyn.102.0367. URL: https://www.orgsyn.org/demo.aspx?prep=v102p0367",0.0,0.0
protocols_all_v2,Unknown,CCCCCCCCI.CCOC(=O)CC(=O)Cl>>CCOC(=O)CC(=O)CCCCCCCC,Acyl-Cl|RCH2-I -> RCH2-COR || RCH2-CO2R|R_acidic-H,RCH2-I,Acyl-Cl,,RCH2-COR|R_acidic-H,NiCl2(dme),dtbbpy,,,,Mn,,,,DMAc,CO2R,"Nickel-Catalyzed Synthesis of Ketones from Alkyl Halides and Acid Chlorides: Preparation of Ethyl 4‑Oxododecanoate. Organic Syntheses, Vol. 93, pp. 50-62 (2016). DOI: 10.15227/orgsyn.093.0050. URL: https://www.orgsyn.org/demo.aspx?prep=v93p0050",0.0,0.0
protocols_all_v2,Suzuki_miyaura,Brc1cncnc1.OB(O)c1ccoc1>>C1(C2=COC=C2)=CN=CN=C1,HeteroAr-B(OH)2|HeteroAr-Br -> Ar-Ar || HeteroAr-H,HeteroAr-Br,HeteroAr-B(OH)2,,Ar-Ar,Bis(tricyclohexylphosphine)dichloronickel,,K3PO4,,,,,,,t-AmylOH,,"Nickel-Catalyzed Suzuki-Miyaura Coupling in t-Amyl Alcohol for the Preparation of 5-(Furan-3-yl)pyrimidine. Organic Syntheses, Vol. 93, pp. 306-318 (2016). DOI: 10.15227/orgsyn.093.0306. URL: https://www.orgsyn.org/demo.aspx?prep=v93p0306",0.0,0.0
protocols_all_v2,Unknown,BrC1=CC=CC=C1.CC([Si](C)(C)C)=O>>CC(C2=CC=CC=C2)=O,Alkyl-Si*|Ar-Br -> Ar-COR || R_acidic-H,Ar-Br,Alkyl-Si*,,Ar-COR,PD(PPH3)4,,,,,,CsF,,,DCE,,"Palladium-Catalyzed Acetylation of Arylbromides. Organic Syntheses, Vol. 98, pp. 68-83 (2021). DOI: 10.15227/orgsyn.098.0068. URL: https://www.orgsyn.org/demo.aspx?prep=v98p0068",0.0,0.0
protocols_all_v2,C_N_Coupling,CC(C)(C)c1ccc(OS(=O)(=O)C)cc1.CNc2ccccc2>>CC(C)(C)c1ccc(N(C)c2ccccc2)cc1,Ar-NHR|Ar-OMs -> Ar-NR2 || Ar-Alkyl,Ar-OMs|R_acidic-H,Ar-NHR,,Ar-NR2,Pd(OAc)2,CM-Phos,Et3N/K2CO3,,,,,,PhB(OH)2,DCM/t-BuOH,,"Palladium-catalyzed Buchwald–Hartwig Amination and Suzuki–Miyaura Cross-coupling Reaction of Aryl Mesylates. Organic Syntheses, Vol. 92, pp. 195-212 (2015). DOI: 10.15227/orgsyn.092.0195. URL: https://www.orgsyn.org/demo.aspx?prep=v92p0195",0.0,0.0
protocols_all_v2,Michael_addition,C#Cc1ccccc1.CCC(=O)C=C>>CC(=O)CCC#CC1=CC=CC=C1,Alkenyl-COR|Ar-Alkynyl_terminal -> Ar-Alkynyl || R_acidic-H,Ar-Alkynyl_terminal,Alkenyl-COR,,Alkyl-Alkynyl|Ar-Alkynyl|Propargyl-H|RCH2-COR|R_acidic-H,Pd(OAc)2,PMe3,,,,,,,,H2O/PhMe,,"Palladium-catalyzed 1,4-Addition of Terminal Alkynes to Conjugated Enones. Organic Syntheses, Vol. 91, pp. 72-82 (2014). DOI: 10.15227/orgsyn.091.0072. URL: https://www.orgsyn.org/demo.aspx?prep=v91p0072",0.0,0.0
protocols_all_v2,Unknown,OCc1ccccc1.O=Cc1ccc(O)cc1>>O=Cc1ccc(OCc2ccccc2)cc1,Ar-OH|Bn-OH -> Ar-OR || Ar-CHO,Bn-OH,Ar-OH,,Ar-OR,,PPh3,,,,,,,,THF,CHO,"Unspecified (Mitsunobu etherification of benzyl alcohol with 4-hydroxybenzaldehyde). Organic Letters, Vol. 6, pp. 397 (2004). DOI: N/A. URL: N/A",0.0,0.0
protocols_all_v2,Sonogashira,NC(=O)c1ccccc1I.C#CCCCC>>NC(=O)c1ccccc1C#CCCCC,Alkyl-Alkynyl_terminal|Ar-I -> Ar-Alkynyl || Ar-CONH2|Propargyl-H,Ar-I,Alkyl-Alkynyl_terminal,,Alkyl-Alkynyl|Ar-Alkynyl,CuI/Pd(OAc)2,PPh3,Et3N,,,,,,,DMF,CONH2,"N‑Carboxylated‑2‑substituted Indoles and 2,3‑Disubstituted‑2,3‑dihydro‑4‑quinolones from 2‑Alkynylbenzamides — Step A: 2‑(1‑Hexynyl)benzamide. Organic Syntheses, Vol. 91, pp. 27-38 (2014). DOI: 10.15227/orgsyn.091.0027. URL: https://www.orgsyn.org/demo.aspx?prep=v91p0027",0.0,0.0
protocols_all_v2,Unknown,BrC1CCCCC1.Clc2ccc(B(OC3(C)C)OC3(C)C)cc2>>Clc4ccc(C5CCCCC5)cc4,Ar-Bpin|R2CH-Br -> Ar-Alkyl || Ar-Cl,R2CH-Br,Ar-Bpin,,Ar-Alkyl,,,NaOtBu,,,,,,,PhMe,Cl,"Copper-Catalyzed Suzuki-Miyaura Coupling of Unactivated Alkyl Halides with Arylborons. Organic Syntheses, Vol. 102, pp. 86-99 (2025). DOI: 10.15227/orgsyn.102.0086. URL: https://www.orgsyn.org/demo.aspx?prep=v102p0086",0.0,0.0
