reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-004-CAS-1836339,Acetal ketal formation,83,,,CO.Cc1ccc(S(=O)(=O)OC2CCCCC2=O)cc1>>COC1(OC)CCCCC1O,"Journal of Chemical Research, Synopses (1993), (10), 430-1","64-17-5, 39511-08-5",853649-29-3,1310-58-3,,67-56-1,,,,,,,1,1,83,,,,,,,
31-006-CAS-4562916,Acetal ketal formation,5,,,CO.O=Cc1ccc(COC2CCCCO2)cc1>>COC(OC)c1ccc(CO)cc1.COC(OC)c1ccc(COC2CCCCO2)cc1,"Synlett (2004), (6), 1074-1076","100-52-7, 107-21-1","936-51-6, 39252-69-2","149-73-5, 144-55-8",14283-07-9,"67-56-1, 7732-18-5",,,,,,"General/Typical Procedure: A typical procedure is as follows (Table 1, entry 1): To a solution of benzaldehyde (531 mg, 5 mmol) and LiBF4 (14.1 mg, 0.15 mmol) in anhydrous methanol (2.5 cm3) trimethyl orthoformate (690 mg, 6.5 mmol) was added. After the mixture was kept stirring at reflux for 30 minutes, it was quenched by adding saturated NaHCO3 (10 cm3). The resulting mixture was extracted with EtOAc (30 cm3, 10 cm3 × 2). The combined extracts were washed with saturated NaCl (10 cm3). The organic layer was dried (Na2SO4), and concentrated to give 761 mg (100%) of benzaldehyde dimethyl acetal (>99% pure by GC and 1H and 13C NMR).15 4-(Perhydro-2H-pyran-2-yloxymethyl)benzaldehyde Dimethyl Acetal, yield 81%; Yield 5%. 1H NMR (CDCl3): δ = 1.49-1.92 (m, 6 H), 3.33 (s, 6 H), 3.52-3.56 (m, 1 H), 3.89-3.95 (m, 1 H), 4.51 (d, J = 12.2 Hz, 1 H), 4.70 (t, J = 3.35 Hz, 1 H), 4.79 (d, J = 12.2 Hz, 1 H), 5.39 (s, 1 H), 7.37 (d, J = 7.95 Hz, 2 H), 7.43 (d, J = 7.95 Hz, 2 H). 13C NMR (CDCl3): δ = 19.4, 25.5, 30.6, 52.7, 62.1, 68.5, 97.8, 103.1, 126.7, 127.6, 137.3, 138.6",2,1,5,81,,,,,,
31-006-CAS-6529633,Acetal ketal formation,85,,,COC(C)(C)OC.O=C=O>>CC(C)=O.COC(=O)OC,"Journal of Organic Chemistry (1999), 64(12), 4506-4508","98-86-2, 100-52-7, 149-73-5","1125-88-8, 4316-35-2",,1067-55-6,67-56-1,,,,,,,2,1,85,88,,,,,,"high pressure, supercrit. CO2"
31-008-CAS-21827153,Acetal ketal formation,86,,,CO.O=CC[C@H](O)[C@H](O)CO.CC(C)(C)[Si](Cl)(Cl)C(C)(C)C>>COC1C[C@@H]2O[Si](C(C)(C)C)(C(C)(C)C)OC[C@H]2O1,"Chemistry - An Asian Journal (2020), 15(5), 573-576","103-95-7, 107-21-1",72845-85-3,"144-55-8, 288-32-4",7647-01-0,"67-56-1, 7732-18-5, 68-12-2",,,,,,,4,1,86,,,,,,,
31-010-CAS-18158069,Acetal ketal formation,85,,,CO.CCCC(NC(=O)OC)OC>>CCCC(OC)OC,"Journal of Organic Chemistry (1983), 48(19), 3338-40","107-21-1, 39515-51-0",62373-79-9,7664-93-9,,,,,,,,,1,1,85,,,,,,,
31-010-CAS-18161825,Acetal ketal formation,92,,,CO.CCCCCC(NC(=O)OC)OC>>CCCCCC(OC)OC,"Journal of Organic Chemistry (1983), 48(19), 3338-40","20672-67-7, 83051-88-1",899440-14-3,7664-93-9,,,,,,,,,1,1,92,,,,,,,
31-010-CAS-18220876,Acetal ketal formation,89,,,CO.COC(=O)CCC(NC(=O)OC)OC>>COC(=O)CCC(OC)OC,"Journal of Organic Chemistry (1983), 48(19), 3338-40","67-64-1, 3068993-74-5",3078615-86-5,7664-93-9,,,,,,,,,1,1,89,,,,,,,
31-010-CAS-18256134,Acetal ketal formation,90,,,CO.COC(=O)NC(CCOC(C)C)OC>>COC(CCOC(C)C)OC,"Journal of Organic Chemistry (1983), 48(19), 3338-40","67-64-1, 5328-37-0",27820-98-0,7664-93-9,,,,,,,,,1,1,90,,,,,,,
31-010-CAS-18280491,Acetal ketal formation,93,,,CO.CCCCCCCC(NC(=O)OC)OC>>CCCCCCCC(OC)OC,"Journal of Organic Chemistry (1983), 48(19), 3338-40","22414-64-8, 1977501-81-7, 124-41-4",1977501-93-1,7664-93-9,,,,,,,,,1,1,93,,,,,,,
31-010-CAS-18285385,Acetal ketal formation,88,,,CO.COC(=O)CCCCC(NC(=O)OC)OC>>COC(=O)CCCCC(OC)OC,"Journal of Organic Chemistry (1983), 48(19), 3338-40","60-24-2, 98-86-2",5684-32-2,7664-93-9,,,,,,,,,1,1,88,,,,,,,
