reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-173-CAS-18027885,Bucherer–Bergs,88,,,N#[C][K].N.O=C(O)O.CC(C)(C)OC(=O)N1CC2CN(C(=O)OC(C)(C)C)CC(C1)C2=O>>CC(C)(C)OC(=O)N1CC2CN(C(=O)OC(C)(C)C)CC(C1)C21NC(=O)NC1=O,"Tetrahedron (2015), 71(15), 2241-2245","151-50-8, 506-87-6, 1421067-12-0",1421067-15-3,,,"64-17-5, 7732-18-5",,,,,,,1,1,88,,,,,,,"thermal, sealed tube used"
31-173-CAS-18039931,Bucherer–Bergs,72,,,N#[C][K].N.O=C(O)O.O=C1CCC(CO)(CO)CC1>>O=C1NC(=O)C2(CCC(CO)(CO)CC2)N1,"Collection of Czechoslovak Chemical Communications (2010), 75(12), 1259-1272","151-50-8, 506-87-6, 1932654-43-7",1932654-44-8,12125-02-9,,"64-17-5, 7732-18-5",,,,,,,1,1,72,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18053291,Bucherer–Bergs,83,,,N#[C][K].O=C1c2ccccc2-c2ccccc21.N.O=C(O)O>>O=C1NC(=O)C2(N1)c1ccccc1-c1ccccc12,"Synthetic Communications (2013), 43(23), 3115-3120","143-33-9, 506-87-6, 610-89-9",91431-02-6,7647-01-0,,"64-17-5, 7732-18-5",,,,,,"General/Typical Procedure: General Procedure for Synthesis of 5,5-Disubstituted Hydantoins Under Conventional Heating Conditions All of 5,5-disubstituted hydantions were synthesized by the method of Bucherer-Bergs shown in Scheme 1. Following this procedure, 5 mmol of aldehyde or ketone was dissolved in 7mL of 50% ethanol. The freshly powdered ammonium carbonate (2.40 g) and 0.42 g of potassium cyanide (6.5 mmol) were dissolved in 7mL H2O. The mixture was placed in a round-bottomed flask. The reactants were mixed and irradiated at microwave oven for the period as indicated in Table 1. The progress of the reaction was monitored by thin-layer chromatography (TLC, ethyl acetate/petroleum ether = 1:1.3 v/v). After the completion, the reaction mixture was chilled in an ice bath. The solution was neutralized with diluted hydrochloric acid. The solvent was removed under reduced pressure. The product was collected by filtration and washed with EtOH/H2O (1:1). The product was dried and recrystallized from 95% ethanol. The products were identified by comparing their physical and spectral data with those of authentic samples. 5-(4-Methoxyphenyl)-imidazolidine-2,4-dione (C10H10N2O3, 2c) Spiro[Fluorene-4,9-imidazolidine]-2,4-dione (C15H10N2O2, 2j) Yellow powdery. Mp: Rep. <300; Lit. 324-325 a ; UV (CH3OH) λ max: 250 nm; 1H NMR (DMSO-d6 , 400 MHz) δ: 11.1 (s, 1H, N3-H), 9.33 (s, 1H, N1-H), 7.89-7.85 (t, J=6.7 Hz, 2H), 7.50-7.45 (m, 4H), 7.37-7.34 (t, J=6.7, 2H); 13C NMR (DMSO-d6 ) δ: 175.26 (C4=O), 156.43 (C2=O), 140.39 (2C), 128.96 (2C), 128.48 (4CH), 127.04 (4CH), 70.66 (Cspiro), IR (KBr cm-1) ν: 3270 (N-H, s), 3200 (NH, s), 1770 (C=O, m), 1730 (C4=O, s), 1400 (N-H, b, w), 760 (=C-H, b), 740 (=C-H, w), Anal. Calcd. for C15H10N2O2 (250.245): C 71.42, H 4.79, N 11.10, O 12.68; Found: C 71.40, H 4.82, N 11.11, O 12.70; M.S. (m/z): 250 (M+, 25), 207 (54), 179 (100), 178 (86).",2,1,83,,,,,,,"green chemistry-catalyst, microwave irradiation, alternative preparation shown, Bucherer-Bergs Reaction"
31-173-CAS-18060912,Bucherer–Bergs,86,,,N#[C][K].N.O=C(O)O.COC(=O)C1(CCC=O)CCCN1C(=O)OCc1ccccc1>>COC(=O)C1(CCC2NC(=O)NC2=O)CCCN1C(=O)OCc1ccccc1,"Tetrahedron (2013), 69(5), 1576-1582","143-33-9, 506-87-6, 1676-63-7",68524-15-2,,,"67-56-1, 7732-18-5",,,,,,,1,1,86,,,,,,,"Bucherer-Berg reaction, dropwise addition of aq. KCN stage 1, sealed tube used"
31-173-CAS-18077775,Bucherer–Bergs,96,,,N#[C][K].N.O=C(O)O.O=C1CCc2ccccc2C1>>O=C1NC(=O)C2(CCc3ccccc3C2)N1,"Synlett (2016), 27(1), 83-87","119-61-9, 151-50-8, 506-87-6",57-41-0,7647-01-0,,"68-12-2, 141-78-6, 7732-18-5",,,,,,"General/Typical Procedure: General Experimental Procedure for the Continuous Buch-erer-Bergs Reaction Feed A consisting of the carbonyl compound 1a-k dissolved in EtOAc was pumped with a flow rate of 70 μL min-1 and merged in a T-shaped mixing unit with a second feed (430 μL min-1) containing an aqueous solution of (NH4)2CO3 (3.5 equiv) and KCN (1.5 equiv). The combined mixture was passed through a coil reactor made out of Hastelloy (16 mL internal volume, 32 min residence time) at 120 °C and 20 bar back pressure. To avoid precipitation of the corresponding hydantoin, the back pressure regulating unit was heated to 120°C. The reaction mixture was collected in a sealed flask and subsequently acidified with concentrated HCl. Workup by extraction with EtOAc or crystallization afforded the respective hydantoins 2a-k in analytical purity. Compound 2a: Feed A: acetophenone (2.53 mmol, 5.0 M in EtOAc). Feed B: KCN (1.24 M), (NH4)2CO3 (2.88 M) in H2O. Isolation by extraction. The title compound in 91% yield (440 mg, 2.31 mmol) as a colorless solid. Continuous Flow Synthesis of Spiro(hydantoin-5,2’-tetraline (Table 2, 2j). Feed A consisting of β-tetralone (1.47 mmol, 0.5 M, 3.0 mL sample loop) dissolved in EtOAc/DMF (1:2) was pumped with a flow rate of 200 μL min-1 and merged in a Tshaped mixing unit with a second feed with an flow rate of 300 µL min-1 containing an aqueous solution of ammonium carbonate (1.14 M, 3.5 equiv.) and potassium cyanide (0.49 M, 1.5 equiv.). The combined mixture was passed through a coil reactor made out of Hastelloy (16 mL internal volume, 32 min residence time) at 120°C and 20 bar back pressure. To avoid precipitation of the corresponding hydantoin, the back pressure regulating unit was heated to 120 °C as well. The product was collected in a sealed flask. Work-up by crystallization. The title compound in 96 % yield (304 mg, 1.40 mmol) as colorless solid. Mp: 258-260°C (lit.S9 267 °C). 1H NMR (300 MHz, DMSO) δ 10.71 (s, 1H), 8.32 (s, 1H), 7.13-7.07 (m, 4H), 3.11 (d, J = 16.9 Hz, 1H), 2.91 (dd, J = 5.9, 10.5 Hz, 2H), 2.77 (d, J = 17.0 Hz, 1H), 2.94-2.88 (m, 1H), 2.00-1.90 (m, 1H), 1.84-1.77 (m, 1H); 13C NMR (75 MHz, DMSO) δ 178.65, 156.77, 135.30, 133.06, 129.42, 129.03, 126.41, 126.32, 61.18, 37.28, 30.49, 25.16.",2,1,96,,,,,,,"high pressure, Bucherer-Bergs reaction, sealed flask used, flow system"
31-173-CAS-18114409,Bucherer–Bergs,98,,,N#[C][Na].N.O=C(O)O.CC(C)OP(=O)(OC(C)C)[C@H]1[C@H]2CCC(=O)[C@H]21>>CC(C)OP(=O)(OC(C)C)[C@H]1[C@H]2CC[C@@]3(NC(=O)NC3=O)[C@H]21,"Tetrahedron: Asymmetry (2010), 21(11-12), 1486-1493","151-50-8, 506-87-6, 530-93-8",52094-70-9,,,"64-17-5, 7732-18-5",,,,,,,1,1,98,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18115089,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.COc1ccccc1C(C)=O>>COc1ccccc1C1(C)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 586-37-8",957042-21-6,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18117726,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CC(=O)c1ccc(C(C)C)cc1>>CC(C)c1ccc(C2(C)NC(=O)NC2=O)cc1,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 2124-31-4",1031391-90-8,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18120135,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.COc1ccc(C(C)=O)cc1OC>>COc1ccc(C2(C)NC(=O)NC2=O)cc1OC,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 85013-98-5",1031391-93-1,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18121989,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.COc1cccc(C(C)=O)c1>>COc1cccc(C2(C)NC(=O)NC2=O)c1,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","506-87-6, 1873334-78-1",1873334-79-2,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18122706,Bucherer–Bergs,99,,,N#[C][Na].N.O=C(O)O.CC(=O)c1ccc(OC(C)C)cc1>>CC(C)Oc1ccc(C2(C)NC(=O)NC2=O)cc1,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 1246564-33-9",1246564-34-0,,,"64-17-5, 7732-18-5",,,,,,,1,1,99,,,,,,,"microwave irradiation, Bucherer-Bergs reaction"
31-173-CAS-18125986,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CCOc1ccc(C(C)=O)cc1>>CCOc1ccc(C2(C)NC(=O)NC2=O)cc1,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","506-87-6, 32499-64-2",1873320-51-4,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18128373,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CC(=O)c1ccc(OC(F)(F)F)cc1>>CC1(c2ccc(OC(F)(F)F)cc2)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 645-13-6",208337-63-7,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18130331,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CC(=O)c1ccc2c(c1)OCO2>>CC1(c2ccc3c(c2)OCO3)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 20632-12-6",1031392-32-1,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18132740,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CC(=O)c1ccc2c(c1)OCCO2>>CC1(c2ccc3c(c2)OCCO3)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 579-74-8",88807-87-8,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18134043,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CC(=O)c1ccc(N(C)C)cc1>>CN(C)c1ccc(C2(C)NC(=O)NC2=O)cc1,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 2642-63-9",52715-57-8,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18147393,Bucherer–Bergs,83,,,N#[C][Na].N.O=C(O)O.C=C(C)CC(C(C)=O)C(=O)OCC>>C=C(C)CC(C(=O)OCC)C1(C)NC(=O)NC1=O,"Tetrahedron (2015), 71(7), 1101-1108","151-50-8, 486-25-9, 506-87-6",6278-92-8,7647-01-0,,"64-17-5, 7732-18-5",,,,,,,2,1,83,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18153787,Bucherer–Bergs,83,,,N#[C][Na].N.O=C(O)O.C=CCC(C(C)=O)C(=O)OCC>>C=CCC(C(=O)OCC)C1(C)NC(=O)NC1=O,"Tetrahedron (2015), 71(7), 1101-1108","151-50-8, 506-87-6, 1236214-08-6",1236214-09-7,7647-01-0,,"64-17-5, 7732-18-5",,,,,,,2,1,83,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18168493,Bucherer–Bergs,84,,,O=C(c1ccccc1)c1ccccc1.N#[C][K].N.O=C(O)O>>O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,"Synthetic Communications (2013), 43(23), 3115-3120","89-80-5, 506-87-6",1873320-52-5,7647-01-0,,"64-17-5, 7732-18-5",,,,,,"General/Typical Procedure: General Procedure for Synthesis of 5,5-Disubstituted Hydantoins Under Conventional Heating Conditions All of 5,5-disubstituted hydantions were synthesized by the method of Bucherer-Bergs shown in Scheme 1. Following this procedure, 5 mmol of aldehyde or ketone was dissolved in 7mL of 50% ethanol. The freshly powdered ammonium carbonate (2.40 g) and 0.42 g of potassium cyanide (6.5 mmol) were dissolved in 7mL H2O. The mixture was placed in a round-bottomed flask. The reactants were mixed and irradiated at microwave oven for the period as indicated in Table 1. The progress of the reaction was monitored by thin-layer chromatography (TLC, ethyl acetate/petroleum ether = 1:1.3 v/v). After the completion, the reaction mixture was chilled in an ice bath. The solution was neutralized with diluted hydrochloric acid. The solvent was removed under reduced pressure. The product was collected by filtration and washed with EtOH/H2O (1:1). The product was dried and recrystallized from 95% ethanol. The products were identified by comparing their physical and spectral data with those of authentic samples. 5-(4-Methoxyphenyl)-imidazolidine-2,4-dione (C10H10N2O3, 2c) 5,5-diphenylhydantoin (C15H12N2O2, 2i) White needles. Mp: Rep. 295-296; Lit. 297-298 g ; UV (CH3OH) λ max: 276 nm; 1H NMR (DMSO-d6 , 400 MHz) δ: 11.1 (s, 1H, N3-H), 9.33 (s, 1H, N1-H), 7.36 (m, 10H); 13C NMR (DMSO-d6 ) δ: 175.26 (C=O), 156.43 (C=O), 140.39 (2C), 128.96 (2CH), 128.48 (4CH), 127.04 (4CH), 70.66 (Cspiro); IR (KBr cm-1) ν: 3270 (N-H, s), 3200 (N-H, s), 1770 (C=O, m), 1730 (C=O, s), 1710 (C4=Oasym, s), 1400 (N-H, b), 760 (=C-H, b), 740 (=C-H), Anal. Calcd. for C15H12N2O2 (252.249): C 71.42, H 4.79, N 11.10, O 12.68; Found: C 71.45, H 4.80, N 11.12, O 12.66; M.S. (m/z): 252 (M+, 56), 223 (44), 209 (39), 180 (100), 165 (23), 104 (56), 77 (42), 51 (30).",2,1,84,,,,,,,"green chemistry, microwave irradiation, alternative preparation shown, Bucherer-Bergs Reaction"
31-173-CAS-18180499,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CCC(=O)c1ccc2c(c1)OCCO2>>CCC1(c2ccc3c(c2)OCCO3)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 28281-49-4",1031392-04-7,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18182897,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CCCC(=O)c1ccc2c(c1)OCO2>>CCCC1(c2ccc3c(c2)OCO3)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 709-63-7",868635-03-4,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18184834,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CCC(=O)c1ccc2c(c1)OCO2>>CCC1(c2ccc3c(c2)OCO3)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 63740-97-6",1031392-28-5,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18185635,Bucherer–Bergs,85,,,CCC(=O)c1ccc(OC)cc1.N#[C][Na].N.O=C(O)O>>CCC1(c2ccc(OC)cc2)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 1131-62-0",956611-52-2,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18187953,Bucherer–Bergs,85,,,CC(=O)c1ccc([N+](=O)[O-])cc1.N#[C][Na].N.O=C(O)O>>CC1(c2ccc([N+](=O)[O-])cc2)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 20962-70-3",1646174-05-1,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18190278,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CC(=O)c1ccc(C(F)(F)F)cc1>>CC1(c2ccc(C(F)(F)F)cc2)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","100-19-6, 143-33-9, 506-87-6",64464-22-8,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18192153,Bucherer–Bergs,85,,,CC(=O)c1ccc(-c2ccccc2)cc1.N#[C][Na].N.O=C(O)O>>CC1(c2ccc(-c3ccccc3)cc2)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","121-97-1, 143-33-9, 506-87-6",188920-93-6,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-18194042,Bucherer–Bergs,85,,,N#[C][Na].N.O=C(O)O.CC(=O)c1ccc(Cl)c(Cl)c1>>CC1(c2ccc(Cl)c(Cl)c2)NC(=O)NC1=O,"Bioorganic & Medicinal Chemistry Letters (2015), 25(13), 2668-2674","143-33-9, 506-87-6, 2879-20-1",301301-43-9,,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-21075927,Bucherer–Bergs,90,,,O=C(c1ccccc1)c1ccccc1.N#[C][K].N.O=C(O)O>>O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,"Iranian Chemical Communication (2017), 5(1), 58-66","119-61-9, 151-50-8, 506-87-6",57-41-0,7647-01-0,1314-13-2,7732-18-5,,,,,,,2,1,90,,,,,,,"green chemistry, solid state (in stage 1), nano-ordered zinc oxide catalyst prepared and used, Bucherer-Bergs reaction, reusable catalyst, no solvent in stage 1"
31-173-CAS-21306715,Bucherer–Bergs,79,,,N#[C][K].N.O=C(O)O.COc1cccc(Oc2ccc3c(c2)CC(=O)CC3)c1>>COc1cccc(Oc2ccc3c(c2)CC2(CC3)NC(=O)NC2=O)c1,"Chemical Research in Chinese Universities (2013), 29(1), 76-81","143-33-9, 506-87-6, 936-67-4",1841085-18-4,,,"64-17-5, 7732-18-5",,,,,,,1,1,79,,,,,,,Bucherer-Bergs reaction
31-173-CAS-21343224,Bucherer–Bergs,77,,,N#[C][Na].N.O=C(O)O.C=C(C)CC1CCCCC1=O>>C=C(C)C[C@H]1CCCC[C@@]12NC(=O)NC2=O,"Synthesis (2016), 48(3), 387-393","151-50-8, 506-87-6, 340022-80-2",1268630-08-5,7647-01-0,,"64-17-5, 7732-18-5",,,,,,"General/Typical Procedure: Alkenyl Spirohydantoins 2a-c; General Procedure To a 100 mL round-bottom flask equipped with a reflux condenser containing 50% aq EtOH (30 mL) were added the appropriate unsaturated ketone 1 (5 mmol), NaCN (0.490 g, 10 mmol), and (NH4)2CO3 (1.920 g, 20 mmol). The reaction mixture was stirred and heated to reflux for 24 h. The mixture was then cooled to r.t. and filtered. The pH of the filtrate was adjusted to ~2 by carefully adding of concd HCl. The filtrate was placed in a refrigerator for better crystallization of the products. The products were separated by filtration and dried in a vacuum oven (45 °C/20 mbar, 24 h). Purity of the products was checked by TLC. cis-6-Allyl-1,3-diazaspiro[4.4]nonane-2,4-dione (2a) cis-6-(2-Methylallyl)-1,3-diazaspiro[4.5]decane-2,4-dione (2c) Yield: 0.856 g (77%); crystalline solid. mp 208 °C; Rf = 0.55 (toluene-EtOAc-MeOH, 5:5:1). IR (KBr): 3289, 2926, 1767, 1714, 1406 cm-1. 1H NMR (200 MHz, CDCl3): δ = 0.75-1.05 (m, 1 H), 1.17-1.49 (m, 2 H), 1.67 (s, 3 H), 1.72-2.1 (m, 8 H), 4.67-4.75 (m, 2 H), 6.85 (br s, 1 H), 8.47 (br s, 1 H). 13C NMR (50 MHz, CDCl3): δ = 21.8, 21.9, 25.0, 27.3, 35.2, 38.8, 39.3, 67.3, 113.1, 142.2, 157.1, 177.2. Anal. Calcd for C12H18N2O2·H2O: C, 59.98; H, 8.39; N, 11.66. Found: C, 60.15; H, 8.42; N, 11.77.",2,1,77,,,,,,,"stereoselective, Bucherer-Strecker reaction"
31-173-CAS-21379440,Bucherer–Bergs,70,,,N#[C][K].N.O=C(O)O.CCCCCCCCc1ccc2c(c1)OCC(=O)C2>>CCCCCCCCc1ccc2c(c1)OCC1(C2)NC(=O)NC1=O,"Chemical Research in Chinese Universities (2016), 32(3), 357-365",,,,,"64-17-5, 7732-18-5",,,,,,,1,1,70,,,,,,,
31-173-CAS-21384928,Bucherer–Bergs,100,,,N.O=C(O)O.CC(=O)CCc1ccccc1>>CC1(CCc2ccccc2)NC(=O)NC1=O,"Tetrahedron Letters (2016), 57(8), 924-927","143-33-9, 506-87-6, 4074-51-5",68524-17-4,151-50-8,,"64-17-5, 7732-18-5",,,,,,,1,1,100,,,,,,,"optimization study, optimized on time and temperature, Bucherer-Bergs reaction"
31-173-CAS-21385701,Bucherer–Bergs,85,,,N.O=C(O)O.C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5>>C=CCN1CC[C@]23c4c5ccc(O)c4OC2C2(CC[C@@]3(O)[C@H]1C5)NC(=O)NC2=O,"Tetrahedron Letters (2016), 57(8), 924-927","143-33-9, 506-87-6, 3162-29-6",308122-40-9,151-50-8,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
31-173-CAS-21386059,Bucherer–Bergs,90,,,CC(C)[C@@H]1CC[C@@H](C)CC1=O.N.O=C(O)O>>CC(C)[C@@H]1CC[C@@H](C)CC12NC(=O)NC2=O,"Tetrahedron Letters (2016), 57(8), 924-927","151-50-8, 506-87-6, 1664366-95-3",1664366-96-4,151-50-8,,"64-17-5, 7732-18-5",,,,,,,1,1,90,,,,,,,Bucherer-Bergs reaction
31-173-CAS-21386459,Bucherer–Bergs,85,,,N.O=C(O)O.CCOC(=O)N1C2CCC1CC(=O)C2>>CCOC(=O)N1C2CCC1CC1(C2)NC(=O)NC1=O,"Tetrahedron Letters (2016), 57(8), 924-927","92-91-1, 143-33-9, 506-87-6",7502-05-8,151-50-8,,"64-17-5, 7732-18-5",,,,,,,1,1,85,,,,,,,Bucherer-Bergs reaction
