reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-043-CAS-22451763,Chan–Lam N‑arylation,20.0,,,Cc1ccc(B(O)O)cc1>>Cc1ccc(N)cc1.Cc1ccc(N)c(N=[N+]=[N-])c1,"Advanced Synthesis & Catalysis (2020), 362(16), 3442-3446",,,"75-98-9, 4648-54-8, 1336-21-6, 7647-14-5",16712-25-7,"95-50-1, 141-78-6, 7732-18-5",,,,,,,2,1,20.0,3.0,,,,,,Schlenk tube used
31-146-CAS-10089075,Chan–Lam N‑arylation,85.0,,,c1ccc2[nH]cnc2c1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnc3ccccc32)cc1,"Tetrahedron Letters (2014), 55(1), 31-35","51-17-2, 5720-07-0",2622-61-9,584-08-7,199852-14-7,67-63-0,,,,,,,1,1,85.0,,,,,,,"catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
31-146-CAS-10231181,Chan–Lam N‑arylation,78.0,,,COc1ccc(B(O)O)cc1O.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1O,"European Journal of Medicinal Chemistry (2013), 64613-620","1765-93-1, 13623-52-4",2045402-54-6,"110-86-1, 694-59-7",142-71-2,75-09-2,,,,,,,1,1,78.0,,,,,,,"molecular sieves used, Chan-Lam coupling"
31-146-CAS-10421775,Chan–Lam N‑arylation,86.0,,,Cc1cnc[nH]1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnc(C)c2)cc1,"Tetrahedron Letters (2014), 55(1), 31-35","288-32-4, 5720-06-9",10040-93-4,584-08-7,199852-14-7,67-63-0,,,,,,,1,1,86.0,,,,,,,"catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
31-146-CAS-10898203,Chan–Lam N‑arylation,94.0,,,OB(O)c1ccccc1.COc1ccc(N)cc1>>COc1ccc(Nc2ccccc2)cc1,"Tetrahedron Letters (2014), 55(1), 31-35","98-80-6, 104-94-9",1208-86-2,584-08-7,199852-14-7,7732-18-5,,,,,,,1,1,94.0,,,,,,,"green chemistry-solvent, catalyst prepared and used, aerobic, Chan-Lam cross-coupling, alternative preparation shown"
31-146-CAS-1110714,Chan–Lam N‑arylation,33.0,,,OB(O)c1ccc2c(c1)OCO2.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1cc(-c2cccc(=O)n2-c2ccc3c(c2)OCO3)cc(OC)c1OC,"European Journal of Medicinal Chemistry (2013), 64613-620","16419-60-6, 87949-14-2",1824038-03-0,"110-86-1, 694-59-7",142-71-2,75-09-2,,,,,,,1,1,33.0,,,,,,,"molecular sieves used, Chan-Lam coupling"
31-146-CAS-11179456,Chan–Lam N‑arylation,95.0,,,OB(O)c1ccccc1.Cc1ccc(N)cc1>>Cc1ccc(Nc2ccccc2)cc1,"Tetrahedron Letters (2014), 55(1), 31-35","98-80-6, 106-49-0",620-84-8,584-08-7,199852-14-7,7732-18-5,,,,,,,1,1,95.0,,,,,,,"green chemistry-solvent, catalyst prepared and used, aerobic, Chan-Lam cross-coupling, alternative preparation shown"
31-146-CAS-11752114,Chan–Lam N‑arylation,38.0,,,OB(O)c1ccc(F)cc1.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1cc(-c2cccc(=O)n2-c2ccc(F)cc2)cc(OC)c1OC,"European Journal of Medicinal Chemistry (2013), 64613-620","1692-25-7, 902092-99-3",2244128-30-9,"110-86-1, 694-59-7",142-71-2,75-09-2,,,,,,,1,1,38.0,,,,,,,"molecular sieves used, Chan-Lam coupling"
31-146-CAS-12368714,Chan–Lam N‑arylation,35.0,,,COc1ccc(B(O)O)cc1.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1,"European Journal of Medicinal Chemistry (2013), 64613-620","288-32-4, 5570-19-4",23309-16-2,"110-86-1, 694-59-7",142-71-2,75-09-2,,,,,,,1,1,35.0,,,,,,,"molecular sieves used, Chan-Lam coupling"
31-146-CAS-1265466,Chan–Lam N‑arylation,62.0,,,OB(O)c1ccccc1.Nc1cccc([N+](=O)[O-])c1>>O=[N+]([O-])c1cccc(Nc2ccccc2)c1,"Journal of Molecular Catalysis A: Chemical (2013), 37921-29","100-61-8, 832114-07-5",2088232-41-9,6674-22-2,1478738-98-5,75-05-8,,,,,,,1,1,62.0,,,,,,,Chan-Lam coupling
31-146-CAS-12746700,Chan–Lam N‑arylation,77.0,,,O=c1cccc(Br)[nH]1.COc1cc(B(O)O)cc(OC)c1OC>>COc1cc(-n2c(Br)cccc2=O)cc(OC)c1OC,"European Journal of Medicinal Chemistry (2013), 64613-620","51-17-2, 214360-70-0",312959-35-6,"110-86-1, 694-59-7",142-71-2,75-09-2,,,,,,,1,1,77.0,,,,,,,"alternative solvent toluene gave lower yield, alternative base NaOH gave no reaction, molecular sieves used, optimized on additives, optimization study, Chan-Lam coupling"
31-146-CAS-12884227,Chan–Lam N‑arylation,79.0,,,OB(O)c1ccccc1.Cc1ncc[nH]1>>Cc1nccn1-c1ccccc1,"Tetrahedron Letters (2014), 55(1), 31-35","874-05-5, 17933-03-8",2247679-11-2,584-08-7,199852-14-7,67-63-0,,,,,,,1,1,79.0,,,,,,,"catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
31-146-CAS-12974947,Chan–Lam N‑arylation,85.0,,,OB(O)c1ccccc1.Cc1cccc(N)c1>>Cc1cccc(Nc2ccccc2)c1,"Tetrahedron Letters (2014), 55(1), 31-35","98-80-6, 108-44-1",1205-64-7,584-08-7,199852-14-7,7732-18-5,,,,,,,1,1,85.0,,,,,,,"green chemistry-solvent, catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
31-146-CAS-13210039,Chan–Lam N‑arylation,76.0,,,Cc1ccc(N)cc1.OB(O)c1ccc(F)cc1>>Cc1ccc(Nc2ccc(F)cc2)cc1,"Tetrahedron Letters (2014), 55(1), 31-35","51-17-2, 1679-18-1",297150-21-1,584-08-7,199852-14-7,7732-18-5,,,,,,,1,1,76.0,,,,,,,"green chemistry-solvent, catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
31-146-CAS-13383766,Chan–Lam N‑arylation,18.0,,,Cc1ccc(=O)[nH]c1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cc(C)ccc2=O)cc1,"Heterocyclic Communications (2012), 18(4), 193-197","13466-38-1, 126747-14-6",1623058-30-9,110-86-1,142-71-2,75-09-2,,,,,,,1,1,18.0,,,,,,,"molecular sieves used, Chan-Lam-Evans reaction"
31-146-CAS-13478470,Chan–Lam N‑arylation,88.0,,,c1c[nH]cn1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2ccnc2)cc1,"Tetrahedron Letters (2014), 55(1), 31-35","288-32-4, 5720-07-0",10040-95-6,584-08-7,199852-14-7,67-63-0,,,,,,,1,1,88.0,,,,,,,"catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
31-146-CAS-13608182,Chan–Lam N‑arylation,26.0,,,Cc1ccc(=O)[nH]c1.N#Cc1ccc(B(O)O)cc1>>Cc1ccc(=O)n(-c2ccc(C#N)cc2)c1,"Heterocyclic Communications (2012), 18(4), 193-197","54770-19-3, 122775-35-3",2025387-64-6,110-86-1,142-71-2,75-09-2,,,,,,,1,1,26.0,,,,,,,"molecular sieves used, Chan-Lam-Evans reaction"
