reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-117-CAS-10765646,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,77,,,C#CCC(O)c1ccc(C=O)cc1>>C=C=CC(=O)c1ccc(C=O)cc1.CC#CC(=O)c1ccc(C=O)cc1,"Tetrahedron Letters (1998), 39(41), 7491-7494",52610-46-5,"23726-94-5, 24720-09-0","87413-09-0, 7631-86-9",,,,,,,,,2,1,77,4,,,,,,isomerization occurs during chromatog. on SiO2 of crude reaction mixt.
31-117-CAS-13506033,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,73,,,CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21.C#CCC(O)c1ccc(OC)c(OC)c1>>C=C=CC(=O)c1ccc(OC)c(OC)c1.COc1ccc(C(=O)/C=C(\C)OC(C)=O)cc1OC,"Tetrahedron Letters (1998), 39(41), 7491-7494","3084435-88-8, 3084435-89-9","3084435-90-2, 3084435-91-3",7631-86-9,,,,,,,,,1,1,73,15,,,,,,isomerization occurs during chromatog. on SiO2 of crude reaction mixt.
31-117-CAS-13887411,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,84,,,C#CCC(O)c1c(C)cc(C)cc1C>>C=C=CC(=O)c1c(C)cc(C)cc1C,"Chemistry - A European Journal (2006), 12(26), 6991-6996",130112-24-2,401813-46-5,87413-09-0,,75-09-2,,,,,,,1,1,84,,,,,,,
31-117-CAS-468656,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,83,,,C#CCC(O)c1c(C)cc(OC)cc1C>>C=C=CC(=O)c1c(C)cc(OC)cc1C,"Chemistry - A European Journal (2006), 12(26), 6991-6996",2415508-05-1,2415508-18-6,87413-09-0,,75-09-2,,,,,,,1,1,83,,,,,,,
31-117-CAS-4728797,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,82,,,C#CCC(O)c1c(C)cc(C)cc1OC>>C=C=CC(=O)c1c(C)cc(C)cc1OC,"Chemistry - A European Journal (2006), 12(26), 6991-6996","50778-15-9, 50778-16-0",1479-22-7,87413-09-0,,75-09-2,,,,,,,1,1,82,,,,,,,
31-117-CAS-6890445,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,85,,,C#CCC(O)c1c(Cl)cccc1Cl>>C=C=CC(=O)c1c(Cl)cccc1Cl,"Chemistry - A European Journal (2006), 12(26), 6991-6996","18020-59-2, 762-72-1",957504-28-8,87413-09-0,,75-09-2,,,,,,,1,1,85,,,,,,,
31-117-CAS-9026607,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,85,,,C#CCC(O)C12CC3CC(CC(C3)C1)C2>>C=C=CC(=O)C12CC3CC(CC(C3)C1)C2,"Chemistry - A European Journal (2006), 12(26), 6991-6996","957504-22-2, 762-72-1",957504-40-4,87413-09-0,,75-09-2,,,,,,,1,1,85,,,,,,,product depends on stoichiometry and reaction time
31-254-CAS-13101180,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,81,,,C=C(C(=O)OC)C(O)c1ccc(Cl)cc1.C=C(O[Si](C)(C)C)c1ccccc1>>COC(=O)C(CCC(=O)c1ccccc1)C(=O)c1ccc(Cl)cc1,"Synlett (2008), (8), 1175-1178",122616-16-4,135792-09-5,64297-64-9,,68-12-2,,,,,,"General/Typical Procedure: General Experimental Procedure A mixture of Baylis-Hillman adduct (1 mmol), DMP (1.2 mmol), and pyridine (1.5 mmol) in anhyd CH2Cl2 (10 mL) was stirred at r.t. until complete oxidation took place. To this, trimethylsilyl enol ether (1.5 mmol) was added and stirred until complete addition (as indicated by TLC) took place. The reaction mixture was diluted with H2O (50 mL) and extracted with Et2O (3 × 15 mL). The combined ether layer was washed with sat. aq NaHCO3 soln (1 × 15 mL), brine (1 × 10 mL), dried over Na2SO4, and evaporated. The crude product was purified by silica gel column chromatography using a gradient mixture of hexane-EtOAc (9:1) as eluent to afford pure substituted dihydropyran derivatives. Compound 4, colorless liquid, yield 81%. IR (KBr): νmax = 2920, 2851, 1739, 1683, 1506, 1443, 1226, 1157, 1019, 755 cm-1. 1H NMR (300 MHz, CDCl3): δ = 2.20-2.39 (m, 2 H), 2.94-3.19 (m, 2 H), 3.61 (s, 3 H), 4.67 (dd, 1 H, J = 6.0, 7.5 Hz), 7.33-7.52 (m, 5 H), 7.87 (d, 2 H, J = 7.5 Hz), 7.99 (d, 2 H, J = 9.0 Hz). ESI-MS: m/z = 345 [M + 1], 367 [M + Na]. HRMS: m/z calcd for C19H17O4NaCl: 367.0713; found: 367.0715.",2,1,81,,,,,,,"regioselective (in stage 2), Mukaiyama-Michael addition in stage 2"
31-255-CAS-10028074,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,80,,,C=C(C(=O)OC)C(O)c1ccc(F)cc1.C=CC[Si](C)(C)C>>C=CCCC(C(=O)OC)C(=O)c1ccc(F)cc1,"Synthesis (2008), (3), 469-473",886455-50-1,266356-97-2,"87413-09-0, 109-63-7",,75-09-2,,,,,,"General/Typical Procedure: Homoallylated β-Keto Ester Derivatives 3; General Procedure To a stirred solution of Morita-Baylis-Hillman adduct 1 (1 mmol) in anhyd CH2Cl2 (10 mL) was added Dess-Martin periodinane (1.1 mmol), and the mixture was stirred at r.t. until complete oxidation had taken place. Then, allyltrimethylsilane (2) (1.5 mmol) and BF3·OEt2 (1.2 mmol) were added in sequence, and the mixture was stirred at r.t. until the starting material had completely disappeared (see Table 1 for individual reaction times). The mixture was then quenched with sat. aq NaHCO3 (10 mL) and extracted with CH2Cl2 (2 × 10 mL). The combined organic layers were washed with sat. aq NaHCO3 (10 mL) and then dried (Na2SO4). Removal of the solvent, followed by chromatography (silica gel, EtOAc-hexane, 1:9) afforded the pure allyl derivative 3. 3b Colorless liquid, yield 80%. IR (neat): 2958, 2848, 1760, 1644, 1565, 1445, 1142, 1007, 758 cm-1. 1H NMR (300 MHz, CDCl3): δ = 2.04-2.13 (m, 4 H), 3.68 (s, 3 H), 4.21-4.28 (m, 1 H), 4.95-5.04 (m, 2 H), 5.68-5.83 (m, 1 H), 7.14 (t, J= 8.3 Hz, 2 H), 7.96-8.03 (m, 2 H). ESI-MS: m/z = 251 (M + 1), 273 (M + Na).",2,1,80,,,,,,,
31-255-CAS-10315693,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,85,,,C=C(C(=O)OC)C(O)c1cccc(Oc2ccccc2)c1.C=CC[Si](C)(C)C>>C=CCCC(C(=O)OC)C(=O)c1cccc(Oc2ccccc2)c1,"Synthesis (2008), (3), 469-473",1699736-83-8,1699736-85-0,"87413-09-0, 109-63-7",,75-09-2,,,,,,"General/Typical Procedure: Homoallylated β-Keto Ester Derivatives 3; General Procedure To a stirred solution of Morita-Baylis-Hillman adduct 1 (1 mmol) in anhyd CH2Cl2 (10 mL) was added Dess-Martin periodinane (1.1 mmol), and the mixture was stirred at r.t. until complete oxidation had taken place. Then, allyltrimethylsilane (2) (1.5 mmol) and BF3·OEt2 (1.2 mmol) were added in sequence, and the mixture was stirred at r.t. until the starting material had completely disappeared (see Table 1 for individual reaction times). The mixture was then quenched with sat. aq NaHCO3 (10 mL) and extracted with CH2Cl2 (2 × 10 mL). The combined organic layers were washed with sat. aq NaHCO3 (10 mL) and then dried (Na2SO4). Removal of the solvent, followed by chromatography (silica gel, EtOAc-hexane, 1:9) afforded the pure allyl derivative 3. 3f Colorless liquid, yield 85%. IR (neat): 3015, 2932, 2847, 1741, 1653, 1511, 1434, 1255, 1134, 1006, 844 cm-1. 1H NMR (300 MHz, CDCl3): δ = 2.04-2.11 (m, 4 H), 3.66 (s, 3 H), 4.21 (br t, J= 6.7 Hz, 1 H), 4.95-5.03 (m, 2 H), 5.64-5.80 (m, 1 H), 7.00 (d, J= 8.3 Hz, 2 H), 7.04-7.22 (m, 2 H), 7.31-7.44 (m, 3 H), 7.54 (s, 1 H), 7.65 (d, J= 8.3 Hz, 1 H). 13C NMR (75 MHz, CDCl3): δ = 28.04, 31.44, 52.42, 53.03, 116.13, 118.14, 119.33, 123.14, 123.60, 124.01, 129.98, 130.09, 136.99, 158.06, 170.15, 174.72, 194.50. ESI-MS: m/z = 347 (M + Na). HRMS: m/z calcd for C20H2OO4Na: 347.1259; found: 347.1259.",2,1,85,,,,,,,
31-255-CAS-10561141,Dess–Martin periodinane (DMP). Alcohols → aldehydesketones,85,,,C=C(C(=O)OC)C(O)c1ccccc1.C=CC[Si](C)(C)C>>C=CCCC(C(=O)OC)C(=O)c1ccccc1,"Synthesis (2008), (3), 469-473",1492857-60-9,1494045-37-2,"87413-09-0, 109-63-7",,75-09-2,,,,,,"Homoallylated β-Keto Ester Derivatives 3; General Procedure To a stirred solution of Morita-Baylis-Hillman adduct 1 (1 mmol) in anhyd CH2Cl2 (10 mL) was added Dess-Martin periodinane (1.1 mmol), and the mixture was stirred at r.t. until complete oxidation had taken place. Then, allyltrimethylsilane (2) (1.5 mmol) and BF3·OEt2 (1.2 mmol) were added in sequence, and the mixture was stirred at r.t. until the starting material had completely disappeared (see Table 1 for individual reaction times). The mixture was then quenched with sat. aq NaHCO3 (10 mL) and extracted with CH2Cl2 (2 × 10 mL). The combined organic layers were washed with sat. aq NaHCO3 (10 mL) and then dried (Na2SO4). Removal of the solvent, followed by chromatography (silica gel, EtOAc-hexane, 1:9) afforded the pure allyl derivative 3. 3a Colorless oil, yield 85%. IR (neat): 3065, 2945, 2863, 1742, 1658, 1545, 1410, 1162, 1019, 845 cm-1. 1H NMR (200 MHz, CDCl3): δ = 2.06-2.16 (m, 4 H), 3.67 (s, 3 H), 4.24-4.35 (m, 1 H), 4.94-5.07 (m, 2 H), 5.65-5.85 (m, 1 H), 7.40- 7.58 (m, 3 H), 7.95 (d, J = 8.2 Hz, 2 H). ESI-MS: m/z = 255 (M + Na). HRMS: m/z calcd for C14H16O3Na: 255.0997; found: 255.0989.",2,1,85,,,,,,,
