reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-313-CAS-10039277,Eschweiler–Clarke methylation,,,,C=O.COC(=O)CN1C(=O)C2(CCCCC2)NC2(CCCCC2)C1=O>>COC(=O)CN1C(=O)C2(CCCCC2)N(C)C2(CCCCC2)C1=O,"Acta Facultatis Rerum Naturalium Universitatis Comenianae, Chimia (1981), 2959-68","50-00-0, 80883-81-4",80883-82-5,,64-18-6,,,,,,,,1,1,,,,,,,,
31-313-CAS-10310189,Eschweiler–Clarke methylation,,,,C=O.O=C(/C=C/c1ccccc1)N1CC2(CCCCC2)NC2(CCCCC2)C1>>CN1C2(CCCCC2)CN(C(=O)/C=C/c2ccccc2)CC12CCCCC2,"Acta Facultatis Rerum Naturalium Universitatis Comenianae, Chimia (1981), 2959-68","50-00-0, 959392-34-8",99300-78-4,,64-18-6,,,,,,,,1,1,,,,,,,,
31-313-CAS-1096209,Eschweiler–Clarke methylation,35,,,C=O.CC1=CC(=O)O[C@@H](C[C@@H]2CCCCN2)C1>>CC1=CC(=O)O[C@@H](C[C@@H]2CCCCN2C)C1,"Chemistry - A European Journal (2011), 17(22), 6221-6226","109-73-9, 91471-08-8",3029978-51-3,25895-60-7,,,,,,,,,1,1,35,,,,,,,alternative preparation shown
31-313-CAS-11114062,Eschweiler–Clarke methylation,78,,2.0,C=O.CN[C@H]1[C@@H](O)[C@H](n2cnc3c(N(C)C)ncnc32)O[C@@H]1CO>>CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](N(C)C)[C@H]1O,"Journal of Organic Chemistry (1970), 35(11), 3808-14","121-71-1, 123-39-7",923035-06-7,64-18-6,,7732-18-5,,,,,,,1,1,78,,,,,,,Classification: Reductive alkylation; N-Methylation; Chemoselective; # Conditions: HCO2H; H2O; Rf 10mn
31-313-CAS-12096939,Eschweiler–Clarke methylation,92,,,C=O.CC1=CC(=O)O[C@@H](C[C@@H]2CCCCN2C(=O)OC(C)(C)C)C1>>CC1=CC(=O)O[C@@H](C[C@@H]2CCCCN2C)C1,"Chemistry - A European Journal (2011), 17(22), 6221-6226","50-00-0, 56-45-1",2812-34-2,64-18-6,,75-05-8,,,,,,,1,1,92,,,,,,,"microwave irradiation, thermal, Eschweiler-Clarke reaction, pre-heated PTFE reactor used, alternative preparation shown, overall yield 29% over five steps from 1- piperidinecarboxylic acid,2-(2- hydroxyethyl) derivative"
31-313-CAS-12170926,Eschweiler–Clarke methylation,,,,C=O.CCCCCCCCOC(=O)CN1C(=O)C2(CCCCC2)NC2(CCCCC2)C1=O>>CCCCCCCCOC(=O)CN1C(=O)C2(CCCCC2)N(C)C2(CCCCC2)C1=O,"Acta Facultatis Rerum Naturalium Universitatis Comenianae, Chimia (1981), 2959-68",113682-68-1,113682-69-2,,64-18-6,,,,,,,,1,1,,,,,,,,
31-313-CAS-12437513,Eschweiler–Clarke methylation,,,,C=O.C1CCC2(CC1)CNCC1(CCCCC1)N2>>CN1CC2(CCCCC2)N(C)C2(CCCCC2)C1,"Acta Facultatis Rerum Naturalium Universitatis Comenianae, Chimia (1981), 2959-68","1664-98-8, 87179-40-6",508201-28-3,,64-18-6,,,,,,,,1,1,,,,,,,,
31-313-CAS-12477097,Eschweiler–Clarke methylation,80,,,C=O.CC(=O)O.COc1ccc(C(CN)C2(O)CCCCC2)cc1>>COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,"India, IN2006CH00257 A 2008-11-28","50-00-0, 2330870-39-6",2330870-47-6,"1333-74-0, 584-08-7, 7647-01-0",7440-02-0,"67-56-1, 7732-18-5, 67-63-0, 141-78-6",,,,,,,3,1,80,,,,,,,"alternative preparation shown, Raney Nickel catalyst used"
31-313-CAS-12495499,Eschweiler–Clarke methylation,62,,,NCc1ccccc1.O=C1CCCCC1>>c1ccc(CNC2CCCCC2)cc1,"Journal of Chemical Research, Synopses (2001), (7), 292-293","50-00-0, 30006-99-6",153982-54-8,64-18-6,,,,,,,,,1,1,62,,,,,,,microwave
31-313-CAS-12602251,Eschweiler–Clarke methylation,,,,O=C1C2CCC3C1NCCC31c3ccccc3NC21>>CN1CCC23c4ccccc4NC2C2CCC3C1C2=O,"Journal of Organic Chemistry (1985), 50(7), 929-31","1664-98-8, 31750-48-8",508201-30-7,"77-78-1, 1310-58-3",,"75-09-2, 7732-18-5",,,,,,,1,1,,,,,,,,in presence of Adogen 464
