reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-614-CAS-24157363,Groebke–Blackburn–Bienaymé,80,,,C#CCOc1ccc2ccccc2c1-c1nc2ccc(C)cn2c1NC1CCCCC1>>CC1=CN2C(=NC3(C(C)=COc4ccc5ccccc5c43)/C2=N/C2CCCCC2)C=C1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701",2488901-29-5,2488901-43-3,865-47-4,,67-68-5,,,,,,,1,1,80,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction"
31-614-CAS-24157366,Groebke–Blackburn–Bienaymé,83,,,C#CCOc1ccc(Br)cc1-c1nc2ccc(C)cn2c1NC1CCCCC1>>CC1=CN2C(=NC3(C(C)=COc4ccc(Br)cc43)/C2=N/C2CCCCC2)C=C1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701","103-70-8, 104-88-1, 504-29-0",1459738-75-0,865-47-4,,67-68-5,,,,,,,1,1,83,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction"
31-614-CAS-24157369,Groebke–Blackburn–Bienaymé,81,,,C#CCOc1ccccc1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2ccccc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701","7188-38-7, 39755-95-8, 61272-71-7",2232892-80-5,865-47-4,,67-68-5,,,,,,,1,1,81,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction"
31-614-CAS-24157371,Groebke–Blackburn–Bienaymé,74,,,C#CCOc1cc(N(CC)CC)ccc1-c1nc2ccccn2c1NC1CCCCC1>>CCN(CC)c1ccc2c(c1)OC=C(C)C21N=C2C=CC=CN2/C1=N\C1CCCCC1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-52-3,2712620-67-0,865-47-4,,67-68-5,,,,,,,1,1,74,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction"
31-614-CAS-24157372,Groebke–Blackburn–Bienaymé,74,,,C#CCOc1ccc(Cl)cc1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2ccc(Cl)cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701","341-24-2, 931-53-3, 22901-09-3",2443376-61-0,865-47-4,,67-68-5,,,,,,,1,1,74,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction"
31-614-CAS-24157373,Groebke–Blackburn–Bienaymé,83,,,C#CCOc1ccc2ccccc2c1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2ccc3ccccc3c2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701","935-16-0, 19798-80-2, 2088007-04-7",2559709-97-4,865-47-4,,67-68-5,,,,,,,1,1,83,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction"
31-614-CAS-24157377,Groebke–Blackburn–Bienaymé,73,,,C#CCOc1c(Br)cc(Br)cc1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2c(Br)cc(Br)cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701","358-23-6, 1013-23-6, 71-43-2",307976-40-5,865-47-4,,67-68-5,,,,,,,1,1,73,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction"
31-614-CAS-24157378,Groebke–Blackburn–Bienaymé,89,,,C#CCOc1ccccc1-c1nc2ccc(C)cn2c1NC1CCCCC1>>CC1=CN2C(=NC3(C(C)=COc4ccccc43)/C2=N/C2CCCCC2)C=C1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701","472958-69-3, 2079848-10-3",2079847-74-6,865-47-4,,67-68-5,,,,,,,1,1,89,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction, alternative preparation shown, optimization study, optimized on agent, solvent and reaction conditions"
31-614-CAS-24157379,Groebke–Blackburn–Bienaymé,90,,,C=C=COc1ccccc1-c1nc2ccc(C)cn2c1NC1CCCCC1>>CC1=CN2C(=NC3(C(C)=COc4ccccc43)/C2=N/C2CCCCC2)C=C1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701","100-52-7, 140-29-4, 5049-61-6",209907-33-5,865-47-4,,67-68-5,,,,,,,1,1,90,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction, alternative preparation shown"
31-614-CAS-24157380,Groebke–Blackburn–Bienaymé,75,,,C#CCOc1ccc([N+](=O)[O-])cc1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2ccc([N+](=O)[O-])cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Journal of Organic Chemistry (2021), 86(19), 13693-13701","2579167-08-9, 2579167-09-0",2579166-73-5,865-47-4,,67-68-5,,,,,,,1,1,75,,,,,,,"stereoselective, Groebke-Blackburn-Bienayme reaction"
