reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-1164791,Liebeskind–Srogl coupling,45,,,[F-][B+3]1([F-])N2=CC=CC2=C(C2=CC=C(Br)S2)C2=CC=C[N-]21.C[C@H](CCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC5CCCCO5)CC[C@]4(C)[C@H]3CC[C@]12C>>CC(CCC1=CC=C(C2=CC=C(C3=C4C=CC=N4[B+3]([F-])([F-])[N-]4C=CC=C34)S2)C=C1)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,"ChemBioChem (2014), 15(14), 2087-2096","98-80-6, 1350738-41-8",1350738-63-4,"584-08-7, 12125-02-9, 24057-28-1, 144-55-8",95464-05-4,"108-88-3, 7732-18-5, 67-56-1, 75-09-2",,,,,,,4,1,45,,,,,,,"microwave irradiation (in stage 1), sealed tube used in stage 1, Suzuki coupling in stage 1, key step in stage 1"
31-006-CAS-11998568,Liebeskind–Srogl coupling,30,,,C[C@H](CCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC5CCCCO5)CC[C@]4(C)[C@H]3CC[C@]12C.[F-][B+3]1([F-])N2=CC(Br)=CC2=C(C2=CC=CC=C2)C2=CC(C3=CC=CC=C3)=C[N-]21>>CC(CCC1=CC=C(C2=CC3=C(C4=CC=CC=C4)C4=CC(C5=CC=CC=C5)=C[N-]4[B+3]([F-])([F-])N3=C2)C=C1)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,"ChemBioChem (2014), 15(14), 2087-2096","393860-82-7, 90555-66-1",936804-30-7,"534-17-8, 7647-14-5, 24057-28-1, 144-55-8","51364-51-3, 213697-53-1","123-91-1, 7732-18-5, 67-56-1, 75-09-2",,,,,,,4,1,30,,,,,,,"microwave irradiation (in stage 1), sealed tube used in stage 1, Suzuki coupling in stage 1, key step in stage 1"
31-006-CAS-2857978,Liebeskind–Srogl coupling,34,,,C[C@H](CCc1ccc(B2OC(C)(C)C(C)(C)O2)cc1)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC5CCCCO5)CC[C@]4(C)[C@H]3CC[C@]12C.[F-][B+3]1([F-])N2=CC(Br)=CC2=C(C2=CC=CC=C2)C2=CC(C3=CC=CS3)=C[N-]21>>CC(CCC1=CC=C(C2=CC3=C(C4=CC=CC=C4)C4=CC(C5=CC=CS5)=C[N-]4[B+3]([F-])([F-])N3=C2)C=C1)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,"ChemBioChem (2014), 15(14), 2087-2096","393860-82-7, 63503-60-6, 90555-66-1",936804-22-7,"534-17-8, 7647-14-5, 24057-28-1, 144-55-8","51364-51-3, 213697-53-1","123-91-1, 7732-18-5, 67-56-1, 75-09-2",,,,,,,4,1,34,,,,,,,"microwave irradiation (in stage 1), sealed tube used in stage 1, Suzuki coupling in stage 1, key step in stage 1"
31-006-CAS-9692634,Liebeskind–Srogl coupling,47,,,C[C@H](CCc1ccc(Br)cc1)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC5CCCCO5)CC[C@]4(C)[C@H]3CC[C@]12C.CC1(C)OB(C2=CC=C(C3=C4C=CC=N4[B+3]([F-])([F-])[N-]4C=CC=C34)C=C2)OC1(C)C>>CC(CCC1=CC=C(C2=CC=C(C3=C4C=CC=N4[B+3]([F-])([F-])[N-]4C=CC=C34)C=C2)C=C1)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,"ChemBioChem (2014), 15(14), 2087-2096","615-22-5, 5720-05-8",16112-21-3,"584-08-7, 12125-02-9, 24057-28-1, 144-55-8",95464-05-4,"108-88-3, 7732-18-5, 67-56-1, 75-09-2",,,,,,,4,1,47,,,,,,,"microwave irradiation (in stage 1), sealed tube used in stage 1, Suzuki coupling in stage 1, key step in stage 1"
31-113-CAS-12025580,Liebeskind–Srogl coupling,28,,,Clc1cccnc1Nc1ccccc1.Cc1ccccc1B(O)O>>Cc1ccccc1-c1cccnc1Nc1ccccc1.Cc1ccccc1-c1ccccc1Nc1ccccn1,"European Journal of Organic Chemistry (2011), (10), 1972-1979, S1972/1-S1972/98","63810-78-6, 123324-71-0","1536565-01-1, 3025969-91-6, 3025969-92-7",584-08-7,"3375-31-3, 564483-18-7",108-88-3,,,,,,,1,1,28,23,,,,,,"regioselective, thermal, Suzuki-Miyaura coupling, screw-cap vial used"
31-172-CAS-5625581,Liebeskind–Srogl coupling,34,,,Nc1ccccc1.Clc1cccnc1Cl.OB(O)c1ccccc1>>c1ccc(Nc2ncccc2-c2ccccc2)cc1,"European Journal of Organic Chemistry (2011), (10), 1972-1979, S1972/1-S1972/98","6165-68-0, 98495-62-6",1353743-39-1,584-08-7,"3375-31-3, 564483-18-7",108-88-3,,,,,,,2,1,34,,,,,,,"regioselective, thermal, optimized on temperature,time,method of heating and work up method in first stage, screw-cap vial used, Buchwald-Hartwig reaction in first stage, optimization study, Suzuki-Miyaura coupling in second stage"
31-177-CAS-22682954,Liebeskind–Srogl coupling,93,,,OB(O)C=Cc1ccccc1.O=C1OC2=CC=C(C3=C4C=CC=N4[B+3]([F-])([F-])[N-]4C=CC=C34)C=C2C=C1C1=CC(Br)=CC=C1>>O=C1OC2=CC=C(C3=C4C=CC=N4[B+3]([F-])([F-])[N-]4C=CC=C34)C=C2C=C1C1=CC(C=CC2=CC=CC=C2)=CC=C1,"Molecules (2020), 25(4), 781","380430-68-2, 2378619-75-9",2378619-81-7,"497-19-8, 657408-07-6",3375-31-3,"108-88-3, 7732-18-5",,,,,,,1,1,93,,,,,,,
31-177-CAS-5952327,Liebeskind–Srogl coupling,76,,,OB(O)/C=C/c1ccccc1.CC(C)[Si]1(C(C)C)OC[C@H]2O[C@@H](n3c(I)cc(=O)[nH]c3=O)C[C@@H]2O[Si](C(C)C)(C(C)C)O1>>CC(C)[Si]1(C(C)C)OC[C@H]2O[C@@H](n3c(/C=C/c4ccccc4)cc(=O)[nH]c3=O)C[C@@H]2O[Si](C(C)C)(C(C)C)O1,"Tetrahedron Letters (2012), 53(2), 253-255","201802-67-7, 2472863-61-7",2472863-62-8,68986-76-5,14221-01-3,109-99-9,,,,,,,1,1,76,,,,,,,
31-179-CAS-1000742,Liebeskind–Srogl coupling,96,,,CC(C)(C)c1ccc(B(O)O)cc1.COc1ccc(Cn2cc(Cl)nc(Sc3ccccc3)c2=O)cc1>>COc1ccc(Cn2cc(Cl)nc(-c3ccc(C(C)(C)C)cc3)c2=O)cc1,"Organic & Biomolecular Chemistry (2007), 5(18), 2962-2965","5751-20-2, 182163-96-8",1388177-39-6,68986-76-5,14221-01-3,109-99-9,,,,,,,1,1,96,,,,,,,microwave irradiation
31-179-CAS-10169597,Liebeskind–Srogl coupling,89,,,COc1ccc(-c2ccnc(SC)n2)cc1.COc1ccc(B(O)O)cc1F>>COc1ccc(-c2ccnc(-c3ccc(OC)c(F)c3)n2)cc1,"Synlett (2012), 23(9), 1305-1308","17933-03-8, 1821198-88-2",1821198-97-3,,"14221-01-3, 68986-76-5",109-99-9,,,,,,"General/Typical Procedure: General Procedure for Carbon-Carbon Cross-Coupling of 2-(Methylsulfanyl)-4-arylpyrimidines 4a, c-f with Aryl Boronic Acids 3b-f A microwave vial sealed with septum was charged with the corresponding 2-(methylsulfanyl)-4-arylpyrimidines (4a, c-f, 0.5 mmol), the corresponding aryl boronic acid (3b-f, 0.75 mmol), CuTC (286 mg, 1.5 mmol) and Pd(PPh3)4 (57.8 mg, 0.05 mmol, 10 mol%). The reaction vessel was sealed and flushed with argon. Through the septum anhyd THF (4 mL) was added. The mixture was heated in a microwave reactor at 100 °C for 1 h. After cooling to r.t., the solvent was evaporated. The crude reaction mixture was purified by column chromatography on silica gel to provide the desired 2,4-diarylpyrimidines 5. 4-Phenyl-2-p-tolylpyrimidine (5ab) Table 1 Preparation of 2,4-Diarylpyrimidines 5cc-ffa Compound 5cd Yield 89%.",1,1,89,,,,,,,"microwave irradiation, regioselective, sealed vial used"
