reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-004-CAS-12396606,Miyaura borylation,58.0,,,OB1OCc2cc3c(cc21)COB3O.CC(C)(C)c1cc(Br)c(N)c(-c2ccccc2CO)c1>>CC(C)(C)c1cc(-c2ccccc2CO)c(N)c(-c2cc(CO)c(-c3cc(C(C)(C)C)cc(-c4ccccc4CO)c3N)cc2CO)c1,"Angewandte Chemie, International Edition (2014), 53(39), 10520-10524","154230-29-2, 2170185-99-4",2919224-13-6,584-08-7,14221-01-3,"64-17-5, 108-88-3, 7732-18-5",,,,,,,1,1,58.0,,,,,,,Suzuki coupling
31-004-CAS-2107480,Miyaura borylation,90.0,,,OB1OCc2ccccc21.CC(C)(C)c1cc(Br)c(N)c(Br)c1>>CC(C)(C)c1cc(-c2ccccc2CO)c(N)c(-c2ccccc2CO)c1,"Angewandte Chemie, International Edition (2014), 53(39), 10520-10524","179899-07-1, 348640-07-3",2022925-99-9,584-08-7,14221-01-3,"64-17-5, 108-88-3, 7732-18-5",,,,,,,1,1,90.0,,,,,,,"Suzuki coupling, stoichiometry dependent product formation"
31-004-CAS-22686918,Miyaura borylation,89.0,,,COC(=O)[C@@H](NC(=O)[C@H](NC(=O)OC(C)(C)C)c1ccc(OC)c(Br)c1)[C@H](O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(F)c([N+](=O)[O-])c1.COc1cc(OC)c2c(c1)[C@H](NC(=O)C(F)(F)F)COB2O>>COC(=O)C(NC(=O)C(NC(=O)OC(C)(C)C)c1ccc(OC)c(-c2c(OC)cc(OC)cc2C(CO)NC(=O)C(F)(F)F)c1)C(O[Si](C(C)C)(C(C)C)C(C)C)c1ccc(F)c([N+](=O)[O-])c1,"Journal of the American Chemical Society (2020), 142(37), 16039-16050","624-31-7, 2173472-91-6",2173472-94-9,144-55-8,"3375-31-3, 76189-55-4","96-47-9, 7732-18-5",,,,,,,3,1,89.0,,,,,,,
31-004-CAS-5992301,Miyaura borylation,78.0,,,OB1OCc2ccccc21.CC(C)(C)c1cc(Br)c(N)c(Br)c1>>CC(C)(C)c1cc(Br)c(N)c(-c2ccccc2CO)c1,"Angewandte Chemie, International Edition (2014), 53(39), 10520-10524","1404310-53-7, 2479389-47-2",2479389-48-3,584-08-7,14221-01-3,"64-17-5, 108-88-3, 7732-18-5",,,,,,,1,1,78.0,,,,,,,"Suzuki coupling, stoichiometry dependent product formation"
31-049-CAS-18925212,Miyaura borylation,74.0,,,O=Cc1cc(OCc2ccccc2)ccc1B(O)O.COc1ccc(C#Cc2ccc(OS(=O)(=O)C(F)(F)F)c(OC)c2)cc1O[Si](C)(C)C(C)(C)C>>COc1ccc(C#Cc2ccc(-c3ccc(OCc4ccccc4)cc3C=O)c(OC)c2)cc1O,"Organic Letters (2018), 20(12), 3579-3582","108-77-0, 1036378-83-2",1205748-51-1,"1643-19-2, 7778-53-2, 7732-18-5",14221-01-3,"110-71-4, 7732-18-5",,,,,,,2,1,74.0,,,,,,,Suzuki-Miyaura coupling
31-049-CAS-2487579,Miyaura borylation,,,,COC(=O)[C@H](Cc1ccc(OCOCC[Si](C)(C)C)c(I)c1)NC(=O)OC(C)(C)C.COc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)cc1B1OC(C)(C)C(C)(C)O1>>COC(=O)[C@@H](N)Cc1ccc(O)c(-c2cc(C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)ccc2O)c1,"European Journal of Organic Chemistry (2012), 2012(31), 6204-6211","5720-07-0, 2596253-45-9",204919-75-5,"7789-23-3, 1310-65-2, 76-05-1, 6485-79-6","6163-58-2, 51364-51-3","64-17-5, 110-71-4, 7732-18-5, 109-99-9","reaction products with aryl acetylene DNA-encoded library, DNA-encoded library conjugate",DNA-encoded library conjugate,,,,,3,1,,,,,,,,"microwave irradiation (stage 1), thermal (stage 1), Suzuki-Miyaura coupling reaction"
31-113-CAS-12897231,Miyaura borylation,11.0,,,OB(O)c1ccccc1.COc1ccc(Br)cc1>>COc1ccccc1.COc1ccc(-c2ccccc2)cc1,"Angewandte Chemie, International Edition (2012), 51(34), 8525-8528, S8525/1-S8525/23","98-80-6, 104-92-7","100-66-3, 613-37-6",584-08-7,"15383-58-1, 309735-86-2",108-88-3,,,,surface functionalized palladium nanocrystals,,,1,1,11.0,81.0,,,,,,"Suzuki-Miyaura cross-coupling reaction, yield depends on reaction conditions (time, and cat.)"
31-113-CAS-1650929,Miyaura borylation,6.0,,,OB(O)c1ccccc1.COc1ccc(Br)cc1>>COc1ccccc1.COc1ccc(-c2ccccc2)cc1,"Angewandte Chemie, International Edition (2012), 51(34), 8525-8528, S8525/1-S8525/23","98-80-6, 104-92-7","100-66-3, 613-37-6",584-08-7,"2622-14-2, 309735-86-2",108-88-3,,,,surface functionalized palladium nanocrystals,,,1,1,6.0,93.0,,,,,,"Suzuki-Miyaura cross-coupling reaction, yield depends on reaction conditions (time, and cat.)"
31-113-CAS-18346087,Miyaura borylation,66.0,,,COc1nc2ccc(Br)cc2nc1OC.O=C(O)c1cc(F)cc(B(O)O)c1>>O=C(O)c1cc(F)cc(-c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1,"ACS Chemical Neuroscience (2017), 8(11), 2477-2495","2912505-90-7, 2912505-91-8",2912505-92-9,"534-17-8, 7647-01-0",14221-01-3,"68-12-2, 7732-18-5, 123-91-1",,,,,,,3,1,66.0,,,,,,,Suzuki cross coupling reaction (stage 1)
31-113-CAS-18346088,Miyaura borylation,58.0,,,COc1nc2ccc(Br)cc2nc1OC.O=C(O)c1cc(Cl)cc(B(O)O)c1>>O=C(O)c1cc(Cl)cc(-c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1,"ACS Chemical Neuroscience (2017), 8(11), 2477-2495","611-53-0, 68572-87-2",1883722-10-8,"534-17-8, 7647-01-0",14221-01-3,"68-12-2, 7732-18-5, 123-91-1",,,,,,,3,1,58.0,,,,,,,Suzuki cross coupling reaction (stage 1)
