reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-13686222,Nozaki–Hiyama–Kishi,,,,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC.C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC,"Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","104-53-0, 343949-82-6","1370406-95-3, 1370406-99-7","109-72-8, 7647-14-5",,"108-18-9, 108-88-3, 110-54-3, 7732-18-5",,,,,,,4,1,,,,,,,,stereoselective
31-006-CAS-296043,Nozaki–Hiyama–Kishi,75,,,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O)[C@H](C)C[C@]1(O)C#CC(=O)OCC,"Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","106-96-7, 459-57-4",170653-55-1,"109-72-8, 7647-14-5, 7664-39-3",,"108-18-9, 108-88-3, 110-54-3, 7732-18-5, 75-05-8",,,,,,,5,1,75,,,,,,,stereoselective (stage 3)
31-006-CAS-7090452,Nozaki–Hiyama–Kishi,,,,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC.C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC,"Organic & Biomolecular Chemistry (2013), 11(33), 5413-5424","42217-00-5, 1392307-57-1","1392307-58-2, 1392307-78-6","4111-54-0, 7647-14-5",,"108-88-3, 7732-18-5",,,,,,,3,1,,,,,,,,stereoselective
31-047-CAS-23741495,Nozaki–Hiyama–Kishi,47,,,O=CCCCOC(=O)c1ccccc1.C=C(Br)C[C@@H](CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)OS(=O)(=O)c1ccc(C)cc1>>C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@H](O)CCCOC(=O)c1ccccc1.C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@@H](O)CCCOC(=O)c1ccccc1,"Journal of the American Chemical Society (2021), 143(25), 9478-9488","188730-08-7, 355009-02-8","2095743-16-9, 2095743-17-0","1291-32-3, 1643-19-2","10049-05-5, 20734-58-1, 480444-15-3, 29046-78-4, 85575-93-5",75-05-8,,,,,,,2,1,47,8,,,,,,"electrochemical, stereoselective, Nozaki-Hiyama-Kishi reaction, nickel foam cathode and aluminum anode used (stage 2), sealed electrosyn vial used (stage 2), constant voltage, 2V (stage 2), in-situ generated Cr-complex (stage 1), sealed glovebox used (stage 1), alternative reaction condition gave lower yield"
31-049-CAS-10028999,Nozaki–Hiyama–Kishi,,,,IC(I)I.COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C>>COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO,"Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","1647116-96-8, 1647117-01-8","1647117-02-9, 1647117-03-0, 1647117-09-6, 1647117-10-9",10049-05-5,,109-99-9,,,,,,,1,1,,,,,,,,"stereoselective, 61% overall yield for the silylated compounds, Takai olefination, other products also detected (10% of desilylated products formed)"
31-049-CAS-7440426,Nozaki–Hiyama–Kishi,33,,,COc1ccc(COCC=O)cc1.C=C[C@H](CCCCC)B1O[C@@H](C(OC)(c2ccccc2)c2ccccc2)[C@H](C(OC)(c2ccccc2)c2ccccc2)O1.IC(I)I>>CCCCC/C=C\C[C@H](O)/C=C/I,"European Journal of Organic Chemistry (2015), 2015(25), 5620-5632","104-53-0, 2654053-38-8",2654052-81-8,"10139-51-2, 288-32-4, 67-68-5, 79-37-8, 121-44-8, 12125-02-9, 10049-05-5, 7647-14-5, 429-41-4",,"75-09-2, 75-05-8, 7732-18-5, 109-99-9",,,,,,,10,1,33,,,,,,,"stereoselective, alternative preparation shown"
31-111-CAS-10442769,Nozaki–Hiyama–Kishi,75,,,C#CCCl.COc1ccc(C(C)=O)cc1>>C#CC[C@@](C)(O)c1ccccc1,"Science (Washington, DC, United States) (2011), 333(6051), 1875-1878","2058-74-4, 174715-24-3",3078371-24-8,"121-44-8, 7439-96-5, 7447-41-8, 10170-68-0, 75-77-4, 12125-02-9",1345249-38-8,"109-99-9, 7732-18-5",,,,,,,5,1,75,,,,,,,"stereoselective, 96:4 er, Teflon capped vial used, Nozaki-Hiyama-Kishi allylation, alternative preparation shown"
31-111-CAS-5049209,Nozaki–Hiyama–Kishi,,,,C#CCBr.COc1ccc(C(C)=O)cc1>>C#CC[C@@](C)(O)c1ccccc1,"Science (Washington, DC, United States) (2011), 333(6051), 1875-1878",1387598-23-3,1387598-22-2,"121-44-8, 7439-96-5, 7447-41-8, 10170-68-0, 75-77-4, 12125-02-9",1345249-47-9,"109-99-9, 7732-18-5",,,,,,,5,1,,,,,,,,"stereoselective, 91:9 er, Teflon capped vial used, Nozaki-Hiyama-Kishi allylation, alternative preparation shown"
31-117-CAS-11172238,Nozaki–Hiyama–Kishi,13,,,C=C(C)CCl.O=C/C=C/c1ccccc1>>CC(C)=CC(=O)/C=C/c1ccccc1.C=C(C)C[C@@H](O)/C=C/c1ccccc1,"Chemical Communications (Cambridge, United Kingdom) (2011), 47(36), 10028-10030","106-94-5, 855631-78-6","2446913-62-6, 2446913-79-5","67-63-0, 7778-53-2",1309435-39-9,109-99-9,,,,,,,1,1,13,82,,,,,,"stereoselective, Grignard Nozaki-Hiyama methallylation, sealed tube used, alternative preparation shown, 95% ee"
31-117-CAS-11447552,Nozaki–Hiyama–Kishi,85,,,O=Cc1ccc2c(c1)OCO2.C=C(C)CCl>>C=C(C)C[C@@H](O)c1ccc2c(c1)OCO2.CC(C)=CC(=O)c1ccc2c(c1)OCO2,"Chemical Communications (Cambridge, United Kingdom) (2011), 47(36), 10028-10030","35189-96-9, 855631-78-6","2446913-84-2, 2446913-85-3","67-63-0, 7778-53-2",1309435-39-9,109-99-9,,,,,,,1,1,85,10,,,,,,"stereoselective, Grignard Nozaki-Hiyama methallylation, sealed tube used, 96% ee, alternative preparation shown"
