reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-15325244,Pictet–Spengler,11,,,COc1ccc(OC)c(C[C@@H]2COC(C)O2)c1>>COc1ccc(OC)c(C[C@@H](O)CO)c1.COc1ccc(OC)c2c1C[C@H](CO)O[C@H]2C,"European Journal of Organic Chemistry (2010), (23), 4442-4449",1372874-59-3,"1372874-60-6, 1372874-61-7","7550-45-0, 12125-02-9",,"75-09-2, 7732-18-5",,,,,,,2,1,11,87,,,,,,"stereoselective, key step, oxa-Pictet-Spengler cyclization"
31-006-CAS-7484861,Pictet–Spengler,89,,,COc1cc(C[C@@H]2COC(C)O2)c(OC)cc1Br>>COc1cc(C[C@@H](O)CO)c(OC)cc1Br.COc1cc(Br)c(OC)c2c1C[C@H](CO)O[C@H]2C,"European Journal of Organic Chemistry (2010), (23), 4442-4449",944796-61-6,"944796-66-1, 944796-67-2","7550-45-0, 12125-02-9",,"75-09-2, 7732-18-5",,,,,,,2,1,89,7,,,,,,"stereoselective, key step, oxa-Pictet-Spengler cyclization"
31-049-CAS-15230418,Pictet–Spengler,89,,,C=CCOC[C@H]1c2c(c(OC)c(C)c(OC)c2OCC=C)C[C@@H](C=O)N1C(=O)[C@H](Cc1cc(O[Si](C)(C)C(C)(C)C)c(OC)c(C)c1OC)N(C)C(=O)OCC1c2ccccc2-c2ccccc21>>C=CCOC[C@H]1c2c(c(OC)c(C)c(OC)c2OCC=C)C[C@@H]2[C@H]3c4c(O)c(OC)c(C)c(OC)c4C[C@@H](C(=O)N21)N3C,"Journal of the American Chemical Society (2005), 127(36), 12684-12690",2137966-18-6,2137966-06-2,"429-41-4, 75-75-2, 144-55-8",,"109-99-9, 7732-18-5",,,,,,"To a solution of 27 (54 mg, 0.06 mmol, 1.0 equiv) in 11.4 mL anhydrous THF at 0 °C was added TBAF (1.0 M in THF, 125 µL, 0.12 mmol, 2.2 equiv) over ca. 30 sec. The mixture was stirred 10 min, after which MsOH (92 µL, 1.4 mmol, 25 equiv) was added rapidly in one portion by syringe. The resulting mixture was stirred for 10 min, after which the reaction was quenched with 15 mL saturated aq NaHCO3 and was then diluted with 20 mL EtOAc. The resulting layers were separated and the aq phase was extracted with 2 x 15 mL EtOAc. The combined organic phases were dried (Na2SO4), filtered, and concentrated. The crude product was chromatographed on silica gel (EtOAc) to give 28 as an amorphous white powder (30 mg, 0.05 mmol, 89%). Recrystallization of 28 in chloroform-pentane using the vapor diffusion method afforded clear, needle-like crystals suitable for X-ray analysis. [α]25D: + 28.5 (c 1.0, CH2Cl2). IR (thin film): 2936, 2856, 1636 cm-1. 1H NMR (400 MHz, CDCl3): δ 6.06 (dddd, J = 17.0, 10.4, 5.8, 5.8 Hz, 1H), 5.94 (app dd, J = 8.1, 3.2 Hz, 1H), 5.50 (s, 1H), 5.34 (app dd, J = 17.0, 1.3 Hz, 1H), 5.31-5.24 (m, 2H), 4.86-4.77 (m, 2H), 4.50 (1/2 ABX, JAB = 10.9 Hz, 1H), 4.47 (1/2 ABX, JAB = 12.4 Hz, 1H), 4.02 (app s, 1H), 3.85 (app dd, J = 11.7, 3.8 Hz, 1H), 3.77-3.70 (m, 1H), 3.73 (s, 3H), 3.72 (s, 3H), 3.69 (s, 3H), 3.64 (s, 3H), 3.60-3.49 (m, 2H), 3.48-3.38 (m, 2H), 3.26-3.15 (m, 1H), 3.06-2.97 (m, 2H), 2.82 (app d, J = 17.9 Hz, 1H), 2.40 (s, 3H), 2.19 (s, 3H), 2.16 (s, 3H). 13C NMR (100 MHz, CDCl3): δ 169.6, 152.7, 150.0, 149.5, 145.2, 143.8, 142.7, 135.1, 134.4, 125.5, 124.9, 124.2, 122.6, 122.5, 118.8, 117.8, 116.3, 73.8, 71.7, 70.3, 61.0, 60.4, 60.3, 60.0, 59.3, 55.2, 54.3, 49.0, 39.8, 28.9, 19.7, 9.7, 9.6. TLC (SiO2, 100% EtOAc): Rf= 0.41. Mp: 203-204 °C. HRMS (FAB+) calcd for C33H43N2O8 (m/z) 595.3019; found (m/z) 595.3026.",3,1,89,,,,,,,stereoselective
31-085-CAS-484363,Pictet–Spengler,24,,,CC[C@@]1(CCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CCC(=O)N(CCc2c[nH]c3ccccc23)C1O.CC[C@@](C=O)(CCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CCC(=O)NCCc1c[nH]c2ccccc12>>CC[C@@]1(CCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CCC(=O)N2CCc3c([nH]c4ccccc34)[C@@H]21.CC[C@@]1(CCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CCC(=O)N2CCc3c([nH]c4ccccc34)[C@H]21,"Journal of Organic Chemistry (2001), 66(26), 8935-8943",1607473-51-7,"1607473-50-6, 1607473-52-8","76-05-1, 144-55-8",,"75-09-2, 7732-18-5",,,,,,"(1S,12bS)-1-Ethyl-1-(2-tert-butyldiphenylsilyloxyethyl)-4-oxo-2,3,6,7,12,12b-hexahydro-1H-indolo[2,3-a]quinolizine (25a) and (1S,12bR)-1-Ethyl-1-(2-tert-butyldiphenylsilyloxyethyl)-4-oxo-2,3,6,7,12,12b-hexahydro-1H-indolo[2,3-a]quinolizine (25b). A mixture of aldehyde 23 and hydroxy-lactam 24 (0.073 g, 0.13 mmol) was dissolved in dry CH2Cl2 (10 mL) at -42 °C, and trifluoroacetic acid (0.065 mL, 0.78 mmol) was added dropwise. The mixture was stirred at -42 °C and then allowed to warm slowly to room temperature for 16 h. The reaction was quenched with saturated NaHCO3 and extracted with CH2Cl2. The organic layer was dried and concentrated. Chromatographic purification (1:1 v/v PE: EtOAc) gave the oily 25a (18.7 mg) and 25b (49.4 mg) and in a combined yield of 95%. (1S,12bS)-1-Ethyl-1-(2-tert-butyldiphenylsilyloxyethyl)-4-oxo-2,3,6,7,12,12b-hexahydro-1H-indolo[2,3-a]quinolizine (25a) and (1S,12bR)-1-Ethyl-1-(2-tert-butyldiphenylsilyloxyethyl)-4-oxo-2,3,6,7,12,12b-hexahydro-1H-indolo[2,3-a]quinolizine (25b), yield 95%. Lactam 25a: [α ]24 D -50 (c 0.2, CHCl3) IR νmax (film): 3487, 3052, 1632 cm-1. 1H NMR: δ 0.98 (s, 9H), 1.12 (t, 3H, J = 7.4 Hz), 1.20-1.37 (m, 1H), 1.66-1.98 (m, 5H), 2.43-2.55 (m, 2H), 2.63-2.83 (m, 3H), 3.59 (t, 2H, J = 6.9 Hz), 4.76 (s, 1H), 5.10-5.22 (m, 1H), 7.09-7.23 (m, 2H), 7.24-7.46 (m, 8H), 7.48-7.58 (m, 4H), 7.82 (bs, 1H). 13C NMR: δ 8.3, 19.0, 21.1, 24.0, 26.8, 27.8, 29.1, 30.4, 33.9, 39.9, 41.0, 59.8, 60.9, 110.9, 113.4, 118.3, 119.8, 122.3, 126.5, 127.7, 129.7, 130.9, 133.3, 135.5, 136.1, 169.9. Lactam 25b: [α ]24 D + 85 (c 0.5, CHCl3) IR νmax (film): 3347, 3052, 1644 cm-1. 1H NMR: δ 0.68 (t, 3H, J = 7.4 Hz), 0.80- 1.12 (m, 1H), 1.02 (s, 9H), 1.38-1.60 (m, 2H), 1.65-1.86 (m, 2H), 2.26-2.50 (m, 3H), 2.65-2.90 (m, 3H), 4.01 (bt, 2H, J = 4.0 Hz), 5.11-5.23 (m, 2H), 7.06-7.22 (m, 2H), 7.37-7.58 (m, 8H), 7.63-7.77 (m, 4H), 9.04 (bs, 1H). 13C NMR: δ 7.0, 19.1, 21.3, 24.0, 26.8, 26.9, 29.1, 38.4, 39.4, 41.0, 60.5, 60.9, 111.2, 112.9, 118.0, 119.3, 121.7, 126.7, 128.1, 130.2, 130.4, 131.6, 132.2, 132.3, 135.5, 135.7, 136.0, 170.0. HRMS Calcd for C35H42N2O2Si: 550.3016. Found: 550.3018.",2,1,24,71,,,,,,"stereoselective, key step, Pictet-Spengler cyclization, reaction temp. -43 Celsius, use of other acidic conditions (Nafion-H in refluxing toluene or reflux in glacial HOAc) gave similar results"
31-086-CAS-16361588,Pictet–Spengler,73,,,Cc1cccc2[nH]ccc12.O=CCCCc1c[nH]c2ccccc12>>Cc1cccc2[nH]cc(C3CCCc4c3[nH]c3ccccc43)c12,"Organic Letters (2016), 18(23), 5990-5993","614-96-0, 1261133-05-4",2034125-40-9,,791616-63-2,75-09-2,,,,,,,1,1,73,,,,,,,"stereoselective, Friedel-Crafts alkylation"
31-086-CAS-16361590,Pictet–Spengler,73,,,Cc1ccc2[nH]ccc2c1.O=CCCCc1c[nH]c2ccccc12>>Cc1ccc2[nH]cc(C3CCCc4c3[nH]c3ccccc43)c2c1,"Organic Letters (2016), 18(23), 5990-5993","120-92-3, 588-05-6",1258843-20-7,,791616-63-2,75-09-2,,,,,,,1,1,73,,,,,,,"stereoselective, Friedel-Crafts alkylation"
31-086-CAS-16361591,Pictet–Spengler,71,,,Cc1ccc2cc[nH]c2c1.O=CCCCc1c[nH]c2ccccc12>>Cc1ccc2c(C3CCCc4c3[nH]c3ccccc43)c[nH]c2c1,"Organic Letters (2016), 18(23), 5990-5993","3468-18-6, 1373945-36-8",1373945-76-6,,791616-63-2,75-09-2,,,,,,,1,1,71,,,,,,,"stereoselective, Friedel-Crafts alkylation"
31-086-CAS-16361592,Pictet–Spengler,71,,,Cc1cccc2cc[nH]c12.O=CCCCc1c[nH]c2ccccc12>>Cc1cccc2c(C3CCCc4c3[nH]c3ccccc43)c[nH]c12,"Organic Letters (2016), 18(23), 5990-5993","1445-73-4, 5027-78-1",1412406-21-3,,791616-63-2,75-09-2,,,,,,,1,1,71,,,,,,,"stereoselective, Friedel-Crafts alkylation"
31-086-CAS-16361595,Pictet–Spengler,80,,,c1ccc2[nH]ccc2c1.COc1cccc2[nH]cc(CCCC=O)c12>>COc1cccc2[nH]c3c(c12)CCCC3c1c[nH]c2ccccc12,"Organic Letters (2016), 18(23), 5990-5993","123-72-8, 334498-89-4",1256568-47-4,,791616-63-2,75-09-2,,,,,,,1,1,80,,,,,,,"stereoselective, Friedel-Crafts alkylation"
31-086-CAS-16361596,Pictet–Spengler,78,,,c1ccc2[nH]ccc2c1.O=CCCCc1c[nH]c2ccc(Br)cc12>>Brc1ccc2[nH]c3c(c2c1)CCCC3c1c[nH]c2ccccc12,"Organic Letters (2016), 18(23), 5990-5993","108-94-1, 1227202-26-7",1227202-10-9,,791616-63-2,75-09-2,,,,,,,1,1,78,,,,,,,Friedel-Crafts alkylation
