reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-048-CAS-16307845,Sonogashira coupling,95,,,C#Cc1ccc(F)cc1.COC(=O)[C@@H]1C[C@@H](O)CN1C(=O)c1ccc(I)cc1>>COC(=O)[C@@H]1C[C@H](F)CN1C(=O)c1ccc(C#Cc2ccc(F)cc2)cc1,"Journal of Medicinal Chemistry (2016), 59(20), 9541-9559","536-74-3, 2412891-83-7",2412892-02-3,121-44-8,"7681-65-4, 14221-01-3",75-05-8,,,,,,,1,1,95,,,,,,,Sonogashira coupling
31-084-CAS-4957282,Sonogashira coupling,83,,,C#Cc1ccccc1.Cc1cnc(N)c(Br)c1>>Cc1cnc(N)c(C#Cc2cccc(Cl)c2)c1,"Organic & Biomolecular Chemistry (2014), 12(2), 307-315","766-97-2, 2412891-83-7",2412891-95-1,"121-44-8, 12125-02-9","7681-65-4, 14221-01-3","109-99-9, 7732-18-5",,,,,,,2,1,83,,,,,,,Sonogashira coupling
31-113-CAS-12636723,Sonogashira coupling,81,,,C#CC(=C)C.COc1cc(OC)c(OC)cc1I>>C=C(C)C#Cc1cc(OC)c(OC)cc1OC,"Organic & Biomolecular Chemistry (2011), 9(1), 70-73","766-98-3, 2761581-53-5",2761581-82-0,121-44-8,"7681-65-4, 14221-01-3",109-99-9,,,,,,,1,1,81,,,,,,,"key step, Sonogashira coupling"
31-113-CAS-735003,Sonogashira coupling,86,,,C#Cc1ccccn1.COC(=O)c1ccc(OC(F)F)c(I)c1>>C(C#Cc1ccccn1)#Cc1ccccn1.COC(=O)c1ccc(OC(F)F)cc1.COC(=O)c1ccc(OC(F)F)c(C#Cc2ccccn2)c1,"Organic Process Research & Development (2012), 16(11), 1854-1860","627-41-8, 27884-04-4","20726-67-4, 2004668-41-9, 3037698-57-7","1336-21-6, 52-90-4","7681-65-4, 13965-03-2","872-50-4, 7732-18-5",,,,,,"Methyl 4-(Difluoromethoxy)-3-(pyridin-2-ylethynyl)-benzoate (5). 2-Ethynylpyridine (4) (2.30 kg, 1.01 equiv, 22.3 mol) was charged to a solution of 3 (7.25 kg, 1.00 equiv, 22.1 mol) in N-methylpyrrolidinone (NMP) (30.7 kg, 29.9 L). Next, CuI (0.084 kg, 0.020 equiv, 0.442 mol) was charged in a single portion. The mixture was degassed by evacuating and refilling via nitrogen bleed three times. Pd(PPh3)2Cl2 (0.16 kg, 0.010 equiv, 0.221 mol) was charged in a single portion, and the mixture was heated to 35 °C. Next, ammonium hydroxide (28% solution) (12.6 kg, 8 equiv) was charged via pressure can, carefully maintaining an internal temperature in the range of 35 - 40 °C. The addition time was approximately 45 min. The reaction was held in this range for 1 h and deemed complete by LC analysis (NMT 1% starting material). Next, a solution of Lcysteine (0.5 kg, 0.167 equiv, 3.69 mol) in water (3.0 kg, 3.0 L) and 28% ammonium hydroxide (0.7 kg) was added to the reaction and held for 2 h. The mixture was cooled to 20 °C to effect crystallization. Water (47.3 kg, 47.3 L) was added over a period of 45 min, and the suspension was cooled to 5 °C. After 1 h at this temperature, the solids were filtered on a Nütsche filter and washed consecutively with water (30.9 kg), two 28% ammonium hydroxide solution portions (14.2 kg each), and water (23.5 kg). To effect further residual Pd removal, the cake was washed with a 2:1 MeOH:water solution (28.6 kg). Finally, the crystals were dried under positive nitrogen flow. yield 6.34 kg, 86.1% 98.5% purity, mp = 109 °C. were dried under positive nitrogen flow. HPLC retention time: 8.33 min. 1H NMR (300 MHz, DMSO-d6) δ 8.65 (dt, J= 4.0, 0.8 Hz, 1H), 8.20 (d, J= 2.2 Hz, 1H), 8.09 (dd, J= 8.8, 2.2 Hz, 1H), 7.90 (td, J= 7.8, 1.8 Hz, 1H), 7.70 (d, J= 4.5 Hz, 1H), 7.52 (t, J= 72.6 Hz, 1H), 7.45-7.49 (m, 2H), 3.89 (s, 3H); 13C- NMR (100 MHz, DMSO-d6) δ 164.7, 154.7, 150.3, 141.7, 136.9, 134.6, 132.0, 127.7, 126.5, 124.0, 117.9, 116.0 (t, J= 260 Hz), 113.7, 94.1, 82.0, 52.5. HRMS calculated for C16H11F2NO3: 304.07798 [M + H]; found: 304.07793.",2,1,,,86,,,,,"Sonogashira coupling, scalable, optimization study, optimized on solvent, catalyst amount"
31-174-CAS-1314178,Sonogashira coupling,80,,,C#C[Si](C)(C)C.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>C[Si](C)(C)C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377","928-90-5, 1580494-16-1",1580494-30-9,"7681-65-4, 13965-03-2",,109-99-9,,,,,,,1,1,80,,,,,,,
31-174-CAS-15002052,Sonogashira coupling,80,,,C#CCO.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>OCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377","3085577-72-3, 766-97-2",3085577-77-8,"7681-65-4, 13965-03-2",,109-99-9,,,,,,,1,1,80,,,,,,,
31-174-CAS-1612654,Sonogashira coupling,80,,,C#CCCO.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>OCCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377","536-74-3, 2506523-06-2",2506523-02-8,"7681-65-4, 13965-03-2",,109-99-9,,,,,,,1,1,80,,,,,,,
31-174-CAS-3447920,Sonogashira coupling,80,,,C#Cc1ccccc1.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>Fc1ccc(Nc2ncnc3ccc(C#Cc4ccccc4)cc23)cc1Cl,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377","107-19-7, 2918814-92-1",2918814-81-8,"7681-65-4, 13965-03-2",,109-99-9,,,,,,,1,1,80,,,,,,,
31-174-CAS-3696011,Sonogashira coupling,80,,,C#CCCCO.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>OCCCC#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377","1066-54-2, 2127358-33-0",2127358-62-5,"7681-65-4, 13965-03-2",,109-99-9,,,,,,,1,1,80,,,,,,,
31-174-CAS-5589078,Sonogashira coupling,80,,,C#Cc1cccs1.Fc1cc(Nc2ncnc3ccc(Br)cc23)ccc1Cl>>Fc1ccc(Nc2ncnc3ccc(C#Cc4cccs4)cc23)cc1Cl,"Bioorganic & Medicinal Chemistry Letters (2007), 17(22), 6373-6377","1066-54-2, 958265-50-4",195457-57-9,"7681-65-4, 13965-03-2",,109-99-9,,,,,,,1,1,80,,,,,,,
