reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-012-CAS-23894548,Thioether formation,7,,,CCCCCCCCCCCCS.COc1ccc(C(C)O)cc1>>COc1ccc(C(C)OC(C)c2ccc(OC)cc2)cc1.CCCCCCCCCCCCSC(C)c1ccc(OC)cc1,"European Journal of Organic Chemistry (2021), 2021(31), 4417-4422","811-68-7, 2278230-65-0, 2761701-81-7","2761701-88-4, 2761701-89-5",,18822-50-9,75-09-2,,,,silica supported,,,1,1,7,91,,,,,,"chemoselective, solid-supported catalyst, products depend on reaction conditions, alternative preparation shown, silica support used, catalyst prepared and used, recyclable catalyst used, reusable catalyst used"
31-014-CAS-11004348,Thioether formation,81,,,CC(C)S.ClCC1CO1>>CC(C)SCC(O)CSC(C)C,"Dalton Transactions (2015), 44(37), 16439-16445",2070881-72-8,900898-19-3,7440-23-5,,64-17-5,,,,,,,1,1,81,,,,,,,alternative reaction conditions shown
31-014-CAS-13307582,Thioether formation,88,,,CCCCS.CCC1(CCl)CO1>>CCCCSCC(O)(CC)CSCCCC,"Dalton Transactions (2015), 44(37), 16439-16445","100-39-0, 4595-60-2",66348-67-2,7440-23-5,,64-17-5,,,,,,,1,1,88,,,,,,,alternative reaction conditions shown
31-014-CAS-2045729,Thioether formation,82,,,CC(C)(C)S.CCC1(CCl)CO1>>CCC(O)(CSC(C)(C)C)CSC(C)(C)C,"Dalton Transactions (2015), 44(37), 16439-16445","106-95-6, 1666-13-3",14370-82-2,7440-23-5,,64-17-5,,,,,,,1,1,82,,,,,,,alternative reaction conditions shown
31-014-CAS-2204487,Thioether formation,93,,,ClCC1CO1.CCCCS>>CCCCSCC(O)CSCCCC,"Dalton Transactions (2015), 44(37), 16439-16445","811-68-7, 2035508-42-8",2035508-55-3,7440-23-5,,64-17-5,,,,,,,1,1,93,,,,,,,alternative reaction conditions shown
31-014-CAS-22407561,Thioether formation,99,,,CC(C)(C)S.ClCC1CO1>>CC(C)(C)SCC(O)CSC(C)(C)C,"Organic & Biomolecular Chemistry (2020), 18(33), 6509-6513","825-83-2, 100-39-0",108789-37-3,"584-08-7, 1310-73-2",,"68-12-2, 60-29-7, 7732-18-5",,,,,,,2,1,99,,,,,,,"regioselective, alternative preparation shown"
31-014-CAS-312035,Thioether formation,80,,,CC(C)(C)S.ClCC1CO1>>CC(C)(C)SCC(O)CSC(C)(C)C,"Dalton Transactions (2015), 44(37), 16439-16445",100-39-0,538-74-9,7440-23-5,,64-17-5,,,,,,,1,1,80,,,,,,,alternative reaction conditions shown
31-014-CAS-4192451,Thioether formation,88,,,CC(C)S.CCC1(CCl)CO1>>CCC(O)(CSC(C)C)CSC(C)C,"Dalton Transactions (2015), 44(37), 16439-16445","50-00-0, 34451-26-8",114857-08-8,7440-23-5,,64-17-5,,,,,,,1,1,88,,,,,,,alternative reaction conditions shown
31-026-CAS-10103095,Thioether formation,85,,,Sc1ccccc1.CNc1ccccc1C(O)c1ccccc1OC>>CNc1ccccc1[C@@H](Sc1ccccc1)c1ccccc1OC,"Angewandte Chemie, International Edition (2016), 55(15), 4803-4807","68-11-1, 1908430-06-7",1882835-23-5,121-44-8,361342-51-0,108-88-3,,,,,,,2,1,85,,,,,,,"stereoselective, Michael addition"
31-026-CAS-10218256,Thioether formation,92,,,BrCc1ccccc1.IC1CCCCC1>>c1ccc(CSC2CCCCC2)cc1,"Phosphorus, Sulfur and Silicon and the Related Elements (2015), 190(1), 45-52","111-88-6, 2473593-12-1",2473592-50-4,"62-56-6, 584-08-7",,68-12-2,,,,,,"General/Typical Procedure: Typical Procedure for the Reaction of Benzyl Bromide with Alkyl Halides and Thiourea Benzyl bromide (1 mmol), alkyl halide (1.1 mmol), thiourea (1.2 mmol), and K2CO3 (3 mmol) were added to 5 mL of DMF at 100°C. The reaction was stopped after the consumption of the benzyl bromide, which was monitored by gas chromatography (GC). Then, the reaction mixture was diluted with de-ionized water and extracted with CH2Cl2. The combined organic extracts were dried over anhydrous MgSO4, filtered, and concentrated by rotary evaporation to generate a crude product. Purification by silica gel chromatography eluting with n-hexane afforded pure thioethers. Benzyl(cyclohexyl)sulfane (4i). Colorless oil. 189 mg (0.918mmol, 91.8% yield). 1H NMR: δ 7.30-7.15 (m,5H), 3.65 (s, 1H), 2.37-2.33 (m, 1H), 1.54-1.45 (m, 2H), 1.35-1.19 (m, 6H), 0.87 (t, J = 7.0 Hz, 2H); 13C NMR: δ 140.09, 129.88, 129.29, 127.74, 36.96, 32.51, 32.14, 30.26, 29.54, 23.58, 14.49; HRMS (EI) calcd. for [C13H18S + H]+ requires m/z 206.1129, found 207.8443.",1,1,92,,,,,,,"green chemistry, alternative preparation shown"
