reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-022-CAS-15603075,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),4,,,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.C=CCOc1ccccc1>>CC(=O)COc1ccccc1.O=CCCOc1ccccc1.CC(C)(C)c1cc(C(C)(C)C)c(ON=O)c(C(C)(C)C)c1,"Organic Letters (2016), 18(11), 2700-2703","64-17-5, 789-25-3, 827-54-3","1516-80-9, 3046-63-7, 2244602-13-7, 2649481-51-4",7782-44-7,"540-80-7, 14220-64-5",75-65-0,,,,,,,1,1,4.0,22.0,70.0,,,,,"regioselective, Wacker-Tsuji oxidation"
31-049-CAS-17725024,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),91,,,C=CC[C@H]1O[C@@H](CCC)C[C@@H](O)[C@@H]1O[Si](C)(C)C(C)(C)C>>CCC[C@H]1C[C@@H](O)[C@H](O)[C@@H](CC(C)=O)O1,"Tetrahedron Letters (2017), 58(30), 2898-2900",2715088-78-9,3006100-11-1,"7447-39-4, 7782-44-7",7647-10-1,"68-12-2, 7732-18-5",,,,,,,1,1,91.0,,,,,,,
31-049-CAS-18878109,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),80,,,C=C[C@H](CCO[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C>>CC(=O)[C@H](CCO[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C.CC(=O)[C@H](CCO)O[Si](C)(C)C(C)(C)C.CC(=O)[C@@H](O)CCO,"Synlett (2018), 29(8), 1076-1078",88927-00-8,"21478-63-7, 29342-27-6, 172978-80-2",7782-44-7,"142-71-2, 7647-10-1","127-19-5, 7732-18-5",,,,,,,1,1,80.0,15.0,5.0,,,,,"Wacker oxidation, scalable, alternative reaction conditions shown, key step, aerobic"
31-049-CAS-18878111,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),10,,,C=C[C@H](CCO[Si](C)(C)C(C)(C)C)O[Si](C)(C)C(C)(C)C>>CC(=O)[C@H](CCO)O[Si](C)(C)C(C)(C)C.CC(=O)[C@@H](O)CCO,"Synlett (2018), 29(8), 1076-1078",121561-52-2,"1258210-26-2, 1258210-51-3",7782-44-7,"142-71-2, 7647-10-1","127-19-5, 7732-18-5",,,,,,,1,1,10.0,90.0,,,,,,"Wacker oxidation, alternative reaction conditions shown, aerobic, key step"
31-116-CAS-17773180,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),89,,,C=Cc1ccc(OC)cc1>>[2H]CC(=O)c1ccc(OC)cc1,"Angewandte Chemie, International Edition (2017), 56(41), 12712-12717",2447566-73-4,3006100-80-4,"7782-44-7, 1257654-84-4, 7789-23-3",7758-94-3,64-17-5,,,,,,,2,1,89.0,,,,,,,"green chemistry-reagent, regioselective, under air, Wacker-type oxidation, mechanistic study"
31-116-CAS-21927659,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),78,,,C=Cc1ccccc1>>[2H]CC(=O)c1ccccc1,"Catalysis Science & Technology (2020), 10(9), 2769-2773",875770-76-6,875770-75-5,"7782-44-7, 22739-76-0","584-08-7, 7440-48-4, 309735-86-2",,,,,supported on nitrogen-doped pyrolyzed carbon,,,1,1,78.0,,,,,,,"regioselective, autoclave used, Wacker-type oxidation, nitrogen-doped carbon dispersed cobalt catalyst prepared and used, reusable catalyst"
31-116-CAS-23650692,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),74,,,C=Cc1ccc2ccccc2c1>>[2H]CC(=O)c1ccc2ccccc2c1.[2H]CC(O)c1ccc2ccccc2c1,"Angewandte Chemie, International Edition (2021), 60(25), 14083-14090",637-69-4,"100-06-1, 123-11-5",18164-03-9,"484-11-7, 7758-94-3",64-17-5,,,,,,,1,1,74.0,10.0,,,,,,"regioselective, reaction conducted in the presence of air, Wacker-type oxidation"
31-117-CAS-11622604,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),8,,,C=CCc1ccccc1>>CCC(=O)c1ccccc1.CC(=O)Cc1ccccc1.CC=Cc1ccccc1,"Journal of Molecular Catalysis A: Chemical (2009), 297(2), 73-79","64-17-5, 827-54-3, 33558-36-0","93-08-3, 7228-47-9, 2247633-95-8",7782-44-7,"107-13-1, 7440-05-3, 7440-50-8, 309735-86-2","64-17-5, 7732-18-5",,,,"hydrogenated, Michael-addition dendrimers, Pd and Cu complexes, PPI dendrimer-supported",,,1,1,,8.0,74.0,,,,,"solid-supported catalyst, Pd-Cu complex of polypropyleneimine dendrimer with diaminobutane core prepared and used as catalyst, Wacker-oxidation, in-situ generated catalyst, autoclave used, catalyst recyclable"
31-117-CAS-20307389,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),3,,,C=CCc1ccccc1>>CCC(=O)c1ccccc1.O=Cc1ccccc1.CC(=O)Cc1ccccc1.O=CCCc1ccccc1.C/C=C/c1ccccc1.O=C/C=C/c1ccccc1,"Advanced Synthesis & Catalysis (2019), 361(11), 2582-2593",300-57-2,"93-55-0, 103-65-1, 103-79-7, 104-54-1, 104-55-2, 637-50-3",15244-10-7,"2923-18-4, 42196-31-6","75-05-8, 7732-18-5",,,,,,,1,1,3.0,2.0,88.0,3.0,2.0,2.0,,"in the dark, Wacker-Tsuji oxidation, Schlenk flask used, optimization study, optimized on stoichiometry of reactant, oxidant and catalyst, optimized on oxidant, optimized on temperature, optimized on time, alternative preparation shown"
31-117-CAS-20307397,Wacker oxidation. Alkene → ketone (PdCl2 CuCl O2),4,,,C=CCc1ccc(OC)cc1>>CC=Cc1ccc(OC)cc1.COc1ccc(CC(C)=O)cc1,"Advanced Synthesis & Catalysis (2019), 361(11), 2582-2593","1854039-26-1, 1854039-27-2","1854039-31-8, 1854039-35-2",7705-08-0,"2923-18-4, 42196-31-6","75-05-8, 7732-18-5",,,,,,,1,1,4.0,87.0,,,,,,"in the dark, Wacker-Tsuji oxidation, Schlenk flask used, optimization study, optimized on stoichiometry of reactant, optimized on temperature, optimized on catalyst, optimized on time, reactant also recovered in 1% yield"
