name,abbreviation,cas,smiles,role_1,family_1,tag_1,role_2,family_2,tag_2
Benzonitrile,PhCN,100-47-0,,solvent,nitriles,high aprotic solvent,,,
anisole,PhOMe,100-66-3,,solvent,ethers_acyclic,low aprotic solvent,,,
Potassium phenoxide,KOPh,100-67-4,,base,tertiary_amines_aliphatic,moderate base; hindered,,,
Quinuclidine,,100-76-5,,base,tertiary_amines_aliphatic,moderate base; hindered,,,
"2,4,6-Trimethoxy-2'-dicyclohexylphosphino biphenyl",TMXPhos,1000171-05-0,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,
POCl3,,10025-87-3,,condensation_agent,organophosphorus_chlorides_azides,strong condensation agent,,,
B(OH)3,,10043-35-3,,additive,lewis_acid_promoters,lewis acid promoters,,,
Triphenyl phosphite,P(OPh)3,101-02-0,,ligand,phosphites,1 P ligand,,,
Ph2O,,101-84-8,,solvent,ethers_acyclic,low aprotic solvent,,,
Tributylamine,Bu3N,102-82-9,,base,tertiary_amines_aliphatic,moderate base; hindered,,,
2-diaMine,,102494-87-1,,ligand,diamines,2 N ligand,,,
Silver sulfate,Silver sulfate,10294-26-5,,additive,silver_salts_halide_scavengers,silver salts halide scavengers,,,
Boron tribromide,BBr3,10294-33-4,,acid,boron_lewis_acids,strong Lewis acid,,,
Boron Trichloride,BCl3,10294-34-5,,acid,boron_lewis_acids,strong Lewis acid,,,
Lithium iodide,LiI,10377-51-2,,additive,lithium_halide_accelerants,lithium halide accelerants,,,
Tris(p-tolyl)phosphine,P(p-tol)3,1038-95-5,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,
p-Toluenesulfonic acid,p-TsOH,104-15-4,,acid,sulfonic_acids,strong acid,,,
SSPhos,SSPhos,1049726-96-6,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,
Potassium trimethylsilanolate,TMSOK,10519-96-7,,base,alkoxides_primary,strong base,,,
cataCXium POMetB,cataCXium POMetB,1053658-91-5,,ligand,catacxium_monophosphines,1 P ligand,,,
p-Xylene,,106-42-3,,solvent,hydrocarbons_aromatic,low aprotic solvent,,,
Ammonium Bicarbonate,Al(HCO3)3,1066-33-7,,additive,al_salt,Al salt,,,
"1,2-Dichloroethane",DCE,107-06-2,,solvent,halogenated_aliphatics,medium aprotic solvent,,,
Propionitrile,,107-12-0,,solvent,nitriles,high aprotic solvent,,,
Ethylene glycol,,107-21-1,,solvent,glycol_ethers_polyols,medium protic solvent,,,
N-Methylglycine,,107-97-1,,ligand,diamines,2 N ligand,,,
BrettPhos,BrettPhos,1070663-78-3,,ligand,dialkylbiaryl_phosphines,1 P ligand,,,
COMU (Oxyma鈥慴ased uronium),COMU,1075198-30-9,,condensation_agent,aminium_uronium_guanidinium,high condensation agent,,,
Benzene-d6,C6D6,1076-43-3,,solvent,deuterated,deuterated,,,
"N,N-Dimethylethylenediamine","N,N-Dimethylethylenediamine",108-00-9,,ligand,diamines,2 N ligand,,,
Methyl isobutyl ketone,MIBK,108-10-1,,solvent,ketones,medium aprotic solvent,,,
Diisopropyl ether,DIPE,108-20-3,,solvent,ethers_acyclic,low aprotic solvent,,,
