yield%,Base,Catalyst,Solvent,Ligand,Additive,Coupling Reagent,Secondary Solvent,Tertiary Solvent,Reaction Type,FG A Source,FG A,FG A Display,FG A Signature,FG A Center Class,FG A Attachment Class,FG A Alpha Branched,FG A Qualifier Scope,FG A Mapping Status,FG B Source,FG B,FG B Display,FG B Signature,FG B Center Class,FG B Attachment Class,FG B Alpha Branched,FG B Qualifier Scope,FG B Mapping Status,z-Score,conditions
48.01,K2CO3,XantPhos Pd(allyl)Cl,DMAc,XantPhos,KOPiv,,water,,CH-Activation,ArH,ArH,ArH,,,,,,unresolved,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,0.42,17 h at 25 °C
76.99,K2CO3,XantPhosPdCl2,anisole,XantPhos,KOPiv,,NMP,,CH-Activation,ArH,ArH,ArH,,,,,,unresolved,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,1.34,21 h at 25 °C
39.24,"K2CO3, NMI",XantPhosPdCl2,anisole,XantPhos,KOPiv,,,,CH-Activation,ArH,ArH,ArH,,,,,,unresolved,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,0.14,23 h at 25 °C
24.36,K2CO3,XantPhosPdCl2,anisole,XantPhos,"KOPiv, water",,,,CH-Activation,ArH,ArH,ArH,,,,,,unresolved,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,-0.33,47 h at 25 °C
87.46,K2CO3,XantPhosPdCl2,anisole,"Xantphos, XantPhos","KOPiv, water",,,,CH-Activation,ArH,ArH,ArH,,,,,,unresolved,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,1.67,45 h at 25 °C
38.07,K3PO4,PPh3)2PdCl2,PhMe,PPh3,,,water,,Suzuki-Miyaura,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,ArB(OR)2,Ar-B(OR)2,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,,canonical,-0.48,4 h at 25 °C
2.03,K3PO4,PPh3)2PdCl2,THF,PPh3,,,water,,Suzuki-Miyaura,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,ArB(OR)2,Ar-B(OR)2,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,,canonical,-1.67,3 h at 25 °C
76.93,Na2CO3,PPh3)2PdCl2,THF,PPh3,,,water,,Suzuki-Miyaura,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,ArB(OR)2,Ar-B(OR)2,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,,canonical,0.8,24 h at 25 °C
2.87,K2CO3,[Pd(allyl)(JohnPhos)]OTf,Dioxane,JohnPhos,,,,,Buchwald-Hartwig,ArNH2,Ar-NH2,Ar–NH₂,XH|N|H2|Ar,primary,,,,canonical,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,-0.5,unknown time/temp
0,Cs2CO3,P(tBu)3 Pd(crotyl)Cl,THF,P(tBu)3,,,,,Buchwald-Hartwig,ArBr,Ar-Br,Ar–Br,LG|Ar|Br,,,,,canonical,R2NH,R1R2-NH,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical,-0.65,
