reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-022-CAS-15971888,Amide_formation,72,,,O=C(O)c1cccc(S(=O)(=O)Cl)c1.CC(C)(C)OC(=O)N1CCC(n2cncc2-c2ccc(O)cc2)CC1.CN>>CNC(=O)c1cccc(S(=O)(=O)Oc2ccc(-c3cncn3C3CCN(C(=O)OC(C)(C)C)CC3)cc2)c1,"Journal of Medicinal Chemistry (2016), 59(16), 7410-7430","7517-19-3, 52803-75-5, 5845-53-4",2095813-62-8,"121-44-8, 25952-53-8",,75-09-2,,,,,,,2,1,72,,,,,,,inverse addition (stage 2)
31-033-CAS-18758921,Amide_formation,91,,,NC(N)=S.CC(C)CC(N)C(=O)O>>CC(C)CC1NC(=S)NC1=O,"Chemistry - A European Journal (2018), 24(28), 7217-7227","2034128-54-4, 2034128-55-5",2034128-56-6,,,,,,,,,,1,1,91,,,,,,,
31-049-CAS-19164898,Amide_formation,98,,,COc1ccc(CC2(Cc3ccc(OCc4ccccc4)cc3)NC(=O)N(C)C2=O)cc1.O=C(O)C(F)(F)F>>COc1ccc(CC2(Cc3ccc(O)cc3)NC(=O)N(C)C2=O)cc1,"Journal of Organic Chemistry (2018), 83(17), 10120-10133","2206683-82-9, 2245175-26-0",2204247-82-3,1333-74-0,7440-05-3,67-56-1,,,,,,,1,1,98,,,,,,,"92% overall yield in 2 steps from imidazole compound,alternate reaction conditions also shown"
31-049-CAS-20090251,Amide_formation,77,,,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(OCc2ccccc2)c(C(C)C)c1.NC1COC1>>Cc1cc(OCC(=O)NC2COC2)cc(C)c1Cc1ccc(O)c(C(C)C)c1,"ACS Medicinal Chemistry Letters (2019), 10(1), 111-116","2089357-45-7, 2253707-36-5",2253707-30-9,"530-62-1, 700-12-9, 10294-34-5, 144-55-8",,"109-99-9, 75-09-2, 7732-18-5",,,,,,,4,1,77,,,,,,,
31-084-CAS-18516302,Amide_formation,71,,,O=C(O)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3.COc1cc(NC(C)CCCN)c2ncccc2c1-c1ccccc1>>COc1cc(NCCCCNC(=O)C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)c2ncccc2c1-c1ccc(F)cc1,"European Journal of Medicinal Chemistry (2018), 14969-78","3025075-04-8, 13031-60-2",3025074-91-0,"121-44-8, 125700-67-6",,75-09-2,,,,,,,2,1,71,,,,,,,
31-086-CAS-15928233,Amide_formation,80,,,O=C(O)C(=O)c1ccc(Cl)cc1.CONC(=O)c1ccc(Cl)cc1>>CON1C(=O)c2ccc(Cl)cc2C1(O)c1ccc(Cl)cc1,"Heterocycles (2016), 92(3), 560-572","2251-76-5, 25563-14-8",1877242-75-5,7727-54-0,3375-31-3,109-99-9,,,,,,,1,1,80,,,,,,,"optimization study, optimized on catalyst, reagent, solvent and time, scalable, reaction in a sealed tube"
31-172-CAS-16282128,Amide_formation,79,,,O=C(O)[C@@H]1CCCN1.Nc1ncccc1Br>>O=C1Nc2ncccc2N2CCC[C@@H]12,"Journal of Organic Chemistry (2016), 81(21), 10538-10550","593-51-1, 1809105-08-5",1331942-30-3,7778-53-2,"110-18-9, 7758-89-6","67-68-5, 141-78-6",,,,,,,3,1,79,,,,,,,
31-309-CAS-1172682,Amide_formation,74,,,O=C1Nc2ccccc2C1=O.O=C(O)CCc1ccco1.Nc1ccccc1N>>O=C(CCc1ccco1)Nc1ccccc1-c1nc2ccccc2[nH]c1=O,"Angewandte Chemie, International Edition (2015), 54(39), 11516-11520","455-38-9, 1440525-63-2",2173038-04-3,"25952-53-8, 7732-18-5",1122-58-3,75-09-2,,,,,,,3,1,74,,,,,,,
31-352-CAS-13721263,Amide_formation,74,,,COc1cc(/C=C/C(=O)O)cc(OC)c1OC.COC(=O)c1ccc(F)c(N)c1>>COc1cc(/C=C/C(=O)Nc2cc(C(=O)O)ccc2F)cc(OC)c1OC,"Journal of Medicinal Chemistry (2015), 58(11), 4529-4549","62-53-3, 75161-15-8",1637593-04-4,"79-37-8, 1122-58-3, 1310-65-2, 7647-01-0",68-12-2,"75-09-2, 67-56-1, 7732-18-5",,,,,,,4,1,74,,,,,,,solvent removed after stage 3
31-352-CAS-19455373,Amide_formation,96,,,Nc1ccccc1.COC(=O)[C@H](CSCCCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21>>O=C(CCCSC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)Nc1ccccc1,"Bioorganic & Medicinal Chemistry Letters (2018), 28(14), 2375-2378","38041-19-9, 2409826-24-8",2409825-59-6,"7087-68-5, 94790-37-1, 1310-65-2, 77-92-9",,"75-09-2, 109-99-9, 7732-18-5",,,,,,,3,1,96,,,,,,,
31-353-CAS-12966589,Amide_formation,79,,,O=C(O)c1ccccn1.Cl.N=C(NC(=O)OCc1ccccc1)NC(=O)c1ccc(C2CCNCC2)c(C(F)(F)F)c1>>N=C(N)NC(=O)c1ccc(C2CCN(C(=O)c3ccccn3)CC2)c(C(F)(F)F)c1,"Journal of Medicinal Chemistry (2012), 55(16), 7114-7140","328-20-1, 1195-52-4",1801654-16-9,"530-62-1, 121-44-8, 1333-74-0",7440-05-3,"68-12-2, 67-56-1, 141-78-6",,,,,,"General/Typical Procedure: General Procedure for Amide Bond Coupling with CDI. To a solution of benzoic acid derivative (1.10 equiv) in DMF was added CDI (1.10 equiv), and the mixture was stirred for 30-60 min. 20a or 20b was then added (1.00 equiv), followed by DIEA (3.0 equiv), and the reaction was stirred overnight at room temperature. The resulting mixture was either diluted with water or dilute HCl solution and filtered to give the desired the product or diluted with ethyl acetate and washed with water three times followed by brine, dried over Na2SO4, filtered, and concentrated in vacuo. The resulting coupling products were either used crude in the next step or purified by flash chromatography as indicated. N-{4-[1-(Pyridine-2-carbonyl)-piperidin-4-yl]-3-trifluoromethylbenzoyl}-guanidine (40). The required CBZ-protected amide intermediate was obtained using the CDI coupling according to the general procedure from picolinic acid (28.2 mg, 0.227 mmol) in DMF (2.0 mL) and 20a (100 mg, 0.206 mmol) using TEA as the base. The desired product was obtained by dilution with water and filtration of the resulting precipitate. The CBZ protecting group was removed according to the general procedure using Pd on carbon (15 mol %) in ethyl acetate (1.0 mL) and methanol (1.0 mL) for 16 h. The crude hydrogenation was purified by flash chromatography eluting 0-10% methanol/dichloromethane to give the desired product. White solid, yield 68 mg, 79% (over two steps). 1H NMR (DMSO-d6): δ 8.60 (ddd, J = 0.9 Hz, 1.6 Hz, 4.8 Hz, 1H), 8.36 (d, J = 1.6 Hz, 1H), 8.26 (d, J = 8.1 Hz, 1H), 7.98 (br s, 2H), 7.94 (td, J = 1.7 Hz, 7.7 Hz, 1H), 7.71 (d, J = 8.2 Hz, 1H), 7.62 (dt, J = 1.0 Hz, 7.8 Hz, 1H), 7.48 (ddd, J = 1.2 Hz, 4.8 Hz, 7.6 Hz, 1H), 6.76 (s, 2H), 4.69 (d, J = 13.1 Hz, 1H), 3.79 (d, J = 13.4 Hz, 1H), 3.24-3.09 (m, 2H), 2.89 (td, J = 12.8, 3.3 Hz, 1H), 1.88-1.58 (m, 4H). MS (ES+): calcd for C20H20F3N5O2 + H+ 420.41, found 420.59.",3,1,79,,,,,,,
31-353-CAS-19950473,Amide_formation,80,,,CC(C)(C)OC(=O)N1C[C@H](O)C[C@H]1C(=O)O.NCc1ccc(Br)cc1C(F)(F)F.O=CO>>Cl.O=C(NCc1ccc(Br)cc1C(F)(F)F)[C@@H]1C[C@@H](O)CN1,"Chemical Communications (Cambridge, United Kingdom) (2019), 55(10), 1482-1485","2027534-03-6, 372-19-0",2170029-88-4,"7087-68-5, 148893-10-1, 7647-01-0",,"68-12-2, 75-09-2, 123-91-1, 67-56-1",,,,,,,4,1,80,,,,,,,
31-365-CAS-23556784,Amide_formation,81,,,COc1cc(N)c2ncccc2c1.O=C(O)CCc1c[nH]c2ccccc12.Cc1ccc(C(=O)Cl)cc1>>COc1cc(NC(=O)CCc2cn(C(=O)c3ccc(C)cc3)c3ccccc23)c2ncccc2c1,"Chinese Chemical Letters (2021), 32(4), 1423-1426","394-04-7, 1955523-46-2",2552537-72-9,"25952-53-8, 144-55-8, 56-37-1, 1310-73-2",1122-58-3,"75-09-2, 7732-18-5",,,,,,,3,1,81,,,,,,,
31-367-CAS-10578307,Amide_formation,78,,,O=C(O)c1cccnc1.Cc1ccc([N+](=O)[O-])cc1OC1CCNCC1.Cl>>Cc1ccc(N)cc1OC1CCN(C(=O)c2cccnc2)CC1,"Journal of Medicinal Chemistry (2016), 59(8), 3964-3979","620-93-9, 1866-39-3",1801653-88-2,"7087-68-5, 148893-10-1, 1333-74-0",7440-05-3,"68-12-2, 7732-18-5, 141-78-6",,,,,,,3,1,78,,,,,,,
31-367-CAS-11064923,Amide_formation,95,,,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O.CCOC(=O)[C@@H](N)Cc1ccccc1.Cl>>CCOC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,"Organic Letters (2015), 17(16), 3968-3971","1417404-28-4, 3196-73-4",2614242-14-5,"108-48-5, 1309573-60-1, 12125-02-9, 1075198-30-9",,7732-18-5,,,,,,,2,1,95,,,,,,,
31-367-CAS-11239826,Amide_formation,97,,,O=C(O)c1ccc(NC(=O)c2ccccc2)cc1.CC(C)(C)OC(=O)NN>>CC(C)(C)OC(=O)NNC(=O)c1ccc(NC(=O)c2ccccc2)cc1,"Bioorganic & Medicinal Chemistry Letters (2015), 25(4), 963-968","6306-52-1, 2108099-58-5",2260940-03-0,25952-53-8,1122-58-3,"68-12-2, 109-99-9",,,,,,,1,1,97,,,,,,,
