reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-207-CAS-10834198,Benzylic oxidation,,,,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(Cc2cc(C)ccc2C)cc1.Cc1ccc(COO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1.Cc1ccc(COCc2ccc(C)cc2)cc1,"Catalysis Communications (2011), 12(7), 669-672",,,7782-44-7,,,,,,,,,1,1,,,,,,,,"green chemistry-catalyst, photochemical (ambient light), multiwall carbon nanotubes used as catalyst, reaction carried out in absence of light did not produce hydroperoxide product, optimization study, optimized on catalyst, mechanism studied, scalable"
31-207-CAS-13070619,Benzylic oxidation,,,,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,"Tetrahedron Letters (2007), 48(19), 3417-3421",106-42-3,"99-94-5, 104-87-0, 589-18-4, 21086-87-3","110-83-8, 7782-44-7",,,,,,,,,1,1,,,,,,,,
31-488-CAS-10933722,Benzylic oxidation,,,,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1,"Tetrahedron Letters (2007), 48(19), 3417-3421",106-42-3,"99-94-5, 104-87-0, 589-18-4, 721-45-9, 7523-31-1, 21086-87-3, 38460-98-9","110-83-8, 7782-44-7",7782-42-5,,,,,,,,1,1,,,,,,,,
31-488-CAS-11469892,Benzylic oxidation,99,,,Cc1ccc([N+](=O)[O-])cc1>>O=C(O)c1ccc([N+](=O)[O-])cc1,"Organic Letters (2012), 14(9), 2414-2417",22825-12-3,203856-58-0,"7758-02-3, 37222-66-5, 7757-83-7",,"75-09-2, 7732-18-5",,,,,,"General/Typical Procedure: 3. General Procedure for Direct Benzylic Oxidation of Alkylarenes (1) Using KBr/Oxone® System under Photochemical Conditions (Method B) (Table 2). To the solution of 1b (37.8 mg, 0.25 mmol) and Oxone® (184.4 mg, 0.30 mmol) in a mixture of CH2Cl2 (1.35 mL) and H2O (0.15 mL) was added KBr (37.5 mg, 0.30 mmol) at room temperature and stirred under visible light irradiation for 24 h. Saturated Na2SO3 aqueous solution (10 mL) was added to the reaction mixture and the product was extracted with AcOEt (15 mL × 3). The combined extracts were washed by brine (10 mL) and dried over Na2SO4. The organic phase was concentrated under reduced pressure and the crude product was purified by silica gel column chromatography (eluent: hexane/AcOEt = 20/1), to give the desired product 2b. 4-Nitroacetophenone (2b, commercially available) 4-Nitrobenzoic acid (2y, commercially available) Yield &gt;99%. 1H NMR (400 MHz, DMSO-d6) δ 3.37 (brs, 1H), 8.10 (d, J = 8.3 Hz, 2H), 8.26 (d, J = 8.3 Hz, 2H). 13C NMR (100 MHz, DMSO-d6) δ 123.9 (2C), 130.9 (2C), 136.6, 150.2, 166.0. IR (KBr) 2834, 1696, 1606, 1544, 1294 cm-1.",2,1,99,,,,,,,"photochemical, sunlight used, radical mechanism, optimized on light source for yield and oxidation selectivity, optimization study"
31-488-CAS-12208043,Benzylic oxidation,53,,,COc1ccc(C)cc1>>COc1ccc(C(=O)O)cc1,"Advanced Synthesis & Catalysis (2007), 349(6), 861-864",706-27-4,330-12-1,"75-91-2, 7647-01-0",10025-77-1,"110-86-1, 7732-18-5",,,,,,,2,1,53,,,,,,,"green chemistry, optimization study"
31-488-CAS-16599714,Benzylic oxidation,46,,,N#CCc1ccccc1>>O=C(O)c1ccccc1,"RSC Advances (2013), 3(15), 4903-4908",622-96-8,"122-00-9, 586-89-0","75-91-2, 151-21-3",10028-22-5,7732-18-5,,,,,,,1,1,46,,,,,,,"sealed vessel used, conversion (100%), alternative preparation shown"
31-488-CAS-4081608,Benzylic oxidation,55,,,Cc1ccccc1C>>Cc1ccccc1C(=O)O,"Synthesis (2013), 45(5), 615-620",140-29-4,65-85-0,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3m, 2-Methylbenzoic Acid (4m), White solid; yield: 0.75 g (55%).Temperature: 28°C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 8.09-8.06 (m, 1 H), 7.48-7.43 (m, 1 H), 7.31-7.25 (m, 2 H), 2.66 (s, 3 H).",1,1,55,,,,,,,
31-488-CAS-4494966,Benzylic oxidation,99,,,COC(=O)c1ccc(C)cc1>>COC(=O)c1ccc(C(=O)O)cc1,"Organic Letters (2012), 14(9), 2414-2417",106-43-4,74-11-3,"7758-02-3, 37222-66-5, 7757-83-7",,"75-09-2, 7732-18-5",,,,,,"General/Typical Procedure: 3. General Procedure for Direct Benzylic Oxidation of Alkylarenes (1) Using KBr/Oxone® System under Photochemical Conditions (Method B) (Table 2). To the solution of 1b (37.8 mg, 0.25 mmol) and Oxone® (184.4 mg, 0.30 mmol) in a mixture of CH2Cl2 (1.35 mL) and H2O (0.15 mL) was added KBr (37.5 mg, 0.30 mmol) at room temperature and stirred under visible light irradiation for 24 h. Saturated Na2SO3 aqueous solution (10 mL) was added to the reaction mixture and the product was extracted with AcOEt (15 mL × 3). The combined extracts were washed by brine (10 mL) and dried over Na2SO4. The organic phase was concentrated under reduced pressure and the crude product was purified by silica gel column chromatography (eluent: hexane/AcOEt = 20/1), to give the desired product 2b. 4-Nitroacetophenone (2b, commercially available) Monomethyl terephthalate (2z, commercially available) Yield &gt;99%. 1H NMR (400 MHz, DMSO-d6) δ 3.36 (brs, 1H), 3.89 (s, 3H), 8.07 (s, 4H). 13C NMR (400 MHz, DMSO-d6) δ 52.7, 129.6 (2C), 129.8 (2C), 133.4, 135.0, 165.8, 166.8. IR (KBr) 2834, 1723, 1693, 1429, 1279, 1106 cm-1.",2,1,99,,,,,,,"photochemical, radical mechanism, product depends on amount of oxidant, amount of KBr, solvent and reaction mechanism, visible light used"
31-488-CAS-5454124,Benzylic oxidation,46,,,c1ccc(CCc2ccccc2)cc1>>O=C(O)c1ccccc1,"Tetrahedron (2009), 65(9), 1856-1858",95-47-6,88-99-3,"75-91-2, 110-86-1, 7782-44-7, 7647-01-0",13682-61-6,"110-86-1, 124-18-5, 7732-18-5",,,,,,,2,1,46,,,,,,,
31-488-CAS-8756059,Benzylic oxidation,99,,,Cc1ccc(Cl)cc1>>O=C(O)c1ccc(Cl)cc1,"Organic Letters (2012), 14(9), 2414-2417",106-43-4,74-11-3,"7758-02-3, 37222-66-5, 7757-83-7",,"75-09-2, 7732-18-5",,,,,,"General/Typical Procedure: 3. General Procedure for Direct Benzylic Oxidation of Alkylarenes (1) Using KBr/Oxone® System under Photochemical Conditions (Method B) (Table 2). To the solution of 1b (37.8 mg, 0.25 mmol) and Oxone® (184.4 mg, 0.30 mmol) in a mixture of CH2Cl2 (1.35 mL) and H2O (0.15 mL) was added KBr (37.5 mg, 0.30 mmol) at room temperature and stirred under visible light irradiation for 24 h. Saturated Na2SO3 aqueous solution (10 mL) was added to the reaction mixture and the product was extracted with AcOEt (15 mL × 3). The combined extracts were washed by brine (10 mL) and dried over Na2SO4. The organic phase was concentrated under reduced pressure and the crude product was purified by silica gel column chromatography (eluent: hexane/AcOEt = 20/1), to give the desired product 2b. 4-Nitroacetophenone (2b, commercially available) 4-Chlorobenzoic acid (2aa, commercially available) Yield &gt;99%. 1H NMR (400 MHz, CDCl3) δ 3.35 (brs, 1H), 7.58 (d, J = 8.6 Hz, 2H), 7.94 (d, J = 8.6 Hz, 2H). 13C NMR (100 MHz, CDCl3) δ 128.8 (2C), 129.6, 131.2 (2C), 137.8, 166.5. IR (KBr) 2839, 1685, 1592, 1425, 1324, 1092 cm-1.",2,1,99,,,,,,,"photochemical, radical mechanism, product depends on amount of oxidant, amount of KBr, solvent and reaction mechanism, visible light used"
