reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-004-CAS-20624455,Ir‑catalyzed C–H borylation,79,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCC[N+](CCC)(CCC)CCC.O=S(=O)([O-])OCc1ccccc1OC(F)(F)F>>CC1(C)OB(c2ccc(CO)c(OC(F)(F)F)c2)OC1(C)C,"Journal of the American Chemical Society (2019), 141(39), 15483-15487","73183-34-3, 2110526-96-8",2110527-25-6,7647-01-0,"12148-71-9, 17217-57-1","123-91-1, 7732-18-5",,,,,,,2,1,79,,,,,,,regioselective
31-142-CAS-1015084,Ir‑catalyzed C–H borylation,84,,,Cc1ccc2cc(Br)ccc2n1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1cc(B2OC(C)(C)C(C)(C)O2)c2cc(Br)ccc2n1,"Chemical Science (2012), 3(12), 3505-3515","73183-34-3, 2766670-81-7",2766670-82-8,,"12148-71-9, 72914-19-3",1634-04-4,,,,,,,1,1,84,,,,,,,"microwave irradiation, regioselective, sealed tube used"
31-142-CAS-10758530,Ir‑catalyzed C–H borylation,77,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Fc1c(F)c(F)c(/N=C/c2ccc(C(F)(F)F)cc2)c(F)c1F>>CC1(C)OB(c2cc(C(F)(F)F)ccc2/C=N/c2c(F)c(F)c(F)c(F)c2F)OC1(C)C,"Organic & Biomolecular Chemistry (2014), 12(13), 2041-2044","1427-06-1, 73183-34-3",1622217-36-0,498-66-8,"1259-35-4, 12148-71-9",108-67-8,,,,,,,2,1,77,,,,,,,regioselective
31-142-CAS-10878217,Ir‑catalyzed C–H borylation,72,,,Cc1ccc2nc(C)ccc2c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1ccc2nc(C)cc(B3OC(C)(C)C(C)(C)O3)c2c1,"Organic & Biomolecular Chemistry (2014), 12(37), 7318-7327","877-43-0, 73183-34-3",1417036-11-3,,"12148-71-9, 72914-19-3",1634-04-4,,,,,,,1,1,72,,,,,,,thermal
31-142-CAS-11088979,Ir‑catalyzed C–H borylation,100,,,Cc1ccccc1C.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>Cc1ccc(B2OC(C)(C)C(C)(C)O2)cc1C,"Journal of the American Chemical Society (2015), 137(7), 2665-2673","95-47-6, 73183-34-3",401797-00-0,,1659300-83-0,109-99-9,,,,,,"A typical procedure for mBPV-MOF-Ir catalyzed C-H borylation of neat arenes. In a glovebox, mBPV-MOF-Ir in THF (3.0 mg, 0.1 mol % Ir) was quickly weighed onto a filter paper, charged into a vial. B2pin2 (54.8 mg, 0.216 mmol) in 4.0 mL o-xylene was added to the vial and the resultant mixture was transferred to a Schlenk tube. The tube was heated to reflux under nitrogen at 115 °C for 16 h. The reaction mixture was cooled to room temperature and the solid was centrifuged out of suspension. The extract was passed through a short plug of celite and then concentrated in vacuo. Pure 1,2-dimethyl-4-(4,4,5,5-tetramethyl-1,3,2- dioxaborolan-2-yl)benzene as (48.5 mg, 0.209 mmol, 96.8%).",1,1,100,,,,,,,"regioselective, catalyst prepared and used, arene was also used as solvent, 97% isolated yield"
31-142-CAS-11213523,Ir‑catalyzed C–H borylation,89,,,COc1cccc(C=O)c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>COc1cc(C=O)cc(B2OC(C)(C)C(C)(C)O2)c1,"Journal of the American Chemical Society (2016), 138(1), 84-87","73183-34-3, 2641628-58-0",2641629-51-6,74-89-5,"1660-93-1, 12148-71-9, 25015-63-8","75-09-2, 109-99-9",,,,,,"Meta-borylation of 3-methoxybenzaldehyde: A 5.0 mL Weaton microreactor was charged with 3-methoxybenzaldehyde (136.1 mg, 1.0 mmol), tBuNH2 (420.3 μL, 4.0 mmol) and dry dichloromethane (3.0 mL) and stirred for 4 h at room temperature. The crude mixture was dried under reduced pressure. In a glove box, this crude imine was charged with [Ir(cod)(OMe)]2 (10.0 mg, 1.5 mol%), TMP (7.08 mg, 3.0 mol%), HBpin (7.25 μL, 5.0 mol%), B2pin2 (177.8 mg, 0.7 equiv) and dry THF (2.5 mL, 0.4M). The microreactor was capped with a teflon pressure cap and placed into pre-heated aluminum block at 90°C. The reaction mixture was stirred for 12 h. After completion (judged by GC), THF was removed under reduced pressure and chromatographic separation with silica gel (chloroform as eluent). 233.0 mg of meta-borylated benzaldehyde 3p (89%) as solid. 1H NMR (400 MHz, CDCl3): δ 9.99 (s, 1H), 7.87 (s, 1H), 7.58 (s, 1H), 7.47 (s, 1H), 3.86 (s, 3H), 1.35 (s, 12H). 13C NMR (100 MHz, CDCl3): δ 192.5, 159.8, 137.5, 130.6, 127.1, 114.6, 84.4, 55.7, 25.0. 11B NMR (128 MHz, CDCl3): δ 31.1. HRMS (ESI) m/z calcd for C14H19BO4 [M+Na]+ 285.1274, found 285.1264.",2,1,89,,,,,,,regioselective
31-142-CAS-11347742,Ir‑catalyzed C–H borylation,87,,,O=Cc1ccccc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC1(C)OB(c2ccccc2C=O)OC1(C)C,"Journal of the American Chemical Society (2016), 138(1), 84-87","73183-34-3, 6848-13-1",942069-59-2,75-64-9,"578-66-5, 12148-71-9, 25015-63-8","75-09-2, 109-99-9",,,,,,"Evaluation and optimization of reaction conditions: General Procedure: a A 5.0 mL Weaton microreactor was charged with benzaldehyde (1a) (106.0 mg, 1.0 mmol), t BuNH2 (420.3 μL, 4.0 mmol) and dry dichloromethane (3.0 mL) and stirred for 4 h at room temperature. The crude mixture was dried under reduced pressure. In a glove box, this crude imine was charged with [Ir(cod)(OMe)]2 (10.0 mg, 1.5 mol%), appropriate amount of ligand (L1: 9.03 mg; 8-AQ: 4.32 mg, L2: 6.24 mg; L3: 3.24 mg; L4: 2.82 mg; 3.0 mol%), HBpin (7.25 μL, 5.0 mol%), B2pin2 (177.8 mg, 0.7 equiv) and dry THF (2.5 mL, 0.4M). The microreactor was capped with a teflon pressure cap and placed into pre-heated aluminum block at 90°C. The reaction mixture was stirred for 12 h and the results are summarized in the above table. ortho-borylated product. 1H NMR (400 MHz, CDCl3): δ 10.54 (s, 1H), 7.95 (d, J = 6.8 Hz, 1H), 7.85 (d, J = 6.8 Hz, 1H), 7.54-7.61 (m, 3H), 1.39 (s, 12H). 13C NMR (100 MHz, CDCl3): δ 194.8, 141.4, 135.6, 133.1, 130.9, 128.0, 84.6, 25.0. 11B NMR (128 MHz, CDCl3): δ 33.5. HRMS (ESI) m/z calcd for C13H17BO3 [M+Na]+ 255.1168, found 255.1159.",2,1,87,,,,,,,"regioselective, optimization study (reagent, ligand, stoichiometry, B-source)"
31-142-CAS-11539418,Ir‑catalyzed C–H borylation,80,,,O=Cc1ccc(F)cc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC1(C)OB(c2cc(C=O)ccc2F)OC1(C)C,"Journal of the American Chemical Society (2016), 138(1), 84-87","3389-54-6, 73183-34-3",2624407-54-9,74-89-5,"1660-93-1, 12148-71-9, 25015-63-8","75-09-2, 109-99-9",,,,,,"Meta-borylation of 4-fluorobenzaldehyde: A 5.0 mL Weaton microreactor was charged with 4-fluorobenzaldehyde (1d) (248.2 mg, 1.0 mmol), t BuNH2 (840.6 μL, 8.0 mmol) and dry dichloromethane (3.0 mL) and stirred for 4 h at room temperature. The crude mixture was dried under reduced pressure. In a glove box, this crude imine was charged with [Ir(cod)(OMe)]2 (10.0 mg, 1.5 mol%), TMP (7.08 mg, 3.0 mol%), HBpin (7.25 μL, 5.0 mol%), B2pin2 (128.0 mg, 0.5 equiv.) and dry THF (2.5 mL, 0.4M). The microreactor was capped with a teflon pressure cap and placed into pre-heated aluminum block at 90°C. The reaction mixture was stirred for 12 h. After completion (judged by GC), THF was removed under reduced pressure and chromatographic separation with silica gel (chloroform as eluent). 200.0 mg of meta-borylated benzaldehyde 3e (80%) as solid. 1H NMR (400 MHz, CDCl3): δ 9.98 (s, 1H), 8.29 (d, J = 4.0 Hz, 1H), 7.97-8.01 (m, 1H), 7.17 (t, J = 8.8 Hz, 1H), 1.38 (s, 12H). 13C NMR (100 MHz, CDCl3): δ 190.8, 170.8 (d, JC-F = 260.1 Hz), 140.5 (d, JC-F = 10.1 Hz), 134.0 (d, JC-F = 10.7 Hz), 132.6 (d, JC-F = 2.6 Hz), 116.6 (d, JC-F = 25.1 Hz), 84.6, 25.0. 11B NMR (128 MHz, CDCl3): δ 32.4. HRMS (ESI) m/z calcd for C13H16BFO3 [M+H]+ 251.1255, found 251.1254.",2,1,80,,,,,,,regioselective
31-142-CAS-12805060,Ir‑catalyzed C–H borylation,82,,,COC(=O)c1ccc(OC(F)(F)F)cc1.CC1(C)OBOC1(C)C>>COC(=O)c1ccc(OC(F)(F)F)c(B2OC(C)(C)C(C)(C)O2)c1,"Organic Letters (2015), 17(17), 4256-4259","73183-34-3, 2641628-16-0",2641629-20-9,,"366-18-7, 12148-71-9",,,,,,,,1,1,82,,,,,,,"regioselective, two diborylated product isomers (7% combined) also produced, no solvent, other products also detected, sealed tube used"
31-142-CAS-12993233,Ir‑catalyzed C–H borylation,100,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CN(C)c1ccc(/C=N/c2c(F)c(F)c(F)c(F)c2F)cc1>>CN(C)c1ccc(/C=N/c2c(F)c(F)c(F)c(F)c2F)c(B2OC(C)(C)C(C)(C)O2)c1,"Organic & Biomolecular Chemistry (2014), 12(13), 2041-2044","99-02-5, 73183-34-3",1631979-43-5,498-66-8,"1259-35-4, 12148-71-9",108-67-8,,,,,,,2,1,100,,,,,,,regioselective
