reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-008-CAS-10042696,Williamson ether synthesis,99,,,Oc1ccccc1.CI>>COc1ccccc1,"Bulletin de la Societe Chimique de France (1987), (6), 1027-35","2454-72-0, 13154-24-0",1430738-02-5,"1310-58-3, 7732-18-5",,,,,,,,,2,1,99,,,,,,,Aliquat 336 catalyst
31-008-CAS-10082179,Williamson ether synthesis,88,,,CCOC(=O)c1c(C)c2c(c(CCCCl)c1O)-c1ccccc1CC2>>CCOC(=O)c1c(C)c2c(c3c1OCCC3)-c1ccccc1CC2,"Tetrahedron Letters (2005), 46(5), 815-817","370583-62-3, 619-41-0",376383-59-4,"311-28-4, 7646-69-7",,109-99-9,,,,,,,1,1,88,,,,,,,
31-008-CAS-10175370,Williamson ether synthesis,79,,,Cc1ccccc1O.ClCc1ccccc1>>Cc1ccccc1OCc1ccccc1,"Journal of Chemical Research (2005), (10), 663-664","118-71-8, 100-44-7",61049-69-2,1310-73-2,,174501-65-6,,,,,,,2,1,79,,,,,,,"green chemistry (renewable solvent), Williamson reaction, ionic liq."
31-008-CAS-10285871,Williamson ether synthesis,96,,,COc1cc(C=O)ccc1O.Cc1cc(CCl)on1>>COc1cc(C=O)ccc1OCc1cc(C)no1,"Russian Journal of Organic Chemistry (2013), 49(10), 1517-1522","160111-49-9, 106-96-7",2270186-70-2,584-08-7,,64-17-5,,,,,,"General/Typical Procedure: Aldehydes VI-IX (general procedure). A mixture of 10 mmol of 5-chloromethyl-3-methyl-1,2-isoxazole (I), 10 mmol of hydroxybenzaldehyde II-V, and 5 mmol of anhydrous potassium carbonate in 50 ml of 96% ethanol was heated for 12 h at 70°C under stirring in a nitrogen atmosphere. The mixture was cooled and diluted with 100 ml of water, and the precipitate was filtered off through a glass frit, washed with water, and dried for 2-3 days at 25-30°C in air. 3-Methoxy-4-[(3-methyl-1,2-oxazol-5-yl)methoxy]benzaldehyde (VIII). Yield 96%. mp 80-81°C. IR spectrum, ν, cm-1: 3134 (CHisox); 3080, 3064, 3030, 3008 (CHarom); 2974, 2956, 2942, 2883, 2833 (CHaliph); 2762 (CHald); 1677 (C═O); 1624, 1597, 1587, 1507 (C═Carom); 1421 (C═Nisox); 1266, 1231, 1155, 1138, 1018 (C-O); 890, 858, 827, 792, 756, 728 (δCHarom). 1H NMR spectrum, δ, ppm: 2.29 s (3H, Me), 3.93 s (3H, MeO), 5.27 s (2H, CH2), 6.21 s (1H, 4'-H), 7.03 d (1H, Harom, 3J = 8 Hz), 7.42 d.d (1H, Harom, 3J = 8 Hz), 7.43 s (1H, Harom), 9.86 s (1H, CHO). 13C NMR spectrum, δC, ppm: 11.55 (Me), 56.25 (OCH3), 62.26 (CH2), 104.70 (C4'), 109.96 (CHarom), 112.98 (CHarom), 126.42 (CHarom); 131.42, 150.36, 152.61, 160.19, 166.83 (Cquat); 190.97 (C═O). Mass spectrum: m/z 247 [M]+. Found, %: C 63.46; H 5.21; N 5.23. C13H13NO4. Calculated, %: C 63.15; H 5.30; N 5.67. M 247.25.",1,1,96,,,,,,,Williamson ether synthesis
31-008-CAS-10428219,Williamson ether synthesis,81,,,Oc1ccc(O)cc1.ClCCOc1ccc(OCCCl)cc1>>Oc1ccc(OCCOc2ccc(OCCOc3ccc(O)cc3)cc2)cc1,"Huaxue Shiji (2003), 25(1), 29-30","4549-32-0, 156244-98-3",1254961-75-5,"1310-58-3, 7775-14-6",,64-17-5,,,,,,,1,1,81,,,,,,,
31-008-CAS-10489648,Williamson ether synthesis,89,,,COC(=O)CBr.Cc1cccc(O)c1>>COC(=O)COc1cccc(C)c1,"Bioorganic & Medicinal Chemistry Letters (2014), 24(16), 3732-3735","101-32-6, 112-29-8",2545972-75-4,584-08-7,,68-12-2,,,,,,,1,1,89,,,,,,,
31-008-CAS-10539073,Williamson ether synthesis,85,,,BrCc1ccccc1.CN1C=C[N+](CC2=CC=C(COC3=CC=C(C=NC4=CC(O)=CC=C4)C=C3)C=C2)=C1.[F-][B+3]([F-])([F-])[F-]>>Nc1cccc(OCc2ccccc2)c1,"Huaxue Xuebao (2009), 67(11), 1237-1242","3282-30-2, 153062-86-3, 18162-48-6",460744-99-4,"1310-73-2, 76-05-1",,"64-17-5, 67-56-1",,,,,,,2,1,85,,,,,,,Williamson reaction
31-008-CAS-10555334,Williamson ether synthesis,95,,,CCl.COCCOCCO.[Na]>>COCCOCCOC,"Huaxue Shijie (2006), 47(7), 417-419","121-32-4, 40340-41-8",1042775-50-7,,,,,,,,,,1,1,95,,,,,,,"Williamson reaction, optimization study, optimized on stoichiometry, temperature, and time"
31-008-CAS-10662133,Williamson ether synthesis,87,,,Oc1ccccc1I.CCN(CC)CCCl.Cl>>CCN(CC)CCOc1ccccc1I.Cl,"Pharmaceutical Chemistry Journal (2007), 41(4), 211-215","70-11-1, 109598-98-3",717894-43-4,1310-73-2,,"108-88-3, 7732-18-5",,,,,,"General/Typical Procedure: General method for the synthesis of 2-aryloxy-N,N-diethyletanamine hydrochlorides. A mixture of 0.1 mole of the corresponding phenol. 70 ml toluene, 0.1 mole of hydrochloride or hydrobromide (2-chloro- or 2-bromo-, respectively) of N,N-diethylethanamine, and 12.5 g of comminuted NaOH was boiled with stirring for 8 h on a sand bath, cooled, alkalized with a NaOH solution until obtaining an alkaline reaction, and extracted with ether (150 ml). The ether - toluene extract was washed with NaOH solution until complete discoloration of the aqueous phase. The organic layer was dried over crystalline NaOH and filtered. The filtrate was purged with dry HCl and the precipitated 2-aryloxy-N,N-diethyletanamine hydrochloride was separated by filtration, washed with ether, and crystallized from an appropriate solvent. In cases where no solvent for crystallization can be found, the product is purified by converting it onto the base form and repeated purging with dry HCl. Compound XII, yield 87%. Empirical formula: C12H18INO.HCl; M.p. 138 - 140°C (acetone); 1H NMR δ, ppm (CDCl3): 1.405 t (6H, N(CH2CH3)2), 3.116 - 3.492 m (6H, CH2N(CH2CH3)2), 4.489 t (2H, OCH2CH2), 6.803 - 7.169 m (4H, arom. H), 12.05 bs (1H, NH+)",2,1,87,,,,,,,Williamson reaction
31-008-CAS-10675352,Williamson ether synthesis,89,,,COc1cc(=O)oc2cc(O)ccc12.CC(C)=CCBr>>COc1cc(=O)oc2cc(OCC=C(C)C)ccc12,"Huaxue Shijie (2008), 49(5), 298-301, 305","2892743-25-6, 106-96-7",2892743-26-7,"584-08-7, 7732-18-5","56-37-1, 7681-11-0",68-12-2,,,,,,,3,1,89,,,,,,,Williamson reaction
