reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-085-CAS-16112330,Oxidation IBX,87,,,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1cccc(Cl)c1>>COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1cccc(Cl)c1,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",1926142-20-2,2608114-15-2,64297-64-9,,75-05-8,,,,,,,1,1,87,,,,,,,"green chemistry-reagent, oxidative Michael addition"
31-085-CAS-16112332,Oxidation IBX,79,,,COc1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1>>COC(=O)C(Cc1c[nH]c2ccc(OC)cc12)C(=O)c1ccc(OC)cc1,"Journal of Organic Chemistry (2016), 81(15), 6626-6639",2417428-38-5,2417428-44-3,64297-64-9,,75-05-8,,,,,,,1,1,79,,,,,,,"green chemistry-reagent, oxidative Michael addition"
31-085-CAS-21839064,Oxidation IBX,73,,,C=C(C(N)=O)C(O)c1ccccc1.COC(=O)c1cc2ccccn2c1>>COC(=O)c1cc2ccccn2c1CC(C(N)=O)C(=O)c1ccccc1,"Journal of Organic Chemistry (2020), 85(8), 5438-5448","2708141-60-8, 2708141-61-9",2708142-08-7,64297-64-9,,75-05-8,,,,,,,2,1,73,,,,,,,"regioselective, in-situ generated ketone in stage 1, open to air (stage 2)"
31-085-CAS-21839075,Oxidation IBX,78,,,C=C(C(=O)OC)C(O)c1ccccc1.COC(=O)c1c(-c2ccccc2)cn2ccccc12>>COC(=O)c1c(-c2ccccc2)c(CC(C(=O)OC)C(=O)c2ccccc2)n2ccccc12,"Journal of Organic Chemistry (2020), 85(8), 5438-5448",3040333-57-8,3040332-96-2,64297-64-9,,75-05-8,,,,,,,2,1,78,,,,,,,"in-situ generated ketone in stage 1, open to air (stage 2)"
31-117-CAS-2477013,Oxidation IBX,80,,,CC(=C/CO)/C=C1\CCCC(C(C)C)=C1CCC(C)C>>CC(=C/C=O)/C=C1\CCCC(C(C)C)=C1CCC(C)C.CC(=C\C=O)/C=C1\CCCC(C(C)C)=C1CCC(C)C,"Journal of Medicinal Chemistry (2015), 58(19), 7763-7774",881831-95-4,"881832-03-7, 1818395-18-4",64297-64-9,,"67-64-1, 60-29-7",,,,,,,2,1,80,,,,,,,"alcohol/acetone solution added at elevated temperature stage 1, subdued light used"
31-320-CAS-18046689,Oxidation IBX,78,,,C[Mg]Br.O=Cc1ccccc1C#Cc1ccccc1>>CC(=O)c1ccccc1C#Cc1ccccc1,"Chemistry - A European Journal (2015), 21(2), 559-564",3040333-31-8,2583787-08-8,"12125-02-9, 64297-64-9",,"60-29-7, 109-99-9, 7732-18-5, 67-68-5",,,,,,,3,1,78,,,,,,,"alternative preparation shown, Grignard reaction in stage 1"
31-320-CAS-21223399,Oxidation IBX,70,,,C#Cc1cc(OC)c(OC)c(OC)c1.O=Cc1ccc(F)cc1Br>>COc1cc(C#CC(=O)c2ccc(F)cc2Br)cc(OC)c1OC,"Chemistry - A European Journal (2016), 22(36), 12655-12659",2417428-85-2,2417427-96-2,"109-72-8, 12125-02-9, 64297-64-9, 7732-18-5",,"109-99-9, 110-54-3, 7732-18-5, 67-68-5",,,,,,,5,1,70,,,,,,,
31-320-CAS-21224890,Oxidation IBX,92,,,C#Cc1ccccc1.O=Cc1cccnc1Br>>O=C(C#Cc1ccccc1)c1cccnc1Br,"Chemistry - A European Journal (2016), 22(36), 12655-12659",23780-13-4,20949-81-9,"109-72-8, 12125-02-9, 64297-64-9, 7732-18-5",,"109-99-9, 110-54-3, 7732-18-5, 67-68-5",,,,,,,5,1,92,,,,,,,
31-320-CAS-21256338,Oxidation IBX,85,,,C#Cc1ccc(C)cc1.O=Cc1ccccc1Br>>Cc1ccc(C#CC(=O)c2ccccc2Br)cc1,"Chemistry - A European Journal (2016), 22(36), 12655-12659",53590-47-9,53590-49-1,"109-72-8, 12125-02-9, 64297-64-9, 7732-18-5",,"109-99-9, 110-54-3, 7732-18-5, 67-68-5",,,,,,,5,1,85,,,,,,,
31-320-CAS-21258600,Oxidation IBX,93,,,C#CC(C)(C)C.O=Cc1ccccc1Br>>CC(C)(C)C#CC(=O)c1ccccc1Br,"Chemistry - A European Journal (2016), 22(36), 12655-12659",1713247-62-1,2376502-08-6,"109-72-8, 12125-02-9, 64297-64-9, 7732-18-5",,"109-99-9, 110-54-3, 7732-18-5, 67-68-5",,,,,,,5,1,93,,,,,,,
31-320-CAS-21260729,Oxidation IBX,82,,,C#Cc1cccc2ccccc12.O=Cc1ccccc1Br>>O=C(C#Cc1cccc2ccccc12)c1ccccc1Br,"Chemistry - A European Journal (2016), 22(36), 12655-12659",1639836-17-1,1639836-19-3,"109-72-8, 12125-02-9, 64297-64-9, 7732-18-5",,"109-99-9, 110-54-3, 7732-18-5, 67-68-5",,,,,,,5,1,82,,,,,,,
31-320-CAS-21312014,Oxidation IBX,87,,,C=C(CBr)COC(C)=O.C=C(C)[C@H]1CC[C@@](C)(O)[C@@H]1C=O>>C=C(COC(C)=O)CC(=O)[C@@H]1[C@@H](C(=C)C)CC[C@@]1(C)O,"Heterocycles (2015), 90(1), 442-461","108-98-5, 701-38-2",2415014-95-6,"7440-66-6, 12125-02-9, 64297-64-9",,"109-99-9, 7732-18-5, 67-68-5",,,,,,,3,1,87,,,,,,,Barbier-Grignard type allylation (stage 1)
31-320-CAS-21406609,Oxidation IBX,87,,,C#Cc1ccccc1.O=CC1=C(Br)CCC1>>O=C(C#Cc1ccccc1)C1=C(Br)CCC1,"Organic Letters (2017), 19(22), 6152-6155",70562-19-5,130121-15-2,"109-72-8, 12125-02-9, 64297-64-9",,"109-99-9, 7732-18-5, 67-68-5",,,,,,,4,1,87,,,,,,,dropwise addition of aldehyde (stage 2)
31-320-CAS-22173955,Oxidation IBX,77,,,CC[Mg]Br.CN(C)c1ccc(C=O)c(Br)c1>>CCC(=O)c1ccc(N(C)C)cc1Br,"Organic Letters (2019), 21(13), 5285-5289",2245243-88-1,2245244-03-3,"12125-02-9, 64297-64-9",,"109-99-9, 7732-18-5, 141-78-6",,,,,,,3,1,77,,,,,,,
31-352-CAS-23264238,Oxidation IBX,82,,,CC(=O)OC[C@H]1[C@](C)(O)[C@H](O)C[C@H]2C(C)(C)CCC[C@@]21C>>CC1(C)CCC[C@]2(C)[C@@H](CO)[C@](C)(O)C(=O)C[C@@H]12,"Organic Letters (2021), 23(5), 1720-1725",681259-17-6,76-80-2,"64297-64-9, 1310-58-3, 7772-98-7",,"107-06-2, 67-56-1, 7732-18-5",,,,,,,2,1,82,,,,,,,regioselective
31-402-CAS-20295532,Oxidation IBX,72,,,CC[C@H]1OC(=O)O[C@@H]1CCO>>CCC(O)/C=C/C=O,"Chemistry - An Asian Journal (2019), 14(13), 2278-2290",1646496-83-4,1646496-84-5,64297-64-9,,141-78-6,,,,,,,1,1,72,,,,,,,stereoselective
31-402-CAS-20295536,Oxidation IBX,80,,,CCCCC[C@H]1OC(=O)O[C@H]1CCO>>CCCCCC(O)/C=C/C=O,"Chemistry - An Asian Journal (2019), 14(13), 2278-2290",1667748-73-3,1667748-82-4,64297-64-9,,141-78-6,,,,,,,1,1,80,,,,,,,stereoselective
31-402-CAS-20295539,Oxidation IBX,78,,,CCCCCCCCCCCCCCCC[C@H]1OC(=O)O[C@@H]1CCO>>CCCCCCCCCCCCCCCC[C@@H](O)/C=C/C=O,"Chemistry - An Asian Journal (2019), 14(13), 2278-2290",2362031-66-9,2362031-88-5,64297-64-9,,141-78-6,,,,,,,1,1,78,,,,,,,stereoselective
31-402-CAS-20295541,Oxidation IBX,76,,,CCCCCCCCCC[C@@H]1OC(=O)O[C@H]1CCO>>CCCCCCCCCCC(O)/C=C/C=O,"Chemistry - An Asian Journal (2019), 14(13), 2278-2290",1603486-21-0,1600149-94-7,64297-64-9,,141-78-6,,,,,,,1,1,76,,,,,,,stereoselective
31-479-CAS-11615828,Oxidation IBX,82,,,COc1ccc(CCCO)cc1OC>>COc1ccc(/C=C/C=O)cc1OC,"Chemical Communications (Cambridge, United Kingdom) (2016), 52(17), 3532-3535",6953-67-9,34239-56-0,64297-64-9,112068-01-6,"67-68-5, 75-05-8",,,,,,,1,1,82,,,,,,,
31-479-CAS-2660897,Oxidation IBX,82,,,COC(=O)/C=C(\C)CCCO>>COC(=O)/C=C(C)/C=C/C=O,"Chemical Communications (Cambridge, United Kingdom) (2016), 52(17), 3532-3535",2295707-67-2,2295707-05-8,64297-64-9,112068-01-6,"67-68-5, 75-05-8",,,,,,,1,1,82,,,,,,,
31-479-CAS-5073039,Oxidation IBX,75,,,O=C(/C=C/CCCO)c1ccccc1>>O=C/C=C/C=C/C(=O)c1ccccc1,"Chemical Communications (Cambridge, United Kingdom) (2016), 52(17), 3532-3535","18020-59-2, 120-72-9",943856-17-5,64297-64-9,112068-01-6,"67-68-5, 75-05-8",,,,,,,1,1,75,,,,,,,
31-479-CAS-7258438,Oxidation IBX,89,,,OCCCc1ccccc1>>O=C/C=C/c1ccccc1,"Chemical Communications (Cambridge, United Kingdom) (2016), 52(17), 3532-3535",63307-44-8,56578-39-3,64297-64-9,112068-01-6,"67-68-5, 75-05-8",,,,,,,1,1,89,,,,,,,"optimization study, optimized on solvent and catalyst"
31-479-CAS-7319858,Oxidation IBX,84,,,COc1ccccc1CCCO>>COc1ccccc1/C=C/C=O,"Chemical Communications (Cambridge, United Kingdom) (2016), 52(17), 3532-3535",2256085-92-2,2256085-75-1,64297-64-9,112068-01-6,"67-68-5, 75-05-8",,,,,,,1,1,84,,,,,,,
