reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-15641873,Riley oxidation,95,,,CC(=O)C(C)OC1CCCCO1>>CC(O)C(=O)C=O,"RSC Advances (2015), 5(73), 59114-59119",95465-75-1,1850430-20-4,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,95,,,,,,,"green chemistry, alternative preparation gave lower yield"
31-076-CAS-7233256,Riley oxidation,74,,,CC(=O)c1ccccc1[N+](=O)[O-]>>O=CC(=O)c1ccccc1[N+](=O)[O-],"Journal of Natural Products (2000), 63(5), 643-645",99-93-4,24645-80-5,7446-08-4,,"123-91-1, 7732-18-5",,,,,,"2'-Nitrophenylglyoxal (5). A mixture of selenium dioxide (16.1 g, 145.0 mmol), dioxane (75 mL), and water (5 mL) was stirred at 60 °C until dissolution occurred. 2'-Nitroacetophenone (20 g, 120.8 mmol) was then added in one portion. The mixture was refluxed for 4 h and stirred at room temperature overnight. The solid was filtered and washed with CH2Cl2. The filtrate was diluted with CH2Cl2, washed with brine, and dried over MgSO4. The crude product was purified by flash chromatography, eluting with ethyl acetate-hexane (1:2 to 1:1), affording 4.5 g (22.5%) of unreacted 2'-nitroacetophenone and a yellowish oil. The oil was distilled under vacuum to give 12.4 g (74%) of 5 as a thick oil. 2'-Nitrophenylglyoxal (5), yield 12.4 g (74%). bp 145 °C/10 Torr (lit.7 124-125.5 °C/3.5 Torr); 1H NMR (CDCl3) δ 9.52 (1H, s), 8.23 (1H, dd, J = 8.4, 1.2), 7.86 (1H, ddd, J = 8.4, 7.2, 1.2), 7.78 (1H, ddd, J = 8.4, 8.4, 1.2), 7.60 (1H, dd, J = 7.6, 0.8); 13C NMR (CDCl3) δ 189.1, 186.5, 135.1, 132.8, 130.8, 130.1, 124.1.",1,1,74,,,,,,,
31-084-CAS-15776202,Riley oxidation,71,,,Cc1cc(O)c2c(c1)[C@H]1[C@@H](C(C)C)CC[C@@]1(C)CCC2=O>>Cc1cc2c(c(O)c1Br)C(=O)C(=O)C[C@]1(C)CC[C@H](C(C)C)[C@H]21,"Angewandte Chemie, International Edition (2016), 55(34), 9942-9946",374902-13-3,374902-16-6,"39416-48-3, 7446-08-4",64-19-7,"67-56-1, 75-09-2, 123-91-1, 7732-18-5",,,,,,,2,1,71,,,,,,,regioselective
31-352-CAS-15548425,Riley oxidation,93,,,CC(=O)Oc1ccc(C(=O)CCc2ccc(Cl)cc2)cc1>>O=C(Cc1ccc(Cl)cc1)C(=O)c1ccc(O)cc1,"RSC Advances (2015), 5(73), 59114-59119",13031-43-1,24645-80-5,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,93,,,,,,,"green chemistry, alternative preparation gave lower yield"
31-352-CAS-15557166,Riley oxidation,94,,,CCC(=O)c1ccc(OC(C)=O)cc1>>CC(=O)C(=O)c1ccc(O)cc1,"RSC Advances (2015), 5(73), 59114-59119",1850430-09-9,1850429-56-9,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,94,,,,,,,"green chemistry, alternative preparation gave lower yield"
31-352-CAS-15564777,Riley oxidation,94,,,CC(=O)Oc1ccc(CCC(=O)c2ccc(Cl)cc2)cc1>>O=C(Cc1ccc(O)cc1)C(=O)c1ccc(Cl)cc1,"RSC Advances (2015), 5(73), 59114-59119",1850430-21-5,1850430-20-4,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,94,,,,,,,"green chemistry, alternative preparation gave lower yield"
31-352-CAS-15574312,Riley oxidation,93,,,CC(=O)Oc1ccc(C(C)=O)cc1>>O=CC(=O)c1ccc(O)cc1,"RSC Advances (2015), 5(73), 59114-59119",10293-09-1,497261-96-8,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,93,,,,,,,"green chemistry, alternative preparation shown"
31-352-CAS-15625995,Riley oxidation,95,,,CC(=O)Oc1ccc(CCC(=O)c2ccc(F)cc2)cc1>>O=C(Cc1ccc(O)cc1)C(=O)c1ccc(F)cc1,"RSC Advances (2015), 5(73), 59114-59119",2491-32-9,38469-73-7,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,95,,,,,,,"green chemistry, alternative preparation gave lower yield"
31-352-CAS-15637712,Riley oxidation,95,,,CC(=O)Oc1ccc(C(=O)CCc2ccccc2)cc1>>O=C(Cc1ccccc1)C(=O)c1ccc(O)cc1,"RSC Advances (2015), 5(73), 59114-59119",1850429-65-0,1850429-57-0,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,95,,,,,,,"green chemistry, alternative preparation shown, optimization study, optimized on solvent, time and reagent"
31-352-CAS-15649387,Riley oxidation,90,,,CC(=O)Oc1ccc(C(=O)CCc2ccc(Br)cc2)cc1>>O=C(Cc1ccc(Br)cc1)C(=O)c1ccc(O)cc1,"RSC Advances (2015), 5(73), 59114-59119",70-11-1,89177-96-8,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,90,,,,,,,"green chemistry, alternative preparation gave lower yield"
31-352-CAS-15666527,Riley oxidation,92,,,CC(=O)OC(C)C(C)=O>>CC(O)C(=O)C=O,"RSC Advances (2015), 5(73), 59114-59119",6308-02-7,17471-49-7,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,92,,,,,,,"green chemistry, alternative preparation shown"
31-352-CAS-15676903,Riley oxidation,91,,,CC(=O)Oc1ccc(C(=O)CCc2ccc(F)cc2)cc1>>O=C(Cc1ccc(F)cc1)C(=O)c1ccc(O)cc1,"RSC Advances (2015), 5(73), 59114-59119",2172683-72-4,2529633-80-3,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,91,,,,,,,"green chemistry, alternative preparation gave lower yield"
31-352-CAS-15685145,Riley oxidation,95,,,CC(=O)Oc1ccc(CCC(=O)c2ccc(Br)cc2)cc1>>O=C(Cc1ccc(O)cc1)C(=O)c1ccc(Br)cc1,"RSC Advances (2015), 5(73), 59114-59119",146652-97-3,35923-46-7,7446-08-4,,"123-91-1, 7732-18-5",,,,,,,1,1,95,,,,,,,"green chemistry, alternative preparation gave lower yield"
31-352-CAS-18780853,Riley oxidation,76,,,CC(=O)OC[C@@H]1CC[C@@H]2C[C@H]1C[C@@H]1c3[nH]c4ccccc4c3CCN21>>Cl.O=C1c2c3nc4ccccc4c-3ccn2[C@@H]2CC[C@@H](CO)[C@H]1C2,"Organic Letters (2018), 20(8), 2386-2390",1610762-21-4,1610762-17-8,"7446-08-4, 1310-73-2",,"123-91-1, 64-17-5, 7732-18-5",,,,,,,2,1,76,,,,,,,"overall yield from methanoazocinopyrido[3,4-b]indol-1-ol = 60%"
