name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,,
Benzonitrile,PhCN,100-47-0,N#Cc1ccccc1,C7H5N,liquid,1.98,103.1213,268.1,-13,0,0,solvent,nitriles,high aprotic solvent,,,,,
anisole,PhOMe,100-66-3,COC1=CC=CC=C1,C7H8O,liquid,1.1,108.138,153.6,-37,,,solvent,ethers_acyclic,low aprotic solvent,,,,,
Quinuclidine,,100-76-5,C1CN2CCC1CC2,C7H13N,powder,0.97,111.1848,149.5,157,0,0,base,tertiary_amines_aliphatic,moderate base; hindered,,,,,
Triphenyl phosphite,P(OPh)3,101-02-0,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,C18H15O3P,liquid,1.184,310.2837,360,22,0,0,ligand,phosphites,1 P ligand,,,,,
Ph2O,,101-84-8,c1ccc(Oc2ccccc2)cc1,C12H10O,liquid,1.063,170.2072,258.3,26,0,0,solvent,ethers_acyclic,low aprotic solvent,,,,,
Tributylamine,Bu3N,102-82-9,CCCCN(CCCC)CCCC,C12H27N,liquid,0.778,185.3495,215.3,-70,0,0,base,tertiary_amines_aliphatic,moderate base; hindered,,,,,
Tris(p-tolyl)phosphine,P(p-tol)3,1038-95-5,CC1=CC=C(C=C1)P(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C,C21H21P,powder,,304.37,399.8,144,,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
Potassium trimethylsilanolate,TMSOK,10519-96-7,C[Si](C)(C)[O-],C3H9KOSi,liquid,,129.2947,,,0,0,base,alkoxides_primary,strong base,,,,,
p-Xylene,,106-42-3,Cc1ccc(C)cc1,C8H10,liquid,0.861,106.165,139.61,13,0,0,solvent,hydrocarbons_aromatic,low aprotic solvent,,,,,
Ammonium Bicarbonate,Al(HCO3)3,1066-33-7,C(=O)(O)[O-].[NH4+],CH5NO3,powder,1,79.055,169.8,105,,,additive,al_salt,Al salt,,,,,
"1,2-Dichloroethane",DCE,107-06-2,ClCCCl,C2H4Cl2,liquid,1.173,98.959,83.5,-35,0,0,solvent,halogenated_aliphatics,medium aprotic solvent,,,,,
Propionitrile,,107-12-0,CCC#N,,powder,,,,,,,solvent,nitriles,high aprotic solvent,,,,,
Ethylene glycol,,107-21-1,OCCO,C2H6O2,liquid,1.113,62.0678,196,-13,0,1,solvent,glycol_ethers_polyols,medium protic solvent,,,,,
N-Methylglycine,,107-97-1,CNCC(=O)O,C3H7NO2,powder,1.2,89.093,195.1,208,,,ligand,diamines,2 N ligand,,,,,
BrettPhos,BrettPhos,1070663-78-3,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,C35H53O2P,liquid,,536.7679,,,0,0,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,,
COMU (Oxyma-based uronium),COMU,1075198-30-9,CCOC(=O)C(C#N)=NOC(N1CCOCC1)=[N+](C)C,C12H19F6N4O4P,liquid,,428.2678,,,0,0,condensation_agent,aminium_uronium_guanidinium,high condensation agent,,,,,
Benzene-d6,C6D6,1076-43-3,c1ccccc1,C6H6,liquid,0.94,84.1488,78.8,6.8,0,0,solvent,deuterated,deuterated,,,,,
"N,N-Dimethylethylenediamine","N,N-Dimethylethylenediamine",108-00-9,CN(C)CCN,C4H12N2,liquid,0.807,88.1515,93.5,-70,0,0,ligand,diamines,2 N ligand,,,,,
Methyl isobutyl ketone,MIBK,108-10-1,C(C(=O)O)(C(=O)O)O,C6H12O,liquid,0.9,100.159,116.5,-84,,,solvent,ketones,medium aprotic solvent,,,,,
Diisopropyl ether,DIPE,108-20-3,CC(C)OC(C)C,C6H14O,liquid,0.758,102.1748,68.3,-85.5,0,0,solvent,ethers_acyclic,low aprotic solvent,,,,,
Isopropyl acetate,iPrOAc,108-21-4,CC(=O)OC(C)C,C5H10O2,liquid,0.888,102.1317,88.6,-73.4,0,0,solvent,esters_anhydrides,medium aprotic solvent,,,,,
Acetic anhydride,Ac2O,108-24-7,CC(=O)OC(C)=O,C4H6O3,liquid,1.072,102.0886,141.1,-73.1,0,0,solvent,esters_anhydrides,medium aprotic solvent,,,,,
propylene carbonate,,108-32-7,CC1COC(=O)O1,,liquid,,,,,0,0,solvent,esters_anhydrides,high aprotic solvent,,,,,
m-Xylene,,108-38-3,Cc1cccc(C)c1,C8H10,liquid,0.864,106.165,138,-48,0,0,solvent,hydrocarbons_aromatic,low aprotic solvent,,,,,
"2,6-Lutidine",Lutidine,108-48-5,Cc1cccc(C)n1,C7H9N,liquid,0.93,107.1531,144,-6,0,0,base,aromatic_tertiary_amines,"moderate base; hindered, non-nucleophilic",,,,,
Mesitylene,,108-67-8,Cc1cc(C)cc(C)c1,C9H12,liquid,0.869,120.1916,166.7,-45,0,0,solvent,hydrocarbons_aromatic,low aprotic solvent,,,,,
Toluene,PhMe,108-88-3,Cc1ccccc1,C7H8,liquid,0.871,92.1384,110.6,-95,0,0,solvent,hydrocarbons_aromatic,low aprotic solvent,,,,,
Chlorobenzene,PhCl,108-90-7,Clc1ccccc1,C6H5Cl,liquid,1.1075,112.557,131,-45,0,0,solvent,halogenated_aromatics,medium aprotic solvent,,,,,
Cyclohexanone,,108-94-1,O=C1CCCCC1,C6H10O,liquid,0.95,98.143,155.6,-45,0,0,solvent,ketones,medium aprotic solvent,,,,,
N-methylmorpholine,,109-02-4,CN1CCOCC1,C5H11NO,liquid,0.92,101.1469,114.1,-66.1,0,0,base,tertiary_amines_aliphatic,moderate base; hindered,,,,,
Boron trifluoride etherate,BF3-Et2O,109-63-7,CCOCC.FB(F)F,C4H10BF3O,liquid,1.12,141.928,126,-60,0,0,acid,boron_lewis_acids,strong Lewis acid,,,,,
n-Pentane,Pent,109-66-0,CCCCC,C5H12,liquid,0.649,72.1488,35.2,-130,0,0,solvent,hydrocarbons_aliphatic_linear,very_low aprotic solvent,,,,,
n-Butyllithium (in hexanes),n-BuLi,109-72-8,[CH2]CCC,C4H9Li,liquid,0.68,64.055,60,-95,0,0,base,organolithiums,superbase base,,,,,
2-Methoxyethanol,,109-86-4,COCCO,C3H8O2,liquid,1.036,76.0944,184.848,-85,0,0,solvent,glycol_ethers_polyols,medium protic solvent,,,,,
Tetrahydrofuran,THF,109-99-9,C1CCOC1,C4H8O,liquid,0.889,72.1057,66,-108.4,0,0,solvent,ethers_cyclic_glymes,medium aprotic solvent,,,,,
TMEDA,TMEDA,110-18-9,CN(C)CCN(C)C,C6H16N2,liquid,0.77,116.2046,121,-55,0,0,base,tertiary_amines_aliphatic,moderate base; hindered,ligand,diamines,2 N ligand,,
amyl nitrite,,110-46-3,CC(C)CCON=O,C5H11NO2,liquid,1.1,117.146,99.1,,,,additive,fluoride_sources_activators,fluoride sources activators,,,,,
n-Hexane,,110-54-3,CCCCCC,C6H14,liquid,0.659,86.1754,69,-95,0,0,solvent,hydrocarbons_aliphatic_linear,very_low aprotic solvent,,,,,
"N,N'-Dimethylethylenediamine",DMEDA,110-70-3,CNCCNC,C4H12N2,liquid,0.819,88.15,119,,0,0,ligand,diamines,2 N ligand,,,,,
"1,2-Dimethoxyethane",DME,110-71-4,COCCOC,C4H10O2,liquid,0.837,90.121,63,-69,0,0,solvent,ethers_cyclic_glymes,medium aprotic solvent,,,,,
2-Ethoxyethanol,,110-80-5,CCOCCO,C4H10O2,liquid,0.93,90.12,135,-100,0,0,solvent,glycol_ethers_polyols,medium protic solvent,,,,,
Cyclohexane,,110-82-7,C1CCCCC1,C6H12,liquid,0.77,84.1595,81,6.5,0,0,solvent,hydrocarbons_cycloaliphatic,very_low aprotic solvent,,,,,
Pyridine,,110-86-1,c1ccncc1,C5H5N,liquid,0.978,79.0999,115,-42,0,0,base,aromatic_tertiary_amines,"moderate base; hindered, non-nucleophilic",solvent,amines_tertiary,medium basic solvent,,
Piperidine,,110-89-4,C1CCNCC1,C5H11N,liquid,0.861,85.1475,106,-13,0,0,base,secondary_amines_cyclic,strong base,,,,,
Diethylene glycol,,111-46-6,OCCOCCO,C4H10O3,liquid,1.106,106.1204,245.7,-10,0,0,solvent,glycol_ethers_polyols,medium protic solvent,,,,,
1-Octanol,C8OH,111-87-5,CCCCCCCCO,C8H18O,liquid,0.824,130.2279,195,-16,0,0,solvent,alcohols_primary,medium protic solvent,,,,,
Tetrabutylammonium chloride,TBACl,1112-67-0,CCCC[N+](CCCC)(CCCC)CCCC,C16H36ClN,powder,1.05,277.917,,83,0,0,additive,quaternary_ammonium_ptc,quaternary ammonium ptc,,,,,
"N,N-Dimethylglycine","N,N-Dimethylglycine",1118-68-9,CN(C)CC(=O)O,C4H9NO2,powder,1.2,103.12,175.2,178,,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
"2,2,6,6-Tetramethyl-3,5-heptanedione","2,2,6,6-Tetramethyl-3,5-heptanedione",1118-71-4,CC(C)(C)C(=O)CC(=O)C(C)(C)C,C11H20O2,liquid,0.929,184.2753,264.1,,0,0,ligand,diones,2 O ligand,,,,,
"1,2-Diaminocyclohexane, trans-","1,2-Diaminocyclohexane, trans-",1121-22-8,C1CCC(C(C1)N)N,C6H14N2,liquid,1,114.19,193.6,14,,,ligand,diamines,2 N ligand,,,,,
DMAP,DMAP,1122-58-3,CN(C)c1ccncc1,C7H10N2,powder,0.76,122.1677,194.9,108,0,0,additive,lewis_acid_promoters,lewis acid promoters,base,nucleophilic_catalyst_bases,moderate base,,
"4,4'-Dimethyl-2,2'-bipyridine","4,4'-Dimethyl-2,2'-bipyridine",1134-35-6,CC1=CC(=NC=C1)C2=NC=CC(=C2)C,C12H12N2,powder,1.2,184.24,309.3,169,,,ligand,bipyridines,2 N ligand,,,,,
Hantzsch ester,,1149-23-1,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1,C13H19NO4,powder,1.104,253.2943,351.8,176,0,0,reductant,organic_reductants,medium reductant,,,,,
Tris(p-chlorophenyl)phosphine,P(p-Cl-Ph)3,1159-54-2,C1=CC(=CC=C1P(C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)Cl)Cl,C18H12Cl3P,powder,,365.621,427.6,100,,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
Triisopropyl phosphite,P(OiPr)3,116-17-6,CC(C)OP(OC(C)C)OC(C)C,C9H21O3P,liquid,0.914,208.235,181.4,,,,ligand,phosphites,1 P ligand,,,,,
tBuBrettPhos,tBuBrettPhos,1160861-53-9,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,C31H49O2P,liquid,,484.6933,,,0,0,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,,
"Palladium, di-mu-chlorobis(eta3-2-propenyl)di-","Palladium, di-mu-chlorobis(eta3-2-propenyl)di-",12012-95-2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],C6H10Cl2Pd2,powder,,365.89,,120,,,metal_catalyst,pd_ii_salts,Pd(2) catalyst,,,,,
