index,name,smiles,detected_motifs,motif_count
0,Bromobenzene,Brc1ccccc1,Ar-Br,1
1,Chlorobenzene,Clc1ccccc1,Ar-Cl,1
2,Iodobenzene,Ic1ccccc1,Ar-I,1
3,Fluorobenzene,Fc1ccccc1,Ar-F,1
4,4-Bromobenzonitrile,Brc1ccc(C#N)cc1,Ar-Br|Ar-CN,2
5,4-Bromoanisole,Brc1ccc(OC)cc1,Ar-Br|Ar-OR,2
6,4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,Ar-Br|Ar-NO2,2
7,4-Bromobenzotrifluoride,Brc1ccc(C(F)(F)F)cc1,Ar-Br|Ar-R|R-F,3
8,"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,Ar-Br,1
9,"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,Ar-Cl,1
10,2-Bromotoluene,Brc1ccccc1C,Ar-Br|Ar-R,2
11,"3,5-Dimethylbromobenzene",Brc1cc(C)cc(C)c1,Ar-Br|Ar-R,2
12,Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,Ar-Br|Ar-R,2
13,2-Bromonaphthalene,Brc1ccc2ccccc2c1,Ar-Br,1
14,2-Chloronaphthalene,Clc1ccc2ccccc2c1,Ar-Cl,1
15,1-Bromonaphthalene,Brc1cccc2c1cccc2,Ar-Br,1
16,4-Bromopyridine,Brc1ccncc1,Ar-Br,1
17,3-Bromopyridine,Brc1cccnc1,Ar-Br,1
18,2-Bromopyridine,Brc1ccccn1,Ar-Br,1
19,4-Chloropyridine,Clc1ccncc1,Ar-Cl,1
20,5-Bromopyrimidine,Brc1cnccn1,Ar-Br,1
21,2-Bromothiophene,Brc1cccs1,Ar-Br,1
22,2-Bromofuran,Brc1ccco1,Ar-Br,1
23,3-Bromopyrrole,Brc1cc[nH]c1,Ar-Br|AromN-H,2
24,5-Bromoindole,Brc1ccc2[nH]ccc2c1,Ar-Br|AromN-H,2
25,2-Bromobenzothiazole,Brc1nc2ccccc2s1,Ar-Br,1
26,2-Iodobenzoxazole,Ic1nc2ccccc2o1,Ar-I,1
27,3-Bromoquinoline,Brc1ccnc2ccccc12,Ar-Br,1
28,3-Bromoquinoxaline,Brc1cnc2ccccc2n1,Ar-Br,1
29,"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,Ar-Cl,1
30,Phenyl triflate,c1ccc(OS(=O)(=O)C(F)(F)F)cc1,Ar-OTf,1
31,4-Methoxyphenyl triflate,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,Ar-OR|Ar-OTf,2
32,Phenyl tosylate,c1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,Ar-OTs,1
33,Phenyl mesylate,c1ccc(OS(=O)(=O)C)cc1,Ar-OMs,1
34,4-Cyanophenyl triflate,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,Ar-CN|Ar-OTf,2
35,Vinyl bromide,C=CBr,Alkenyl-Br,1
36,Vinyl chloride,C=CCl,Alkenyl-Cl,1
37,Vinyl iodide,C=CI,Alkenyl-I,1
38,(E)-1-Bromopropene,C/C=C/Br,Alkenyl-Br,1
39,2-Bromopropene,C=C(Br)C,Alkenyl-Br,1
40,α-Bromostyrene,BrC(=C)c1ccccc1,Alkenyl-Br|Ar-Alkenyl,2
