index,reaction_smiles,detected_reaction_types,product_motifs,rxn_match_count,reactant_1_motifs,reactant_2_motifs,reactant_3_motifs,reactant_4_motifs
0,Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Ar-B(OH)2,,
1,Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1>>N#Cc1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar|Ar-CN,1,Ar-CN|Ar-Cl,Ar-B(OH)2,,
2,Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1>>COc1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar|Ar-OR,1,Ar-Br|Ar-OR,Ar-B(OH)2,,
3,Ic1ccncc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccncc2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-I,Ar-B(OH)2,,
4,Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar|Ar-R|R-F,1,Ar-Br|Ar-R|R-F,Ar-B(OH)2,,
5,Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc3ccccc3c2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Cl,Ar-B(OH)2,,
6,Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1>>Cc1ccc(C)c(-c2ccccc2)c1,suzuki_miyaura,Ar-Ar|Ar-R,1,Ar-Br|Ar-R,Ar-B(OH)2,,
7,Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>Fc1ccc(-c2ccccc2)cc1,"suzuki_miyaura,halogenation_aromatic",Ar-Ar|Ar-F,2,Ar-F|Ar-OTf,Ar-B(OH)2,,
8,C/C=C/Br.C=CB(O)O>>C/C=C/C=C,"heck,suzuki_miyaura,ring_closing_metathesis",Alkenyl-Alkenyl,3,Alkenyl-Br,Alkenyl-B(OH)2,,
9,Brc1ccc(OC)cc1.[K+].[B-](F)(F)c2ccccc2>>COc1ccc(-c2ccccc2)cc1,,Ar-Ar|Ar-OR,0,Ar-Br|Ar-OR,,Any-X,
10,Clc1ccncc1.c1ccncc1B1OC(=O)CN(CC(=O)O)C(=O)CN(CC(=O)O)C(=O)O1>>c1ccc(-c2ccccn2)nc1,suzuki_miyaura,Ar-Ar,1,Ar-Cl,Any-CO-R|Any-CONR2|Any-Lactam|Ar-B(OR)2|RCH2-CO2H,,
11,Brc1ccc(Cl)nc1.c2ccc(B(O)O)cc2>>c1ccc(-c2ccc(Cl)nc2)cc1,"suzuki_miyaura,halogenation_aromatic",Ar-Ar|Ar-Cl,2,Ar-Br|Ar-Cl,Ar-B(OH)2,,
12,Brc1cc(Cl)nc(Cl)c1.c2ccc(B(O)O)nc2>>c1ccc(-c2cc(Cl)nc(Cl)c2)nc1,"suzuki_miyaura,halogenation_aromatic",Ar-Ar|Ar-Cl,2,Ar-Br|Ar-Cl,Ar-B(OH)2,,
13,Brc1cccc2[nH]ccc12.c3ccc(B(O)O)cc3>>c1ccc(-c2ccc3[nH]ccc3c2)cc1,suzuki_miyaura,Ar-Ar|AromN-H,1,Ar-Br|AromN-H,Ar-B(OH)2,,
14,FC(F)(F)c1ccc(Cl)cc1.Nc1ccnc(B(O)O)n1>>FC(F)(F)c1ccc(-c2cc(N)ncn2)cc1,"buchwald_hartwig,chan_lam_cn,suzuki_miyaura",Ar-Ar|Ar-NH2|Ar-R|R-F,3,Ar-Cl|Ar-R|R-F,Ar-B(OH)2|Ar-NH2,,
15,Clc1cncc(B(O)O)c1.Brc2ccc(F)cc2>>Fc1ccc(-c2cc(Cl)cnc2)cc1,"suzuki_miyaura,halogenation_aromatic",Ar-Ar|Ar-Cl|Ar-F,2,Ar-B(OH)2|Ar-Cl,Ar-Br|Ar-F,,
16,Brc1ccc(Br)cc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Ar-B(OH)2,,
17,Brc1cccc(Br)c1.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc(-c3ccccc3)c2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Ar-B(OH)2,,
18,Brc1ccccc1.c1ncc(B(O)O)cn1>>c1ccc(-c2cnccn2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Ar-B(OH)2,,
