reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-049-CAS-12348235,CDI-mediated amidation,93,,,COc1cccc(Oc2ccc(-c3nc4ccc(C(=O)O)cc4[nH]3)cc2)c1>>NC(=O)c1ccc2nc(-c3ccc(Oc4cccc(O)c4)cc3)[nH]c2c1,"Journal of Medicinal Chemistry (2005), 48(6), 1873-1885","2018-66-8, 63024-26-0",2102212-16-6,"10294-33-4, 12125-02-9",,"75-09-2, 7732-18-5",,,,,,"2-[4-(3-Hydroxyphenoxy)phenyl]-1H-benzoimidazole- 5-carboxylic Acid Amide (3g). To a solution of 2-[4-(3- methoxyphenoxy)phenyl]-1H-benzoimidazole-5-carboxylic acid amide (65 mg, 0.18 mmol, 1.0 equiv, prepared through Method C) in dichloromethane (3 mL) at -78 °C was added boron tribromide (0.20 mL, 2.1 mmol, 12 equiv). The mixture was allowed to warm to room temperature over 15 h, cooled to 0 °C, and quenched with aqueous saturated ammonium chloride. The solid was filtered and rinsed with water to afford 3g (58 mg, 93%) 2-[4-(3-Hydroxyphenoxy)phenyl]-1H-benzoimidazole- 5-carboxylic Acid Amide (3g), Yield (58 mg, 93%) 1H (500 MHz, CD3OD) δ 8.21 (s, 1H), 8.02 (m, 2H), 8.00 (dd, J = 8.6, 1.5 Hz, 1H), 7.74 (d, J = 8.6 Hz, 1H), 7.16 (m, 3H), 6.60 (m, 1H), 6.49 (m, 1H), 6.45 (m, 1H); 13C (125 MHz, CD3OD) δ 109.07, 112.58, 113.89, 115.12, 115.28, 118.32, 119.97, 127.12, 131.75, 132.27, 133.81, 133.88, 136.04, 153.19, 157.71, 161.02, 164.79, 171.23; HRMS (M + H)+ calcd, 346.1192; found, 346.1181; Anal. (C20H16N3O3•3H2O) calcd C, 60.14; H, 5.30; N, 10.52. found: C, 60.07; H, 4.23; N, 8.85; HPLC (method A): tR = 6.48, 95% pure.",2,1,93,,,,,,,
31-174-CAS-22475379,CDI-mediated amidation,94,,,Cc1cccc(C(=O)O)n1.Nc1ccccc1Cl>>Cc1cccc(C(=O)Nc2ccccc2F)n1,"Journal of Medicinal Chemistry (2020), 63(13), 6834-6846","385-00-2, 2231021-70-6",2406275-98-5,"7087-68-5, 148893-10-1",,68-12-2,,,,,,,2,1,94,,,,,,,
31-260-CAS-13683866,CDI-mediated amidation,89,,,COc1ccc(S)cc1.CCCCC=CC(=O)O.NOCc1ccccc1>>CCCCC(CC(=O)NOCc1ccccc1)Sc1ccc(OC)cc1,"Journal of Medicinal Chemistry (2000), 43(12), 2324-2331","5052-95-9, 1297137-35-9",1609198-55-1,"7087-68-5, 538-75-0, 2592-95-2",,"68-12-2, 75-09-2",,,,,,"General/Typical Procedure: Method A: (RS)-3-(Phenylsulfonyl)heptanoic Acid Hydroxyamide (8d). (a) (RS)-3-(Phenylsulfanyl)heptanoic Acid Benzyloxyamide (5d; R1= Ph; R2= Bu; R = NHOBn). A solution of 2-heptenoic acid (650 mg; 5.0 mmol), PhSH (0.55 mL; 5.3 mmol) and DIPEA (0.96 mL; 5.5 mmol) in DMF (5 mL) was stirred at 60 °C for 48 h. The DMF was evaporated under reduced pressure and the residue, dissolved in CH2Cl2 (20 mL), was reacted with BnONH2 (855 mg; 5.3 mmol), 1-hydroxybenzotriazole (766 mg, 5.0 mmol) and DCC (1.04 g; 5.0 mmol). After stirring overnight, the solution was diluted with CH2Cl2 and washed with 1% NaHCO3 (10 mL), worked up and chromatographed (AcOEt/n-hexane) affording 1.2 g of a yellow oil (70%). Compound 5m, yield 89% MS 372.2 a",2,1,89,,,,,,,
31-313-CAS-14323897,CDI-mediated amidation,90,,,CC(C)N.Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2C=O)c1C.CC(=O)O>>CC(=O)N(Cc1cc(-c2ncco2)ccc1-c1ccccc1S(=O)(=O)Nc1onc(C)c1C)C(C)C,"Journal of Medicinal Chemistry (2003), 46(1), 125-137","328-50-7, 104775-66-8",2919304-94-0,"56553-60-7, 693-13-0",,"64-17-5, 75-09-2, 68-12-2",,,,,,"General/Typical Procedure: Representative Procedure for Compounds 5a-p. N-[[2'-[[(3,4-Dimethyl-5-isoxazolyl)amino]sulfonyl]-4-(2-oxazolyl)[1,1'-biphenyl]-2-yl]methyl]-N,3,3-trimethylbutanamide (5g). To a solution of 0.15 g (0.35 mmol) of 417 in 15 mL of dichloromethane, methylamine (33% solution in absolute ethanol, 0.13 mL, 1.06 mmol), glacial acetic acid (0.12 g, 2 mmol), and 1 g of 3 Å molecular sieves were added. The mixture was stirred at room temperature for 1 h. Sodium triacetoxyboro-hydride (0.22 g, 1.06 mmol) was added, and the mixture was stirred overnight. The solution was then filtered, washed once with water, dried, and evaporated to afford 0.15 g of 2'-[(methylamino)methyl]-N-(3,4-dimethyl-5-isoxazolyl)- 4'-(2-oxazolyl)[1,1'-biphenyl]-2-sulfonamide as a colorless gum. To a solution of this material (32.9 mg, 0.075 mmol) and tertbutylacetic acid (0.075 mol) in 0.3 mL of CH2Cl2 was added 0.1 mL of DMF followed by a solution of 1,3-diisopropylcarbodiimide in CH2Cl2 (0.28N, 0.320 mL, 0.09 mmol). The reaction mixture was vortexed for 3 min and then let stand at room temperature for 24 h. The mixture was then loaded onto 1.5 g of a Strong Anion Exchange (Quaternary Amine) resin and eluted with 20 mL of CH2Cl2 followed by 10 mL of 3% TFA in CH2Cl2 to give 5g as a white solid. Compound 5b",3,1,90,,,,,,,"combinatorial, first stage mol. sieves used"
31-313-CAS-5162443,CDI-mediated amidation,90,,,CN.Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2C=O)c1C.CC(C)C(=O)O>>Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)C(C)C)c1C,"Journal of Medicinal Chemistry (2003), 46(1), 125-137","1505-50-6, 153708-69-1",1370286-85-3,"64-19-7, 56553-60-7, 693-13-0",,"64-17-5, 75-09-2, 68-12-2",,,,,,"General/Typical Procedure: Representative Procedure for Compounds 5a-p. N-[[2'-[[(3,4-Dimethyl-5-isoxazolyl)amino]sulfonyl]-4-(2-oxazolyl)[1,1'-biphenyl]-2-yl]methyl]-N,3,3-trimethylbutanamide (5g). To a solution of 0.15 g (0.35 mmol) of 417 in 15 mL of dichloromethane, methylamine (33% solution in absolute ethanol, 0.13 mL, 1.06 mmol), glacial acetic acid (0.12 g, 2 mmol), and 1 g of 3 Å molecular sieves were added. The mixture was stirred at room temperature for 1 h. Sodium triacetoxyboro-hydride (0.22 g, 1.06 mmol) was added, and the mixture was stirred overnight. The solution was then filtered, washed once with water, dried, and evaporated to afford 0.15 g of 2'-[(methylamino)methyl]-N-(3,4-dimethyl-5-isoxazolyl)- 4'-(2-oxazolyl)[1,1'-biphenyl]-2-sulfonamide as a colorless gum. To a solution of this material (32.9 mg, 0.075 mmol) and tertbutylacetic acid (0.075 mol) in 0.3 mL of CH2Cl2 was added 0.1 mL of DMF followed by a solution of 1,3-diisopropylcarbodiimide in CH2Cl2 (0.28N, 0.320 mL, 0.09 mmol). The reaction mixture was vortexed for 3 min and then let stand at room temperature for 24 h. The mixture was then loaded onto 1.5 g of a Strong Anion Exchange (Quaternary Amine) resin and eluted with 20 mL of CH2Cl2 followed by 10 mL of 3% TFA in CH2Cl2 to give 5g as a white solid. Compound 5c",3,1,90,,,,,,,"combinatorial, first stage mol. sieves used"
31-313-CAS-5303634,CDI-mediated amidation,90,,,CN.Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2C=O)c1C.Cn1c(C(=O)O)cc2ccccc21>>Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)c2cc3ccccc3n2C)c1C,"Journal of Medicinal Chemistry (2003), 46(1), 125-137","54413-93-3, 2681348-80-9",2767423-93-6,"64-19-7, 56553-60-7, 693-13-0",,"64-17-5, 75-09-2, 68-12-2",,,,,,"General/Typical Procedure: Representative Procedure for Compounds 5a-p. N-[[2'-[[(3,4-Dimethyl-5-isoxazolyl)amino]sulfonyl]-4-(2-oxazolyl)[1,1'-biphenyl]-2-yl]methyl]-N,3,3-trimethylbutanamide (5g). To a solution of 0.15 g (0.35 mmol) of 417 in 15 mL of dichloromethane, methylamine (33% solution in absolute ethanol, 0.13 mL, 1.06 mmol), glacial acetic acid (0.12 g, 2 mmol), and 1 g of 3 Å molecular sieves were added. The mixture was stirred at room temperature for 1 h. Sodium triacetoxyboro-hydride (0.22 g, 1.06 mmol) was added, and the mixture was stirred overnight. The solution was then filtered, washed once with water, dried, and evaporated to afford 0.15 g of 2'-[(methylamino)methyl]-N-(3,4-dimethyl-5-isoxazolyl)- 4'-(2-oxazolyl)[1,1'-biphenyl]-2-sulfonamide as a colorless gum. To a solution of this material (32.9 mg, 0.075 mmol) and tertbutylacetic acid (0.075 mol) in 0.3 mL of CH2Cl2 was added 0.1 mL of DMF followed by a solution of 1,3-diisopropylcarbodiimide in CH2Cl2 (0.28N, 0.320 mL, 0.09 mmol). The reaction mixture was vortexed for 3 min and then let stand at room temperature for 24 h. The mixture was then loaded onto 1.5 g of a Strong Anion Exchange (Quaternary Amine) resin and eluted with 20 mL of CH2Cl2 followed by 10 mL of 3% TFA in CH2Cl2 to give 5g as a white solid. Compound 5p",3,1,90,,,,,,,"combinatorial, first stage mol. sieves used"
31-313-CAS-773997,CDI-mediated amidation,90,,,CN.Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2C=O)c1C.O=C(O)CC1CCCCC1>>Cc1noc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)CC2CCCCC2)c1C,"Journal of Medicinal Chemistry (2003), 46(1), 125-137","1197160-66-9, 39546-32-2",2757884-54-9,"64-19-7, 56553-60-7, 693-13-0",,"64-17-5, 75-09-2, 68-12-2",,,,,,"General/Typical Procedure: Representative Procedure for Compounds 5a-p. N-[[2'-[[(3,4-Dimethyl-5-isoxazolyl)amino]sulfonyl]-4-(2-oxazolyl)[1,1'-biphenyl]-2-yl]methyl]-N,3,3-trimethylbutanamide (5g). To a solution of 0.15 g (0.35 mmol) of 417 in 15 mL of dichloromethane, methylamine (33% solution in absolute ethanol, 0.13 mL, 1.06 mmol), glacial acetic acid (0.12 g, 2 mmol), and 1 g of 3 Å molecular sieves were added. The mixture was stirred at room temperature for 1 h. Sodium triacetoxyboro-hydride (0.22 g, 1.06 mmol) was added, and the mixture was stirred overnight. The solution was then filtered, washed once with water, dried, and evaporated to afford 0.15 g of 2'-[(methylamino)methyl]-N-(3,4-dimethyl-5-isoxazolyl)- 4'-(2-oxazolyl)[1,1'-biphenyl]-2-sulfonamide as a colorless gum. To a solution of this material (32.9 mg, 0.075 mmol) and tertbutylacetic acid (0.075 mol) in 0.3 mL of CH2Cl2 was added 0.1 mL of DMF followed by a solution of 1,3-diisopropylcarbodiimide in CH2Cl2 (0.28N, 0.320 mL, 0.09 mmol). The reaction mixture was vortexed for 3 min and then let stand at room temperature for 24 h. The mixture was then loaded onto 1.5 g of a Strong Anion Exchange (Quaternary Amine) resin and eluted with 20 mL of CH2Cl2 followed by 10 mL of 3% TFA in CH2Cl2 to give 5g as a white solid. Compound 5n",3,1,90,,,,,,,"combinatorial, first stage mol. sieves used"
31-333-CAS-9900522,CDI-mediated amidation,82,,,O=C(O)CC(=O)O.COC(=O)CCSc1ccc(C=O)cc1Cl.CC(=O)N1CCNCC1>>COC(=O)CCSc1ccc(C=CC(=O)N2CCN(C(C)=O)CC2)cc1Cl,"Journal of Medicinal Chemistry (2001), 44(8), 1202-1210","98-98-6, 34803-68-4",1209623-68-6,"110-89-4, 68-12-2, 79-37-8, 121-44-8, 1122-58-3, 7647-01-0",,"110-86-1, 75-09-2, 141-78-6",,,,,,"A mixture of the aldehyde 5 (1.0 g, 3.9 mmol), malonic acid (0.88 g, 8.5 mmol), and piperidine (57 μL, 0.58 mmol) in 4 mL of anhydrous pyridine was heated at 110 °C for 2 h during which the gas evolution ceased. After pyridine was removed under vacuum, water and 3 N aqueous HCl were then added with stirring. The desired cinnamic acid was collected through filtration, washed with cold water, and dried in a vacuum oven overnight to give 1.15 g (4.8 mmol, 98%) of the cinnamic acid as a white solid. A suspension of the acid (220 mg, 0.73 mmol) in 5 mL of CH2Cl2 was stirred with (COCl)2 (71 μL, 0.81 mmol) and one drop of DMF for 90 min. The solvent was then removed under vacuum, and the residual (COCl)2 was removed with benzene (2 × 2 mL) in vacuo. A separate flask was charged with N-acetylpiperazine (113 mg, 0.88 mmol), NEt3 (257 μL, 1.83 mmol), and DMAP (4.4 mg, 0.032 mmol) in 10 mL of CH2Cl2. The acid chloride in 5 mL of CH2Cl2 was then dropped in slowly. After 30 min, the reaction mixture was poured into 3 N aqueous HCl and extracted with EtOAc. The organic layer was washed with brine, dried with Na2SO4, and condensed under reduced pressure. The crude product was purified on a silica gel flash column (5-10% MeOH in EtOAc as eluent) to give 250 mg (0.61 mmol, 84%) of cinnamide 6 as a white solid. 3-[4-[3-(4-Acetyl-piperazin-1-yl)-3-oxo-propenyl]-2-chlorophenylsulfanyl]-propionic Acid Methyl Ester (6) 1H NMR (CDCl3, 300 MHz) δ 2.16 (s, 3H), 2.72 (t, J = 7.5 Hz, 2H), 3.25 (t, J = 7.5 Hz, 2H), 3.54 (t, J = 4.95 Hz, 2H), 3.60- 3.83 (brm, 6H), 6.83 (d, J = 15.6 Hz, 1H), 7.28 (d, J = 8.7 Hz, 1H), 7.37 (dd, J = 2.1, 8.7 Hz, 1H), 7.56 (d, J = 2.1 Hz, 1H), 7.61 (d, J = 15.6 Hz, 1H); MS (APCI+) (M+ NH4)+ at m/z 428, 430.",5,1,82,,,,,,,stereoselective
31-353-CAS-15730962,CDI-mediated amidation,100,,,CC(C)(C)OC(=O)N1CC2(CC2)C[C@H]1C(=O)O.CC(C)(C)OC(=O)n1ccc(N)n1>>Cl.O=C(Nc1cc[nH]n1)[C@@H]1CC2(CC2)CN1,"Bioorganic & Medicinal Chemistry Letters (2016), 26(15), 3714-3718","118-48-9, 147-85-3",18877-34-4,"124-63-0, 616-47-7, 7647-01-0",,"68-12-2, 60-29-7, 67-56-1",,,,,,,3,1,100,,,,,,,
31-353-CAS-17327495,CDI-mediated amidation,100,,,C[C@@H]1CN(C(=O)OCc2ccccc2)[C@@H](C(=O)O)CN1C(=O)OC(C)(C)C.C1COCCN1>>C[C@@H]1CN[C@@H](C(=O)N2CCOCC2)CN1C(=O)OC(C)(C)C,"Journal of Medicinal Chemistry (2017), 60(11), 4611-4625","1670-81-1, 899806-45-2",2662602-84-6,"530-62-1, 7647-01-0, 1333-74-0",7440-05-3,"75-09-2, 7732-18-5, 67-56-1",,,,,,,4,1,100,,,,,,,
