type,name,smiles
catalyst,2g-ruphos,c1ccc(c(c1)c1c(cccc1)N)[Pd]Cl.c1(ccccc1c1c(cccc1OC(C)C)OC(C)C)P(C1CCCCC1)C1CCCCC1
catalyst,3g-oms-brettphos,c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O
catalyst,ad-bippyphos-pd(allyl),C=CC[Pd].c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)cc1
catalyst,AdBrettPhos,COc1ccc(OC)c(P(C23CC4CC(CC(C4)C2)C3)(C23CC4CC(CC(C4)C2)C3)->[Pd]2(OS(=O)(=O)C(F)(F)F)<-Nc3ccccc3-c3ccccc32)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,adbrettphos-pd(allyl),C=CC[Pd].COc1ccc(OC)c(P([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,adbrettphos-pd-g3,COc1ccc(OC)c(P(C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)(C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)->[Pd]2(<-Nc3ccccc3-c3ccccc32)OS(C)(=O)=O)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,adbrettphos-pd-g3,COc1ccc(OC)c([P+]([C@]23CC4C[C@H](C[C@H](C4)C2)C3)([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[Pd-2]2(OS(C)(=O)=O)[NH2+]c3ccccc3-c3ccccc32)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,alphos-pd(allyl),C=CC[Pd].c1ccc(P([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(N2CCOCC2)c1
catalyst,aphos-pd-g3,CC(C)(C)P(c1ccc(N)cc1)(C(C)(C)C)->[Pd]1(<-Nc2ccccc2-c2ccccc21)OS(C)(=O)=O
catalyst,aphos-pd-g4,CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O
catalyst,binap-pd-g3,CS(=O)(=O)O[Pd]1(<-Nc2ccccc2-c2ccccc21)<-P(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1-c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12
catalyst,brettphos-palladacycle,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.NCCc1ccccc1[Pd]Cl
catalyst,brettphos-pd(allyl),C=CC[Pd].COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,brettphos-pd-g3,COc1ccc(OC)c(P(C2CCCCC2)(C2CCCCC2)->[Pd]2(<-Nc3ccccc3-c3ccccc32)OS(C)(=O)=O)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,brettphos-pd-g4,COc1ccc(OC)c([P+](C2CCCCC2)(C2CCCCC2)[Pd-2]2(OS(C)(=O)=O)c3ccccc3-c3ccccc3[NH+]2C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C
catalyst,catacxium-pcy-pd(allyl),C=CC[Pd].c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1
catalyst,catacxium-pd-g4,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O
catalyst,catacxium-pincy-pd(allyl),C=CC[Pd].c1ccc(-n2c(P(C3CCCCC3)C3CCCCC3)cc3ccccc32)cc1
catalyst,catacxium-pomecy-pd(allyl),C=CC[Pd].COc1ccccc1-n1cccc1P(C1CCCCC1)C1CCCCC1
catalyst,clni(nap)(pph3)2,Cl[Ni](c1cccc2ccccc12)([PH](c1ccccc1)(c1ccccc1)c1ccccc1)[PH](c1ccccc1)(c1ccccc1)c1ccccc1
catalyst,cphos-hybrid-pd(allyl),C=CC[Pd].COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(N(C)C)cccc1N(C)C
catalyst,cphos-pd(allyl),C=CC[Pd].CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
catalyst,cphos-pd-g3,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N
catalyst,cphos-pd-g4,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O
catalyst,cyjohnphos-pd(allyl),C=CC[Pd].c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1
catalyst,cyjohnphos-pd-g4,CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1
catalyst,davephos-pd-g3,CC(C)Nc1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1.COS(=O)(=O)[Pd]c1ccccc1-c1ccccc1N
catalyst,dppf-pd-g3,CS(=O)(=O)O[Pd]1(<-Nc2ccccc2-c2ccccc21)<-P(C1=CC=CC1[Fe]C1C=CC=C1P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
catalyst,dppf-pd-g4,C1=CC(P(c2ccccc2)c2ccccc2)=CC1.C1=CC(P(c2ccccc2)c2ccccc2)=CC1.CNc1ccccc1-c1ccccc1[Pd]OS(C)(=O)=O.[Fe]
catalyst,dtbpf-pd-g3,CC(C)(C)P(C1=CC=CC1)C(C)(C)C.CC(C)(C)P(C1=CCC=C1)C(C)(C)C.CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N.[Fe]
catalyst,dtbpf-pd-g3,CC(C)(C)P(C1=CC=CC1[Fe]C1C=CC=C1P(C(C)(C)C)(C(C)(C)C)->[Pd]1(<-Nc2ccccc2-c2ccccc21)OS(C)(=O)=O)C(C)(C)C
catalyst,empty,Br[Pd+].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CC1(C)c2cccc([PH+](c3ccccc3)c3ccccc3)c2Oc2c([PH+](c3ccccc3)c3ccccc3)cccc21.Fc1c[c-]cc(F)c1
catalyst,empty,C1CCCC1.CC(=O)O.CC(=O)O.CC(C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.[Fe].[Pd]
catalyst,empty,C1CCCC1.CC(=O)O[Pd]OC(C)=O.C[C@H](C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.[Fe]
catalyst,empty,C1CCCC1.CC(C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.[Fe]
catalyst,empty,C1CCCC1.CC(C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.[Fe].[Pd]
catalyst,empty,CC(=O)O.CC(=O)O.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd]
catalyst,empty,CC(=O)O.CC(=O)O.CC(C)CN1CCN2CCN(CC(C)C)P1N(CC(C)C)CC2.[Pd]
catalyst,empty,CC(=O)O.CC(=O)O.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.[Pd]
catalyst,empty,CC(=O)O.CC(=O)O.CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.[Pd]
