reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-2462805,Reduction-Borane,60,,,O=C(C[C@@H]1C=CCC1)C1=CCCC12OCCO2>>O=C1CCC=C1[C@H](O)C[C@@H]1C=CCC1,"Journal of the American Chemical Society (2006), 128(22), 7315-7319",10210-32-9,854050-79-6,"112022-83-0, 14044-65-6, 7647-01-0",,"108-88-3, 109-99-9, 67-56-1, 7732-18-5",,,,,,"To a flame-dried Schlenk flask purged with N2 was added ketone 31 (38.5 mg, 0.165 mmol) in toluene (0.825 mL). (S)-Methyl-3,3-diphenyl-1H,3H-pyrrolo[1,2-c][1,3,2]-oxazaborole (0.082 mmol, 1M in toluene) was added dropwise and the flask was cooled to 0 °C in an ice bath. A solution of BH3.THF (0.165 mmol, 1 M THF) was added dropwise and stirred for 15 min at 0 °C and then quenched with MeOH (1 mL). The reaction mixture was stirred for 15 min, then warmed to room temperature and allowed to stir for another 15 min before opening the flask to air. Aqueous HCl (2 mL, 1 M) was added and the reaction mixture was stirred for 1 h. The reaction mixture was then diluted with Et2O (10 mL) and washed with brine (5 mL). The combined organic layers were dried with MgSO4 and concentrated in vacuo. The product was purified on silica gel (pentane:Et2O 1:1) to give enone 27 (18.9 mg, 60%) as a pale yellow oil. 2-((R)-2-((R)-cyclopent-2-enyl)-1-hydroxyethyl)cyclopent-2-enone (27): Rf 0.28 (pentane:Et2O 2:3);. 1H-NMR (CDCl3, 400 MHz) δ 7.44 (td, 1H, J = 2.4, 0.8 Hz), 5.73 (m, 1H), 5.67 (m, 1H), 4.52 (m, 1H), 2.85 (m, 2H), 2.61 (m, 2H), 2.44 (m, 2H), 2.31 (m, 1H), 2.10 (dtd, 1H, J = 12.8, 8.0, 4.4 Hz), 1.82 (m, 1H), 1.56 (ddd, 1H, J = 13.2, 9.2, 4.0 Hz), 1.45 (m, 1H). 13C-NMR (CDCl3, 125 MHz) δ 210.2, 157.8, 148.3, 135.2, 130.8, 67.0, 42.3, 42.2, 35.4, 35.0, 29.9, 26.8. IR (NaCl, thin film) 3430 (br), 2947 (m), 1689 (s), 1340 (m), 1089 (w) cm-1. HRMS (M + H) C12H17O2 Calcd: 193.1229. Found: 193.1234.",4,1,60,,,,,,,stereoselective
31-006-CAS-280727,Reduction-Borane,77,,,C=CCCCC(=O)C1=CCCCC12OCCO2>>C=CCCCC(O)C1=CCCCC1=O,"Journal of the American Chemical Society (2006), 128(22), 7315-7319",3004680-92-3,3004680-87-6,"7790-86-5, 16940-66-2, 7647-01-0",,"67-56-1, 7732-18-5",,,,,,"To a solution of ketone 11 (110.5 mg, 0.468 mmol) and methanol (4.68 mL) cooled to 0 °C was added CeCl3.7H2O (164 mg, 0.44 mmol). The reaction was allowed to stir at 0 °C for 5 min. NaBH4 (35.4 mg, 0.93 mmol) was added and the reaction was stirred at 0 °C for 30 min. The reaction was quenched with 1 M HCl (2 mL) and warmed to room temperature. The reaction was allowed to stir for another 30 min at room temperature and diluted with Et2O (6 mL) after the deprotection was deemed complete by TLC analysis. The organic layer was washed with brine (5 mL) and dried with MgSO4. Product was purified through a short silica gel plug (3 cm) to give enone 12 (70 mg, 77%) as a clear oil. 2-(1-hydroxyhex-5-enyl)cyclohex-2-enone (12). Rf 0.22 (pentane:Et2O 3:2); 1H-NMR (CDCl3, 400 MHz) δ 6.86 (t, 1H, J = 4 Hz), 5.80 (ddt, 1H, J = 16.8, 10.0, 6.4 Hz), 4.96 (m, 2H), 4.28 (dd, 1H, J = 13.2, 7.6 Hz), 2.86 (br s, 1H, O-H) 2.41 (m, 4H), 2.07 (dd, 2H, J = 14.4, 7.6 Hz), 1.99 (dd, 2H, J = 12.8, 6 Hz), 1.37-1.68 (m, 4H). 13C-NMR (CDCl3, 100 MHz) δ 200.8, 146.1, 141.2, 139.0, 115.0, 72.0, 39.3, 36.3, 34.1, 26.3, 25.9, 23.2. IR (NaCl, thin film) 3438 (br), 2927 (m), 2865 (w), 1667 (s), 1382 (m), 1172 (m), 911 (m) cm-1. HRMS (M + Na) C12H18O2Na Calcd: 217.1204. Found: 217.1204.",4,1,77,,,,,,,
31-006-CAS-4600124,Reduction-Borane,55,,,O=C(C[C@@H]1C=CCC1)C1=CCCC12OCCO2>>O=C1CCC=C1[C@@H](O)C[C@@H]1C=CCC1,"Journal of the American Chemical Society (2006), 128(22), 7315-7319",134-85-0,101402-04-4,"112022-81-8, 14044-65-6, 7647-01-0",,"108-88-3, 109-99-9, 67-56-1, 7732-18-5",,,,,,"To a flame-dried Schlenk flask purged with N2 was added ketone 31 (46.3 mg, 0.20 mmol) in toluene (0.99 mL). (R)-Methyl-3,3-diphenyl-1H,3H-pyrrolo[1,2-c][1,3,2]-oxazaborole (0.082 mmol, 1M in toluene) was added dropwise and the flask was cooled to 0 °C in an ice bath. A solution of BH3.THF (0.20 mmol, 1 M THF) was added dropwise and stirred for 15 min at 0 °C and then quenched with MeOH (1 mL). The reaction mixture was stirred for 15 min, then warmed to room temperature and allowed to stir for another 15 min before opening the flask to air. Aqueous HCl (3 mL, 1 M) was added and the reaction mixture was stirred for 1 h. The reaction mixture was then diluted with Et2O (10 mL) and washed with brine (5 mL). The combined organic layers were dried with MgSO4 and concentrated in vacuo. The product was purified on silica gel (pentane: Et2O 1:1) to give enone 28 (20.7 mg, 55%) as a pale yellow oil. 2-((S)-2-((R)-cyclopent-2-enyl)-1-hydroxyethyl)cyclopent-2-enone (28):. Rf 0.28 (pentane:Et2O 2:3) 1H-NMR (CDCl3, 400 MHz) δ 7.45 (td, 1H, J = 2.4, 0.8 Hz), 5.72 (m, 2H), 4.53 (dd, 1H, J = 12.4, 6.0 Hz), 2.82 (m, 1H), 2.61 (m, 2H), 2.44 (m, 2H), 2.32 (m, 2H), 2.09 (dtd, 1H, J = 12.8, 8.4, 4.4 Hz), 1.74 (t, 2H, J = 6.8 Hz), 1.46 (ddt, 1H, J = 12.8, 9.2, 6.8 Hz). 13C-NMR (CDCl3, 125 MHz) δ 210.3, 158.1, 147.9, 134.5, 131.2, 67.2, 42.28, 42.23, 35.4, 32.2, 30.5, 26.8. IR (NaCl, thin film) 3425 (br), 2948 (m), 2858 (m), 1689 (s), 1439 (m), 1338 (m), 1253 (m) cm-1. HRMS (M + H) C12H17O2 Calcd: 193.1229. Found: 193.1227.",4,1,55,,,,,,,stereoselective
31-006-CAS-943705,Reduction-Borane,84,,,C#CC[C@@]1(C=O)CCC(O[Si](C(C)C)(C(C)C)C(C)C)=C[C@@H]1CO[Si](C)(C)C(C)(C)C>>C#CC[C@@]1(CO)CCC(=O)C[C@@H]1CO,"Organic Letters (2008), 10(17), 3877-3878",2298-48-8,40116-81-2,"16940-66-2, 429-41-4",,"67-56-1, 109-99-9",,,,,,"Keto diol 9. To a solution of aldehyde 8 (1.70 g, 3.64 mmol) in MeOH (10 mL) was added NaBH4 (69 mg, 1.82 mmol) at 0°C. After 30 min, the reaction mixture was treated with saturated NH4Cl (5 mL). The aqueous layer was extracted with Et2O (20 mL × 3). The combined extracts were washed with brine (10 mL), dried (MgSO4) and concentrated in vacuo. The residue was dissolved in THF (5 mL) and a solution of tetra-n-butylammonium fluoride (1M in THF, 12.7 mL, 12.7 mmol) was added. The resultant solution was stirred for 8 h and concentrated under reduced pressure. The residue was purified by flash column chromatography (EtOAc) to afford keto diol 9 (601 mg, 84%) as a colorless oil: keto diol 9, yield 601 mg, 84% [α]D25 +5.6 (c 0.5, CHCl3); IR (film) 3399, 1711, 1457, 1377, 1171 cm-1; 1H NMR (500 MHz, CDCl3) δ 4.00 (1H, d, J = 11.5 Hz), 3.87 (1H, dd, J = 12.0, 1.5 Hz), 3.56 (1H, d, J = 12.0 Hz), 3.54 (1H, dd, J = 11.5, 4.5 Hz), 2.71 (1H, dd, J = 15.5, 12.0 Hz), 2.52 (1H, dd, J = 17.0, 2.5 Hz), 2.49 (1H, dd, J = 17.0, 2.5 Hz), 2.36-2.30 (2H, m), 2.15-2.11 (1H, m), 1.95-1.84 (2H, m); 13C NMR (125 MHz, CDCl3) δ 212.0, 80.6, 71.9, 63.8, 62.1, 43.7, 41.0, 39.8, 37.5, 33.2, 25.6; HRMS (ESI TOF) calcd for C11H16O3Na [M+Na]+ 219.0992 found 219.0999.",2,1,84,,,,,,,
31-031-CAS-3799768,Reduction-Borane,78,,,O=C(CBr)c1ccc2ccccc2c1.CC(C)N>>CC(C)NC[C@H](O)c1ccc2ccccc2c1,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",4237-46-1,95061-46-4,"14044-65-6, 13292-87-0, 1310-73-2","640-68-6, 121-43-7","109-99-9, 7732-18-5",,,,,,,6,1,78,,,,,,,"green chemistry-process simplification, stereoselective, 98% enantiomeric excess, Corey-Bakshi-Shibata-type reduction in stage 4, in-situ generated catalyst, chirality depends on chiral amino acid used"
31-031-CAS-5656824,Reduction-Borane,75,,,O=C(CBr)c1ccc2ccccc2c1.CC(C)N>>CC(C)NC[C@@H](O)c1ccc2ccccc2c1,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",173168-48-4,173168-80-4,"14044-65-6, 13292-87-0, 1310-73-2","72-18-4, 121-43-7","109-99-9, 7732-18-5",,,,,,,6,1,75,,,,,,,"green chemistry-process simplification, stereoselective, 92% ee, Corey-Bakshi-Shibata-type reduction in stage 4, in-situ generated catalyst, chirality depends on chiral amino acid used"
31-031-CAS-5938456,Reduction-Borane,80,,,O=C(CBr)c1ccc(Cl)c(Cl)c1.CC(C)N>>CC(C)NC[C@H](O)c1ccc(Cl)c(Cl)c1,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",122-57-6,32271-52-6,"14044-65-6, 13292-87-0, 1310-73-2","640-68-6, 121-43-7","109-99-9, 7732-18-5",,,,,,,6,1,80,,,,,,,"green chemistry-process simplification, stereoselective, 99% ee, Corey-Bakshi-Shibata-type reduction in stage 4, in-situ generated catalyst, chirality depends on chiral amino acid used"
31-031-CAS-7786199,Reduction-Borane,84,,,O=C(CBr)c1ccc(Cl)c(Cl)c1.CC(C)N>>CC(C)NC[C@@H](O)c1ccc(Cl)c(Cl)c1,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",51557-09-6,1054585-77-1,"14044-65-6, 13292-87-0, 1310-73-2","72-18-4, 121-43-7","109-99-9, 7732-18-5",,,,,,,6,1,84,,,,,,,"green chemistry-process simplification, stereoselective, 92% ee, Corey-Bakshi-Shibata-type reduction in stage 4, in-situ generated catalyst, chirality depends on chiral amino acid used"
31-031-CAS-9918885,Reduction-Borane,82,,,O=C(CBr)c1ccc([N+](=O)[O-])cc1.CC(C)N>>CC(C)NC[C@H](O)c1ccc([N+](=O)[O-])cc1,"Chemistry - A European Journal (2011), 17(51), 14380-14384, S14380/1-S14380/39",2369-31-5,206758-32-9,"14044-65-6, 13292-87-0, 1310-73-2","640-68-6, 121-43-7","109-99-9, 7732-18-5",,,,,,,6,1,82,,,,,,,"green chemistry-process simplification, stereoselective, Corey-Bakshi-Shibata-type reduction in stage 4, in-situ generated catalyst, 96% ee, chirality depends on chiral amino acid used"
31-049-CAS-12101573,Reduction-Borane,94,,,CC(C)(C)[Si](C)(C)OCC(=O)c1ccccc1>>OC[C@@H](O)c1ccccc1,"Journal of Organic Chemistry (1998), 63(15), 5280-5282",2488669-53-8,2488670-04-6,"14044-65-6, 67-56-1, 429-41-4",110205-59-9,109-99-9,,,,,,,3,1,94,,,,,,,stereoselective
