reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-155-CAS-23541034,TEMPObleach-Primary alcohols to aldehydesacids,78,,,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO>>C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@]2(C)C(=O)CC[C@@H]12,"Chemistry - A European Journal (2021), 27(19), 6044-6049",1094791-41-9,16611-67-9,"429-06-1, 497-19-8, 2564-83-2",,"75-05-8, 7732-18-5",,,,,,,2,1,78.0,,,,,,,"electrochemical in stage 1,graphite and Fe used as anode and cathode in stage 1,constant current = 5 mA in stage 1,undivided cell used in stage 1,reaction in a capped vial in stage 1,alternative preparation shown"
31-177-CAS-21752794,TEMPObleach-Primary alcohols to aldehydesacids,87,,,C=CCO.N#Cc1ccc(I)cc1>>N#Cc1ccc(CCC=O)cc1,"ACS Catalysis (2020), 10(3), 2226-2230",619-73-8,555-16-8,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,87.0,,,,,,,reaction in a sealed Schlenk tube
31-177-CAS-22712522,TEMPObleach-Primary alcohols to aldehydesacids,80,,,C=CCO.FC(F)(F)c1ccc(I)cc1>>O=CCCc1ccc(C(F)(F)F)cc1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 637-87-6",75677-02-0,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80.0,,,,,,,Schlenk tube used
31-177-CAS-22712525,TEMPObleach-Primary alcohols to aldehydesacids,80,,,C=CCO.CC(=O)c1ccc(I)cc1>>CC(=O)c1ccc(CCC=O)cc1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",15148-72-8,2229808-56-2,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80.0,,,,,,,Schlenk tube used
31-177-CAS-22712526,TEMPObleach-Primary alcohols to aldehydesacids,80,,,C=CCO.COC(=O)c1ccc(I)cc1>>COC(=O)c1ccc(CCC=O)cc1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 766-85-8",40138-66-7,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80.0,,,,,,,Schlenk tube used
31-177-CAS-22712527,TEMPObleach-Primary alcohols to aldehydesacids,80,,,C=CCO.Oc1ccc(I)cc1>>O=CCCc1ccc(O)cc1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 1262411-89-1",1262407-01-1,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80.0,,,,,,,Schlenk tube used
31-177-CAS-22712528,TEMPObleach-Primary alcohols to aldehydesacids,80,,,C=CCO.Fc1cccc(I)c1>>O=CCCc1cccc(F)c1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","2445283-35-0, 3008602-38-5",3008602-13-6,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80.0,,,,,,,Schlenk tube used
31-177-CAS-22712529,TEMPObleach-Primary alcohols to aldehydesacids,80,,,C=CCO.COc1cc(F)cc(Br)c1>>COc1cc(F)cc(CCC=O)c1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",2452307-36-5,75177-72-9,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80.0,,,,,,,Schlenk tube used
31-177-CAS-22712533,TEMPObleach-Primary alcohols to aldehydesacids,80,,,C=CCO.Cc1ccc(I)cc1C>>Cc1ccc(CCC=O)cc1C,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 202982-67-0",1057671-10-9,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80.0,,,,,,,Schlenk tube used
31-177-CAS-22712537,TEMPObleach-Primary alcohols to aldehydesacids,80,,,C=CCO.Ic1ccc2c(c1)OCC2>>O=CCCc1ccc2c(c1)OCC2,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 34598-49-7",2389977-94-8,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80.0,,,,,,,Schlenk tube used
