reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-046-CAS-22845770,Weinreb amide,77,,,ClCBr.CON(C)C(=O)CCc1ccccc1>>O=C(CCc1ccccc1)C(Br)I,"Advanced Synthesis & Catalysis (2020), 362(22), 5056-5061","101391-44-0, 64214-56-8",2761600-79-5,"4111-54-0, 12125-02-9",,"109-99-9, 7732-18-5",,,,,,,2,1,77,,,,,,,chemoselective
31-049-CAS-19587793,Weinreb amide,59,,,CCCCCCCCc1ccc([Mg]Br)cc1.CON(C)C(=O)CC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)CC[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,"European Journal of Medicinal Chemistry (2018), 159217-242","143790-20-9, 2248123-88-6",2248123-53-5,429-41-4,,"60-29-7, 109-99-9",,,,,,,2,1,59,,,,,,,
31-049-CAS-19587811,Weinreb amide,65,,,CCCCCCCCc1ccc([Mg]Br)cc1.CON(C)C(=O)[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,"European Journal of Medicinal Chemistry (2018), 159217-242","6963-32-2, 145959-21-3",3081374-82-2,7647-01-0,,"60-29-7, 123-91-1",,,,,,,2,1,65,,,,,,,
31-049-CAS-19587815,Weinreb amide,62,,,CCCCCCCCc1ccc([Mg]Br)cc1.CON(C)C(=O)[C@H]1C[C@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)[C@H]2C[C@H](O)CN2C(=O)OC(C)(C)C)cc1,"European Journal of Medicinal Chemistry (2018), 159217-242","6963-32-2, 640768-72-5",3081374-88-8,7647-01-0,,"60-29-7, 123-91-1",,,,,,,2,1,62,,,,,,,
31-352-CAS-23798009,Weinreb amide,32,,,CC(C)(C)C(=O)OCI.CC[C@@H]1CN(C(=O)OCc2ccccc2)C[C@@H]1C(=O)N(C)OC>>CC[C@@H]1CN(C(=O)OCc2ccccc2)C[C@@H]1C(=O)CO,"World Intellectual Property Organization, WO2021123288 A1 2021-06-24","67003-20-7, 167303-65-3",2786663-97-4,"1068-55-9, 12125-02-9",,"109-99-9, 7732-18-5",,,,,,,3,1,32,,,,,,,
31-373-CAS-18004521,Weinreb amide,60,,,[Li]c1ccccc1.CON(C)C(=O)C1=CN=C(Nc2ccc(C(F)(F)F)cc2)N(C(=O)OC(C)(C)C)C1>>CC(C)(C)OC(=O)N1CC(C(=O)c2ccccc2)=CN=C1Nc1ccc(C(F)(F)F)cc1,"Tetrahedron Letters (2017), 58(45), 4236-4239","623-00-7, 135364-97-5",1503-49-7,12125-02-9,109-63-7,"109-99-9, 142-96-1, 141-78-6, 7732-18-5",,,,,,,2,1,60,,,,,,,
31-373-CAS-18004522,Weinreb amide,59,,,COc1ccc(Br)cc1.CON(C)C(=O)C1=CN=C(Nc2ccc(C(F)(F)F)cc2)N(C(=O)OC(C)(C)C)C1>>COc1ccc(C(=O)C2=CN=C(Nc3ccc(C(F)(F)F)cc3)N(C(=O)OC(C)(C)C)C2)cc1,"Tetrahedron Letters (2017), 58(45), 4236-4239","6963-32-2, 177756-65-9",2946668-64-8,"109-72-8, 12125-02-9",,"109-66-0, 109-99-9, 141-78-6, 7732-18-5",,,,,,,3,1,59,,,,,,,
31-373-CAS-18010754,Weinreb amide,59,,,[Li]CCCC.CON(C)C(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1>>CCCCC(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1,"Tetrahedron Letters (2017), 58(45), 4236-4239","580-13-2, 321164-60-7",2715044-89-4,12125-02-9,109-63-7,"109-99-9, 142-96-1, 141-78-6, 7732-18-5",,,,,,,2,1,59,,,,,,,
31-373-CAS-18011414,Weinreb amide,80,,,C#Cc1ccccc1.CON(C)C(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1>>CC(C)(C)OC(=O)N1CC(C(=O)C#Cc2ccccc2)=CN=C1Nc1ccccc1,"Tetrahedron Letters (2017), 58(45), 4236-4239","917-54-4, 2230306-82-6",2230306-84-8,"109-72-8, 12125-02-9",,"109-99-9, 110-54-3, 141-78-6, 7732-18-5",,,,,,,3,1,80,,,,,,,
31-373-CAS-18011818,Weinreb amide,74,,,COc1ccc(Br)cc1.CON(C)C(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1>>COc1ccc(C(=O)C2=CN=C(Nc3ccccc3)N(C(=O)OC(C)(C)C)C2)cc1,"Tetrahedron Letters (2017), 58(45), 4236-4239","106-39-8, 2376834-26-1",2254499-83-5,"109-72-8, 12125-02-9",,"109-66-0, 109-99-9, 141-78-6, 7732-18-5",,,,,,,3,1,74,,,,,,,
31-373-CAS-18012999,Weinreb amide,81,,,[Li]c1ccccc1.CON(C)C(=O)C1=CN=C(Nc2ccccc2)N(C(=O)OC(C)(C)C)C1>>CC(C)(C)OC(=O)N1CC(C(=O)c2ccccc2)=CN=C1Nc1ccccc1,"Tetrahedron Letters (2017), 58(45), 4236-4239","112197-15-6, 6919-61-5",1246461-87-9,12125-02-9,109-63-7,"109-99-9, 142-96-1, 141-78-6, 7732-18-5",,,,,,,2,1,81,,,,,,,
31-373-CAS-18665394,Weinreb amide,90,,,C#Cc1ccccc1.CON(C)C(=O)Cc1c[nH]c2ccccc12>>O=C(C#Cc1ccccc1)Cc1c[nH]c2ccccc12,"Chemical Communications (Cambridge, United Kingdom) (2018), 54(29), 3625-3628","536-74-3, 2941175-57-9",2941175-65-9,"109-72-8, 12125-02-9",,"109-99-9, 110-54-3, 7732-18-5",,,,,,,3,1,90,,,,,,,
